LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1752780444.932399,435359.000,4648,1,MX,1,100,-60
1752780444.972400,435399.000,4662,3,MX,1,100,-60
1752780445.012400,435439.000,4662,3,MX,1,100,-62
1752780445.052400,435479.000,4662,3,MX,1,100,-61
1752780445.092400,435519.000,4680,2,MX,1,100,-60
1752780445.132400,435559.000,4680,2,MX,1,100,-60
1752780445.172401,435599.000,4696,3,MX,1,100,-61
1752780445.212401,435639.000,4696,3,MX,1,100,-60
1752780445.252401,435679.000,4696,3,MX,1,100,-59
1752780445.292401,435719.000,4715,2,MX,1,100,-60
1752780445.332402,435759.000,4715,2,MX,1,100,-60
1752780445.372402,435799.000,4730,3,MX,1,100,-60
1752780445.412402,435839.000,4730,3,MX,1,100,-60
1752780445.452402,435879.000,4730,3,MX,1,100,-61
1752780445.492402,435919.000,4749,2,MX,1,100,-59
1752780445.532403,435959.000,4749,2,MX,1,100,-60
1752780445.572403,435999.000,4765,3,MX,1,100,-60
1752780445.612403,436039.000,4765,3,MX,1,100,-60
1752780445.652403,436079.000,4765,3,MX,1,100,-60
1752780445.692404,436119.000,4782,2,MX,1,100,-61
1752780445.732404,436159.000,4782,2,MX,1,100,-60
1752780445.772404,436199.000,4799,3,MX,1,100,-62
1752780445.812404,436239.000,4799,3,MX,1,100,-60
1752780445.852404,436279.000,4799,3,MX,1,100,-61
1752780445.892405,436319.000,4814,2,MX,1,100,-61
1752780445.932405,436359.000,4814,2,MX,1,100,-60
1752780445.972405,436399.000,4830,3,MX,1,100,-60
1752780446.012405,436439.000,4830,3,MX,1,100,-60
1752780446.052406,436479.000,4830,3,MX,1,100,-60
1752780446.092406,436519.000,4850,3,MX,1,100,-60
1752780446.132406,436559.000,4850,3,MX,1,100,-60
1752780446.172406,436599.000,4850,3,MX,1,100,-60
1752780446.212406,436639.000,4868,2,MX,1,100,-60
1752780446.252407,436679.000,4868,2,MX,1,100,-60
1752780446.292407,436719.000,4883,3,MX,1,100,-60
1752780446.332407,436759.000,4883,3,MX,1,100,-60
1752780446.372407,436799.000,4883,3,MX,1,100,-61
1752780446.412407,436839.000,4900,2,MX,1,100,-60
1752780446.452408,436879.000,4900,2,MX,1,100,-60
1752780446.492408,436919.000,4919,3,MX,1,100,-60
1752780446.532408,436959.000,4919,3,MX,1,100,-62
1752780446.572408,436999.000,4919,3,MX,1,100,-60
1752780446.612409,437039.000,4935,2,MX,1,100,-60
1752780446.652409,437079.000,4935,2,MX,1,100,-60
1752780446.692409,437119.000,4950,3,MX,1,100,-61
1752780446.732409,437159.000,4950,3,MX,1,100,-61
1752780446.772409,437199.000,4950,3,MX,1,100,-61
1752780446.812410,437239.000,4967,2,MX,1,100,-61
1752780446.852410,437279.000,4967,2,MX,1,100,-60
1752780446.892410,437319.000,4986,3,MX,1,100,-60
1752780446.932410,437359.000,4986,3,MX,1,100,-61
1752780446.972411,437399.000,4986,3,MX,1,100,-61
1752780447.012411,437439.000,5002,2,MX,1,100,-60
1752780447.052411,437479.000,5002,2,MX,1,100,-60
1752780447.092411,437519.000,5020,3,MX,1,100,-60
1752780447.132411,437559.000,5020,3,MX,1,100,-60
1752780447.172412,437599.000,5020,3,MX,1,100,-61
1752780447.212412,437639.000,5041,2,MX,1,100,-61
1752780447.252412,437679.000,5041,2,MX,1,100,-60
1752780447.292412,437719.000,5058,3,MX,1,100,-60
1752780447.332413,437759.000,5058,3,MX,1,100,-60
1752780447.372413,437799.000,5058,3,MX,1,100,-62
1752780447.412413,437839.000,5075,3,MX,1,100,-60
1752780447.452413,437879.000,5075,3,MX,1,100,-62
1752780447.492413,437919.000,5075,3,MX,1,100,-60
1752780447.532414,437959.000,5093,2,MX,1,100,-60
1752780447.572414,437999.000,5093,2,MX,1,100,-60
1752780447.612414,438039.000,5108,3,MX,1,100,-60
1752780447.652414,438079.000,5108,3,MX,1,100,-60
1752780447.692415,438119.000,5108,3,MX,1,100,-62
1752780447.732415,438159.000,5125,2,MX,1,100,-62
1752780447.772415,438199.000,5125,2,MX,1,100,-60
1752780447.812415,438239.000,5142,3,MX,1,100,-60
1752780447.852415,438279.000,5142,3,MX,1,100,-61
1752780447.892416,438319.000,5142,3,MX,1,100,-60
1752780447.932416,438359.000,5159,2,MX,1,100,-61
1752780447.972416,438399.000,5159,2,MX,1,100,-61
1752780448.012416,438439.000,5175,3,MX,1,100,-61
1752780448.052416,438479.000,5175,3,MX,1,100,-61
1752780448.092417,438519.000,5175,3,MX,1,100,-60
1752780448.132417,438559.000,5193,2,MX,1,100,-60
1752780448.172417,438599.000,5193,2,MX,1,100,-60
1752780448.212417,438639.000,5211,3,MX,1,100,-59
1752780448.252418,438679.000,5211,3,MX,1,100,-60
1752780448.292418,438719.000,5211,3,MX,1,100,-61
1752780448.332418,438759.000,5228,2,MX,1,100,-61
1752780448.372418,438799.000,5228,2,MX,1,100,-60
1752780448.407752,438834.333,5243,3,MX,1,100,-61
1752780448.443085,438869.667,5243,3,MX,1,100,-61
1752780448.478419,438905.000,5243,3,MX,1,100,-60
1752780448.518419,438945.000,5260,3,MX,1,100,-61
1752780448.558419,438985.000,5260,3,MX,1,100,-60
1752780448.598419,439025.000,5260,3,MX,1,100,-61
1752780448.638420,439065.000,5276,2,MX,1,100,-60
1752780448.678420,439105.000,5276,2,MX,1,100,-61
1752780448.718420,439145.000,5296,3,MX,1,100,-61
1752780448.758420,439185.000,5296,3,MX,1,100,-61
1752780448.798421,439225.000,5296,3,MX,1,100,-61
1752780448.838421,439265.000,5310,2,MX,1,100,-62
1752780448.878421,439305.000,5310,2,MX,1,100,-61
1752780448.918421,439345.000,5329,3,MX,1,100,-62
1752780448.958421,439385.000,5329,3,MX,1,100,-62
1752780448.998422,439425.000,5329,3,MX,1,100,-61
1752780449.038422,439465.000,5345,2,MX,1,100,-61
1752780449.078422,439505.000,5345,2,MX,1,100,-61
1752780449.118422,439545.000,5363,3,MX,1,100,-61
1752780449.158423,439585.000,5363,3,MX,1,100,-62
1752780449.198423,439625.000,5363,3,MX,1,100,-61
1752780449.238423,439665.000,5377,2,MX,1,100,-62
1752780449.278423,439705.000,5377,2,MX,1,100,-62
1752780449.318423,439745.000,5394,3,MX,1,100,-61
1752780449.358424,439785.000,5394,3,MX,1,100,-61
1752780449.398424,439825.000,5394,3,MX,1,100,-62
1752780449.438424,439865.000,5411,3,MX,1,100,-61
1752780449.478424,439905.000,5411,3,MX,1,100,-62
1752780449.518424,439945.000,5411,3,MX,1,100,-61
1752780449.558425,439985.000,5430,2,MX,1,100,-62
1752780449.598425,440025.000,5430,2,MX,1,100,-61
1752780449.638425,440065.000,5444,2,MX,1,100,-60
1752780449.678425,440105.000,5444,2,MX,1,100,-62
1752780449.718426,440145.000,5462,3,MX,1,100,-60
1752780449.758426,440185.000,5462,3,MX,1,100,-61
1752780449.798426,440225.000,5462,3,MX,1,100,-61
1752780449.838426,440265.000,5478,3,MX,1,100,-62
1752780449.878426,440305.000,5478,3,MX,1,100,-61
1752780449.918427,440345.000,5478,3,MX,1,100,-62
1752780449.958427,440385.000,5495,2,MX,1,100,-61
1752780449.998427,440425.000,5495,2,MX,1,100,-62
1752780450.038427,440465.000,5510,3,MX,1,100,-62
1752780450.078428,440505.000,5510,3,MX,1,100,-62
1752780450.118428,440545.000,5510,3,MX,1,100,-60
1752780450.158428,440585.000,5529,2,MX,1,100,-62
1752780450.198428,440625.000,5529,2,MX,1,100,-61
1752780450.238428,440665.000,5547,3,MX,1,100,-60
1752780450.278429,440705.000,5547,3,MX,1,100,-63
1752780450.318429,440745.000,5547,3,MX,1,100,-61
1752780450.358429,440785.000,5564,2,MX,1,100,-61
1752780450.398429,440825.000,5564,2,MX,1,100,-61
1752780450.438430,440865.000,5583,3,MX,1,100,-61
1752780450.478430,440905.000,5583,3,MX,1,100,-62
1752780450.518430,440945.000,5583,3,MX,1,100,-61
1752780450.558430,440985.000,5598,2,MX,1,100,-62
1752780450.598430,441025.000,5598,2,MX,1,100,-60
1752780450.638431,441065.000,5614,3,MX,1,100,-62
1752780450.678431,441105.000,5614,3,MX,1,100,-61
1752780450.718431,441145.000,5614,3,MX,1,100,-61
1752780450.758431,441185.000,5632,2,MX,1,100,-62
1752780450.798431,441225.000,5632,2,MX,1,100,-62
1752780450.838432,441265.000,5648,3,MX,1,100,-62
1752780450.878432,441305.000,5648,3,MX,1,100,-63
1752780450.918432,441345.000,5648,3,MX,1,100,-61
1752780450.958432,441385.000,5665,2,MX,1,100,-62
1752780450.998433,441425.000,5665,2,MX,1,100,-62
1752780451.038433,441465.000,5684,3,MX,1,100,-61
1752780451.078433,441505.000,5684,3,MX,1,100,-61
1752780451.118433,441545.000,5684,3,MX,1,100,-61
1752780451.158433,441585.000,5701,3,MX,1,100,-61
1752780451.198434,441625.000,5701,3,MX,1,100,-62
1752780451.238434,441665.000,5701,3,MX,1,100,-62
1752780451.278434,441705.000,5717,2,MX,1,100,-62
1752780451.318434,441745.000,5717,2,MX,1,100,-61
1752780451.358435,441785.000,5732,3,MX,1,100,-60
1752780451.398435,441825.000,5732,3,MX,1,100,-62
1752780451.438435,441865.000,5732,3,MX,1,100,-61
1752780451.478435,441905.000,5751,2,MX,1,100,-62
1752780451.518435,441945.000,5751,2,MX,1,100,-61
1752780451.558436,441985.000,5768,3,MX,1,100,-62
1752780451.598436,442025.000,5768,3,MX,1,100,-62
1752780451.638436,442065.000,5768,3,MX,1,100,-62
1752780451.678436,442105.000,5786,2,MX,1,100,-62
1752780451.718437,442145.000,5786,2,MX,1,100,-62
1752780451.758437,442185.000,5802,3,MX,1,100,-61
1752780451.798437,442225.000,5802,3,MX,1,100,-61
1752780451.838437,442265.000,5802,3,MX,1,100,-62
1752780451.878437,442305.000,5820,2,MX,1,100,-60
1752780451.918438,442345.000,5820,2,MX,1,100,-62
1752780451.958438,442385.000,5837,3,MX,1,100,-62
1752780451.998438,442425.000,5837,3,MX,1,100,-62
1752780452.038438,442465.000,5837,3,MX,1,100,-62
1752780452.078438,442505.000,5854,2,MX,1,100,-62
1752780452.118439,442545.000,5854,2,MX,1,100,-63
1752780452.154106,442580.667,5869,3,MX,1,100,-62
1752780452.189772,442616.333,5869,3,MX,1,100,-62
1752780452.225439,442652.000,5869,3,MX,1,100,-63
1752780452.265440,442692.000,5893,5,MX,1,100,-61
1752780452.305440,442732.000,5893,5,MX,1,100,-63
1752780452.345440,442772.000,5893,5,MX,1,100,-62
1752780452.385440,442812.000,5893,5,MX,1,100,-62
1752780452.425440,442852.000,5893,5,MX,1,100,-61
1752780452.465441,442892.000,5910,3,MX,1,100,-62
1752780452.505441,442932.000,5910,3,MX,1,100,-62
1752780452.545441,442972.000,5910,3,MX,1,100,-62
1752780452.585441,443012.000,5925,2,MX,1,100,-62
1752780452.625441,443052.000,5925,2,MX,1,100,-63
1752780452.665442,443092.000,5941,3,MX,1,100,-63
