LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1752780447.228412,437655.000,5025,2,RD,1,100,TL
1752780447.228412,437655.000,5025,2,RD,1,100,TU
1752780449.782426,440209.000,5874,2,RD,1,100,TL
1752780452.336440,442763.000,5874,2,RD,1,100,TU
1752780454.895954,445322.500,6731,2,RD,1,100,TL
1752780457.455468,447882.000,6731,2,RD,1,100,TU
1752780460.007982,450434.500,7596,2,RD,1,100,TL
1752780462.560496,452987.000,7596,2,RD,1,100,TU
1752780465.114010,455540.500,8457,2,RD,1,100,TL
1752780467.667524,458094.000,8457,2,RD,1,100,TU
1752780470.229038,460655.500,9336,2,RD,1,100,TL
1752780472.790552,463217.000,9336,2,RD,1,100,TU
1752780475.343566,465770.000,10192,2,RD,1,100,TL
1752780477.896580,468323.000,10192,2,RD,1,100,TU
1752780480.464594,470891.000,11067,2,RD,1,100,TL
1752780483.032608,473459.000,11067,2,RD,1,100,TU
1752780485.588122,476014.500,11929,2,RD,1,100,TL
1752780488.143636,478570.000,11929,2,RD,1,100,TU
1752780490.707650,481134.000,12807,2,RD,1,100,TL
1752780493.271664,483698.000,12807,2,RD,1,100,TU
1752780495.831178,486257.500,13672,2,RD,1,100,TL
1752780498.390692,488817.000,13672,2,RD,1,100,TU
1752780500.942206,491368.500,14537,2,RD,1,100,TL
1752780503.493720,493920.000,14537,2,RD,1,100,TU
1752780506.047734,496474.000,15401,2,RD,1,100,TL
1752780508.601748,499028.000,15401,2,RD,1,100,TU
1752780511.165262,501591.500,16284,2,RD,1,100,TL
1752780513.728776,504155.000,16284,2,RD,1,100,TU
1752780516.281790,506708.000,17150,2,RD,1,100,TL
1752780518.834804,509261.000,17150,2,RD,1,100,TU
1752780521.389318,511815.500,18018,2,RD,1,100,TL
1752780523.943832,514370.000,18018,2,RD,1,100,TU
1752780526.508346,516934.500,18893,2,RD,1,100,TL
1752780529.072860,519499.000,18893,2,RD,1,100,TU
1752780531.626874,522053.000,19762,2,RD,1,100,TL
1752780534.180888,524607.000,19762,2,RD,1,100,TU
1752780536.734402,527160.500,20630,2,RD,1,100,TL
1752780539.287916,529714.000,20630,2,RD,1,100,TU
1752780541.850430,532276.500,21507,2,RD,1,100,TL
1752780544.412944,534839.000,21507,2,RD,1,100,TU
1752780546.967958,537394.000,22374,2,RD,1,100,TL
1752780549.522972,539949.000,22374,2,RD,1,100,TU
1752780552.077486,542503.500,23241,2,RD,1,100,TL
1752780554.632000,545058.000,23241,2,RD,1,100,TU
1752780557.186014,547612.000,24044,2,RD,1,100,TL
1752780559.740028,550166.000,24044,2,RD,1,100,TU
1752780562.306042,552732.000,24912,2,RD,1,100,TL
1752780564.872056,555298.000,24912,2,RD,1,100,TU
1752780567.426570,557852.500,25759,2,RD,1,100,TL
1752780569.981084,560407.000,25759,2,RD,1,100,TU
1752780572.552598,562978.500,26618,2,RD,1,100,TL
1752780575.124112,565550.000,26618,2,RD,1,100,TU
1752780577.678126,568104.000,27459,2,RD,1,100,TL
1752780580.232140,570658.000,27459,2,RD,1,100,TU
1752780582.804154,573230.000,28314,2,RD,1,100,TL
1752780585.376168,575802.000,28314,2,RD,1,100,TU
1752780587.929182,578355.000,29151,2,RD,1,100,TL
1752780590.482196,580908.000,29151,2,RD,1,100,TU
1752780593.049710,583475.500,30006,2,RD,1,100,TL
1752780595.617224,586043.000,30006,2,RD,1,100,TU
1752780598.171738,588597.500,30845,2,RD,1,100,TL
