LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1752780445.131400,435558,4700,1,SA,1,100,0.000732
1752780445.798404,436225,4834,1,SA,1,100,0.001662
1752780446.598409,437025,5006,1,SA,1,100,0.002463
1752780447.864415,438291,5162,1,SA,1,100,0.000583
1752780448.531419,438958,5280,1,SA,1,100,0.003245
1752780449.464424,439891,5514,1,SA,1,100,0.004568
1752780450.331429,440758,5567,1,SA,1,100,0.002622
1752780450.730431,441157,5668,1,SA,1,100,0.005810
1752780451.664436,442091,5805,1,SA,1,100,0.002221
1752780451.930438,442357,5878,1,SA,1,100,0.002376
1752780452.331440,442758,6013,1,SA,1,100,0.013383
1752780453.664447,444091,6131,1,SA,1,100,0.000145
1752780454.063449,444490,6233,1,SA,1,100,0.002617
1752780454.597452,445024,6319,1,SA,1,100,0.002609
1752780455.530457,445957,6470,1,SA,1,100,0.001900
1752780456.397462,446824,6606,1,SA,1,100,0.000964
1752780457.063466,447490,6676,1,SA,1,100,0.000233
1752780457.263467,447690,6709,1,SA,1,100,0.000646
1752780457.463468,447890,6754,1,SA,1,100,0.001058
1752780457.663469,448090,6838,1,SA,1,100,0.001835
1752780458.396473,448823,6923,1,SA,1,100,0.000253
1752780458.730475,449157,7008,1,SA,1,100,0.001858
1752780459.863481,450290,7210,1,SA,1,100,0.001175
1752780460.530485,450957,7278,1,SA,1,100,0.000614
1752780460.729486,451156,7296,1,SA,1,100,0.000264
1752780460.929487,451356,7333,1,SA,1,100,0.000324
1752780461.129488,451556,7367,1,SA,1,100,0.000383
1752780461.329489,451756,7438,1,SA,1,100,0.000948
1752780461.729491,452156,7474,1,SA,1,100,0.000403
1752780461.929492,452356,7541,1,SA,1,100,0.001151
1752780462.462495,452889,7632,1,SA,1,100,0.001299
1752780462.929498,453356,7701,1,SA,1,100,0.002998
1752780463.196499,453623,7751,1,SA,1,100,0.006985
1752780463.996504,454423,7870,1,SA,1,100,0.003591
1752780464.530507,454957,7972,1,SA,1,100,0.002118
1752780464.796508,455223,8024,1,SA,1,100,0.001268
1752780465.396511,455823,8127,1,SA,1,100,0.001617
1752780465.863514,456290,8194,1,SA,1,100,0.001130
1752780466.129515,456556,8230,1,SA,1,100,0.000753
1752780466.463517,456890,8299,1,SA,1,100,0.001691
