LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1752780445.131400,435558.000,4666,1,SF,1,100,67.4616
1752780445.531403,435958.000,4736,1,SF,1,100,68.7635
1752780445.864404,436291.000,4785,1,SF,1,100,67.9680
1752780446.131406,436558.000,4836,1,SF,1,100,69.2640
1752780446.464408,436891.000,4886,1,SF,1,100,68.4627
1752780446.864410,437291.000,4953,1,SF,1,100,67.6708
1752780447.131411,437558.000,5008,1,SF,1,100,68.9702
1752780447.464413,437891.000,5061,1,SF,1,100,68.1723
1752780447.864415,438291.000,5128,1,SF,1,100,67.3837
1752780448.197417,438624.000,5179,1,SF,1,100,68.6865
1752780448.464419,438891.000,5231,1,SF,1,100,67.8919
1752780448.797421,439224.000,5282,1,SF,1,100,69.1888
1752780449.197423,439624.000,5349,1,SF,1,100,68.3884
1752780449.464424,439891.000,5397,1,SF,1,100,67.5973
1752780449.797426,440224.000,5448,1,SF,1,100,66.8153
1752780450.197428,440624.000,5516,1,SF,1,100,68.1246
1752780450.464430,440891.000,5569,1,SF,1,100,69.4188
1752780450.797431,441224.000,5618,1,SF,1,100,68.6158
1752780451.130433,441557.000,5670,1,SF,1,100,69.9043
1752780451.530436,441957.000,5737,1,SF,1,100,69.0956
1752780451.797437,442224.000,5790,1,SF,1,100,68.2963
1752780452.130439,442557.000,5840,1,SF,1,100,69.5885
1752780452.530441,442957.000,5896,1,SF,1,100,70.8658
1752780452.797442,443224.000,5945,1,SF,1,100,70.0460
1752780453.130444,443557.000,5995,1,SF,1,100,69.2357
1752780453.530446,443957.000,6062,1,SF,1,100,70.5170
1752780453.797448,444224.000,6115,1,SF,1,100,69.7013
1752780454.130450,444557.000,6165,1,SF,1,100,70.9772
1752780454.463452,444890.000,6216,1,SF,1,100,70.1561
1752780454.863454,445290.000,6283,1,SF,1,100,71.4268
1752780455.130455,445557.000,6337,1,SF,1,100,72.6828
1752780455.463457,445890.000,6386,1,SF,1,100,71.8420
1752780455.863459,446290.000,6453,1,SF,1,100,71.0109
1752780456.130461,446557.000,6505,1,SF,1,100,72.2717
1752780456.463462,446890.000,6555,1,SF,1,100,71.4357
1752780456.796464,447223.000,6608,1,SF,1,100,72.6916
1752780457.196467,447623.000,6675,1,SF,1,100,71.8507
1752780457.463468,447890.000,6735,1,SF,1,100,75.1840
1752780457.796470,448223.000,6787,1,SF,1,100,76.3965
1752780458.196472,448623.000,6856,1,SF,1,100,77.5950
1752780458.463473,448890.000,6907,1,SF,1,100,76.6974
1752780458.796475,449223.000,6959,1,SF,1,100,77.8924
1752780459.129477,449556.000,7010,1,SF,1,100,79.0736
1752780459.530479,449957.000,7075,1,SF,1,100,78.1589
1752780459.796481,450223.000,7127,1,SF,1,100,77.2547
1752780460.129483,450556.000,7176,1,SF,1,100,76.3610
1752780460.530485,450957.000,7245,1,SF,1,100,77.5599
1752780460.863487,451290.000,7295,1,SF,1,100,78.7450
1752780461.129488,451556.000,7352,1,SF,1,100,81.9986
1752780461.463490,451890.000,7402,1,SF,1,100,83.1322
