LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1752780445.131400,435558,4701,1,SR,1,100,0.133333
1752780445.798404,436225,4835,1,SR,1,100,0.266667
1752780446.598409,437025,5007,1,SR,1,100,0.466667
1752780447.864415,438291,5163,1,SR,1,100,0.133333
1752780448.531419,438958,5281,1,SR,1,100,0.200000
1752780449.464424,439891,5515,1,SR,1,100,0.600000
1752780450.331429,440758,5568,1,SR,1,100,0.066667
1752780450.730431,441157,5669,1,SR,1,100,0.266667
1752780451.664436,442091,5806,1,SR,1,100,0.133333
1752780451.930438,442357,5879,1,SR,1,100,0.266667
1752780452.331440,442758,6014,1,SR,1,100,0.800000
1752780453.664447,444091,6132,1,SR,1,100,0.133333
1752780454.063449,444490,6234,1,SR,1,100,0.400000
1752780454.597452,445024,6320,1,SR,1,100,0.400000
1752780455.530457,445957,6471,1,SR,1,100,0.333333
1752780456.397462,446824,6607,1,SR,1,100,0.266667
1752780457.063466,447490,6677,1,SR,1,100,0.066667
1752780457.263467,447690,6710,1,SR,1,100,0.066667
1752780457.463468,447890,6755,1,SR,1,100,0.066667
1752780457.663469,448090,6839,1,SR,1,100,0.333333
1752780458.396473,448823,6924,1,SR,1,100,0.066667
1752780458.730475,449157,7009,1,SR,1,100,0.333333
1752780459.863481,450290,7211,1,SR,1,100,0.400000
1752780460.530485,450957,7279,1,SR,1,100,0.066667
1752780460.729486,451156,7297,1,SR,1,100,0.066667
1752780460.929487,451356,7334,1,SR,1,100,0.066667
1752780461.129488,451556,7368,1,SR,1,100,0.066667
1752780461.329489,451756,7439,1,SR,1,100,0.266667
1752780461.729491,452156,7475,1,SR,1,100,0.066667
1752780461.929492,452356,7542,1,SR,1,100,0.266667
1752780462.462495,452889,7633,1,SR,1,100,0.200000
1752780462.929498,453356,7702,1,SR,1,100,0.133333
1752780463.196499,453623,7752,1,SR,1,100,0.200000
1752780463.996504,454423,7871,1,SR,1,100,0.133333
1752780464.530507,454957,7973,1,SR,1,100,0.133333
1752780464.796508,455223,8025,1,SR,1,100,0.200000
1752780465.396511,455823,8128,1,SR,1,100,0.200000
1752780465.863514,456290,8195,1,SR,1,100,0.133333
1752780466.129515,456556,8231,1,SR,1,100,0.066667
1752780466.463517,456890,8300,1,SR,1,100,0.133333
1752780466.863519,457290,8370,1,SR,1,100,0.133333
1752780467.262522,457689,8422,1,SR,1,100,0.066667
1752780467.462523,457889,8463,1,SR,1,100,0.066667
1752780467.929525,458356,8530,1,SR,1,100,0.066667
1752780468.262527,458689,8616,1,SR,1,100,0.200000
1752780468.729530,459156,8685,1,SR,1,100,0.133333
1752780469.129532,459556,8752,1,SR,1,100,0.200000
1752780469.462534,459889,8788,1,SR,1,100,0.066667
1752780469.795535,460222,8874,1,SR,1,100,0.200000
1752780470.262538,460689,8926,1,SR,1,100,0.066667
1752780470.595540,461022,9044,1,SR,1,100,0.466667
1752780471.328544,461755,9149,1,SR,1,100,0.266667
1752780471.728546,462155,9216,1,SR,1,100,0.266667
1752780472.395550,462822,9317,1,SR,1,100,0.200000
1752780472.862552,463289,9392,1,SR,1,100,0.200000
1752780473.928558,464355,9627,1,SR,1,100,0.533333
1752780474.728562,465155,9744,1,SR,1,100,0.466667
1752780475.328566,465755,9781,1,SR,1,100,0.066667
1752780475.661568,466088,9849,1,SR,1,100,0.133333
1752780476.061570,466488,9951,1,SR,1,100,0.333333
1752780476.661573,467088,10054,1,SR,1,100,0.333333
1752780477.394577,467821,10172,1,SR,1,100,0.266667
1752780478.061581,468488,10299,1,SR,1,100,0.400000
1752780478.594584,469021,10332,1,SR,1,100,0.066667
1752780478.794585,469221,10401,1,SR,1,100,0.266667
1752780479.327588,469754,10502,1,SR,1,100,0.333333
1752780480.061592,470488,10589,1,SR,1,100,0.066667
1752780480.595595,471022,10739,1,SR,1,100,0.466667
1752780481.327599,471754,10792,1,SR,1,100,0.066667
1752780481.927602,472354,10929,1,SR,1,100,0.266667
1752780482.461605,472888,11014,1,SR,1,100,0.200000
1752780482.794607,473221,11048,1,SR,1,100,0.133333
1752780483.060608,473487,11106,1,SR,1,100,0.133333
1752780483.328609,473755,11158,1,SR,1,100,0.133333
1752780484.060613,474487,11292,1,SR,1,100,0.266667
1752780484.594616,475021,11394,1,SR,1,100,0.266667
1752780484.994619,475421,11429,1,SR,1,100,0.133333
1752780485.394621,475821,11515,1,SR,1,100,0.200000
1752780485.727623,476154,11551,1,SR,1,100,0.066667
1752780485.927624,476354,11618,1,SR,1,100,0.333333
1752780486.527627,476954,11705,1,SR,1,100,0.200000
1752780487.393632,477820,11840,1,SR,1,100,0.133333
1752780487.660633,478087,11909,1,SR,1,100,0.333333
1752780488.260636,478687,11981,1,SR,1,100,0.133333
1752780488.660639,479087,12084,1,SR,1,100,0.266667
1752780489.327642,479754,12153,1,SR,1,100,0.066667
1752780489.660644,480087,12221,1,SR,1,100,0.133333
1752780489.927646,480354,12257,1,SR,1,100,0.066667
1752780490.127647,480554,12309,1,SR,1,100,0.200000
1752780490.860651,481287,12444,1,SR,1,100,0.266667
1752780491.527654,481954,12531,1,SR,1,100,0.066667
1752780491.727655,482154,12615,1,SR,1,100,0.333333
1752780492.193658,482620,12651,1,SR,1,100,0.066667
1752780492.393659,482820,12686,1,SR,1,100,0.133333
1752780492.793661,483220,12770,1,SR,1,100,0.266667
1752780493.459665,483886,12860,1,SR,1,100,0.133333
1752780493.726666,484153,12896,1,SR,1,100,0.066667
1752780493.926667,484353,12931,1,SR,1,100,0.066667
1752780494.259669,484686,12999,1,SR,1,100,0.066667
1752780494.459670,484886,13036,1,SR,1,100,0.066667
1752780494.793672,485220,13120,1,SR,1,100,0.333333
1752780495.659677,486086,13220,1,SR,1,100,0.066667
1752780496.259680,486686,13358,1,SR,1,100,0.200000
1752780496.592682,487019,13394,1,SR,1,100,0.133333
1752780496.860684,487287,13430,1,SR,1,100,0.066667
1752780497.060685,487487,13481,1,SR,1,100,0.200000
1752780497.526687,487953,13550,1,SR,1,100,0.133333
1752780497.792689,488219,13617,1,SR,1,100,0.266667
1752780498.592693,489019,13726,1,SR,1,100,0.066667
1752780498.926695,489353,13779,1,SR,1,100,0.066667
1752780499.393697,489820,13866,1,SR,1,100,0.066667
1752780499.725699,490152,13933,1,SR,1,100,0.133333
1752780499.993701,490420,14016,1,SR,1,100,0.400000
1752780500.659704,491086,14085,1,SR,1,100,0.133333
1752780501.059707,491486,14139,1,SR,1,100,0.066667
1752780501.259708,491686,14172,1,SR,1,100,0.066667
1752780501.459709,491886,14210,1,SR,1,100,0.066667
1752780501.659710,492086,14245,1,SR,1,100,0.066667
1752780501.992712,492419,14313,1,SR,1,100,0.133333
1752780502.392714,492819,14382,1,SR,1,100,0.066667
1752780502.592715,493019,14417,1,SR,1,100,0.133333
1752780503.126718,493553,14503,1,SR,1,100,0.066667
1752780503.325719,493752,14541,1,SR,1,100,0.066667
1752780503.859722,494286,14644,1,SR,1,100,0.133333
1752780504.392725,494819,14745,1,SR,1,100,0.266667
1752780504.925728,495352,14814,1,SR,1,100,0.066667
1752780505.125729,495552,14850,1,SR,1,100,0.066667
1752780505.525731,495952,14937,1,SR,1,100,0.266667
1752780506.325735,496752,15037,1,SR,1,100,0.066667
1752780506.658737,497085,15107,1,SR,1,100,0.133333
1752780507.058739,497485,15209,1,SR,1,100,0.266667
1752780507.458742,497885,15246,1,SR,1,100,0.133333
1752780507.858744,498285,15313,1,SR,1,100,0.133333
1752780508.125745,498552,15350,1,SR,1,100,0.066667
1752780508.458747,498885,15438,1,SR,1,100,0.266667
1752780509.125751,499552,15540,1,SR,1,100,0.200000
1752780509.459752,499886,15575,1,SR,1,100,0.066667
1752780509.924755,500351,15661,1,SR,1,100,0.133333
1752780510.191756,500618,15697,1,SR,1,100,0.066667
1752780510.924760,501351,15832,1,SR,1,100,0.066667
1752780511.124762,501551,15867,1,SR,1,100,0.066667
1752780511.324763,501751,15905,1,SR,1,100,0.133333
