LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1752780444.924399,435351.000,4640,1,T1,1,100,39.234
1752780445.057400,435484.000,4672,1,T1,1,100,39.385
1752780445.191401,435618.000,4688,1,T1,1,100,39.415
1752780445.324402,435751.000,4707,1,T1,1,100,39.321
1752780445.457402,435884.000,4723,1,T1,1,100,39.281
1752780445.591403,436018.000,4757,1,T1,1,100,39.334
1752780445.724404,436151.000,4774,1,T1,1,100,39.322
1752780445.857404,436284.000,4791,1,T1,1,100,39.387
1752780445.991405,436418.000,4822,1,T1,1,100,39.487
1752780446.124406,436551.000,4842,1,T1,1,100,39.459
1752780446.257407,436684.000,4860,1,T1,1,100,39.411
1752780446.391407,436818.000,4892,1,T1,1,100,39.426
1752780446.524408,436951.000,4911,1,T1,1,100,39.397
1752780446.657409,437084.000,4927,1,T1,1,100,39.349
1752780446.791410,437218.000,4959,1,T1,1,100,39.399
1752780446.924410,437351.000,4978,1,T1,1,100,39.350
1752780447.057411,437484.000,4994,1,T1,1,100,39.435
1752780447.191412,437618.000,5033,1,T1,1,100,39.507
1752780447.324412,437751.000,5050,1,T1,1,100,39.432
1752780447.457413,437884.000,5067,1,T1,1,100,39.435
1752780447.591414,438018.000,5086,1,T1,1,100,39.401
1752780447.724415,438151.000,5117,1,T1,1,100,39.351
1752780447.857415,438284.000,5134,1,T1,1,100,39.294
1752780447.990416,438417.000,5151,1,T1,1,100,39.375
1752780448.124417,438551.000,5185,1,T1,1,100,39.411
1752780448.257418,438684.000,5203,1,T1,1,100,39.426
1752780448.390418,438817.000,5220,1,T1,1,100,39.503
1752780448.524419,438951.000,5252,1,T1,1,100,39.395
1752780448.657420,439084.000,5268,1,T1,1,100,39.384
1752780448.790421,439217.000,5288,1,T1,1,100,39.414
1752780448.924421,439351.000,5321,1,T1,1,100,39.321
1752780449.057422,439484.000,5337,1,T1,1,100,39.352
1752780449.190423,439617.000,5355,1,T1,1,100,39.400
1752780449.324423,439751.000,5386,1,T1,1,100,39.457
1752780449.457424,439884.000,5403,1,T1,1,100,39.375
1752780449.590425,440017.000,5422,1,T1,1,100,39.410
1752780449.724426,440151.000,5454,1,T1,1,100,39.390
1752780449.857426,440284.000,5470,1,T1,1,100,39.275
1752780449.990427,440417.000,5487,1,T1,1,100,39.332
1752780450.124428,440551.000,5503,1,T1,1,100,39.392
1752780450.257429,440684.000,5539,1,T1,1,100,39.453
1752780450.390429,440817.000,5556,1,T1,1,100,39.480
