LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1752780447.227412,437654.000,5023,1,TL,1,100,2025-07-17_15-27-22-164981
1752780447.235412,437662.000,5026,1,TL,1,100,2025-07-17_15-27-27-231912
1752780452.335440,442762.000,5872,1,TL,1,100,2025-07-17_15-27-27-304835
1752780457.447468,447874.000,6727,1,TL,1,100,2025-07-17_15-27-32-341803
1752780457.453468,447880.000,6729,1,TL,1,100,2025-07-17_15-27-32-472682
1752780457.474468,447901.000,6732,1,TL,1,100,2025-07-17_15-27-37-459659
1752780462.558496,452985.000,7594,1,TL,1,100,2025-07-17_15-27-37-529647
1752780462.571496,452998.000,7597,1,TL,1,100,2025-07-17_15-27-42-564314
1752780467.665524,458092.000,8455,1,TL,1,100,2025-07-17_15-27-42-605218
1752780467.678524,458105.000,8458,1,TL,1,100,2025-07-17_15-27-47-674275
1752780472.787552,463214.000,9334,1,TL,1,100,2025-07-17_15-27-47-705114
1752780472.805552,463232.000,9337,1,TL,1,100,2025-07-17_15-27-52-798587
1752780477.895580,468322.000,10190,1,TL,1,100,2025-07-17_15-27-52-872298
1752780477.922580,468349.000,10193,1,TL,1,100,2025-07-17_15-27-57-910505
1752780483.030608,473457.000,11065,1,TL,1,100,2025-07-17_15-27-57-948704
1752780483.062608,473489.000,11068,1,TL,1,100,2025-07-17_15-28-03-038904
1752780488.138636,478565.000,11927,1,TL,1,100,2025-07-17_15-28-03-122866
1752780488.156636,478583.000,11930,1,TL,1,100,2025-07-17_15-28-08-148295
1752780493.270664,483697.000,12805,1,TL,1,100,2025-07-17_15-28-08-190260
1752780498.384692,488811.000,13668,1,TL,1,100,2025-07-17_15-28-13-277719
1752780498.388692,488815.000,13670,1,TL,1,100,2025-07-17_15-28-13-404785
1752780498.403692,488830.000,13673,1,TL,1,100,2025-07-17_15-28-18-395084
1752780503.492720,493919.000,14535,1,TL,1,100,2025-07-17_15-28-18-473357
1752780503.510720,493937.000,14538,1,TL,1,100,2025-07-17_15-28-23-506810
1752780508.600748,499027.000,15399,1,TL,1,100,2025-07-17_15-28-23-552960
1752780508.612748,499039.000,15402,1,TL,1,100,2025-07-17_15-28-28-605680
1752780513.723776,504150.000,16282,1,TL,1,100,2025-07-17_15-28-28-637518
1752780513.740776,504167.000,16285,1,TL,1,100,2025-07-17_15-28-33-732584
1752780518.832804,509259.000,17148,1,TL,1,100,2025-07-17_15-28-33-806684
1752780518.855804,509282.000,17151,1,TL,1,100,2025-07-17_15-28-38-849177
1752780523.941832,514368.000,18016,1,TL,1,100,2025-07-17_15-28-38-901068
1752780523.953832,514380.000,18019,1,TL,1,100,2025-07-17_15-28-43-946578
1752780529.067860,519494.000,18891,1,TL,1,100,2025-07-17_15-28-43-975251
1752780529.098860,519525.000,18894,1,TL,1,100,2025-07-17_15-28-49-078047
1752780534.178888,524605.000,19760,1,TL,1,100,2025-07-17_15-28-49-149122
1752780534.233888,524660.000,19763,1,TL,1,100,2025-07-17_15-28-54-185283
1752780539.285916,529712.000,20628,1,TL,1,100,2025-07-17_15-28-54-262054
1752780539.297916,529724.000,20631,1,TL,1,100,2025-07-17_15-28-59-291224
1752780544.410944,534837.000,21505,1,TL,1,100,2025-07-17_15-28-59-328909
1752780544.421944,534848.000,21508,1,TL,1,100,2025-07-17_15-29-04-415987
1752780549.517972,539944.000,22372,1,TL,1,100,2025-07-17_15-29-04-504823
1752780549.529972,539956.000,22375,1,TL,1,100,2025-07-17_15-29-09-525826
1752780554.630000,545056.000,23239,1,TL,1,100,2025-07-17_15-29-09-572851
1752780554.644000,545070.000,23242,1,TL,1,100,2025-07-17_15-29-14-636234
1752780559.738028,550164.000,24042,1,TL,1,100,2025-07-17_15-29-14-667584
1752780559.762028,550188.000,24045,1,TL,1,100,2025-07-17_15-29-19-745302
1752780564.870056,555296.000,24910,1,TL,1,100,2025-07-17_15-29-19-785024
1752780564.884056,555310.000,24913,1,TL,1,100,2025-07-17_15-29-24-878766
1752780569.978084,560404.000,25757,1,TL,1,100,2025-07-17_15-29-24-954790
1752780570.002084,560428.000,25760,1,TL,1,100,2025-07-17_15-29-29-987903
1752780575.122112,565548.000,26616,1,TL,1,100,2025-07-17_15-29-30-026436
1752780575.138112,565564.000,26619,1,TL,1,100,2025-07-17_15-29-35-126662
1752780580.230140,570656.000,27457,1,TL,1,100,2025-07-17_15-29-35-213128
1752780580.241140,570667.000,27460,1,TL,1,100,2025-07-17_15-29-40-235317
1752780585.375168,575801.000,28312,1,TL,1,100,2025-07-17_15-29-40-288987
1752780585.395168,575821.000,28315,1,TL,1,100,2025-07-17_15-29-45-384322
1752780590.481196,580907.000,29149,1,TL,1,100,2025-07-17_15-29-45-454717
1752780590.493196,580919.000,29152,1,TL,1,100,2025-07-17_15-29-50-485878
1752780595.616224,586042.000,30004,1,TL,1,100,2025-07-17_15-29-50-533537
1752780595.626224,586052.000,30007,1,TL,1,100,2025-07-17_15-29-55-620606
1752780600.724252,591150.000,30843,1,TL,1,100,2025-07-17_15-29-55-696857
1752780600.733252,591159.000,30846,1,TL,1,100,2025-07-17_15-30-00-729019
1752780605.832280,596258.000,31680,1,TL,1,100,2025-07-17_15-30-00-768514
1752780605.866280,596292.000,31683,1,TL,1,100,2025-07-17_15-30-05-840598
1752780610.939308,601365.000,32520,1,TL,1,100,2025-07-17_15-30-05-889130
1752780610.959308,601385.000,32523,1,TL,1,100,2025-07-17_15-30-10-951137
1752780616.086336,606512.000,33373,1,TL,1,100,2025-07-17_15-30-10-979661
1752780616.104336,606530.000,33376,1,TL,1,100,2025-07-17_15-30-16-095882
1752780621.213364,611639.000,34211,1,TL,1,100,2025-07-17_15-30-16-221396
1752780621.229364,611655.000,34214,1,TL,1,100,2025-07-17_15-30-21-223918
1752780626.330392,616756.000,35048,1,TL,1,100,2025-07-17_15-30-21-351435
1752780626.339392,616765.000,35051,1,TL,1,100,2025-07-17_15-30-26-334802
1752780631.463420,621889.000,35889,1,TL,1,100,2025-07-17_15-30-26-461410
1752780631.478420,621904.000,35892,1,TL,1,100,2025-07-17_15-30-31-473160
1752780636.582448,627008.000,36729,1,TL,1,100,2025-07-17_15-30-31-618272
1752780636.597448,627023.000,36732,1,TL,1,100,2025-07-17_15-30-36-588882
1752780641.702476,632128.000,37566,1,TL,1,100,2025-07-17_15-30-36-713023
1752780641.736476,632162.000,37569,1,TL,1,100,2025-07-17_15-30-41-720087
1752780646.814504,637240.000,38406,1,TL,1,100,2025-07-17_15-30-41-834456
1752780646.823504,637249.000,38409,1,TL,1,100,2025-07-17_15-30-46-819325
1752780651.934532,642360.000,39246,1,TL,1,100,2025-07-17_15-30-46-950714
1752780651.945532,642371.000,39249,1,TL,1,100,2025-07-17_15-30-51-942162
1752780657.042560,647468.000,39639,1,TL,1,100,2025-07-17_15-30-52-067673
1752780662.181588,652607.000,40477,1,TL,1,100,2025-07-17_15-30-57-052840
1752780662.184588,652610.000,40479,1,TL,1,100,2025-07-17_15-30-57-183986
1752780662.195588,652621.000,40482,1,TL,1,100,2025-07-17_15-31-02-189392
1752780667.305616,657731.000,41318,1,TL,1,100,2025-07-17_15-31-02-320120
1752780667.320616,657746.000,41321,1,TL,1,100,2025-07-17_15-31-07-312382
1752780672.419644,662845.000,42159,1,TL,1,100,2025-07-17_15-31-07-441294
1752780672.458644,662884.000,42162,1,TL,1,100,2025-07-17_15-31-12-432413
1752780677.534672,667960.000,42997,1,TL,1,100,2025-07-17_15-31-12-551268
1752780677.592672,668018.000,43000,1,TL,1,100,2025-07-17_15-31-17-542596
1752780682.658700,673084.000,43838,1,TL,1,100,2025-07-17_15-31-17-669773
1752780687.790728,678216.000,44676,1,TL,1,100,2025-07-17_15-31-22-663711
1752780687.793728,678219.000,44678,1,TL,1,100,2025-07-17_15-31-22-801394
1752780687.803728,678229.000,44681,1,TL,1,100,2025-07-17_15-31-27-798612
1752780692.923756,683349.000,45516,1,TL,1,100,2025-07-17_15-31-27-922903
1752780692.936756,683362.000,45519,1,TL,1,100,2025-07-17_15-31-32-930698
1752780698.036784,688462.000,46358,1,TL,1,100,2025-07-17_15-31-33-063652
1752780698.049784,688475.000,46361,1,TL,1,100,2025-07-17_15-31-38-044854
1752780703.156812,693582.000,47196,1,TL,1,100,2025-07-17_15-31-38-170133
1752780703.183812,693609.000,47199,1,TL,1,100,2025-07-17_15-31-43-167391
1752780708.284840,698710.000,48037,1,TL,1,100,2025-07-17_15-31-43-291204
1752780708.328841,698754.000,48040,1,TL,1,100,2025-07-17_15-31-48-290769
1752780713.395868,703821.000,48874,1,TL,1,100,2025-07-17_15-31-48-414064
1752780713.407868,703833.000,48877,1,TL,1,100,2025-07-17_15-31-53-403578
1752780718.526896,708952.000,49714,1,TL,1,100,2025-07-17_15-31-53-538956
1752780718.538896,708964.000,49717,1,TL,1,100,2025-07-17_15-31-58-533943
1752780723.646924,714072.000,50554,1,TL,1,100,2025-07-17_15-31-58-665741
1752780723.656924,714082.000,50557,1,TL,1,100,2025-07-17_15-32-03-651645
1752780728.767952,719193.000,51391,1,TL,1,100,2025-07-17_15-32-03-786098
1752780728.789953,719215.000,51394,1,TL,1,100,2025-07-17_15-32-08-781219
1752780733.895981,724321.000,52233,1,TL,1,100,2025-07-17_15-32-08-909656
