RD,TS_received,TS_sent,AK,RoundTrip,
437655,437662,2025-07-17_15-27-27-231912,437666,7,
442763,447874,2025-07-17_15-27-32-341803,447875,5111,
447882,447901,2025-07-17_15-27-37-459659,447905,19,
452987,452998,2025-07-17_15-27-42-564314,453000,11,
458094,458105,2025-07-17_15-27-47-674275,458107,11,
463217,463232,2025-07-17_15-27-52-798587,463234,15,
468323,468349,2025-07-17_15-27-57-910505,468350,26,
473459,473489,2025-07-17_15-28-03-038904,473490,30,
478570,478583,2025-07-17_15-28-08-148295,478584,13,
483698,488811,2025-07-17_15-28-13-277719,488814,5113,
488817,488830,2025-07-17_15-28-18-395084,488831,13,
493920,493937,2025-07-17_15-28-23-506810,493941,17,
499028,499039,2025-07-17_15-28-28-605680,499040,11,
504155,504167,2025-07-17_15-28-33-732584,504168,12,
509261,509282,2025-07-17_15-28-38-849177,509286,21,
514370,514380,2025-07-17_15-28-43-946578,514381,10,
519499,519525,2025-07-17_15-28-49-078047,519526,26,
524607,524660,2025-07-17_15-28-54-185283,524662,53,
529714,529724,2025-07-17_15-28-59-291224,529725,10,
534839,534848,2025-07-17_15-29-04-415987,534849,9,
539949,539956,2025-07-17_15-29-09-525826,539957,7,
545058,545070,2025-07-17_15-29-14-636234,545071,12,
550166,550188,2025-07-17_15-29-19-745302,550189,22,
555298,555310,2025-07-17_15-29-24-878766,555311,12,
560407,560428,2025-07-17_15-29-29-987903,560429,21,
565550,565564,2025-07-17_15-29-35-126662,565565,14,
570658,570667,2025-07-17_15-29-40-235317,570668,9,
575802,575821,2025-07-17_15-29-45-384322,575822,19,
580908,580919,2025-07-17_15-29-50-485878,580920,11,
586043,586052,2025-07-17_15-29-55-620606,586053,9,
591152,591159,2025-07-17_15-30-00-729019,591160,7,
596260,596292,2025-07-17_15-30-05-840598,596293,32,
601370,601385,2025-07-17_15-30-10-951137,601386,15,
606517,606530,2025-07-17_15-30-16-095882,606531,13,
611641,611655,2025-07-17_15-30-21-223918,611656,14,
616757,616765,2025-07-17_15-30-26-334802,616769,8,
621891,621904,2025-07-17_15-30-31-473160,621905,13,
627010,627023,2025-07-17_15-30-36-588882,627024,13,
632130,632162,2025-07-17_15-30-41-720087,632163,32,
637242,637249,2025-07-17_15-30-46-819325,637251,7,
642362,642371,2025-07-17_15-30-51-942162,642372,9,
647474,652607,2025-07-17_15-30-57-052840,652608,5133,
652612,652621,2025-07-17_15-31-02-189392,652623,9,
657732,657746,2025-07-17_15-31-07-312382,657747,14,
662848,662884,2025-07-17_15-31-12-432413,662886,36,
667965,668018,2025-07-17_15-31-17-542596,668019,53,
673086,678216,2025-07-17_15-31-22-663711,678217,5130,
678221,678229,2025-07-17_15-31-27-798612,678230,8,
683351,683362,2025-07-17_15-31-32-930698,683363,11,
688464,688475,2025-07-17_15-31-38-044854,688476,11,
693584,693609,2025-07-17_15-31-43-167391,693610,25,
698713,698754,2025-07-17_15-31-48-290769,698755,41,
703823,703833,2025-07-17_15-31-53-403578,703835,10,
708954,708964,2025-07-17_15-31-58-533943,708965,10,
714074,714082,2025-07-17_15-32-03-651645,714083,8,
719199,719215,2025-07-17_15-32-08-781219,719216,16,
724323,724345,2025-07-17_15-32-13-900317,724346,22,
729439,729451,2025-07-17_15-32-19-018544,729452,12,
734572,734583,2025-07-17_15-32-24-150205,734584,11,
739685,739695,2025-07-17_15-32-29-263540,739696,10,
744805,744819,2025-07-17_15-32-34-388946,744823,14,
749932,749942,2025-07-17_15-32-39-510622,749943,10,
755050,755075,2025-07-17_15-32-44-627731,755077,25,
760173,760181,2025-07-17_15-32-49-750509,760182,8,
765283,765302,2025-07-17_15-32-54-871198,765303,19,
770410,770420,2025-07-17_15-32-59-988919,770421,10,
775539,775546,2025-07-17_15-33-05-117060,775547,7,
780675,780686,2025-07-17_15-33-10-254795,780687,11,
785794,785813,2025-07-17_15-33-15-383428,785814,19,
790918,790939,2025-07-17_15-33-20-499829,790940,21,
796047,796077,2025-07-17_15-33-25-625650,796078,30,
801170,801179,2025-07-17_15-33-30-749694,801180,9,
806286,806293,2025-07-17_15-33-35-863883,806297,7,
811393,811403,2025-07-17_15-33-40-971698,811404,10,
816522,816531,2025-07-17_15-33-46-100441,816536,9,
821630,821670,2025-07-17_15-33-51-210304,821671,40,
826737,826750,2025-07-17_15-33-56-319765,826751,13,
831866,831881,2025-07-17_15-34-01-449763,831882,15,
836967,836979,2025-07-17_15-34-06-549912,836980,12,
842102,842128,2025-07-17_15-34-11-682966,842129,26,
847213,847226,2025-07-17_15-34-16-793842,847227,13,
852605,852618,2025-07-17_15-34-22-188883,852619,13,
857747,857758,2025-07-17_15-34-27-326190,857759,11,
862855,862865,2025-07-17_15-34-32-434219,862866,10,
867993,868023,2025-07-17_15-34-37-582109,868025,30,
873097,873104,2025-07-17_15-34-42-675876,873105,7,
878244,878251,2025-07-17_15-34-47-822178,878252,7,
883351,883369,2025-07-17_15-34-52-937771,883370,18,
888493,888502,2025-07-17_15-34-58-071986,888503,9,
893600,893609,2025-07-17_15-35-03-180309,893610,9,
