LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1752787775.939388,76903.000,10186,1,BV,1,100,3.81
1752787780.939430,81903.000,11002,1,BV,1,100,3.80
1752787785.938471,86902.000,11844,1,BV,1,100,3.80
1752787790.938512,91902.000,12704,1,BV,1,100,3.81
1752787795.937553,96901.000,13546,1,BV,1,100,3.81
1752787800.937594,101901.000,14391,1,BV,1,100,3.81
1752787805.936636,106900.000,15212,1,BV,1,100,3.81
1752787810.936677,111900.000,16076,1,BV,1,100,3.81
1752787815.935718,116899.000,16923,1,BV,1,100,3.81
1752787820.935759,121899.000,17765,1,BV,1,100,3.81
1752787825.934801,126898.000,18611,1,BV,1,100,3.81
1752787830.934842,131898.000,19479,1,BV,1,100,3.81
1752787835.933883,136897.000,20327,1,BV,1,100,3.81
1752787840.933924,141897.000,21166,1,BV,1,100,3.81
1752787845.932965,146896.000,22019,1,BV,1,100,3.81
1752787850.933007,151896.000,22881,1,BV,1,100,3.82
1752787855.932048,156895.000,23732,1,BV,1,100,3.81
1752787860.932089,161895.000,24459,1,BV,1,100,3.81
1752787865.931130,166894.000,24959,1,BV,1,100,3.81
1752787870.931171,171894.000,25798,1,BV,1,100,3.81
1752787875.930213,176893.000,26662,1,BV,1,100,3.81
1752787880.930254,181893.000,27513,1,BV,1,100,3.81
1752787885.929295,186892.000,28359,1,BV,1,100,3.81
1752787890.929336,191892.000,29199,1,BV,1,100,3.82
1752787895.928378,196891.000,30061,1,BV,1,100,3.82
1752787900.928419,201891.000,30911,1,BV,1,100,3.82
1752787905.927460,206890.000,31747,1,BV,1,100,3.82
1752787910.927501,211890.000,32607,1,BV,1,100,3.82
1752787915.926542,216889.000,33441,1,BV,1,100,3.82
1752787920.926584,221889.000,34284,1,BV,1,100,3.82
1752787925.925625,226888.000,35111,1,BV,1,100,3.82
1752787930.925666,231888.000,35955,1,BV,1,100,3.82
1752787935.924707,236887.000,36794,1,BV,1,100,3.82
1752787940.924748,241887.000,37637,1,BV,1,100,3.82
1752787945.923790,246886.000,38474,1,BV,1,100,3.82
1752787950.923831,251886.000,39303,1,BV,1,100,3.82
1752787955.922872,256885.000,40151,1,BV,1,100,3.82
