LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1752787775.939388,76903.000,10187,1,B%,1,100,62
1752787780.939430,81903.000,11003,1,B%,1,100,62
1752787785.938471,86902.000,11845,1,B%,1,100,62
1752787790.938512,91902.000,12705,1,B%,1,100,62
1752787795.937553,96901.000,13547,1,B%,1,100,62
1752787800.937594,101901.000,14392,1,B%,1,100,62
1752787805.936636,106900.000,15213,1,B%,1,100,62
1752787810.936677,111900.000,16077,1,B%,1,100,62
1752787815.935718,116899.000,16924,1,B%,1,100,62
1752787820.935759,121899.000,17766,1,B%,1,100,62
1752787825.934801,126898.000,18612,1,B%,1,100,63
1752787830.934842,131898.000,19480,1,B%,1,100,63
1752787835.933883,136897.000,20328,1,B%,1,100,63
1752787840.933924,141897.000,21167,1,B%,1,100,63
1752787845.932965,146896.000,22020,1,B%,1,100,63
1752787850.933007,151896.000,22882,1,B%,1,100,64
1752787855.932048,156895.000,23733,1,B%,1,100,63
1752787860.932089,161895.000,24460,1,B%,1,100,63
1752787865.931130,166894.000,24960,1,B%,1,100,63
1752787870.931171,171894.000,25799,1,B%,1,100,63
1752787875.930213,176893.000,26663,1,B%,1,100,63
1752787880.930254,181893.000,27514,1,B%,1,100,63
1752787885.929295,186892.000,28360,1,B%,1,100,63
1752787890.929336,191892.000,29200,1,B%,1,100,63
1752787895.928378,196891.000,30062,1,B%,1,100,64
1752787900.928419,201891.000,30912,1,B%,1,100,63
1752787905.927460,206890.000,31748,1,B%,1,100,64
1752787910.927501,211890.000,32608,1,B%,1,100,64
1752787915.926542,216889.000,33442,1,B%,1,100,64
1752787920.926584,221889.000,34285,1,B%,1,100,64
1752787925.925625,226888.000,35112,1,B%,1,100,64
1752787930.925666,231888.000,35956,1,B%,1,100,63
1752787935.924707,236887.000,36795,1,B%,1,100,64
1752787940.924748,241887.000,37638,1,B%,1,100,64
1752787945.923790,246886.000,38475,1,B%,1,100,64
1752787950.923831,251886.000,39304,1,B%,1,100,63
1752787955.922872,256885.000,40152,1,B%,1,100,64
1752787960.922913,261885.000,40998,1,B%,1,100,64
1752787965.921955,266884.000,41839,1,B%,1,100,64
1752787970.921996,271884.000,42684,1,B%,1,100,64
1752787975.921037,276883.000,43523,1,B%,1,100,64
1752787980.921078,281883.000,44372,1,B%,1,100,64
1752787985.920119,286882.000,45203,1,B%,1,100,65
1752787990.920161,291882.000,46047,1,B%,1,100,64
1752787995.919202,296881.000,46895,1,B%,1,100,64
1752788000.919243,301881.000,47741,1,B%,1,100,64
1752788005.918284,306880.000,48594,1,B%,1,100,64
1752788010.918325,311880.000,49419,1,B%,1,100,64
1752788015.917367,316879.000,50263,1,B%,1,100,65
1752788020.917408,321879.000,51109,1,B%,1,100,65
1752788025.916449,326878.000,51947,1,B%,1,100,65
1752788030.916490,331878.000,52794,1,B%,1,100,64
1752788035.915532,336877.000,53617,1,B%,1,100,65
1752788040.915573,341877.000,54462,1,B%,1,100,65
1752788045.914614,346876.000,55301,1,B%,1,100,65
1752788050.914655,351876.000,56139,1,B%,1,100,65
1752788055.913696,356875.000,56962,1,B%,1,100,65
1752788060.913738,361875.000,57798,1,B%,1,100,65
1752788065.912779,366874.000,58636,1,B%,1,100,65
1752788070.912820,371874.000,59206,1,B%,1,100,65
1752788075.911861,376873.000,60037,1,B%,1,100,65
1752788080.911902,381873.000,60864,1,B%,1,100,65
1752788085.910944,386872.000,61675,1,B%,1,100,65
1752788090.910985,391872.000,62502,1,B%,1,100,66
1752788095.910026,396871.000,63329,1,B%,1,100,66
1752788100.910067,401871.000,64154,1,B%,1,100,66
1752788105.909109,406870.000,64967,1,B%,1,100,66
1752788110.909150,411870.000,260,1,B%,1,100,66
1752788115.908191,416869.000,1086,1,B%,1,100,66
1752788120.908232,421869.000,1932,1,B%,1,100,66
1752788125.907273,426868.000,2757,1,B%,1,100,66
1752788130.907315,431868.000,3579,1,B%,1,100,66
1752788135.906356,436867.000,4404,1,B%,1,100,66
1752788140.906397,441867.000,5227,1,B%,1,100,67
1752788145.905438,446866.000,6067,1,B%,1,100,67
1752788150.905479,451866.000,6896,1,B%,1,100,67
1752788155.904521,456865.000,7701,1,B%,1,100,67
1752788160.904562,461865.000,8547,1,B%,1,100,67
1752788165.903603,466864.000,9370,1,B%,1,100,67
1752788170.903644,471864.000,10193,1,B%,1,100,67
1752788175.902686,476863.000,11054,1,B%,1,100,67
1752788180.902727,481863.000,11906,1,B%,1,100,67
1752788185.901768,486862.000,12745,1,B%,1,100,67
1752788190.901809,491862.000,13579,1,B%,1,100,67
1752788195.900850,496861.000,14421,1,B%,1,100,68
1752788200.900892,501861.000,15247,1,B%,1,100,67
1752788205.899933,506860.000,16070,1,B%,1,100,67
1752788210.899974,511860.000,16891,1,B%,1,100,68
1752788215.899015,516859.000,17733,1,B%,1,100,67
1752788220.899056,521859.000,18544,1,B%,1,100,68
1752788225.898098,526858.000,19369,1,B%,1,100,68
1752788230.898139,531858.000,20209,1,B%,1,100,68
1752788235.897180,536857.000,21034,1,B%,1,100,68
1752788240.897221,541857.000,21856,1,B%,1,100,68
1752788245.896263,546856.000,22682,1,B%,1,100,68
1752788250.896304,551856.000,23522,1,B%,1,100,68
1752788255.895345,556855.000,24322,1,B%,1,100,68
1752788260.895386,561855.000,25147,1,B%,1,100,69
1752788265.894427,566854.000,25972,1,B%,1,100,69
1752788270.894469,571854.000,26812,1,B%,1,100,69
1752788275.893510,576853.000,27635,1,B%,1,100,69
1752788280.893551,581853.000,28461,1,B%,1,100,69
1752788285.892592,586852.000,29281,1,B%,1,100,68
1752788290.892633,591852.000,30061,1,B%,1,100,69
1752788295.891675,596851.000,30891,1,B%,1,100,69
1752788300.891716,601851.000,31761,1,B%,1,100,69
1752788305.890757,606850.000,32597,1,B%,1,100,69
1752788310.890798,611850.000,33412,1,B%,1,100,70
1752788315.889840,616849.000,34234,1,B%,1,100,69
1752788320.889881,621849.000,35058,1,B%,1,100,70
1752788325.888922,626848.000,35867,1,B%,1,100,69
1752788330.888963,631848.000,36695,1,B%,1,100,70
1752788335.888004,636847.000,37517,1,B%,1,100,70
1752788340.888046,641847.000,38344,1,B%,1,100,70
1752788345.887087,646846.000,39166,1,B%,1,100,70
1752788350.887128,651846.000,39972,1,B%,1,100,70
1752788355.886169,656845.000,40799,1,B%,1,100,70
1752788360.886210,661845.000,41622,1,B%,1,100,71
1752788365.885252,666844.000,42447,1,B%,1,100,70
1752788370.885293,671844.000,43254,1,B%,1,100,71
1752788375.884334,676843.000,44080,1,B%,1,100,70
1752788380.884375,681843.000,44906,1,B%,1,100,70
1752788385.883417,686842.000,45727,1,B%,1,100,71
1752788390.883458,691842.000,46554,1,B%,1,100,71
1752788395.882499,696841.000,47371,1,B%,1,100,71
1752788400.882540,701841.000,48196,1,B%,1,100,71
1752788405.881581,706840.000,49003,1,B%,1,100,71
1752788410.881623,711840.000,49825,1,B%,1,100,71
1752788415.880664,716839.000,50664,1,B%,1,100,71
1752788420.880705,721839.000,51514,1,B%,1,100,71
1752788425.879746,726838.000,52360,1,B%,1,100,71
1752788430.879787,731838.000,53164,1,B%,1,100,71
1752788435.878829,736837.000,53992,1,B%,1,100,72
1752788440.878870,741837.000,54817,1,B%,1,100,71
1752788445.877911,746836.000,55639,1,B%,1,100,72
1752788450.877952,751836.000,56446,1,B%,1,100,72
1752788455.876994,756835.000,57274,1,B%,1,100,72
1752788460.877035,761835.000,58096,1,B%,1,100,72
1752788465.876076,766834.000,58921,1,B%,1,100,72
1752788470.876117,771834.000,59745,1,B%,1,100,72
1752788475.875158,776833.000,60554,1,B%,1,100,73
1752788480.875200,781833.000,61380,1,B%,1,100,72
1752788485.874241,786832.000,62202,1,B%,1,100,72
1752788490.874282,791832.000,63029,1,B%,1,100,72
1752788495.873323,796831.000,63834,1,B%,1,100,73
1752788500.873364,801831.000,64595,1,B%,1,100,72
1752788505.872406,806830.000,65420,1,B%,1,100,73
1752788510.872447,811830.000,726,1,B%,1,100,73
1752788515.871488,816829.000,1550,1,B%,1,100,73
1752788520.871529,821829.000,2375,1,B%,1,100,73
1752788525.870571,826828.000,3200,1,B%,1,100,73
1752788530.870612,831828.000,4040,1,B%,1,100,73
1752788535.869653,836827.000,4869,1,B%,1,100,73
1752788540.869694,841827.000,5694,1,B%,1,100,73
1752788545.868735,846826.000,6519,1,B%,1,100,73
1752788550.868777,851826.000,7359,1,B%,1,100,73
1752788555.867818,856825.000,8181,1,B%,1,100,73
