LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1752787775.373384,76337.000,10071,10,EA,1,100,0.043054
1752787775.373384,76337.000,10071,10,EA,1,100,0.043163
1752787775.373384,76337.000,10071,10,EA,1,100,0.043294
1752787775.373384,76337.000,10071,10,EA,1,100,0.043380
1752787775.373384,76337.000,10071,10,EA,1,100,0.043461
1752787775.373384,76337.000,10071,10,EA,1,100,0.043553
1752787775.373384,76337.000,10071,10,EA,1,100,0.043658
1752787775.373384,76337.000,10071,10,EA,1,100,0.043772
1752787775.373384,76337.000,10071,10,EA,1,100,0.043903
1752787775.373384,76337.000,10071,10,EA,1,100,0.044029
1752787775.439884,76403.500,10091,2,EA,1,100,0.044121
1752787775.506385,76470.000,10091,2,EA,1,100,0.044204
1752787775.573385,76537.000,10109,1,EA,1,100,0.044304
1752787775.640386,76604.000,10124,1,EA,1,100,0.044411
1752787775.706886,76670.500,10141,2,EA,1,100,0.044503
1752787775.773387,76737.000,10141,2,EA,1,100,0.044595
1752787775.840388,76804.000,10157,1,EA,1,100,0.044710
1752787775.906888,76870.500,10173,2,EA,1,100,0.044811
1752787775.973389,76937.000,10173,2,EA,1,100,0.044906
1752787776.040056,77003.667,10197,3,EA,1,100,0.045010
1752787776.106723,77070.333,10197,3,EA,1,100,0.045113
1752787776.173390,77137.000,10197,3,EA,1,100,0.045218
1752787776.239891,77203.500,10216,2,EA,1,100,0.045312
1752787776.306391,77270.000,10216,2,EA,1,100,0.045373
1752787776.373392,77337.000,10233,1,EA,1,100,0.045275
1752787776.439893,77403.500,10247,2,EA,1,100,0.045276
1752787776.506393,77470.000,10247,2,EA,1,100,0.045542
1752787776.573394,77537.000,10264,1,EA,1,100,0.045763
1752787776.639894,77603.500,10281,2,EA,1,100,0.045914
1752787776.706395,77670.000,10281,2,EA,1,100,0.046056
1752787776.773395,77737.000,10298,1,EA,1,100,0.046201
1752787776.839896,77803.500,10314,2,EA,1,100,0.046322
1752787776.906396,77870.000,10314,2,EA,1,100,0.046440
1752787776.973397,77937.000,10332,1,EA,1,100,0.046559
1752787777.039897,78003.500,10348,2,EA,1,100,0.046663
1752787777.106398,78070.000,10348,2,EA,1,100,0.046770
1752787777.173399,78137.000,10365,1,EA,1,100,0.046911
1752787777.239899,78203.500,10380,2,EA,1,100,0.047060
1752787777.306400,78270.000,10380,2,EA,1,100,0.047195
1752787777.373400,78337.000,10397,1,EA,1,100,0.047339
1752787777.439901,78403.500,10415,2,EA,1,100,0.047465
1752787777.506401,78470.000,10415,2,EA,1,100,0.047595
1752787777.573402,78537.000,10432,1,EA,1,100,0.047720
1752787777.639902,78603.500,10449,2,EA,1,100,0.047820
1752787777.706403,78670.000,10449,2,EA,1,100,0.047888
1752787777.773404,78737.000,10466,1,EA,1,100,0.047948
1752787777.839904,78803.500,10482,2,EA,1,100,0.048040
1752787777.906405,78870.000,10482,2,EA,1,100,0.048150
1752787777.973405,78937.000,10500,1,EA,1,100,0.048259
1752787778.039906,79003.500,10515,2,EA,1,100,0.048355
1752787778.106406,79070.000,10515,2,EA,1,100,0.048482
1752787778.173407,79137.000,10533,1,EA,1,100,0.048599
