LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1752787775.373384,76337.000,10072,10,EL,1,100,12758.599609
1752787775.373384,76337.000,10072,10,EL,1,100,12676.400391
1752787775.373384,76337.000,10072,10,EL,1,100,12578.799805
1752787775.373384,76337.000,10072,10,EL,1,100,12515.400391
1752787775.373384,76337.000,10072,10,EL,1,100,12455.200195
1752787775.373384,76337.000,10072,10,EL,1,100,12387.799805
1752787775.373384,76337.000,10072,10,EL,1,100,12311.000000
1752787775.373384,76337.000,10072,10,EL,1,100,12228.000000
1752787775.373384,76337.000,10072,10,EL,1,100,12133.000000
1752787775.373384,76337.000,10072,10,EL,1,100,12042.400391
1752787775.439884,76403.500,10092,2,EL,1,100,11976.400391
1752787775.506385,76470.000,10092,2,EL,1,100,11916.799805
1752787775.573385,76537.000,10110,1,EL,1,100,11845.799805
1752787775.640386,76604.000,10125,1,EL,1,100,11770.400391
1752787775.706886,76670.500,10142,2,EL,1,100,11705.200195
1752787775.773387,76737.000,10142,2,EL,1,100,11641.000000
1752787775.840388,76804.000,10158,1,EL,1,100,11560.400391
1752787775.906888,76870.500,10174,2,EL,1,100,11490.200195
1752787775.973389,76937.000,10174,2,EL,1,100,11424.400391
1752787776.040056,77003.667,10198,3,EL,1,100,11352.799805
1752787776.106723,77070.333,10198,3,EL,1,100,11282.599609
1752787776.173390,77137.000,10198,3,EL,1,100,11210.799805
1752787776.239891,77203.500,10217,2,EL,1,100,11146.799805
1752787776.306391,77270.000,10217,2,EL,1,100,11105.599609
1752787776.373392,77337.000,10234,1,EL,1,100,11172.000000
1752787776.439893,77403.500,10248,2,EL,1,100,11171.400391
1752787776.506393,77470.000,10248,2,EL,1,100,10991.799805
1752787776.573394,77537.000,10265,1,EL,1,100,10843.799805
1752787776.639894,77603.500,10282,2,EL,1,100,10743.599609
1752787776.706395,77670.000,10282,2,EL,1,100,10650.599609
1752787776.773395,77737.000,10299,1,EL,1,100,10555.599609
1752787776.839896,77803.500,10315,2,EL,1,100,10476.400391
1752787776.906396,77870.000,10315,2,EL,1,100,10400.200195
1752787776.973397,77937.000,10333,1,EL,1,100,10323.599609
1752787777.039897,78003.500,10349,2,EL,1,100,10256.799805
1752787777.106398,78070.000,10349,2,EL,1,100,10188.599609
1752787777.173399,78137.000,10366,1,EL,1,100,10099.000000
1752787777.239899,78203.500,10381,2,EL,1,100,10005.200195
1752787777.306400,78270.000,10381,2,EL,1,100,9920.599609
