LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1752787775.589386,76553.000,10105,4,EM,1,100,RS
1752787775.589386,76553.000,10105,4,EM,1,100,RB
1752787775.589386,76553.000,10105,4,EM,1,100,2025-07-17_17-29-34-069561.csv
1752787775.589386,76553.000,10105,4,EM,1,100,PS
1752787775.639636,76603.250,10137,4,EM,1,100,RS
1752787775.689886,76653.500,10137,4,EM,1,100,RB
1752787775.740137,76703.750,10137,4,EM,1,100,2025-07-17_17-29-34-069561.csv
1752787775.790387,76754.000,10137,4,EM,1,100,PS
1752787775.840638,76804.250,10168,4,EM,1,100,RS
1752787775.890888,76854.500,10168,4,EM,1,100,RB
1752787775.941138,76904.750,10168,4,EM,1,100,2025-07-17_17-29-34-069561.csv
1752787775.991389,76955.000,10168,4,EM,1,100,PS
1752787776.044389,77008.000,10191,4,EM,1,100,RS
1752787776.097390,77061.000,10191,4,EM,1,100,RB
1752787776.150390,77114.000,10191,4,EM,1,100,2025-07-17_17-29-34-069561.csv
1752787776.203391,77167.000,10191,4,EM,1,100,PS
1752787776.253391,77217.000,10229,4,EM,1,100,RS
1752787776.303391,77267.000,10229,4,EM,1,100,RB
1752787776.353392,77317.000,10229,4,EM,1,100,2025-07-17_17-29-34-069561.csv
1752787776.403392,77367.000,10229,4,EM,1,100,PS
1752787776.453643,77417.250,10260,4,EM,1,100,RS
1752787776.503893,77467.500,10260,4,EM,1,100,RB
1752787776.554143,77517.750,10260,4,EM,1,100,2025-07-17_17-29-34-069561.csv
1752787776.604394,77568.000,10260,4,EM,1,100,PS
1752787776.654644,77618.250,10294,4,EM,1,100,RS
1752787776.704895,77668.500,10294,4,EM,1,100,RB
1752787776.755145,77718.750,10294,4,EM,1,100,2025-07-17_17-29-34-069561.csv
1752787776.805396,77769.000,10294,4,EM,1,100,PS
1752787776.855646,77819.250,10327,4,EM,1,100,RS
1752787776.905896,77869.500,10327,4,EM,1,100,RB
1752787776.956147,77919.750,10327,4,EM,1,100,2025-07-17_17-29-34-069561.csv
1752787777.006397,77970.000,10327,4,EM,1,100,PS
1752787777.056648,78020.250,10361,4,EM,1,100,RS
1752787777.106898,78070.500,10361,4,EM,1,100,RB
1752787777.157148,78120.750,10361,4,EM,1,100,2025-07-17_17-29-34-069561.csv
1752787777.207399,78171.000,10361,4,EM,1,100,PS
1752787777.257649,78221.250,10393,4,EM,1,100,RS
1752787777.307900,78271.500,10393,4,EM,1,100,RB
1752787777.358150,78321.750,10393,4,EM,1,100,2025-07-17_17-29-34-069561.csv
1752787777.408401,78372.000,10393,4,EM,1,100,PS
1752787777.458651,78422.250,10428,4,EM,1,100,RS
1752787777.508901,78472.500,10428,4,EM,1,100,RB
1752787777.559152,78522.750,10428,4,EM,1,100,2025-07-17_17-29-34-069561.csv
1752787777.609402,78573.000,10428,4,EM,1,100,PS
1752787777.660903,78624.500,10462,4,EM,1,100,RS
1752787777.712403,78676.000,10462,4,EM,1,100,RB
1752787777.763903,78727.500,10462,4,EM,1,100,2025-07-17_17-29-34-069561.csv
1752787777.815404,78779.000,10462,4,EM,1,100,PS
1752787777.865404,78829.000,10495,4,EM,1,100,RS
1752787777.915405,78879.000,10495,4,EM,1,100,RB
1752787777.965405,78929.000,10495,4,EM,1,100,2025-07-17_17-29-34-069561.csv
1752787778.015406,78979.000,10495,4,EM,1,100,PS
1752787778.065656,79029.250,10527,4,EM,1,100,RS
1752787778.115906,79079.500,10527,4,EM,1,100,RB
1752787778.166157,79129.750,10527,4,EM,1,100,2025-07-17_17-29-34-069561.csv
1752787778.216407,79180.000,10527,4,EM,1,100,PS
