LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1752787775.414384,76378.000,10080,17,GZ,1,100,0.702
1752787775.414384,76378.000,10080,17,GZ,1,100,1.282
1752787775.414384,76378.000,10080,17,GZ,1,100,0.671
1752787775.414384,76378.000,10080,17,GZ,1,100,-0.458
1752787775.414384,76378.000,10080,17,GZ,1,100,0.153
1752787775.414384,76378.000,10080,17,GZ,1,100,1.190
1752787775.414384,76378.000,10080,17,GZ,1,100,1.190
1752787775.414384,76378.000,10080,17,GZ,1,100,0.702
1752787775.414384,76378.000,10080,17,GZ,1,100,-0.397
1752787775.414384,76378.000,10080,17,GZ,1,100,-0.366
1752787775.414384,76378.000,10080,17,GZ,1,100,0.183
1752787775.414384,76378.000,10080,17,GZ,1,100,0.061
1752787775.414384,76378.000,10080,17,GZ,1,100,-0.824
1752787775.414384,76378.000,10080,17,GZ,1,100,-0.854
1752787775.414384,76378.000,10080,17,GZ,1,100,-0.092
1752787775.414384,76378.000,10080,17,GZ,1,100,0.763
1752787775.414384,76378.000,10080,17,GZ,1,100,1.007
1752787775.454384,76418.000,10100,3,GZ,1,100,1.282
1752787775.494385,76458.000,10100,3,GZ,1,100,1.068
1752787775.534385,76498.000,10100,3,GZ,1,100,0.549
1752787775.574385,76538.000,10116,1,GZ,1,100,0.244
1752787775.614386,76578.000,10133,3,GZ,1,100,0.244
1752787775.654386,76618.000,10133,3,GZ,1,100,0.336
1752787775.694386,76658.000,10133,3,GZ,1,100,0.397
1752787775.734387,76698.000,10150,2,GZ,1,100,0.275
1752787775.774387,76738.000,10150,2,GZ,1,100,0.366
1752787775.814387,76778.000,10164,3,GZ,1,100,0.549
1752787775.854388,76818.000,10164,3,GZ,1,100,0.366
1752787775.894388,76858.000,10164,3,GZ,1,100,0.092
1752787775.934388,76898.000,10182,2,GZ,1,100,0.549
1752787775.974389,76938.000,10182,2,GZ,1,100,0.732
1752787776.012222,76975.833,10206,6,GZ,1,100,0.031
1752787776.050056,77013.667,10206,6,GZ,1,100,-0.092
1752787776.087890,77051.500,10206,6,GZ,1,100,0.641
1752787776.125723,77089.333,10206,6,GZ,1,100,0.519
1752787776.163557,77127.167,10206,6,GZ,1,100,0.214
1752787776.201391,77165.000,10206,6,GZ,1,100,0.366
1752787776.241391,77205.000,10225,2,GZ,1,100,0.549
1752787776.281391,77245.000,10225,2,GZ,1,100,0.488
1752787776.321392,77285.000,10240,3,GZ,1,100,0.214
1752787776.361392,77325.000,10240,3,GZ,1,100,0.153
1752787776.401392,77365.000,10240,3,GZ,1,100,0.671
1752787776.441393,77405.000,10256,2,GZ,1,100,0.732
1752787776.481393,77445.000,10256,2,GZ,1,100,0.854
1752787776.521393,77485.000,10273,3,GZ,1,100,0.092
1752787776.561394,77525.000,10273,3,GZ,1,100,-0.824
1752787776.601394,77565.000,10273,3,GZ,1,100,-1.953
1752787776.641394,77605.000,10290,2,GZ,1,100,-3.510
1752787776.681395,77645.000,10290,2,GZ,1,100,-7.141
1752787776.721395,77685.000,10305,3,GZ,1,100,-10.620
1752787776.761395,77725.000,10305,3,GZ,1,100,-11.688
1752787776.801396,77765.000,10305,3,GZ,1,100,-12.146
1752787776.841396,77805.000,10323,3,GZ,1,100,-11.902
1752787776.881396,77845.000,10323,3,GZ,1,100,-11.993
1752787776.921397,77885.000,10323,3,GZ,1,100,-11.200
1752787776.961397,77925.000,10341,2,GZ,1,100,-7.751
1752787777.001397,77965.000,10341,2,GZ,1,100,-4.822
1752787777.041397,78005.000,10357,3,GZ,1,100,-3.204
1752787777.081398,78045.000,10357,3,GZ,1,100,-1.434
1752787777.121398,78085.000,10357,3,GZ,1,100,-1.678
1752787777.161398,78125.000,10372,2,GZ,1,100,-1.984
1752787777.201399,78165.000,10372,2,GZ,1,100,-1.129
1752787777.241399,78205.000,10389,3,GZ,1,100,-0.916
1752787777.281399,78245.000,10389,3,GZ,1,100,-0.885
1752787777.321400,78285.000,10389,3,GZ,1,100,-1.251
1752787777.361400,78325.000,10406,2,GZ,1,100,-2.838
1752787777.401400,78365.000,10406,2,GZ,1,100,-3.723
1752787777.441401,78405.000,10424,3,GZ,1,100,-3.540
1752787777.481401,78445.000,10424,3,GZ,1,100,-3.082
1752787777.521401,78485.000,10424,3,GZ,1,100,-2.411
1752787777.561402,78525.000,10439,2,GZ,1,100,-2.625
1752787777.601402,78565.000,10439,2,GZ,1,100,-2.411
1752787777.641402,78605.000,10458,3,GZ,1,100,-2.106
1752787777.681403,78645.000,10458,3,GZ,1,100,-1.770
1752787777.721403,78685.000,10458,3,GZ,1,100,0.122
1752787777.761403,78725.000,10475,2,GZ,1,100,1.434
1752787777.801404,78765.000,10475,2,GZ,1,100,1.831
1752787777.841404,78805.000,10491,3,GZ,1,100,1.343
1752787777.881404,78845.000,10491,3,GZ,1,100,0.854
1752787777.921405,78885.000,10491,3,GZ,1,100,1.404
1752787777.961405,78925.000,10508,2,GZ,1,100,1.617
1752787778.001405,78965.000,10508,2,GZ,1,100,1.312
1752787778.041406,79005.000,10523,3,GZ,1,100,0.885
1752787778.081406,79045.000,10523,3,GZ,1,100,0.366
1752787778.121406,79085.000,10523,3,GZ,1,100,-0.397
1752787778.161407,79125.000,10542,2,GZ,1,100,-0.305
1752787778.201407,79165.000,10542,2,GZ,1,100,0.244
1752787778.241407,79205.000,10561,3,GZ,1,100,1.007
1752787778.281408,79245.000,10561,3,GZ,1,100,1.801
1752787778.321408,79285.000,10561,3,GZ,1,100,1.770
1752787778.361408,79325.000,10578,3,GZ,1,100,1.038
1752787778.401409,79365.000,10578,3,GZ,1,100,0.946
1752787778.441409,79405.000,10578,3,GZ,1,100,1.587
1752787778.481409,79445.000,10592,2,GZ,1,100,1.373
1752787778.521410,79485.000,10592,2,GZ,1,100,0.366
1752787778.561410,79525.000,10610,3,GZ,1,100,1.007
1752787778.601410,79565.000,10610,3,GZ,1,100,4.944
1752787778.641411,79605.000,10610,3,GZ,1,100,12.665
1752787778.681411,79645.000,10626,2,GZ,1,100,16.327
1752787778.721411,79685.000,10626,2,GZ,1,100,12.054
1752787778.761412,79725.000,10645,3,GZ,1,100,6.744
1752787778.801412,79765.000,10645,3,GZ,1,100,3.540
1752787778.841412,79805.000,10645,3,GZ,1,100,1.251
1752787778.881413,79845.000,10659,2,GZ,1,100,-0.763
1752787778.921413,79885.000,10659,2,GZ,1,100,-0.671
1752787778.961413,79925.000,10677,3,GZ,1,100,0.061
1752787779.001414,79965.000,10677,3,GZ,1,100,0.061
1752787779.041414,80005.000,10677,3,GZ,1,100,-0.122
1752787779.081414,80045.000,10693,2,GZ,1,100,-0.031
1752787779.121415,80085.000,10693,2,GZ,1,100,-0.610
1752787779.161415,80125.000,10710,3,GZ,1,100,-0.885
1752787779.201415,80165.000,10710,3,GZ,1,100,-3.174
1752787779.241416,80205.000,10710,3,GZ,1,100,-6.470
1752787779.281416,80245.000,10725,2,GZ,1,100,-7.904
1752787779.321416,80285.000,10725,2,GZ,1,100,-9.460
1752787779.361417,80325.000,10744,3,GZ,1,100,-10.803
1752787779.401417,80365.000,10744,3,GZ,1,100,-10.925
1752787779.441417,80405.000,10744,3,GZ,1,100,-10.925
1752787779.481418,80445.000,10762,2,GZ,1,100,-7.385
1752787779.521418,80485.000,10762,2,GZ,1,100,-8.423
1752787779.561418,80525.000,10780,3,GZ,1,100,-9.308
