LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1752787774.881380,75845,10063,1,HR,1,100,90.18
1752787775.481385,76445,10085,1,HR,1,100,92.36
1752787776.161390,77125,10193,1,HR,1,100,91.45
1752787776.841396,77805,10310,1,HR,1,100,90.73
1752787777.521401,78485,10411,1,HR,1,100,90.18
1752787778.201407,79165,10529,1,HR,1,100,89.75
1752787778.841412,79805,10632,1,HR,1,100,90.64
1752787779.521418,80485,10749,1,HR,1,100,90.10
1752787780.134423,81098,10852,1,HR,1,100,92.30
1752787780.774428,81738,10951,1,HR,1,100,92.62
1752787781.454434,82418,11080,1,HR,1,100,91.65
1752787782.094439,83058,11179,1,HR,1,100,92.12
1752787782.734444,83698,11298,1,HR,1,100,92.48
1752787783.334449,84298,11399,1,HR,1,100,94.15
1752787783.894454,84858,11485,1,HR,1,100,97.04
1752787784.534459,85498,11586,1,HR,1,100,96.31
1752787785.187465,86151,11707,1,HR,1,100,95.74
1752787785.867470,86831,11827,1,HR,1,100,94.07
1752787786.547476,87511,11937,1,HR,1,100,92.77
1752787787.187481,88151,12054,1,HR,1,100,92.99
1752787787.866487,88830,12159,1,HR,1,100,91.93
1752787788.506492,89470,12275,1,HR,1,100,92.34
1752787789.186498,90150,12378,1,HR,1,100,91.43
1752787789.786503,90750,12481,1,HR,1,100,93.33
1752787790.440508,91404,12600,1,HR,1,100,93.42
1752787791.080513,92044,12707,1,HR,1,100,93.50
1752787791.719518,92683,12813,1,HR,1,100,93.55
1752787792.319523,93283,12915,1,HR,1,100,94.99
1752787792.919528,93883,13020,1,HR,1,100,96.10
1752787793.559534,94523,13123,1,HR,1,100,95.58
1752787794.239539,95203,13244,1,HR,1,100,93.95
1752787794.892545,95856,13364,1,HR,1,100,93.90
1752787795.572550,96536,13463,1,HR,1,100,92.64
1752787796.132555,97096,13566,1,HR,1,100,95.87
1752787796.772560,97736,13676,1,HR,1,100,95.40
1752787797.452566,98416,13794,1,HR,1,100,93.80
1752787798.052571,99016,13896,1,HR,1,100,95.18
1752787798.612575,99576,13982,1,HR,1,100,97.84
1752787799.132580,100096,14069,1,HR,1,100,101.74
1752787799.785585,100749,14186,1,HR,1,100,99.96
1752787800.305589,101269,14270,1,HR,1,100,103.39
1752787800.865594,101829,14356,1,HR,1,100,104.22
1752787801.385598,102349,14461,1,HR,1,100,106.70
1752787801.945603,102909,14532,1,HR,1,100,106.80
1752787802.505607,103469,14618,1,HR,1,100,106.88
1752787803.065612,104029,14721,1,HR,1,100,106.94
1752787803.625617,104589,14821,1,HR,1,100,106.98
1752787804.145621,105109,14910,1,HR,1,100,108.85
1752787804.838627,105802,15013,1,HR,1,100,104.27
1752787805.358631,106322,15114,1,HR,1,100,106.74
1752787806.038637,107002,15216,1,HR,1,100,102.63
1752787806.598641,107562,15320,1,HR,1,100,103.63
1752787807.238646,108202,15431,1,HR,1,100,101.43
1752787807.798651,108762,15532,1,HR,1,100,102.70
1752787808.358656,109322,15615,1,HR,1,100,103.69
1752787808.998661,109962,15720,1,HR,1,100,101.48
1752787809.611666,110575,15840,1,HR,1,100,101.15
1752787810.171671,111135,15924,1,HR,1,100,102.48
1752787810.811676,111775,16027,1,HR,1,100,100.54
1752787811.371681,112335,16130,1,HR,1,100,102.01
1752787812.011686,112975,16239,1,HR,1,100,100.17
1752787812.651691,113615,16342,1,HR,1,100,98.75
1752787813.291696,114255,16462,1,HR,1,100,97.64
1752787813.891701,114855,16565,1,HR,1,100,98.16
1752787814.504706,115468,16666,1,HR,1,100,98.57
1752787815.184712,116148,16769,1,HR,1,100,96.27
1752787815.824717,116788,16890,1,HR,1,100,95.71
1752787816.504723,117468,16991,1,HR,1,100,94.05
1752787817.184728,118148,17120,1,HR,1,100,92.76
1752787817.784733,118748,17221,1,HR,1,100,94.37
1752787818.383738,119347,17324,1,HR,1,100,95.62
1752787819.023744,119987,17424,1,HR,1,100,95.20
1752787819.637749,120601,17525,1,HR,1,100,96.27
1752787820.237754,121201,17626,1,HR,1,100,97.10
1752787820.837759,121801,17731,1,HR,1,100,97.74
1752787821.516764,122480,17850,1,HR,1,100,95.63
1752787822.237770,123201,17977,1,HR,1,100,92.90
1752787822.877775,123841,18080,1,HR,1,100,93.09
1752787823.476780,124440,18185,1,HR,1,100,94.62
1752787824.156786,125120,18302,1,HR,1,100,93.20
1752787824.849792,125813,18423,1,HR,1,100,92.10
1752787825.489797,126453,18527,1,HR,1,100,92.47
1752787826.129802,127093,18632,1,HR,1,100,92.75
1752787826.809808,127773,18751,1,HR,1,100,91.75
1752787827.449813,128413,18858,1,HR,1,100,92.19
1752787828.089818,129053,18983,1,HR,1,100,92.54
1752787828.649823,129613,19068,1,HR,1,100,95.78
1752787829.302828,130266,19186,1,HR,1,100,95.33
1752787829.902833,130866,19272,1,HR,1,100,96.37
1752787830.542839,131506,19392,1,HR,1,100,95.79
1752787831.102843,132066,19482,1,HR,1,100,98.31
1752787831.782849,132746,19600,1,HR,1,100,96.07
1752787832.382854,133346,19710,1,HR,1,100,96.94
1752787833.022859,133986,19810,1,HR,1,100,96.23
1752787833.622864,134586,19915,1,HR,1,100,97.07
1752787834.275869,135239,20034,1,HR,1,100,96.33
1752787834.915875,135879,20139,1,HR,1,100,95.76
1752787835.595880,136559,20257,1,HR,1,100,94.09
1752787836.195885,137159,20347,1,HR,1,100,95.40
1752787836.795890,137759,20450,1,HR,1,100,96.42
1752787837.475896,138439,20570,1,HR,1,100,94.60
1752787838.075901,139039,20676,1,HR,1,100,95.80
1752787838.715906,139679,20776,1,HR,1,100,95.35
1752787839.368911,140332,20896,1,HR,1,100,94.99
1752787839.928916,140892,20980,1,HR,1,100,97.69
1752787840.568921,141532,21098,1,HR,1,100,96.82
1752787841.168926,142132,21186,1,HR,1,100,97.52
1752787841.768931,142732,21291,1,HR,1,100,98.07
1752787842.328936,143292,21393,1,HR,1,100,100.09
1752787842.928941,143892,21505,1,HR,1,100,100.07
1752787843.568946,144532,21610,1,HR,1,100,98.67
1752787844.181951,145145,21713,1,HR,1,100,98.96
1752787844.741956,145705,21814,1,HR,1,100,100.78
1752787845.341961,146305,21917,1,HR,1,100,100.61
1752787845.981966,146945,22023,1,HR,1,100,99.08
1752787846.581971,147545,22124,1,HR,1,100,99.29
1752787847.221976,148185,22227,1,HR,1,100,98.06
1752787847.820981,148784,22337,1,HR,1,100,98.49
1752787848.381986,149345,22438,1,HR,1,100,100.41
1752787848.994991,149958,22541,1,HR,1,100,100.32
1752787849.634996,150598,22643,1,HR,1,100,98.86
1752787850.275001,151238,22746,1,HR,1,100,97.72
1752787850.875006,151838,22847,1,HR,1,100,98.23
1752787851.435011,152398,22952,1,HR,1,100,100.21
1752787852.074016,153037,23056,1,HR,1,100,98.78
1752787852.714021,153677,23158,1,HR,1,100,97.66
1752787853.328026,154291,23267,1,HR,1,100,98.18
1752787853.967032,154930,23386,1,HR,1,100,97.19
1752787854.568037,155531,23473,1,HR,1,100,97.82
1752787855.168042,156131,23578,1,HR,1,100,98.30
