LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1752787776.097390,77061.000,10190,2,RD,1,100,TL
1752787776.097390,77061.000,10190,2,RD,1,100,TU
1752787778.662911,79626.500,11039,2,RD,1,100,TL
1752787781.228432,82192.000,11039,2,RD,1,100,TU
1752787783.779453,84743.000,11897,2,RD,1,100,TL
1752787786.330474,87294.000,11897,2,RD,1,100,TU
1752787788.899995,89863.500,12775,2,RD,1,100,TL
1752787791.469516,92433.000,12775,2,RD,1,100,TU
1752787794.026038,94989.500,13636,2,RD,1,100,TL
1752787796.582559,97546.000,13636,2,RD,1,100,TU
1752787799.134580,100098.000,14495,2,RD,1,100,TL
1752787801.686601,102650.000,14495,2,RD,1,100,TU
1752787804.247122,105210.500,15357,2,RD,1,100,TL
1752787806.807643,107771.000,15357,2,RD,1,100,TU
1752787809.363664,110327.000,16219,2,RD,1,100,TL
1752787811.919685,112883.000,16219,2,RD,1,100,TU
1752787814.487206,115450.500,17099,2,RD,1,100,TL
1752787817.054727,118018.000,17099,2,RD,1,100,TU
1752787819.609748,120573.000,17956,2,RD,1,100,TL
1752787822.164769,123128.000,17956,2,RD,1,100,TU
1752787824.736291,125699.500,18837,2,RD,1,100,TL
1752787827.307812,128271.000,18837,2,RD,1,100,TU
1752787829.862333,130825.500,19706,2,RD,1,100,TL
1752787832.416854,133380.000,19706,2,RD,1,100,TU
1752787834.989875,135953.000,20589,2,RD,1,100,TL
1752787837.562896,138526.000,20589,2,RD,1,100,TU
1752787840.116417,141079.500,21450,2,RD,1,100,TL
1752787842.669939,143633.000,21450,2,RD,1,100,TU
1752787845.246460,146209.500,22332,2,RD,1,100,TL
1752787847.822981,148786.000,22332,2,RD,1,100,TU
1752787850.376502,151339.500,23196,2,RD,1,100,TL
1752787852.930023,153893.000,23196,2,RD,1,100,TU
1752787855.494044,156457.000,24078,2,RD,1,100,TL
1752787858.058065,159021.000,24078,2,RD,1,100,TU
1752787860.690587,161653.500,24491,2,RD,1,100,TL
1752787863.323109,164286.000,24491,2,RD,1,100,TU
1752787865.888130,166851.000,25370,2,RD,1,100,TL
1752787868.453151,169416.000,25370,2,RD,1,100,TU
1752787871.007172,171970.000,26229,2,RD,1,100,TL
1752787873.561193,174524.000,26229,2,RD,1,100,TU
1752787876.131714,177094.500,27113,2,RD,1,100,TL
1752787878.702236,179665.000,27113,2,RD,1,100,TU
1752787881.256757,182219.500,27981,2,RD,1,100,TL
1752787883.811278,184774.000,27981,2,RD,1,100,TU
1752787886.378299,187341.000,28858,2,RD,1,100,TL
1752787888.945320,189908.000,28858,2,RD,1,100,TU
1752787891.498841,192461.500,29716,2,RD,1,100,TL
1752787894.052362,195015.000,29716,2,RD,1,100,TU
1752787896.624383,197587.000,30599,2,RD,1,100,TL
1752787899.196404,200159.000,30599,2,RD,1,100,TU
1752787901.753926,202716.500,31457,2,RD,1,100,TL
1752787904.311447,205274.000,31457,2,RD,1,100,TU
1752787906.875468,207838.000,32333,2,RD,1,100,TL
1752787909.439489,210402.000,32333,2,RD,1,100,TU
1752787911.995510,212958.000,33192,2,RD,1,100,TL
1752787914.551531,215514.000,33192,2,RD,1,100,TU
1752787917.117552,218080.000,34058,2,RD,1,100,TL
1752787919.683573,220646.000,34058,2,RD,1,100,TU
1752787922.246595,223209.000,34921,2,RD,1,100,TL
1752787924.809616,225772.000,34921,2,RD,1,100,TU
1752787927.376137,228338.500,35779,2,RD,1,100,TL
1752787929.942658,230905.000,35779,2,RD,1,100,TU
1752787932.501179,233463.500,36637,2,RD,1,100,TL
1752787935.059700,236022.000,36637,2,RD,1,100,TU
1752787937.617221,238579.500,37496,2,RD,1,100,TL
1752787940.174742,241137.000,37496,2,RD,1,100,TU
1752787942.737263,243699.500,38352,2,RD,1,100,TL
1752787945.299785,246262.000,38352,2,RD,1,100,TU
1752787947.859806,248822.000,39214,2,RD,1,100,TL
1752787950.419827,251382.000,39214,2,RD,1,100,TU
1752787952.979348,253941.500,40081,2,RD,1,100,TL
1752787955.538869,256501.000,40081,2,RD,1,100,TU
1752787958.102390,259064.500,40938,2,RD,1,100,TL
1752787960.665911,261628.000,40938,2,RD,1,100,TU
1752787963.229432,264191.500,41801,2,RD,1,100,TL
1752787965.792953,266755.000,41801,2,RD,1,100,TU
1752787968.349975,269312.000,42658,2,RD,1,100,TL
1752787970.906996,271869.000,42658,2,RD,1,100,TU
1752787973.466017,274428.000,43526,2,RD,1,100,TL
