LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1752787774.440376,75404,10066,1,SR,1,100,0.533333
1752787775.240383,76204,10087,1,SR,1,100,0.200000
1752787776.107390,77071,10211,1,SR,1,100,0.066667
1752787776.440393,77404,10444,1,SR,1,100,1.133333
1752787778.106406,79070,10547,1,SR,1,100,0.066667
1752787779.106415,80070,10731,1,SR,1,100,0.200000
1752787779.439417,80403,10800,1,SR,1,100,0.333333
1752787780.306424,81270,11061,1,SR,1,100,1.000000
1752787782.372441,83336,11262,1,SR,1,100,0.133333
1752787782.906446,83870,11365,1,SR,1,100,0.200000
1752787783.506451,84470,11449,1,SR,1,100,0.066667
1752787783.706452,84670,11503,1,SR,1,100,0.200000
1752787784.440458,85404,11621,1,SR,1,100,0.133333
1752787784.839462,85803,11689,1,SR,1,100,0.200000
1752787785.173465,86137,11758,1,SR,1,100,0.266667
1752787785.573468,86537,11794,1,SR,1,100,0.066667
1752787786.306474,87270,11918,1,SR,1,100,0.066667
1752787786.505476,87469,11953,1,SR,1,100,0.066667
1752787786.839478,87803,12056,1,SR,1,100,0.333333
1752787787.306482,88270,12141,1,SR,1,100,0.333333
1752787788.172489,89136,12277,1,SR,1,100,0.333333
1752787788.772494,89736,12344,1,SR,1,100,0.066667
1752787788.972496,89936,12380,1,SR,1,100,0.133333
1752787789.506500,90470,12499,1,SR,1,100,0.266667
1752787790.039505,91003,12566,1,SR,1,100,0.200000
1752787790.372507,91336,12602,1,SR,1,100,0.066667
1752787790.572509,91536,12655,1,SR,1,100,0.133333
1752787791.239515,92203,12779,1,SR,1,100,0.133333
1752787791.639518,92603,12897,1,SR,1,100,0.533333
1752787792.305523,93269,12935,1,SR,1,100,0.066667
1752787792.505525,93469,12985,1,SR,1,100,0.133333
1752787792.905528,93869,13038,1,SR,1,100,0.066667
1752787793.238531,94202,13105,1,SR,1,100,0.133333
1752787793.505533,94469,13175,1,SR,1,100,0.200000
1752787793.838536,94802,13209,1,SR,1,100,0.066667
1752787794.305540,95269,13295,1,SR,1,100,0.133333
1752787794.571542,95535,13346,1,SR,1,100,0.200000
1752787795.171547,96135,13568,1,SR,1,100,0.866667
1752787796.305556,97269,13640,1,SR,1,100,0.133333
1752787796.704560,97668,13693,1,SR,1,100,0.066667
1752787797.304565,98268,13796,1,SR,1,100,0.066667
1752787797.504566,98468,13898,1,SR,1,100,0.466667
1752787798.237572,99201,13949,1,SR,1,100,0.066667
1752787798.437574,99401,13984,1,SR,1,100,0.066667
1752787799.037579,100001,14119,1,SR,1,100,0.266667
1752787799.837585,100801,14289,1,SR,1,100,0.466667
1752787800.571591,101535,14442,1,SR,1,100,0.666667
1752787801.637600,102601,14515,1,SR,1,100,0.133333
1752787802.170605,103134,14601,1,SR,1,100,0.133333
1752787802.704609,103668,14685,1,SR,1,100,0.066667
1752787803.038612,104002,14740,1,SR,1,100,0.066667
1752787803.770618,104734,14857,1,SR,1,100,0.066667
1752787803.970619,104934,14891,1,SR,1,100,0.066667
1752787804.170621,105134,14946,1,SR,1,100,0.133333
1752787804.570624,105534,15046,1,SR,1,100,0.333333
1752787805.304630,106268,15219,1,SR,1,100,0.666667
1752787806.237638,107201,15286,1,SR,1,100,0.133333
1752787806.637641,107601,15362,1,SR,1,100,0.133333
1752787806.903644,107867,15397,1,SR,1,100,0.066667
1752787807.770651,108734,15548,1,SR,1,100,0.133333
1752787808.170654,109134,15617,1,SR,1,100,0.066667
1752787808.504657,109468,15702,1,SR,1,100,0.266667
1752787809.036661,110000,15771,1,SR,1,100,0.133333
1752787809.304663,110268,15823,1,SR,1,100,0.200000
1752787809.770667,110734,15943,1,SR,1,100,0.466667
1752787810.770676,111734,16080,1,SR,1,100,0.266667
1752787811.170679,112134,16149,1,SR,1,100,0.200000
1752787811.503682,112467,16185,1,SR,1,100,0.133333
1752787811.770684,112734,16273,1,SR,1,100,0.333333
1752787812.236688,113200,16309,1,SR,1,100,0.133333
1752787812.903693,113867,16427,1,SR,1,100,0.133333
1752787813.436698,114400,16512,1,SR,1,100,0.066667
1752787813.636699,114600,16547,1,SR,1,100,0.133333
1752787814.436706,115400,16668,1,SR,1,100,0.066667
1752787814.769709,115733,16752,1,SR,1,100,0.200000
1752787815.103711,116067,16787,1,SR,1,100,0.066667
1752787815.436714,116400,16854,1,SR,1,100,0.133333
1752787816.236721,117200,16993,1,SR,1,100,0.133333
1752787816.502723,117466,17029,1,SR,1,100,0.133333
1752787816.769725,117733,17062,1,SR,1,100,0.066667
1752787817.502731,118466,17202,1,SR,1,100,0.133333
1752787817.769733,118733,17272,1,SR,1,100,0.266667
1752787818.302738,119266,17357,1,SR,1,100,0.266667
1752787818.969743,119933,17527,1,SR,1,100,0.533333
1752787819.902751,120866,17628,1,SR,1,100,0.200000
1752787820.369755,121333,17712,1,SR,1,100,0.333333
1752787820.969760,121933,17817,1,SR,1,100,0.333333
1752787821.568765,122532,17886,1,SR,1,100,0.133333
1752787821.835767,122799,17937,1,SR,1,100,0.133333
1752787822.368771,123332,18027,1,SR,1,100,0.066667
1752787822.569773,123533,18062,1,SR,1,100,0.066667
1752787822.768774,123732,18082,1,SR,1,100,0.066667
1752787823.102777,124066,18149,1,SR,1,100,0.133333
1752787823.768783,124732,18284,1,SR,1,100,0.200000
1752787824.102785,125066,18321,1,SR,1,100,0.066667
1752787824.436788,125400,18389,1,SR,1,100,0.200000
1752787824.768791,125732,18425,1,SR,1,100,0.066667
1752787825.101794,126065,18476,1,SR,1,100,0.066667
1752787825.301795,126265,18529,1,SR,1,100,0.133333
1752787825.835800,126799,18634,1,SR,1,100,0.200000
1752787826.169802,127133,18667,1,SR,1,100,0.066667
1752787826.635806,127599,18770,1,SR,1,100,0.200000
1752787827.235811,128199,18860,1,SR,1,100,0.066667
1752787827.435813,128399,18878,1,SR,1,100,0.066667
1752787827.635815,128599,18930,1,SR,1,100,0.133333
1752787827.902817,128866,18964,1,SR,1,100,0.066667
1752787828.234820,129198,19017,1,SR,1,100,0.066667
1752787828.435821,129399,19086,1,SR,1,100,0.200000
1752787828.902825,129866,19189,1,SR,1,100,0.400000
1752787829.701832,130665,19274,1,SR,1,100,0.066667
1752787830.168835,131132,19341,1,SR,1,100,0.066667
1752787830.368837,131332,19410,1,SR,1,100,0.200000
1752787830.701840,131665,19444,1,SR,1,100,0.133333
1752787831.368845,132332,19549,1,SR,1,100,0.066667
1752787831.568847,132532,19602,1,SR,1,100,0.133333
1752787831.968850,132932,19669,1,SR,1,100,0.133333
1752787832.234852,133198,19712,1,SR,1,100,0.133333
1752787832.901858,133865,19813,1,SR,1,100,0.066667
1752787833.101860,134065,19880,1,SR,1,100,0.200000
1752787833.434862,134398,19917,1,SR,1,100,0.133333
1752787833.834866,134798,20001,1,SR,1,100,0.266667
1752787834.234869,135198,20037,1,SR,1,100,0.066667
1752787834.434871,135398,20104,1,SR,1,100,0.266667
1752787835.234877,136198,20207,1,SR,1,100,0.066667
1752787835.434879,136398,20259,1,SR,1,100,0.133333
1752787835.701881,136665,20310,1,SR,1,100,0.133333
1752787836.101884,137065,20366,1,SR,1,100,0.066667
1752787836.567888,137531,20467,1,SR,1,100,0.266667
1752787837.100893,138064,20534,1,SR,1,100,0.133333
1752787837.634897,138598,20658,1,SR,1,100,0.266667
1752787838.434904,139398,20812,1,SR,1,100,0.400000
1752787838.967908,139931,20879,1,SR,1,100,0.266667
1752787840.167918,141131,21064,1,SR,1,100,0.133333
1752787840.433920,141397,21133,1,SR,1,100,0.333333
1752787840.900924,141864,21188,1,SR,1,100,0.133333
1752787841.301927,142265,21255,1,SR,1,100,0.200000
1752787841.633930,142597,21293,1,SR,1,100,0.066667
1752787841.833932,142797,21326,1,SR,1,100,0.066667
1752787842.166934,143130,21396,1,SR,1,100,0.133333
1752787842.433937,143397,21431,1,SR,1,100,0.066667
1752787842.633938,143597,21470,1,SR,1,100,0.066667
1752787842.966941,143930,21540,1,SR,1,100,0.133333
1752787843.366944,144330,21591,1,SR,1,100,0.066667
1752787843.700947,144664,21660,1,SR,1,100,0.133333
1752787843.966949,144930,21694,1,SR,1,100,0.066667
1752787844.700955,145664,21831,1,SR,1,100,0.066667
1752787844.899957,145863,21883,1,SR,1,100,0.200000
1752787845.233960,146197,21919,1,SR,1,100,0.066667
1752787845.567962,146531,21986,1,SR,1,100,0.133333
1752787845.967966,146931,22057,1,SR,1,100,0.200000
1752787846.433970,147397,22126,1,SR,1,100,0.133333
1752787846.833973,147797,22229,1,SR,1,100,0.266667
1752787847.367977,148331,22313,1,SR,1,100,0.266667
1752787847.766981,148730,22353,1,SR,1,100,0.066667
1752787848.100983,149064,22440,1,SR,1,100,0.266667
1752787848.632988,149596,22543,1,SR,1,100,0.333333
1752787849.232993,150196,22624,1,SR,1,100,0.266667
1752787849.632996,150596,22679,1,SR,1,100,0.133333
1752787850.033999,150997,22765,1,SR,1,100,0.266667
1752787850.567004,151530,22885,1,SR,1,100,0.400000
1752787851.367010,152330,22954,1,SR,1,100,0.066667
1752787851.700013,152663,23037,1,SR,1,100,0.200000
1752787852.300018,153263,23107,1,SR,1,100,0.066667
1752787852.500020,153463,23176,1,SR,1,100,0.266667
1752787852.900023,153863,23248,1,SR,1,100,0.200000
1752787853.233026,154196,23301,1,SR,1,100,0.200000
1752787853.567028,154530,23351,1,SR,1,100,0.133333
1752787853.833031,154796,23406,1,SR,1,100,0.200000
1752787854.433035,155396,23475,1,SR,1,100,0.066667
1752787854.633037,155596,23509,1,SR,1,100,0.066667
1752787854.833039,155796,23544,1,SR,1,100,0.066667
1752787855.033040,155996,23580,1,SR,1,100,0.066667
1752787855.366043,156329,23663,1,SR,1,100,0.200000
1752787855.700046,156663,23752,1,SR,1,100,0.333333
1752787856.166050,157129,23785,1,SR,1,100,0.066667
1752787856.500053,157463,23856,1,SR,1,100,0.133333
1752787856.766055,157729,23940,1,SR,1,100,0.400000
1752787857.433060,158396,24010,1,SR,1,100,0.200000
1752787857.766063,158729,24099,1,SR,1,100,0.333333
1752787858.499069,159462,24219,1,SR,1,100,0.266667
1752787859.166074,160129,24303,1,SR,1,100,0.200000
1752787859.766079,160729,24389,1,SR,1,100,0.133333
1752787860.033082,160996,24411,1,SR,1,100,0.066667
1752787860.233083,161196,24436,1,SR,1,100,0.600000
1752787861.366093,162329,24441,1,SR,1,100,0.333333
1752787861.833096,162796,24467,1,SR,1,100,0.333333
1752787862.299100,163262,24471,1,SR,1,100,0.333333
1752787863.033106,163996,24496,1,SR,1,100,0.200000
1752787863.366109,164329,24550,1,SR,1,100,0.133333
1752787863.766112,164729,24637,1,SR,1,100,0.266667
1752787864.566119,165529,24754,1,SR,1,100,0.133333
1752787865.099123,166062,24857,1,SR,1,100,0.266667
1752787865.632128,166595,24941,1,SR,1,100,0.266667
1752787866.165132,167128,25044,1,SR,1,100,0.266667
1752787866.565135,167528,25080,1,SR,1,100,0.133333
1752787866.832138,167795,25182,1,SR,1,100,0.400000
1752787867.498143,168461,25266,1,SR,1,100,0.266667
1752787868.032148,168995,25335,1,SR,1,100,0.133333
1752787868.432151,169395,25441,1,SR,1,100,0.333333
1752787869.165157,170128,25528,1,SR,1,100,0.133333
1752787869.698161,170661,25630,1,SR,1,100,0.200000
1752787870.165165,171128,25680,1,SR,1,100,0.066667
1752787870.365167,171328,25716,1,SR,1,100,0.066667
1752787870.831171,171794,25803,1,SR,1,100,0.133333
1752787871.365175,172328,25905,1,SR,1,100,0.200000
1752787871.965180,172928,26007,1,SR,1,100,0.200000
1752787872.298183,173261,26092,1,SR,1,100,0.400000
1752787872.964188,173927,26161,1,SR,1,100,0.133333
1752787873.498193,174461,26250,1,SR,1,100,0.066667
1752787873.698194,174661,26336,1,SR,1,100,0.333333
