LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1752787775.381384,76345.000,10074,5,TH,1,100,34.019
1752787775.381384,76345.000,10074,5,TH,1,100,34.046
1752787775.381384,76345.000,10074,5,TH,1,100,34.046
1752787775.381384,76345.000,10074,5,TH,1,100,34.131
1752787775.381384,76345.000,10074,5,TH,1,100,34.138
1752787775.514385,76478.000,10094,1,TH,1,100,34.053
1752787775.648386,76612.000,10127,1,TH,1,100,34.053
1752787775.781387,76745.000,10144,1,TH,1,100,34.152
1752787775.915388,76879.000,10176,1,TH,1,100,34.159
1752787776.048389,77012.000,10200,2,TH,1,100,34.084
1752787776.181390,77145.000,10200,2,TH,1,100,34.091
1752787776.314392,77278.000,10219,1,TH,1,100,34.118
1752787776.448393,77412.000,10250,1,TH,1,100,34.118
1752787776.581394,77545.000,10267,1,TH,1,100,34.083
1752787776.714395,77678.000,10284,1,TH,1,100,34.091
1752787776.848396,77812.000,10317,1,TH,1,100,34.088
1752787776.981397,77945.000,10335,1,TH,1,100,34.088
1752787777.114398,78078.000,10351,1,TH,1,100,34.070
1752787777.248399,78212.000,10383,1,TH,1,100,34.077
1752787777.381400,78345.000,10400,1,TH,1,100,34.074
1752787777.514401,78478.000,10418,1,TH,1,100,34.074
1752787777.648402,78612.000,10452,1,TH,1,100,34.154
1752787777.781404,78745.000,10469,1,TH,1,100,34.161
1752787777.914405,78878.000,10485,1,TH,1,100,34.193
1752787778.048406,79012.000,10517,1,TH,1,100,34.200
1752787778.181407,79145.000,10536,1,TH,1,100,34.113
1752787778.314408,79278.000,10555,1,TH,1,100,34.113
1752787778.448409,79412.000,10572,1,TH,1,100,34.190
1752787778.581410,79545.000,10604,1,TH,1,100,34.190
1752787778.714411,79678.000,10620,1,TH,1,100,34.145
1752787778.848412,79812.000,10639,1,TH,1,100,34.152
1752787778.981413,79945.000,10671,1,TH,1,100,34.137
1752787779.114415,80078.000,10687,1,TH,1,100,34.144
1752787779.248416,80212.000,10704,1,TH,1,100,34.203
1752787779.381417,80345.000,10738,1,TH,1,100,34.203
1752787779.514418,80478.000,10756,1,TH,1,100,34.151
1752787779.647419,80611.000,10774,1,TH,1,100,34.158
1752787779.781420,80745.000,10807,1,TH,1,100,34.147
1752787779.914421,80878.000,10823,1,TH,1,100,34.147
1752787780.047422,81011.000,10841,1,TH,1,100,34.189
1752787780.181423,81145.000,10874,1,TH,1,100,34.197
1752787780.314424,81278.000,10891,1,TH,1,100,34.227
1752787780.447426,81411.000,10908,1,TH,1,100,34.234
1752787780.581427,81545.000,10924,1,TH,1,100,34.289
1752787780.714428,81678.000,10958,1,TH,1,100,34.289
1752787780.847429,81811.000,10975,1,TH,1,100,34.316
1752787780.981430,81945.000,10992,1,TH,1,100,34.316
1752787781.114431,82078.000,11025,1,TH,1,100,34.143
1752787781.247432,82211.000,11049,1,TH,1,100,34.150
1752787781.381433,82345.000,11068,1,TH,1,100,34.220
1752787781.514434,82478.000,11101,1,TH,1,100,34.220
1752787781.647435,82611.000,11119,1,TH,1,100,34.217
1752787781.781437,82745.000,11135,1,TH,1,100,34.224
1752787781.914438,82878.000,11167,1,TH,1,100,34.261
1752787782.047439,83011.000,11186,1,TH,1,100,34.269
1752787782.181440,83145.000,11202,1,TH,1,100,34.219
1752787782.314441,83278.000,11234,1,TH,1,100,34.219
1752787782.447442,83411.000,11251,1,TH,1,100,34.276
1752787782.581443,83545.000,11269,1,TH,1,100,34.276
1752787782.714444,83678.000,11287,1,TH,1,100,34.233
1752787782.847445,83811.000,11320,1,TH,1,100,34.240
1752787782.981446,83945.000,11337,1,TH,1,100,34.360
1752787783.114448,84078.000,11354,1,TH,1,100,34.360
1752787783.247449,84211.000,11388,1,TH,1,100,34.302
1752787783.380450,84344.000,11406,1,TH,1,100,34.309
1752787783.514451,84478.000,11423,1,TH,1,100,34.331
1752787783.647452,84611.000,11457,1,TH,1,100,34.331
1752787783.780453,84744.000,11473,1,TH,1,100,34.256
1752787783.914454,84878.000,11492,1,TH,1,100,34.264
1752787784.047455,85011.000,11526,1,TH,1,100,34.296
1752787784.180456,85144.000,11542,1,TH,1,100,34.296
1752787784.314457,85278.000,11560,1,TH,1,100,34.236
1752787784.447459,85411.000,11593,1,TH,1,100,34.243
1752787784.580460,85544.000,11609,1,TH,1,100,34.412
1752787784.714461,85678.000,11629,1,TH,1,100,34.412
