RD,TS_received,TS_sent,AK,RoundTrip,
77061,82184,2025-07-17_17-29-36-103198,82185,5123,
82192,82206,2025-07-17_17-29-41-234496,82207,14,
87294,87312,2025-07-17_17-29-46-340824,87313,18,
92433,92440,2025-07-17_17-29-51-473001,92445,7,
97546,97579,2025-07-17_17-29-56-586857,97580,33,
102650,107767,2025-07-17_17-30-01-692169,107768,5117,
107771,107781,2025-07-17_17-30-06-811729,107782,10,
112883,112890,2025-07-17_17-30-11-923739,112892,7,
118018,118030,2025-07-17_17-30-17-058233,118031,12,
123128,123137,2025-07-17_17-30-22-170084,123143,9,
128271,128308,2025-07-17_17-30-27-312139,128309,37,
133380,133390,2025-07-17_17-30-32-422907,133393,10,
138526,138581,2025-07-17_17-30-37-567285,138582,55,
143633,143641,2025-07-17_17-30-42-673660,143642,8,
148786,148800,2025-07-17_17-30-47-827467,148801,14,
153893,153905,2025-07-17_17-30-52-934295,153906,12,
159021,159032,2025-07-17_17-30-58-064632,159034,11,
164286,164294,2025-07-17_17-31-03-326657,164295,8,
169416,169426,2025-07-17_17-31-08-459146,169427,10,
174524,174535,2025-07-17_17-31-13-567250,174537,11,
179665,179690,2025-07-17_17-31-18-710861,179691,25,
184774,184783,2025-07-17_17-31-23-815257,184784,9,
189908,189917,2025-07-17_17-31-28-949240,189919,9,
195015,195025,2025-07-17_17-31-34-059239,195027,10,
200159,200168,2025-07-17_17-31-39-199743,200170,9,
205274,205281,2025-07-17_17-31-44-315202,205283,7,
210402,210420,2025-07-17_17-31-49-450369,210422,18,
215514,215522,2025-07-17_17-31-54-555460,215526,8,
220646,220690,2025-07-17_17-31-59-688208,220691,44,
225772,225779,2025-07-17_17-32-04-813146,225780,7,
230905,230911,2025-07-17_17-32-09-945658,230913,6,
236022,236031,2025-07-17_17-32-15-063159,236032,9,
241137,241146,2025-07-17_17-32-20-178825,241150,9,
246262,246283,2025-07-17_17-32-25-311302,246284,21,
251382,251390,2025-07-17_17-32-30-424199,251391,8,
256501,256510,2025-07-17_17-32-35-544693,256512,9,
261628,261635,2025-07-17_17-32-40-669687,261637,7,
266755,266763,2025-07-17_17-32-45-797351,266766,8,
271869,271880,2025-07-17_17-32-50-912000,271882,11,
276987,277005,2025-07-17_17-32-56-028411,277007,18,
282108,282121,2025-07-17_17-33-01-151086,282122,13,
287229,287243,2025-07-17_17-33-06-272632,287244,14,
292350,292362,2025-07-17_17-33-11-391924,292363,12,
297469,297481,2025-07-17_17-33-16-513572,297483,12,
302596,302605,2025-07-17_17-33-21-639806,302606,9,
