LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1752174595.043255,206821.000,31792,2,AK,1,100,31037
1752174595.043255,206821.000,31792,2,AK,1,100,RD
1752174595.049255,206827.000,31795,2,AK,1,100,31793
1752174595.055255,206833.000,31795,2,AK,1,100,RD
1752174597.621755,209399.500,32667,2,AK,1,100,31793
1752174600.188254,211966.000,32667,2,AK,1,100,RD
1752174600.196754,211974.500,32670,2,AK,1,100,32668
1752174600.205254,211983.000,32670,2,AK,1,100,RD
1752174602.751254,214529.000,33520,2,AK,1,100,32668
1752174605.297254,217075.000,33520,2,AK,1,100,RD
1752174605.303254,217081.000,33523,2,AK,1,100,33521
1752174605.309254,217087.000,33523,2,AK,1,100,RD
1752174607.864754,219642.500,34380,2,AK,1,100,33521
1752174610.420254,222198.000,34380,2,AK,1,100,RD
1752174610.431754,222209.500,34383,2,AK,1,100,34381
1752174610.443254,222221.000,34383,2,AK,1,100,RD
1752174612.989753,224767.500,35235,2,AK,1,100,34381
1752174615.536253,227314.000,35235,2,AK,1,100,RD
1752174615.548753,227326.500,35238,2,AK,1,100,35236
1752174615.561253,227339.000,35238,2,AK,1,100,RD
1752174618.108253,229886.000,36094,2,AK,1,100,35236
1752174620.655253,232433.000,36094,2,AK,1,100,RD
1752174620.662253,232440.000,36097,2,AK,1,100,36095
1752174620.669253,232447.000,36097,2,AK,1,100,RD
1752174623.222252,235000.000,36956,2,AK,1,100,36095
1752174625.775252,237553.000,36956,2,AK,1,100,RD
1752174625.781252,237559.000,36959,2,AK,1,100,36957
1752174625.787252,237565.000,36959,2,AK,1,100,RD
1752174628.340752,240118.500,37815,2,AK,1,100,36957
1752174630.894252,242672.000,37815,2,AK,1,100,RD
1752174630.901252,242679.000,37818,2,AK,1,100,37816
1752174630.908252,242686.000,37818,2,AK,1,100,RD
1752174633.454252,245232.000,38670,2,AK,1,100,37816
1752174636.000251,247778.000,38670,2,AK,1,100,RD
1752174636.007251,247785.000,38673,2,AK,1,100,38671
1752174636.014251,247792.000,38673,2,AK,1,100,RD
1752174638.568751,250346.500,39532,2,AK,1,100,38671
1752174641.123251,252901.000,39532,2,AK,1,100,RD
1752174641.134751,252912.500,39535,2,AK,1,100,39533
1752174641.146251,252924.000,39535,2,AK,1,100,RD
1752174643.692751,255470.500,40392,2,AK,1,100,39533
1752174646.239251,258017.000,40392,2,AK,1,100,RD
1752174646.261750,258039.500,40395,2,AK,1,100,40393
1752174646.284250,258062.000,40395,2,AK,1,100,RD
1752174648.818750,260596.500,41247,2,AK,1,100,40393
1752174651.353250,263131.000,41247,2,AK,1,100,RD
1752174651.391750,263169.500,41250,2,AK,1,100,41248
1752174651.430250,263208.000,41250,2,AK,1,100,RD
1752174653.961250,265739.000,42103,2,AK,1,100,41248
1752174656.492250,268270.000,42103,2,AK,1,100,RD
1752174659.053249,270831.000,42966,2,AK,1,100,42104
1752174661.614249,273392.000,42966,2,AK,1,100,RD
1752174661.615749,273393.500,42968,2,AK,1,100,42104
1752174661.617249,273395.000,42968,2,AK,1,100,RD
1752174661.627749,273405.500,42971,2,AK,1,100,42969
1752174661.638249,273416.000,42971,2,AK,1,100,RD
1752174664.185249,275963.000,43821,2,AK,1,100,42969
1752174666.732249,278510.000,43821,2,AK,1,100,RD
1752174666.738249,278516.000,43824,2,AK,1,100,43822
1752174666.744249,278522.000,43824,2,AK,1,100,RD
1752174669.297749,281075.500,44681,2,AK,1,100,43822
1752174671.851248,283629.000,44681,2,AK,1,100,RD
1752174671.864748,283642.500,44684,2,AK,1,100,44682
1752174671.878248,283656.000,44684,2,AK,1,100,RD
1752174674.427748,286205.500,45534,2,AK,1,100,44682
1752174676.977248,288755.000,45534,2,AK,1,100,RD
1752174676.984248,288762.000,45537,2,AK,1,100,45535
1752174676.991248,288769.000,45537,2,AK,1,100,RD
1752174679.547248,291325.000,46380,2,AK,1,100,45535
1752174682.103247,293881.000,46380,2,AK,1,100,RD
1752174682.108747,293886.500,46383,2,AK,1,100,46381
1752174682.114247,293892.000,46383,2,AK,1,100,RD
1752174684.670747,296448.500,47225,2,AK,1,100,46381
1752174687.227247,299005.000,47225,2,AK,1,100,RD
1752174687.236747,299014.500,47228,2,AK,1,100,47226
1752174687.246247,299024.000,47228,2,AK,1,100,RD
1752174689.800247,301578.000,48066,2,AK,1,100,47226
1752174692.354247,304132.000,48066,2,AK,1,100,RD
1752174692.361247,304139.000,48069,2,AK,1,100,48067
1752174692.368247,304146.000,48069,2,AK,1,100,RD
1752174694.918246,306696.000,48906,2,AK,1,100,48067
1752174697.468246,309246.000,48906,2,AK,1,100,RD
1752174697.477746,309255.500,48909,2,AK,1,100,48907
1752174697.487246,309265.000,48909,2,AK,1,100,RD
1752174700.037746,311815.500,49747,2,AK,1,100,48907
1752174702.588246,314366.000,49747,2,AK,1,100,RD
1752174702.597746,314375.500,49750,2,AK,1,100,49748
1752174702.607246,314385.000,49750,2,AK,1,100,RD
1752174705.166245,316944.000,50586,2,AK,1,100,49748
1752174707.725245,319503.000,50586,2,AK,1,100,RD
1752174707.734745,319512.500,50589,2,AK,1,100,50587
1752174707.744245,319522.000,50589,2,AK,1,100,RD
1752174710.295745,322073.500,51426,2,AK,1,100,50587
1752174712.847245,324625.000,51426,2,AK,1,100,RD
1752174712.853245,324631.000,51429,2,AK,1,100,51427
1752174712.859245,324637.000,51429,2,AK,1,100,RD
1752174715.412745,327190.500,52274,2,AK,1,100,51427
1752174717.966244,329744.000,52274,2,AK,1,100,RD
1752174717.974744,329752.500,52277,2,AK,1,100,52275
1752174717.983244,329761.000,52277,2,AK,1,100,RD
1752174720.534744,332312.500,53114,2,AK,1,100,52275
1752174723.086244,334864.000,53114,2,AK,1,100,RD
1752174723.098244,334876.000,53117,2,AK,1,100,53115
1752174723.110244,334888.000,53117,2,AK,1,100,RD
1752174725.659244,337437.000,53955,2,AK,1,100,53115
1752174728.208243,339986.000,53955,2,AK,1,100,RD
1752174728.215243,339993.000,53958,2,AK,1,100,53956
1752174728.222243,340000.000,53958,2,AK,1,100,RD
1752174730.773243,342551.000,54796,2,AK,1,100,53956
1752174733.324243,345102.000,54796,2,AK,1,100,RD
1752174733.334743,345112.500,54799,2,AK,1,100,54797
1752174733.345243,345123.000,54799,2,AK,1,100,RD
1752174735.895243,347673.000,55636,2,AK,1,100,54797
1752174738.445243,350223.000,55636,2,AK,1,100,RD
1752174738.461243,350239.000,55639,2,AK,1,100,55637
1752174738.477243,350255.000,55639,2,AK,1,100,RD
1752174741.016742,352794.500,56480,2,AK,1,100,55637
1752174743.556242,355334.000,56480,2,AK,1,100,RD
1752174743.561742,355339.500,56483,2,AK,1,100,56481
1752174743.567242,355345.000,56483,2,AK,1,100,RD
1752174746.124242,357902.000,57319,2,AK,1,100,56481
1752174748.681242,360459.000,57319,2,AK,1,100,RD
1752174748.685742,360463.500,57322,2,AK,1,100,57320
1752174748.690242,360468.000,57322,2,AK,1,100,RD
1752174751.276242,363054.000,58095,2,AK,1,100,57320
1752174753.862241,365640.000,58095,2,AK,1,100,RD
1752174753.867741,365645.500,58098,2,AK,1,100,58096
1752174753.873241,365651.000,58098,2,AK,1,100,RD
1752174756.425741,368203.500,58937,2,AK,1,100,58096
1752174758.978241,370756.000,58937,2,AK,1,100,RD
1752174758.986741,370764.500,58940,2,AK,1,100,58938
1752174758.995241,370773.000,58940,2,AK,1,100,RD
1752174761.546741,373324.500,59778,2,AK,1,100,58938
1752174764.098240,375876.000,59778,2,AK,1,100,RD
1752174764.104740,375882.500,59781,2,AK,1,100,59779
1752174764.111240,375889.000,59781,2,AK,1,100,RD
1752174766.663240,378441.000,60617,2,AK,1,100,59779
1752174769.215240,380993.000,60617,2,AK,1,100,RD
1752174769.224740,381002.500,60620,2,AK,1,100,60618
1752174769.234240,381012.000,60620,2,AK,1,100,RD
1752174771.787740,383565.500,61460,2,AK,1,100,60618
1752174774.341240,386119.000,61460,2,AK,1,100,RD
1752174774.347240,386125.000,61463,2,AK,1,100,61461
1752174774.353240,386131.000,61463,2,AK,1,100,RD
1752174776.909239,388687.000,62300,2,AK,1,100,61461
1752174779.465239,391243.000,62300,2,AK,1,100,RD
1752174779.472239,391250.000,62303,2,AK,1,100,62301
1752174779.479239,391257.000,62303,2,AK,1,100,RD
1752174782.029739,393807.500,63139,2,AK,1,100,62301
1752174784.580239,396358.000,63139,2,AK,1,100,RD
1752174784.589239,396367.000,63142,2,AK,1,100,63140
1752174784.598239,396376.000,63142,2,AK,1,100,RD
1752174787.146238,398924.000,63978,2,AK,1,100,63140
1752174789.694238,401472.000,63978,2,AK,1,100,RD
1752174789.726738,401504.500,63981,2,AK,1,100,63979
1752174789.759238,401537.000,63981,2,AK,1,100,RD
1752174792.285238,404063.000,64818,2,AK,1,100,63979
1752174794.811238,406589.000,64818,2,AK,1,100,RD
1752174794.823238,406601.000,64821,2,AK,1,100,64819
1752174794.835238,406613.000,64821,2,AK,1,100,RD
1752174797.379238,409157.000,124,2,AK,1,100,64819
1752174799.923237,411701.000,124,2,AK,1,100,RD
1752174799.933237,411711.000,127,2,AK,1,100,125
1752174799.943237,411721.000,127,2,AK,1,100,RD
1752174802.486737,414264.500,504,2,AK,1,100,125
1752174805.030237,416808.000,504,2,AK,1,100,RD
1752174805.035737,416813.500,507,2,AK,1,100,505
1752174805.041237,416819.000,507,2,AK,1,100,RD
1752174807.591237,419369.000,1346,2,AK,1,100,505
1752174810.141236,421919.000,1346,2,AK,1,100,RD
1752174812.704236,424482.000,2190,2,AK,1,100,1347
1752174815.267236,427045.000,2190,2,AK,1,100,RD
1752174815.268236,427046.000,2192,2,AK,1,100,1347
1752174815.269236,427047.000,2192,2,AK,1,100,RD
1752174815.274736,427052.500,2195,2,AK,1,100,2193
1752174815.280236,427058.000,2195,2,AK,1,100,RD
1752174817.827236,429605.000,3033,2,AK,1,100,2193
1752174820.374236,432152.000,3033,2,AK,1,100,RD
1752174820.379736,432157.500,3036,2,AK,1,100,3034
1752174820.385236,432163.000,3036,2,AK,1,100,RD
1752174822.947235,434725.000,3889,2,AK,1,100,3034
1752174825.509235,437287.000,3889,2,AK,1,100,RD
1752174825.520235,437298.000,3892,2,AK,1,100,3890
1752174825.531235,437309.000,3892,2,AK,1,100,RD
1752174828.075735,439853.500,4510,2,AK,1,100,3890
1752174830.620235,442398.000,4510,2,AK,1,100,RD
1752174830.628235,442406.000,4513,2,AK,1,100,4511
1752174830.636235,442414.000,4513,2,AK,1,100,RD
1752174833.195235,444973.000,5365,2,AK,1,100,4511
1752174835.754234,447532.000,5365,2,AK,1,100,RD
1752174835.775234,447553.000,5368,2,AK,1,100,5366
1752174835.796234,447574.000,5368,2,AK,1,100,RD
1752174838.329734,450107.500,6206,2,AK,1,100,5366
1752174840.863234,452641.000,6206,2,AK,1,100,RD
1752174840.868734,452646.500,6209,2,AK,1,100,6207
1752174840.874234,452652.000,6209,2,AK,1,100,RD
1752174843.422234,455200.000,7045,2,AK,1,100,6207
1752174845.970233,457748.000,7045,2,AK,1,100,RD
1752174845.977733,457755.500,7048,2,AK,1,100,7046
1752174845.985233,457763.000,7048,2,AK,1,100,RD
1752174848.543733,460321.500,7903,2,AK,1,100,7046
1752174851.102233,462880.000,7903,2,AK,1,100,RD
1752174851.108733,462886.500,7906,2,AK,1,100,7904
1752174851.115233,462893.000,7906,2,AK,1,100,RD
1752174853.662733,465440.500,8746,2,AK,1,100,7904
1752174856.210233,467988.000,8746,2,AK,1,100,RD
1752174856.217233,467995.000,8749,2,AK,1,100,8747
1752174856.224233,468002.000,8749,2,AK,1,100,RD
1752174858.771232,470549.000,9588,2,AK,1,100,8747
1752174861.318232,473096.000,9588,2,AK,1,100,RD
1752174861.323732,473101.500,9591,2,AK,1,100,9589
1752174861.329232,473107.000,9591,2,AK,1,100,RD
