LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1752174595.007255,206785.000,31814,1,BV,1,100,3.66
1752174600.006254,211784.000,32647,1,BV,1,100,3.66
1752174605.006254,216784.000,33485,1,BV,1,100,3.66
1752174610.005254,221783.000,34327,1,BV,1,100,3.65
1752174615.005253,226783.000,35165,1,BV,1,100,3.66
1752174620.004253,231782.000,35988,1,BV,1,100,3.66
1752174625.004252,236782.000,36835,1,BV,1,100,3.65
1752174630.003252,241781.000,37676,1,BV,1,100,3.66
1752174635.003251,246781.000,38515,1,BV,1,100,3.66
1752174640.002251,251780.000,39357,1,BV,1,100,3.66
1752174645.002251,256780.000,40201,1,BV,1,100,3.66
1752174650.001250,261779.000,41043,1,BV,1,100,3.66
1752174655.001250,266779.000,41862,1,BV,1,100,3.66
1752174660.000249,271778.000,42706,1,BV,1,100,3.66
1752174665.000249,276778.000,43546,1,BV,1,100,3.66
1752174669.999248,281777.000,44391,1,BV,1,100,3.66
1752174674.999248,286777.000,45212,1,BV,1,100,3.66
1752174679.998248,291776.000,46043,1,BV,1,100,3.66
1752174684.998247,296776.000,46868,1,BV,1,100,3.66
1752174689.997247,301775.000,47698,1,BV,1,100,3.66
1752174694.997246,306775.000,48503,1,BV,1,100,3.66
1752174699.996246,311774.000,49326,1,BV,1,100,3.66
1752174704.996245,316774.000,50151,1,BV,1,100,3.66
1752174709.995245,321773.000,50976,1,BV,1,100,3.66
1752174714.995245,326773.000,51805,1,BV,1,100,3.66
1752174719.994244,331772.000,52612,1,BV,1,100,3.66
1752174724.994244,336772.000,53435,1,BV,1,100,3.66
1752174729.993243,341771.000,54260,1,BV,1,100,3.66
1752174734.993243,346771.000,55085,1,BV,1,100,3.66
1752174739.992242,351770.000,55910,1,BV,1,100,3.66
1752174744.992242,356770.000,56736,1,BV,1,100,3.66
1752174749.991242,361769.000,57540,1,BV,1,100,3.66
1752174754.991241,366769.000,58303,1,BV,1,100,3.66
1752174759.990241,371768.000,59108,1,BV,1,100,3.66
