LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1752174595.007255,206785.000,31815,1,B%,1,100,39
1752174600.006254,211784.000,32648,1,B%,1,100,39
1752174605.006254,216784.000,33486,1,B%,1,100,39
1752174610.005254,221783.000,34328,1,B%,1,100,39
1752174615.005253,226783.000,35166,1,B%,1,100,39
1752174620.004253,231782.000,35989,1,B%,1,100,39
1752174625.004252,236782.000,36836,1,B%,1,100,39
1752174630.003252,241781.000,37677,1,B%,1,100,39
1752174635.003251,246781.000,38516,1,B%,1,100,39
1752174640.002251,251780.000,39358,1,B%,1,100,39
1752174645.002251,256780.000,40202,1,B%,1,100,39
1752174650.001250,261779.000,41044,1,B%,1,100,39
1752174655.001250,266779.000,41863,1,B%,1,100,39
1752174660.000249,271778.000,42707,1,B%,1,100,39
1752174665.000249,276778.000,43547,1,B%,1,100,40
1752174669.999248,281777.000,44392,1,B%,1,100,39
1752174674.999248,286777.000,45213,1,B%,1,100,39
1752174679.998248,291776.000,46044,1,B%,1,100,39
1752174684.998247,296776.000,46869,1,B%,1,100,39
1752174689.997247,301775.000,47699,1,B%,1,100,39
1752174694.997246,306775.000,48504,1,B%,1,100,39
1752174699.996246,311774.000,49327,1,B%,1,100,39
1752174704.996245,316774.000,50152,1,B%,1,100,40
1752174709.995245,321773.000,50977,1,B%,1,100,39
1752174714.995245,326773.000,51806,1,B%,1,100,39
1752174719.994244,331772.000,52613,1,B%,1,100,39
1752174724.994244,336772.000,53436,1,B%,1,100,39
1752174729.993243,341771.000,54261,1,B%,1,100,39
1752174734.993243,346771.000,55086,1,B%,1,100,39
1752174739.992242,351770.000,55911,1,B%,1,100,39
1752174744.992242,356770.000,56737,1,B%,1,100,40
1752174749.991242,361769.000,57541,1,B%,1,100,40
1752174754.991241,366769.000,58304,1,B%,1,100,39
1752174759.990241,371768.000,59109,1,B%,1,100,39
1752174764.990240,376768.000,59932,1,B%,1,100,39
1752174769.989240,381767.000,60759,1,B%,1,100,39
1752174774.989239,386767.000,61582,1,B%,1,100,40
1752174779.988239,391766.000,62406,1,B%,1,100,39
1752174784.988239,396766.000,63211,1,B%,1,100,40
1752174789.987238,401765.000,64034,1,B%,1,100,39
1752174794.987238,406765.000,64859,1,B%,1,100,39
1752174799.986237,411764.000,145,1,B%,1,100,40
1752174804.986237,416764.000,524,1,B%,1,100,39
1752174809.985237,421763.000,1344,1,B%,1,100,40
1752174814.985236,426763.000,2155,1,B%,1,100,40
1752174819.984236,431762.000,2980,1,B%,1,100,40
1752174824.984235,436762.000,3820,1,B%,1,100,39
1752174829.983235,441761.000,4422,1,B%,1,100,40
1752174834.983234,446761.000,5246,1,B%,1,100,40
