LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1752174592.825255,204603.000,31435,4,EM,1,100,RS
1752174592.825255,204603.000,31435,4,EM,1,100,RB
1752174592.825255,204603.000,31435,4,EM,1,100,2025-07-10_15-09-52-005859.csv
1752174592.825255,204603.000,31435,4,EM,1,100,PS
1752174592.875505,204653.250,31455,4,EM,1,100,RS
1752174592.925755,204703.500,31455,4,EM,1,100,RB
1752174592.976005,204753.750,31455,4,EM,1,100,2025-07-10_15-09-52-005859.csv
1752174593.026255,204804.000,31455,4,EM,1,100,PS
1752174593.077255,204855.000,31493,4,EM,1,100,RS
1752174593.128255,204906.000,31493,4,EM,1,100,RB
1752174593.179255,204957.000,31493,4,EM,1,100,2025-07-10_15-09-52-005859.csv
1752174593.230255,205008.000,31493,4,EM,1,100,PS
1752174593.280255,205058.000,31524,4,EM,1,100,RS
1752174593.330255,205108.000,31524,4,EM,1,100,RB
1752174593.380255,205158.000,31524,4,EM,1,100,2025-07-10_15-09-52-005859.csv
1752174593.430255,205208.000,31524,4,EM,1,100,PS
1752174593.480505,205258.250,31558,4,EM,1,100,RS
1752174593.530755,205308.500,31558,4,EM,1,100,RB
1752174593.581005,205358.750,31558,4,EM,1,100,2025-07-10_15-09-52-005859.csv
1752174593.631255,205409.000,31558,4,EM,1,100,PS
1752174593.681505,205459.250,31590,4,EM,1,100,RS
1752174593.731755,205509.500,31590,4,EM,1,100,RB
1752174593.782005,205559.750,31590,4,EM,1,100,2025-07-10_15-09-52-005859.csv
1752174593.832255,205610.000,31590,4,EM,1,100,PS
1752174593.882755,205660.500,31627,4,EM,1,100,RS
1752174593.933255,205711.000,31627,4,EM,1,100,RB
1752174593.983755,205761.500,31627,4,EM,1,100,2025-07-10_15-09-52-005859.csv
1752174594.034255,205812.000,31627,4,EM,1,100,PS
1752174594.084255,205862.000,31659,4,EM,1,100,RS
1752174594.134255,205912.000,31659,4,EM,1,100,RB
1752174594.184255,205962.000,31659,4,EM,1,100,2025-07-10_15-09-52-005859.csv
1752174594.234255,206012.000,31659,4,EM,1,100,PS
1752174594.284505,206062.250,31694,4,EM,1,100,RS
1752174594.334755,206112.500,31694,4,EM,1,100,RB
1752174594.385005,206162.750,31694,4,EM,1,100,2025-07-10_15-09-52-005859.csv
1752174594.435255,206213.000,31694,4,EM,1,100,PS
1752174594.485505,206263.250,31726,4,EM,1,100,RS
1752174594.535755,206313.500,31726,4,EM,1,100,RB
1752174594.586005,206363.750,31726,4,EM,1,100,2025-07-10_15-09-52-005859.csv
1752174594.636255,206414.000,31726,4,EM,1,100,PS
1752174594.686505,206464.250,31760,4,EM,1,100,RS
1752174594.736755,206514.500,31760,4,EM,1,100,RB
1752174594.787005,206564.750,31760,4,EM,1,100,2025-07-10_15-09-52-005859.csv
1752174594.837255,206615.000,31760,4,EM,1,100,PS
1752174594.892005,206669.750,31796,4,EM,1,100,RS
1752174594.946755,206724.500,31796,4,EM,1,100,RB
1752174595.001505,206779.250,31796,4,EM,1,100,2025-07-10_15-09-52-005859.csv
1752174595.056255,206834.000,31796,4,EM,1,100,PS
1752174595.106505,206884.250,31832,4,EM,1,100,RS
1752174595.156755,206934.500,31832,4,EM,1,100,RB
1752174595.207005,206984.750,31832,4,EM,1,100,2025-07-10_15-09-52-005859.csv
1752174595.257255,207035.000,31832,4,EM,1,100,PS
1752174595.307505,207085.250,31863,4,EM,1,100,RS
1752174595.357755,207135.500,31863,4,EM,1,100,RB
1752174595.408005,207185.750,31863,4,EM,1,100,2025-07-10_15-09-52-005859.csv
1752174595.458255,207236.000,31863,4,EM,1,100,PS
1752174595.508505,207286.250,31899,4,EM,1,100,RS
1752174595.558755,207336.500,31899,4,EM,1,100,RB
1752174595.609005,207386.750,31899,4,EM,1,100,2025-07-10_15-09-52-005859.csv
1752174595.659255,207437.000,31899,4,EM,1,100,PS
1752174595.709505,207487.250,31934,4,EM,1,100,RS
1752174595.759755,207537.500,31934,4,EM,1,100,RB
1752174595.810005,207587.750,31934,4,EM,1,100,2025-07-10_15-09-52-005859.csv
1752174595.860255,207638.000,31934,4,EM,1,100,PS
1752174595.910505,207688.250,31966,4,EM,1,100,RS
1752174595.960755,207738.500,31966,4,EM,1,100,RB
1752174596.011005,207788.750,31966,4,EM,1,100,2025-07-10_15-09-52-005859.csv
1752174596.061255,207839.000,31966,4,EM,1,100,PS
1752174596.111505,207889.250,32002,4,EM,1,100,RS
1752174596.161755,207939.500,32002,4,EM,1,100,RB
1752174596.212005,207989.750,32002,4,EM,1,100,2025-07-10_15-09-52-005859.csv
1752174596.262255,208040.000,32002,4,EM,1,100,PS
1752174596.312505,208090.250,32034,4,EM,1,100,RS
1752174596.362755,208140.500,32034,4,EM,1,100,RB
1752174596.413005,208190.750,32034,4,EM,1,100,2025-07-10_15-09-52-005859.csv
1752174596.463255,208241.000,32034,4,EM,1,100,PS
1752174596.513505,208291.250,32067,4,EM,1,100,RS
1752174596.563755,208341.500,32067,4,EM,1,100,RB
1752174596.614005,208391.750,32067,4,EM,1,100,2025-07-10_15-09-52-005859.csv
1752174596.664255,208442.000,32067,4,EM,1,100,PS
1752174596.714505,208492.250,32103,4,EM,1,100,RS
1752174596.764755,208542.500,32103,4,EM,1,100,RB
1752174596.815005,208592.750,32103,4,EM,1,100,2025-07-10_15-09-52-005859.csv
1752174596.865255,208643.000,32103,4,EM,1,100,PS
1752174596.916255,208694.000,32136,4,EM,1,100,RS
1752174596.967255,208745.000,32136,4,EM,1,100,RB
1752174597.018255,208796.000,32136,4,EM,1,100,2025-07-10_15-09-52-005859.csv
1752174597.069255,208847.000,32136,4,EM,1,100,PS
1752174597.119505,208897.250,32170,4,EM,1,100,RS
1752174597.169755,208947.500,32170,4,EM,1,100,RB
1752174597.220005,208997.750,32170,4,EM,1,100,2025-07-10_15-09-52-005859.csv
1752174597.270255,209048.000,32170,4,EM,1,100,PS
1752174597.320255,209098.000,32208,4,EM,1,100,RS
1752174597.370255,209148.000,32208,4,EM,1,100,RB
1752174597.420255,209198.000,32208,4,EM,1,100,2025-07-10_15-09-52-005859.csv
1752174597.470255,209248.000,32208,4,EM,1,100,PS
1752174597.520505,209298.250,32239,4,EM,1,100,RS
1752174597.570755,209348.500,32239,4,EM,1,100,RB
1752174597.621005,209398.750,32239,4,EM,1,100,2025-07-10_15-09-52-005859.csv
1752174597.671255,209449.000,32239,4,EM,1,100,PS
1752174597.721505,209499.250,32273,4,EM,1,100,RS
1752174597.771755,209549.500,32273,4,EM,1,100,RB
1752174597.822005,209599.750,32273,4,EM,1,100,2025-07-10_15-09-52-005859.csv
1752174597.872255,209650.000,32273,4,EM,1,100,PS
1752174597.922505,209700.250,32308,4,EM,1,100,RS
1752174597.972755,209750.500,32308,4,EM,1,100,RB
1752174598.023005,209800.750,32308,4,EM,1,100,2025-07-10_15-09-52-005859.csv
1752174598.073255,209851.000,32308,4,EM,1,100,PS
1752174598.123505,209901.250,32344,4,EM,1,100,RS
