LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1752174592.921255,204699.000,31450,3,GY,1,100,-0.061
1752174592.921255,204699.000,31450,3,GY,1,100,0.732
1752174592.921255,204699.000,31450,3,GY,1,100,0.031
1752174592.961755,204739.500,31467,2,GY,1,100,0.061
1752174593.002255,204780.000,31467,2,GY,1,100,0.458
1752174593.041922,204819.667,31488,3,GY,1,100,0.549
1752174593.081588,204859.333,31488,3,GY,1,100,0.854
1752174593.121255,204899.000,31488,3,GY,1,100,1.343
1752174593.161255,204939.000,31504,2,GY,1,100,1.404
1752174593.201255,204979.000,31504,2,GY,1,100,1.678
1752174593.241255,205019.000,31519,3,GY,1,100,1.251
1752174593.281255,205059.000,31519,3,GY,1,100,0.671
1752174593.321255,205099.000,31519,3,GY,1,100,1.434
1752174593.361255,205139.000,31537,2,GY,1,100,2.563
1752174593.401255,205179.000,31537,2,GY,1,100,4.608
1752174593.441255,205219.000,31553,3,GY,1,100,10.437
1752174593.481255,205259.000,31553,3,GY,1,100,20.630
1752174593.521255,205299.000,31553,3,GY,1,100,31.464
1752174593.561255,205339.000,31569,2,GY,1,100,37.018
1752174593.601255,205379.000,31569,2,GY,1,100,30.884
1752174593.641255,205419.000,31585,3,GY,1,100,24.017
1752174593.681255,205459.000,31585,3,GY,1,100,20.081
1752174593.721255,205499.000,31585,3,GY,1,100,16.479
1752174593.761588,205539.333,31606,3,GY,1,100,15.015
1752174593.801922,205579.667,31606,3,GY,1,100,15.167
1752174593.842255,205620.000,31606,3,GY,1,100,14.679
1752174593.881755,205659.500,31622,2,GY,1,100,13.031
1752174593.921255,205699.000,31622,2,GY,1,100,10.834
1752174593.961588,205739.333,31640,3,GY,1,100,8.972
1752174594.001922,205779.667,31640,3,GY,1,100,9.277
1752174594.042255,205820.000,31640,3,GY,1,100,8.942
1752174594.081755,205859.500,31654,2,GY,1,100,5.005
1752174594.121255,205899.000,31654,2,GY,1,100,6.012
1752174594.161255,205939.000,31671,3,GY,1,100,12.115
1752174594.201255,205979.000,31671,3,GY,1,100,10.406
1752174594.241255,206019.000,31671,3,GY,1,100,0.519
1752174594.281255,206059.000,31689,2,GY,1,100,-7.507
1752174594.321255,206099.000,31689,2,GY,1,100,-9.338
1752174594.361255,206139.000,31707,3,GY,1,100,-12.512
1752174594.401255,206179.000,31707,3,GY,1,100,-12.421
1752174594.441255,206219.000,31707,3,GY,1,100,-10.834
1752174594.481255,206259.000,31721,2,GY,1,100,-7.324
1752174594.521255,206299.000,31721,2,GY,1,100,-1.190
1752174594.561588,206339.333,31738,3,GY,1,100,3.510
1752174594.601922,206379.667,31738,3,GY,1,100,6.226
1752174594.642255,206420.000,31738,3,GY,1,100,4.303
1752174594.682255,206460.000,31755,2,GY,1,100,1.587
1752174594.722255,206500.000,31755,2,GY,1,100,0.885
1752174594.757588,206535.333,31772,3,GY,1,100,3.357
1752174594.792922,206570.667,31772,3,GY,1,100,4.822
1752174594.828255,206606.000,31772,3,GY,1,100,5.981
1752174594.868255,206646.000,31786,3,GY,1,100,8.759
1752174594.908255,206686.000,31786,3,GY,1,100,11.780
1752174594.948255,206726.000,31786,3,GY,1,100,16.937
1752174594.988255,206766.000,31809,2,GY,1,100,22.858
1752174595.028255,206806.000,31809,2,GY,1,100,28.839
1752174595.068255,206846.000,31827,3,GY,1,100,35.156
1752174595.108255,206886.000,31827,3,GY,1,100,40.253
1752174595.148255,206926.000,31827,3,GY,1,100,36.926
1752174595.188255,206966.000,31844,3,GY,1,100,26.062
1752174595.228255,207006.000,31844,3,GY,1,100,15.717
1752174595.268255,207046.000,31844,3,GY,1,100,8.362
1752174595.308255,207086.000,31858,2,GY,1,100,3.876
1752174595.348255,207126.000,31858,2,GY,1,100,-1.251
1752174595.388255,207166.000,31876,3,GY,1,100,-4.120
1752174595.428255,207206.000,31876,3,GY,1,100,-6.866
1752174595.468255,207246.000,31876,3,GY,1,100,-10.864
1752174595.508255,207286.000,31894,2,GY,1,100,-13.123
1752174595.548255,207326.000,31894,2,GY,1,100,-13.153
1752174595.588255,207366.000,31911,3,GY,1,100,-14.374
1752174595.628255,207406.000,31911,3,GY,1,100,-17.090
1752174595.668255,207446.000,31911,3,GY,1,100,-25.177
1752174595.708255,207486.000,31929,2,GY,1,100,-33.966
1752174595.748255,207526.000,31929,2,GY,1,100,-35.553
1752174595.788255,207566.000,31945,3,GY,1,100,-33.966
1752174595.828255,207606.000,31945,3,GY,1,100,-30.701
1752174595.868255,207646.000,31945,3,GY,1,100,-25.391
1752174595.908255,207686.000,31961,2,GY,1,100,-21.759
1752174595.948255,207726.000,31961,2,GY,1,100,-15.015
1752174595.988255,207766.000,31981,3,GY,1,100,-5.371
1752174596.028255,207806.000,31981,3,GY,1,100,1.343
1752174596.068255,207846.000,31981,3,GY,1,100,4.730
1752174596.108255,207886.000,31997,2,GY,1,100,6.836
1752174596.148255,207926.000,31997,2,GY,1,100,9.338
1752174596.188255,207966.000,32012,3,GY,1,100,12.360
1752174596.228255,208006.000,32012,3,GY,1,100,11.627
1752174596.268255,208046.000,32012,3,GY,1,100,8.575
1752174596.308255,208086.000,32029,2,GY,1,100,6.897
1752174596.348255,208126.000,32029,2,GY,1,100,5.280
1752174596.388255,208166.000,32046,3,GY,1,100,4.150
1752174596.428255,208206.000,32046,3,GY,1,100,3.113
1752174596.468255,208246.000,32046,3,GY,1,100,2.563
1752174596.508255,208286.000,32062,2,GY,1,100,2.014
1752174596.548255,208326.000,32062,2,GY,1,100,0.977
1752174596.588255,208366.000,32079,3,GY,1,100,1.099
1752174596.628255,208406.000,32079,3,GY,1,100,1.801
1752174596.668255,208446.000,32079,3,GY,1,100,2.014
1752174596.708255,208486.000,32098,3,GY,1,100,2.350
1752174596.748255,208526.000,32098,3,GY,1,100,2.014
1752174596.788255,208566.000,32098,3,GY,1,100,2.533
1752174596.828255,208606.000,32115,2,GY,1,100,5.798
1752174596.868255,208646.000,32115,2,GY,1,100,9.521
1752174596.908255,208686.000,32131,3,GY,1,100,10.590
1752174596.948255,208726.000,32131,3,GY,1,100,9.430
1752174596.988255,208766.000,32131,3,GY,1,100,5.280
1752174597.028255,208806.000,32149,2,GY,1,100,0.336
1752174597.068255,208846.000,32149,2,GY,1,100,-1.526
1752174597.108255,208886.000,32165,3,GY,1,100,-1.556
1752174597.148255,208926.000,32165,3,GY,1,100,-3.021
1752174597.188255,208966.000,32165,3,GY,1,100,-3.418
1752174597.228255,209006.000,32182,2,GY,1,100,-1.923
1752174597.268255,209046.000,32182,2,GY,1,100,-1.923
1752174597.308255,209086.000,32203,3,GY,1,100,-1.556
1752174597.348255,209126.000,32203,3,GY,1,100,2.136
1752174597.388255,209166.000,32203,3,GY,1,100,4.089
