LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1752174593.069255,204847,31473,1,HR,1,100,99.17
1752174593.829255,205607,31592,1,HR,1,100,94.68
1752174594.269255,206047,31677,1,HR,1,100,103.94
1752174595.522255,207300,31882,1,HR,1,100,91.60
1752174596.002255,207780,31968,1,HR,1,100,99.02
1752174596.762255,208540,32085,1,HR,1,100,94.56
1752174597.322255,209100,32188,1,HR,1,100,97.36
1752174597.922255,209700,32291,1,HR,1,100,97.94
1752174598.562255,210340,32394,1,HR,1,100,97.01
1752174599.122255,210900,32480,1,HR,1,100,99.26
1752174599.695254,211473,32581,1,HR,1,100,101.01
1752174600.415254,212193,32705,1,HR,1,100,97.08
1752174601.015254,212793,32806,1,HR,1,100,97.73
1752174601.575254,213353,32909,1,HR,1,100,99.82
1752174602.254254,214032,33011,1,HR,1,100,97.25
1752174603.014254,214792,33146,1,HR,1,100,93.18
1752174603.494254,215272,33229,1,HR,1,100,100.25
1752174604.068254,215846,33314,1,HR,1,100,101.78
1752174604.708254,216486,33433,1,HR,1,100,100.00
1752174605.428254,217206,33545,1,HR,1,100,96.29
1752174606.027254,217805,33645,1,HR,1,100,97.12
1752174606.587254,218365,33732,1,HR,1,100,99.35
1752174607.267254,219045,33848,1,HR,1,100,96.88
1752174607.907254,219685,33952,1,HR,1,100,96.18
1752174608.481254,220259,34053,1,HR,1,100,98.62
1752174609.120254,220898,34156,1,HR,1,100,97.54
1752174609.720254,221498,34258,1,HR,1,100,98.08
1752174610.440254,222218,34386,1,HR,1,100,94.81
1752174610.920254,222698,34453,1,HR,1,100,101.52
1752174611.640253,223418,34572,1,HR,1,100,97.48
1752174612.280253,224058,34692,1,HR,1,100,96.65
1752174612.920253,224698,34793,1,HR,1,100,96.00
1752174613.653253,225431,34912,1,HR,1,100,93.19
1752174614.173253,225951,34997,1,HR,1,100,98.12
1752174614.813253,226591,35114,1,HR,1,100,97.15
1752174615.493253,227271,35219,1,HR,1,100,95.17
1752174615.933253,227711,35291,1,HR,1,100,104.32
1752174616.653253,228431,35409,1,HR,1,100,99.66
1752174617.293253,229071,35530,1,HR,1,100,98.35
1752174617.826253,229604,35615,1,HR,1,100,102.13
1752174618.466253,230244,35718,1,HR,1,100,100.27
1752174619.106253,230884,35836,1,HR,1,100,98.82
1752174619.746253,231524,35938,1,HR,1,100,97.69
1752174620.466253,232244,36060,1,HR,1,100,94.50
1752174621.026253,232804,36151,1,HR,1,100,97.31
1752174621.666253,233444,36253,1,HR,1,100,96.52
1752174622.359253,234137,36373,1,HR,1,100,94.68
1752174622.919252,234697,36476,1,HR,1,100,97.45
1752174623.559252,235337,36578,1,HR,1,100,96.63
1752174624.159252,235937,36682,1,HR,1,100,97.38
1752174624.879252,236657,36801,1,HR,1,100,94.26
1752174625.399252,237177,36887,1,HR,1,100,98.95
1752174626.199252,237977,37029,1,HR,1,100,93.63
1752174626.639252,238417,37098,1,HR,1,100,103.13
1752174627.372252,239150,37215,1,HR,1,100,98.73
1752174627.972252,239750,37318,1,HR,1,100,99.01
1752174628.532252,240310,37417,1,HR,1,100,100.82
1752174629.132252,240910,37520,1,HR,1,100,100.64
1752174629.732252,241510,37608,1,HR,1,100,100.49
1752174630.372252,242150,37727,1,HR,1,100,99.00
1752174630.972252,242750,37821,1,HR,1,100,99.22
1752174631.585252,243363,37924,1,HR,1,100,99.39
1752174632.225252,244003,38041,1,HR,1,100,98.14
1752174632.785252,244563,38128,1,HR,1,100,100.14
1752174633.345252,245123,38228,1,HR,1,100,101.70
1752174634.025252,245803,38331,1,HR,1,100,98.70
1752174634.585251,246363,38432,1,HR,1,100,100.58
1752174635.225251,247003,38535,1,HR,1,100,99.06
1752174635.864251,247642,38637,1,HR,1,100,97.88
1752174636.478251,248256,38742,1,HR,1,100,98.35
1752174637.118251,248896,38844,1,HR,1,100,97.33
1752174637.678251,249456,38947,1,HR,1,100,99.51
1752174638.358251,250136,39064,1,HR,1,100,97.00
1752174638.958251,250736,39167,1,HR,1,100,97.67
1752174639.597251,251375,39272,1,HR,1,100,96.80
1752174640.197251,251975,39376,1,HR,1,100,97.51
1752174640.931251,252709,39499,1,HR,1,100,94.36
1752174641.411251,253189,39572,1,HR,1,100,101.17
1752174642.011251,253789,39673,1,HR,1,100,100.91
1752174642.770251,254548,39808,1,HR,1,100,96.03
1752174643.050251,254828,39843,1,HR,1,100,122.31
1752174643.730251,255508,39962,1,HR,1,100,114.74
1752174644.290251,256068,40063,1,HR,1,100,113.05
1752174644.890251,256668,40166,1,HR,1,100,110.15
1752174645.543251,257321,40271,1,HR,1,100,106.50
1752174646.103251,257881,40372,1,HR,1,100,106.65
1752174646.743250,258521,40465,1,HR,1,100,103.78
1752174647.343250,259121,40568,1,HR,1,100,102.94
1752174647.903250,259681,40671,1,HR,1,100,103.87
1752174648.503250,260281,40774,1,HR,1,100,103.01
1752174649.103250,260881,40875,1,HR,1,100,102.34
1752174649.756250,261534,40977,1,HR,1,100,100.43
1752174650.436250,262214,41095,1,HR,1,100,97.72
1752174650.636250,262414,41130,1,HR,1,100,142.68
1752174651.036250,262814,41197,1,HR,1,100,144.30
1752174651.596250,263374,41287,1,HR,1,100,136.04
1752174652.356250,264134,41404,1,HR,1,100,123.36
1752174652.916250,264694,41505,1,HR,1,100,119.75
