LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1752174592.829255,204607.000,31437,1,PR,1,100,68244
1752174592.869255,204647.000,31440,2,PR,1,100,68243
1752174592.909255,204687.000,31440,2,PR,1,100,68249
1752174592.949255,204727.000,31457,3,PR,1,100,68259
1752174592.989255,204767.000,31457,3,PR,1,100,68275
1752174593.029255,204807.000,31457,3,PR,1,100,68276
1752174593.069255,204847.000,31478,2,PR,1,100,68261
1752174593.109255,204887.000,31478,2,PR,1,100,68255
1752174593.149255,204927.000,31495,3,PR,1,100,68277
1752174593.189255,204967.000,31495,3,PR,1,100,68271
1752174593.229255,205007.000,31495,3,PR,1,100,68268
1752174593.269255,205047.000,31510,2,PR,1,100,68285
1752174593.309255,205087.000,31510,2,PR,1,100,68287
1752174593.349255,205127.000,31527,3,PR,1,100,68275
1752174593.389255,205167.000,31527,3,PR,1,100,68248
1752174593.429255,205207.000,31527,3,PR,1,100,68248
1752174593.469255,205247.000,31543,2,PR,1,100,68256
1752174593.509255,205287.000,31543,2,PR,1,100,68239
1752174593.549255,205327.000,31560,3,PR,1,100,68245
1752174593.589255,205367.000,31560,3,PR,1,100,68270
1752174593.629255,205407.000,31560,3,PR,1,100,68274
1752174593.669255,205447.000,31576,2,PR,1,100,68259
1752174593.709255,205487.000,31576,2,PR,1,100,68238
1752174593.749255,205527.000,31596,3,PR,1,100,68242
1752174593.789255,205567.000,31596,3,PR,1,100,68267
1752174593.829255,205607.000,31596,3,PR,1,100,68237
1752174593.869255,205647.000,31612,2,PR,1,100,68267
1752174593.909255,205687.000,31612,2,PR,1,100,68269
1752174593.949255,205727.000,31630,3,PR,1,100,68252
1752174593.989255,205767.000,31630,3,PR,1,100,68246
1752174594.029255,205807.000,31630,3,PR,1,100,68233
1752174594.069255,205847.000,31646,2,PR,1,100,68215
1752174594.109255,205887.000,31646,2,PR,1,100,68211
1752174594.149255,205927.000,31661,3,PR,1,100,68233
1752174594.189255,205967.000,31661,3,PR,1,100,68242
1752174594.229255,206007.000,31661,3,PR,1,100,68251
1752174594.269255,206047.000,31679,3,PR,1,100,68256
1752174594.309255,206087.000,31679,3,PR,1,100,68265
1752174594.349255,206127.000,31679,3,PR,1,100,68281
1752174594.389255,206167.000,31697,2,PR,1,100,68273
1752174594.429255,206207.000,31697,2,PR,1,100,68276
1752174594.469255,206247.000,31713,3,PR,1,100,68272
1752174594.509255,206287.000,31713,3,PR,1,100,68261
1752174594.549255,206327.000,31713,3,PR,1,100,68273
1752174594.595755,206373.500,31728,2,PR,1,100,68305
1752174594.642255,206420.000,31728,2,PR,1,100,68308
1752174594.682255,206460.000,31745,2,PR,1,100,68320
1752174594.722255,206500.000,31745,2,PR,1,100,68311
1752174594.762255,206540.000,31762,3,PR,1,100,68331
1752174594.802255,206580.000,31762,3,PR,1,100,68327
1752174594.842255,206620.000,31762,3,PR,1,100,68324
1752174594.882255,206660.000,31778,2,PR,1,100,68333
1752174594.922255,206700.000,31778,2,PR,1,100,68316
1752174594.962255,206740.000,31799,3,PR,1,100,68341
1752174595.002255,206780.000,31799,3,PR,1,100,68362
1752174595.042255,206820.000,31799,3,PR,1,100,68353
1752174595.082255,206860.000,31817,3,PR,1,100,68357
1752174595.122255,206900.000,31817,3,PR,1,100,68340
1752174595.162255,206940.000,31817,3,PR,1,100,68340
1752174595.202255,206980.000,31834,2,PR,1,100,68322
1752174595.242255,207020.000,31834,2,PR,1,100,68319
1752174595.282255,207060.000,31850,3,PR,1,100,68320
1752174595.322255,207100.000,31850,3,PR,1,100,68317
1752174595.362255,207140.000,31850,3,PR,1,100,68301
1752174595.402255,207180.000,31866,2,PR,1,100,68299
1752174595.442255,207220.000,31866,2,PR,1,100,68305
1752174595.482255,207260.000,31884,3,PR,1,100,68318
1752174595.522255,207300.000,31884,3,PR,1,100,68311
1752174595.562255,207340.000,31884,3,PR,1,100,68318
1752174595.602255,207380.000,31901,2,PR,1,100,68339
1752174595.642255,207420.000,31901,2,PR,1,100,68337
1752174595.682255,207460.000,31920,3,PR,1,100,68340
1752174595.722255,207500.000,31920,3,PR,1,100,68357
1752174595.762255,207540.000,31920,3,PR,1,100,68346
1752174595.802255,207580.000,31936,2,PR,1,100,68350
1752174595.842255,207620.000,31936,2,PR,1,100,68352
1752174595.882255,207660.000,31951,3,PR,1,100,68361
1752174595.922255,207700.000,31951,3,PR,1,100,68349
1752174595.962255,207740.000,31951,3,PR,1,100,68354
1752174596.002255,207780.000,31971,2,PR,1,100,68369
1752174596.042255,207820.000,31971,2,PR,1,100,68387
1752174596.082255,207860.000,31987,3,PR,1,100,68376
1752174596.122255,207900.000,31987,3,PR,1,100,68376
1752174596.162255,207940.000,31987,3,PR,1,100,68396
1752174596.202255,207980.000,32004,2,PR,1,100,68387
1752174596.242255,208020.000,32004,2,PR,1,100,68384
1752174596.282255,208060.000,32019,3,PR,1,100,68383
1752174596.322255,208100.000,32019,3,PR,1,100,68390
1752174596.362255,208140.000,32019,3,PR,1,100,68397
1752174596.402255,208180.000,32036,3,PR,1,100,68370
1752174596.442255,208220.000,32036,3,PR,1,100,68379
1752174596.482255,208260.000,32036,3,PR,1,100,68382
1752174596.522255,208300.000,32052,2,PR,1,100,68353
1752174596.562255,208340.000,32052,2,PR,1,100,68356
1752174596.602255,208380.000,32071,3,PR,1,100,68374
1752174596.642255,208420.000,32071,3,PR,1,100,68375
1752174596.682255,208460.000,32071,3,PR,1,100,68372
1752174596.722255,208500.000,32088,2,PR,1,100,68385
1752174596.762255,208540.000,32088,2,PR,1,100,68389
1752174596.802255,208580.000,32105,3,PR,1,100,68365
1752174596.842255,208620.000,32105,3,PR,1,100,68375
1752174596.882255,208660.000,32105,3,PR,1,100,68384
1752174596.922255,208700.000,32121,2,PR,1,100,68387
1752174596.962255,208740.000,32121,2,PR,1,100,68391
1752174597.002255,208780.000,32141,3,PR,1,100,68389
1752174597.042255,208820.000,32141,3,PR,1,100,68375
1752174597.082255,208860.000,32141,3,PR,1,100,68376
1752174597.122255,208900.000,32155,2,PR,1,100,68380
1752174597.162255,208940.000,32155,2,PR,1,100,68374
1752174597.202255,208980.000,32172,3,PR,1,100,68383
1752174597.242255,209020.000,32172,3,PR,1,100,68385
1752174597.282255,209060.000,32172,3,PR,1,100,68388
1752174597.322255,209100.000,32193,2,PR,1,100,68397
1752174597.362255,209140.000,32193,2,PR,1,100,68390
1752174597.402255,209180.000,32210,3,PR,1,100,68400
1752174597.442255,209220.000,32210,3,PR,1,100,68401
1752174597.482255,209260.000,32210,3,PR,1,100,68406
1752174597.522255,209300.000,32224,2,PR,1,100,68409
1752174597.562255,209340.000,32224,2,PR,1,100,68409
1752174597.602255,209380.000,32241,3,PR,1,100,68403
1752174597.642255,209420.000,32241,3,PR,1,100,68403
1752174597.682255,209460.000,32241,3,PR,1,100,68403
1752174597.722255,209500.000,32258,2,PR,1,100,68411
1752174597.762255,209540.000,32258,2,PR,1,100,68421
1752174597.802255,209580.000,32277,3,PR,1,100,68415
1752174597.842255,209620.000,32277,3,PR,1,100,68421
1752174597.882255,209660.000,32277,3,PR,1,100,68427
1752174597.922255,209700.000,32293,3,PR,1,100,68421
1752174597.962255,209740.000,32293,3,PR,1,100,68414
1752174598.002255,209780.000,32293,3,PR,1,100,68407
1752174598.042255,209820.000,32313,2,PR,1,100,68408
1752174598.082255,209860.000,32313,2,PR,1,100,68416
1752174598.122255,209900.000,32329,3,PR,1,100,68405
1752174598.162255,209940.000,32329,3,PR,1,100,68405
1752174598.202255,209980.000,32329,3,PR,1,100,68415
1752174598.242255,210020.000,32346,2,PR,1,100,68383
1752174598.282255,210060.000,32346,2,PR,1,100,68367
1752174598.322255,210100.000,32363,3,PR,1,100,68401
1752174598.362255,210140.000,32363,3,PR,1,100,68408
1752174598.402255,210180.000,32363,3,PR,1,100,68409
1752174598.442255,210220.000,32378,2,PR,1,100,68407
1752174598.482255,210260.000,32378,2,PR,1,100,68400
1752174598.522255,210300.000,32396,3,PR,1,100,68398
1752174598.562255,210340.000,32396,3,PR,1,100,68413
1752174598.602255,210380.000,32396,3,PR,1,100,68431
1752174598.642255,210420.000,32414,2,PR,1,100,68424
1752174598.682255,210460.000,32414,2,PR,1,100,68415
1752174598.721921,210499.667,32430,3,PR,1,100,68423
1752174598.761588,210539.333,32430,3,PR,1,100,68409
1752174598.801255,210579.000,32430,3,PR,1,100,68404
1752174598.841588,210619.333,32447,3,PR,1,100,68393
1752174598.881921,210659.667,32447,3,PR,1,100,68402
1752174598.922255,210700.000,32447,3,PR,1,100,68389
1752174598.962255,210740.000,32463,2,PR,1,100,68398
1752174599.002255,210780.000,32463,2,PR,1,100,68394
1752174599.042255,210820.000,32483,3,PR,1,100,68413
1752174599.082255,210860.000,32483,3,PR,1,100,68400
1752174599.122255,210900.000,32483,3,PR,1,100,68393
1752174599.161755,210939.500,32499,2,PR,1,100,68400
1752174599.201255,210979.000,32499,2,PR,1,100,68409
1752174599.248255,211026.000,32514,2,PR,1,100,68420
1752174599.295255,211073.000,32514,2,PR,1,100,68435
1752174599.335255,211113.000,32531,3,PR,1,100,68420
1752174599.375255,211153.000,32531,3,PR,1,100,68416
1752174599.415255,211193.000,32531,3,PR,1,100,68410
1752174599.455254,211233.000,32548,2,PR,1,100,68415
1752174599.495254,211273.000,32548,2,PR,1,100,68420
1752174599.535254,211313.000,32566,3,PR,1,100,68399
1752174599.575254,211353.000,32566,3,PR,1,100,68432
1752174599.615254,211393.000,32566,3,PR,1,100,68433
1752174599.655254,211433.000,32584,2,PR,1,100,68423
1752174599.695254,211473.000,32584,2,PR,1,100,68407
1752174599.735254,211513.000,32600,3,PR,1,100,68415
1752174599.775254,211553.000,32600,3,PR,1,100,68426
1752174599.815254,211593.000,32600,3,PR,1,100,68432
1752174599.855254,211633.000,32617,3,PR,1,100,68436
1752174599.895254,211673.000,32617,3,PR,1,100,68438
1752174599.935254,211713.000,32617,3,PR,1,100,68436
1752174599.975254,211753.000,32633,2,PR,1,100,68428
1752174600.015254,211793.000,32633,2,PR,1,100,68427
1752174600.055254,211833.000,32652,3,PR,1,100,68415
1752174600.095254,211873.000,32652,3,PR,1,100,68417
1752174600.135254,211913.000,32652,3,PR,1,100,68421
1752174600.175254,211953.000,32672,2,PR,1,100,68411
1752174600.215254,211993.000,32672,2,PR,1,100,68432
1752174600.255254,212033.000,32689,3,PR,1,100,68424
1752174600.295254,212073.000,32689,3,PR,1,100,68420
1752174600.335254,212113.000,32689,3,PR,1,100,68416
1752174600.375254,212153.000,32708,2,PR,1,100,68424
1752174600.415254,212193.000,32708,2,PR,1,100,68432
1752174600.455254,212233.000,32725,3,PR,1,100,68430
1752174600.495254,212273.000,32725,3,PR,1,100,68439
1752174600.535254,212313.000,32725,3,PR,1,100,68428
1752174600.575254,212353.000,32739,2,PR,1,100,68434
1752174600.615254,212393.000,32739,2,PR,1,100,68436
1752174600.655254,212433.000,32759,3,PR,1,100,68437
1752174600.695254,212473.000,32759,3,PR,1,100,68435
1752174600.735254,212513.000,32759,3,PR,1,100,68420
1752174600.775254,212553.000,32775,2,PR,1,100,68432
1752174600.815254,212593.000,32775,2,PR,1,100,68425
1752174600.855254,212633.000,32792,3,PR,1,100,68423
1752174600.895254,212673.000,32792,3,PR,1,100,68421
1752174600.935254,212713.000,32792,3,PR,1,100,68414
