LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1752174592.707255,204485,31474,1,SA,1,100,0.001612
1752174593.507255,205285,31593,1,SA,1,100,0.014533
1752174595.241255,207019,31916,1,SA,1,100,0.005096
1752174596.040255,207818,32068,1,SA,1,100,0.004113
1752174596.840255,208618,32137,1,SA,1,100,0.000964
1752174597.108255,208886,32189,1,SA,1,100,0.000970
1752174597.508255,209286,32274,1,SA,1,100,0.001957
1752174597.908255,209686,32309,1,SA,1,100,0.000740
1752174598.507255,210285,32444,1,SA,1,100,0.002989
1752174599.241255,211019,32563,1,SA,1,100,0.001987
1752174600.041254,211819,32755,1,SA,1,100,0.004444
1752174600.907254,212685,32841,1,SA,1,100,0.005658
1752174601.840254,213618,32993,1,SA,1,100,0.001204
1752174602.440254,214218,33110,1,SA,1,100,0.001824
1752174603.040254,214818,33230,1,SA,1,100,0.002068
1752174603.773254,215551,33333,1,SA,1,100,0.001626
1752174604.240254,216018,33434,1,SA,1,100,0.001952
1752174605.040254,216818,33525,1,SA,1,100,0.001900
1752174605.706254,217484,33611,1,SA,1,100,0.001325
1752174606.240254,218018,33712,1,SA,1,100,0.001491
1752174606.773254,218551,33849,1,SA,1,100,0.003405
1752174607.506254,219284,33917,1,SA,1,100,0.000900
1752174608.173254,219951,34054,1,SA,1,100,0.001197
1752174608.706254,220484,34121,1,SA,1,100,0.000705
1752174608.973254,220751,34174,1,SA,1,100,0.000583
1752174609.373254,221151,34277,1,SA,1,100,0.001930
1752174609.906254,221684,34346,1,SA,1,100,0.002671
1752174610.706254,222484,34487,1,SA,1,100,0.001664
1752174611.106254,222884,34590,1,SA,1,100,0.003791
1752174611.906253,223684,34672,1,SA,1,100,0.002689
1752174612.639253,224417,34808,1,SA,1,100,0.001270
1752174613.239253,225017,34876,1,SA,1,100,0.000308
1752174613.705253,225483,34998,1,SA,1,100,0.001554
1752174614.439253,226217,35115,1,SA,1,100,0.002832
1752174615.172253,226950,35240,1,SA,1,100,0.005498
1752174616.238253,228016,35375,1,SA,1,100,0.000689
1752174616.638253,228416,35444,1,SA,1,100,0.000322
1752174616.838253,228616,35494,1,SA,1,100,0.001111
1752174617.438253,229216,35616,1,SA,1,100,0.001678
1752174618.038253,229816,35697,1,SA,1,100,0.001361
1752174618.438253,230216,35735,1,SA,1,100,0.000330
1752174618.771253,230549,35837,1,SA,1,100,0.001184
1752174619.305253,231083,35939,1,SA,1,100,0.002338
1752174620.105253,231883,36041,1,SA,1,100,0.001688
1752174620.705253,232483,36116,1,SA,1,100,0.000387
1752174620.905253,232683,36169,1,SA,1,100,0.000438
1752174621.305253,233083,36271,1,SA,1,100,0.001613
1752174621.905253,233683,36339,1,SA,1,100,0.001132
1752174622.505253,234283,36440,1,SA,1,100,0.000991
1752174622.838253,234616,36477,1,SA,1,100,0.000248
1752174623.171252,234949,36579,1,SA,1,100,0.001899
1752174623.638252,235416,36630,1,SA,1,100,0.000603
1752174623.904252,235682,36683,1,SA,1,100,0.002481
1752174624.504252,236282,36784,1,SA,1,100,0.003179
1752174625.371252,237149,36922,1,SA,1,100,0.000980
1752174625.971252,237749,37030,1,SA,1,100,0.003917
1752174626.905252,238683,37180,1,SA,1,100,0.000368
1752174627.171252,238949,37250,1,SA,1,100,0.004977
1752174628.171252,239949,37418,1,SA,1,100,0.001980
1752174628.771252,240549,37536,1,SA,1,100,0.001937
1752174629.438252,241216,37588,1,SA,1,100,0.000379
1752174629.637252,241415,37624,1,SA,1,100,0.001195
1752174630.037252,241815,37728,1,SA,1,100,0.001256
1752174630.571252,242349,37779,1,SA,1,100,0.000494
1752174631.170252,242948,37904,1,SA,1,100,0.001329
1752174631.838252,243616,38005,1,SA,1,100,0.000948
1752174632.170252,243948,38042,1,SA,1,100,0.000727
1752174632.503252,244281,38194,1,SA,1,100,0.003157
1752174633.237252,245015,38246,1,SA,1,100,0.001759
1752174633.703252,245481,38332,1,SA,1,100,0.005170
1752174634.971251,246749,38617,1,SA,1,100,0.006009
1752174636.303251,248081,38759,1,SA,1,100,0.001176
1752174636.770251,248548,38846,1,SA,1,100,0.000946
1752174637.170251,248948,38895,1,SA,1,100,0.000715
1752174637.970251,249748,39066,1,SA,1,100,0.002161
1752174638.636251,250414,39150,1,SA,1,100,0.001087
1752174638.970251,250748,39186,1,SA,1,100,0.000363
1752174639.170251,250948,39253,1,SA,1,100,0.001336
1752174639.570251,251348,39290,1,SA,1,100,0.000671
1752174639.903251,251681,39377,1,SA,1,100,0.000673
1752174640.236251,252014,39412,1,SA,1,100,0.001168
1752174640.636251,252414,39479,1,SA,1,100,0.000679
1752174641.036251,252814,39553,1,SA,1,100,0.003747
1752174641.637251,253415,39706,1,SA,1,100,0.004524
1752174642.570251,254348,39809,1,SA,1,100,0.003308
1752174643.102251,254880,39894,1,SA,1,100,0.000254
1752174643.370251,255148,39980,1,SA,1,100,0.001977
1752174644.036251,255814,40064,1,SA,1,100,0.001220
1752174644.436251,256214,40184,1,SA,1,100,0.003820
1752174645.236251,257014,40254,1,SA,1,100,0.000912
1752174645.769251,257547,40373,1,SA,1,100,0.001641
1752174646.369250,258147,40445,1,SA,1,100,0.001321
1752174646.969250,258747,40548,1,SA,1,100,0.000731
