LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1752174593.107255,204885.000,31476,1,SF,1,100,81.2266
1752174593.374255,205152.000,31525,1,SF,1,100,80.2870
1752174593.707255,205485.000,31574,1,SF,1,100,79.3582
1752174594.041255,205819.000,31628,1,SF,1,100,80.5225
1752174594.441255,206219.000,31695,1,SF,1,100,79.5910
1752174594.707255,206485.000,31743,1,SF,1,100,78.6703
1752174595.041255,206819.000,31797,1,SF,1,100,77.7602
1752174595.440255,207218.000,31864,1,SF,1,100,76.8607
1752174595.707255,207485.000,31918,1,SF,1,100,78.0538
1752174596.040255,207818.000,31969,1,SF,1,100,77.1509
1752174596.374255,208152.000,32017,1,SF,1,100,76.2584
1752174596.774255,208552.000,32086,1,SF,1,100,77.4585
1752174597.040255,208818.000,32139,1,SF,1,100,78.6447
1752174597.374255,209152.000,32191,1,SF,1,100,79.8172
1752174597.774255,209552.000,32256,1,SF,1,100,78.8938
1752174598.040255,209818.000,32311,1,SF,1,100,82.1457
1752174598.374255,210152.000,32361,1,SF,1,100,81.1954
1752174598.707255,210485.000,32412,1,SF,1,100,80.2561
1752174599.107255,210885.000,32481,1,SF,1,100,81.4100
1752174599.373255,211151.000,32529,1,SF,1,100,80.4682
1752174599.707254,211485.000,32582,1,SF,1,100,81.6196
1752174600.107254,211885.000,32650,1,SF,1,100,80.6754
1752174600.440254,212218.000,32706,1,SF,1,100,79.7422
1752174600.707254,212485.000,32757,1,SF,1,100,80.9020
1752174601.040254,212818.000,32807,1,SF,1,100,79.9661
1752174601.440254,213218.000,32874,1,SF,1,100,81.1233
1752174601.707254,213485.000,32927,1,SF,1,100,80.1848
1752174602.040254,213818.000,32975,1,SF,1,100,79.2573
1752174602.440254,214218.000,33044,1,SF,1,100,80.4227
1752174602.773254,214551.000,33093,1,SF,1,100,79.4923
1752174603.040254,214818.000,33147,1,SF,1,100,80.6550
1752174603.373254,215151.000,33196,1,SF,1,100,79.7220
1752174603.773254,215551.000,33265,1,SF,1,100,80.8820
1752174604.040254,215818.000,33315,1,SF,1,100,79.9464
1752174604.373254,216151.000,33366,1,SF,1,100,81.1038
1752174604.773254,216551.000,33436,1,SF,1,100,82.2478
1752174605.106254,216884.000,33487,1,SF,1,100,81.2964
1752174605.373254,217151.000,33527,1,SF,1,100,82.4382
1752174605.706254,217484.000,33577,1,SF,1,100,81.4845
1752174606.106254,217884.000,33646,1,SF,1,100,82.6242
1752174606.373254,218151.000,33697,1,SF,1,100,81.6684
1752174606.706254,218484.000,33749,1,SF,1,100,82.8059
1752174607.106254,218884.000,33814,1,SF,1,100,81.8480
1752174607.439254,219217.000,33867,1,SF,1,100,82.9834
1752174607.706254,219484.000,33919,1,SF,1,100,84.1057
1752174608.039254,219817.000,33970,1,SF,1,100,83.1327
1752174608.439254,220217.000,34035,1,SF,1,100,82.1711
1752174608.706254,220484.000,34087,1,SF,1,100,83.3027
1752174609.039254,220817.000,34138,1,SF,1,100,84.4213
1752174609.439254,221217.000,34208,1,SF,1,100,85.5270
1752174609.772254,221550.000,34259,1,SF,1,100,84.5376
1752174610.039254,221817.000,34310,1,SF,1,100,85.6419
1752174610.372254,222150.000,34362,1,SF,1,100,86.7335
1752174610.706254,222484.000,34420,1,SF,1,100,85.7301
1752174611.106254,222884.000,34489,1,SF,1,100,86.8207
1752174611.439253,223217.000,34537,1,SF,1,100,85.8163
1752174611.706253,223484.000,34592,1,SF,1,100,86.9058
1752174612.039253,223817.000,34640,1,SF,1,100,85.9005
1752174612.439253,224217.000,34709,1,SF,1,100,86.9891
1752174612.705253,224483.000,34758,1,SF,1,100,85.9828
1752174613.039253,224817.000,34810,1,SF,1,100,87.0704
1752174613.439253,225217.000,34878,1,SF,1,100,88.1454
1752174613.705253,225483.000,34930,1,SF,1,100,87.1257
1752174614.039253,225817.000,34978,1,SF,1,100,86.1178
1752174614.372253,226150.000,35031,1,SF,1,100,87.2039
1752174614.772253,226550.000,35096,1,SF,1,100,86.1951
1752174615.039253,226817.000,35150,1,SF,1,100,87.2802
1752174615.372253,227150.000,35201,1,SF,1,100,86.2706
1752174615.705253,227483.000,35258,1,SF,1,100,87.3548
1752174616.038253,227816.000,35309,1,SF,1,100,86.3443
1752174616.438253,228216.000,35374,1,SF,1,100,85.3455
1752174616.705253,228483.000,35426,1,SF,1,100,86.4404
1752174617.038253,228816.000,35478,1,SF,1,100,87.5227
1752174617.372253,229150.000,35531,1,SF,1,100,88.5925
1752174617.772253,229550.000,35596,1,SF,1,100,87.5677
1752174618.038253,229816.000,35649,1,SF,1,100,88.6369
1752174618.372253,230150.000,35699,1,SF,1,100,89.6938
1752174618.771253,230549.000,35768,1,SF,1,100,90.7385
1752174619.038253,230816.000,35819,1,SF,1,100,89.6888
1752174619.371253,231149.000,35871,1,SF,1,100,90.7336
1752174619.705253,231483.000,35920,1,SF,1,100,89.6840
1752174620.105253,231883.000,35991,1,SF,1,100,90.7287
1752174620.371253,232149.000,36043,1,SF,1,100,91.7614
1752174620.705253,232483.000,36099,1,SF,1,100,90.6999
1752174621.038253,232816.000,36152,1,SF,1,100,91.7330
1752174621.371253,233149.000,36204,1,SF,1,100,92.7540
1752174621.771253,233549.000,36273,1,SF,1,100,93.7633
1752174622.038253,233816.000,36321,1,SF,1,100,92.6786
1752174622.371253,234149.000,36374,1,SF,1,100,93.6888
1752174622.771253,234549.000,36439,1,SF,1,100,92.6050
1752174623.038252,234816.000,36495,1,SF,1,100,95.6982
1752174623.371252,235149.000,36544,1,SF,1,100,94.5912
1752174623.704252,235482.000,36596,1,SF,1,100,95.5792
1752174624.104252,235882.000,36663,1,SF,1,100,96.5558
1752174624.371252,236149.000,36718,1,SF,1,100,97.5211
1752174624.704252,236482.000,36766,1,SF,1,100,96.3930
1752174625.104252,236882.000,36837,1,SF,1,100,97.3601
1752174625.371252,237149.000,36888,1,SF,1,100,96.2339
1752174625.704252,237482.000,36939,1,SF,1,100,97.2029
1752174626.037252,237815.000,36994,1,SF,1,100,96.0784
1752174626.371252,238149.000,37046,1,SF,1,100,97.0492
1752174626.771252,238549.000,37113,1,SF,1,100,95.9266
1752174627.037252,238815.000,37164,1,SF,1,100,94.8169
1752174627.371252,239149.000,37216,1,SF,1,100,95.8023
1752174627.704252,239482.000,37267,1,SF,1,100,96.7763
