LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1752174592.707255,204485,31475,1,SR,1,100,0.266667
1752174593.507255,205285,31594,1,SR,1,100,0.200000
1752174595.241255,207019,31917,1,SR,1,100,0.400000
1752174596.040255,207818,32069,1,SR,1,100,0.533333
1752174596.840255,208618,32138,1,SR,1,100,0.133333
1752174597.108255,208886,32190,1,SR,1,100,0.133333
1752174597.508255,209286,32275,1,SR,1,100,0.266667
1752174597.908255,209686,32310,1,SR,1,100,0.066667
1752174598.507255,210285,32445,1,SR,1,100,0.333333
1752174599.241255,211019,32564,1,SR,1,100,0.266667
1752174600.041254,211819,32756,1,SR,1,100,0.600000
1752174600.907254,212685,32842,1,SR,1,100,0.266667
1752174601.840254,213618,32994,1,SR,1,100,0.200000
1752174602.440254,214218,33111,1,SR,1,100,0.333333
1752174603.040254,214818,33231,1,SR,1,100,0.466667
1752174603.773254,215551,33334,1,SR,1,100,0.333333
1752174604.240254,216018,33435,1,SR,1,100,0.400000
1752174605.040254,216818,33526,1,SR,1,100,0.266667
1752174605.706254,217484,33612,1,SR,1,100,0.133333
1752174606.240254,218018,33713,1,SR,1,100,0.133333
1752174606.773254,218551,33850,1,SR,1,100,0.466667
1752174607.506254,219284,33918,1,SR,1,100,0.133333
1752174608.173254,219951,34055,1,SR,1,100,0.266667
1752174608.706254,220484,34122,1,SR,1,100,0.133333
1752174608.973254,220751,34175,1,SR,1,100,0.133333
1752174609.373254,221151,34278,1,SR,1,100,0.400000
1752174609.906254,221684,34347,1,SR,1,100,0.266667
1752174610.706254,222484,34488,1,SR,1,100,0.266667
1752174611.106254,222884,34591,1,SR,1,100,0.533333
1752174611.906253,223684,34673,1,SR,1,100,0.200000
1752174612.639253,224417,34809,1,SR,1,100,0.333333
1752174613.239253,225017,34877,1,SR,1,100,0.066667
1752174613.705253,225483,34999,1,SR,1,100,0.333333
1752174614.439253,226217,35116,1,SR,1,100,0.333333
1752174615.172253,226950,35241,1,SR,1,100,0.266667
1752174616.238253,228016,35376,1,SR,1,100,0.133333
1752174616.638253,228416,35445,1,SR,1,100,0.066667
1752174616.838253,228616,35495,1,SR,1,100,0.200000
