LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1752174592.849255,204627.000,31445,1,TH,1,100,36.868
1752174592.982255,204760.000,31462,1,TH,1,100,36.873
1752174593.115255,204893.000,31483,1,TH,1,100,36.873
1752174593.249255,205027.000,31514,1,TH,1,100,36.902
1752174593.382255,205160.000,31532,1,TH,1,100,36.910
1752174593.515255,205293.000,31548,1,TH,1,100,36.902
1752174593.649255,205427.000,31580,1,TH,1,100,36.902
1752174593.782255,205560.000,31601,1,TH,1,100,36.977
1752174593.915255,205693.000,31617,1,TH,1,100,36.977
1752174594.049255,205827.000,31635,1,TH,1,100,36.963
1752174594.182255,205960.000,31666,1,TH,1,100,36.970
1752174594.315255,206093.000,31684,1,TH,1,100,36.967
1752174594.449255,206227.000,31702,1,TH,1,100,36.967
1752174594.582255,206360.000,31733,1,TH,1,100,36.943
1752174594.715255,206493.000,31750,1,TH,1,100,36.943
1752174594.849255,206627.000,31767,1,TH,1,100,36.916
1752174594.982255,206760.000,31804,1,TH,1,100,36.923
1752174595.115255,206893.000,31822,1,TH,1,100,36.882
1752174595.249255,207027.000,31839,1,TH,1,100,36.882
1752174595.382255,207160.000,31871,1,TH,1,100,36.928
1752174595.515255,207293.000,31889,1,TH,1,100,36.928
1752174595.649255,207427.000,31906,1,TH,1,100,36.967
1752174595.782255,207560.000,31940,1,TH,1,100,36.967
1752174595.915255,207693.000,31956,1,TH,1,100,36.948
1752174596.049255,207827.000,31976,1,TH,1,100,36.955
1752174596.182255,207960.000,31992,1,TH,1,100,36.989
1752174596.315255,208093.000,32024,1,TH,1,100,36.989
1752174596.448255,208226.000,32041,1,TH,1,100,36.967
1752174596.582255,208360.000,32057,1,TH,1,100,36.967
1752174596.715255,208493.000,32093,1,TH,1,100,36.964
1752174596.848255,208626.000,32110,1,TH,1,100,36.972
1752174596.982255,208760.000,32126,1,TH,1,100,37.001
1752174597.115255,208893.000,32160,1,TH,1,100,37.001
1752174597.248255,209026.000,32177,1,TH,1,100,36.869
1752174597.382255,209160.000,32198,1,TH,1,100,36.869
1752174597.515255,209293.000,32229,1,TH,1,100,36.938
1752174597.648255,209426.000,32246,1,TH,1,100,36.938
1752174597.782255,209560.000,32263,1,TH,1,100,36.891
1752174597.915255,209693.000,32298,1,TH,1,100,36.898
1752174598.048255,209826.000,32318,1,TH,1,100,36.998
1752174598.182255,209960.000,32334,1,TH,1,100,36.998
1752174598.315255,210093.000,32351,1,TH,1,100,37.013
1752174598.448255,210226.000,32383,1,TH,1,100,37.013
1752174598.582255,210360.000,32401,1,TH,1,100,37.022
1752174598.715255,210493.000,32419,1,TH,1,100,37.030
1752174598.848255,210626.000,32452,1,TH,1,100,36.969
1752174598.982255,210760.000,32468,1,TH,1,100,36.969
1752174599.115255,210893.000,32488,1,TH,1,100,37.037
1752174599.248255,211026.000,32519,1,TH,1,100,37.037
1752174599.381255,211159.000,32536,1,TH,1,100,37.017
1752174599.515254,211293.000,32553,1,TH,1,100,37.025
1752174599.648254,211426.000,32589,1,TH,1,100,36.966
1752174599.781254,211559.000,32605,1,TH,1,100,36.966
1752174599.915254,211693.000,32622,1,TH,1,100,37.054
1752174600.048254,211826.000,32656,1,TH,1,100,37.054
1752174600.181254,211959.000,32677,1,TH,1,100,36.927
1752174600.315254,212093.000,32694,1,TH,1,100,36.927
1752174600.448254,212226.000,32713,1,TH,1,100,37.058
1752174600.581254,212359.000,32744,1,TH,1,100,37.066
1752174600.715254,212493.000,32764,1,TH,1,100,36.968
1752174600.848254,212626.000,32780,1,TH,1,100,36.968
1752174600.981254,212759.000,32814,1,TH,1,100,37.112
1752174601.115254,212893.000,32831,1,TH,1,100,37.112
1752174601.248254,213026.000,32849,1,TH,1,100,37.027
1752174601.381254,213159.000,32881,1,TH,1,100,37.034
1752174601.515254,213293.000,32898,1,TH,1,100,37.119
1752174601.648254,213426.000,32916,1,TH,1,100,37.119
1752174601.781254,213559.000,32948,1,TH,1,100,37.019
1752174601.915254,213693.000,32965,1,TH,1,100,37.019
1752174602.048254,213826.000,32982,1,TH,1,100,37.063
1752174602.181254,213959.000,33017,1,TH,1,100,37.070
1752174602.315254,214093.000,33034,1,TH,1,100,37.017
1752174602.448254,214226.000,33051,1,TH,1,100,37.017
1752174602.581254,214359.000,33068,1,TH,1,100,36.999
1752174602.715254,214493.000,33100,1,TH,1,100,36.999
1752174602.848254,214626.000,33118,1,TH,1,100,37.048
1752174602.981254,214759.000,33135,1,TH,1,100,37.048
1752174603.114254,214892.000,33169,1,TH,1,100,37.148
1752174603.248254,215026.000,33185,1,TH,1,100,37.155
1752174603.381254,215159.000,33203,1,TH,1,100,37.048
1752174603.514254,215292.000,33238,1,TH,1,100,37.048
1752174603.648254,215426.000,33254,1,TH,1,100,37.108
1752174603.781254,215559.000,33272,1,TH,1,100,37.108
1752174603.914254,215692.000,33303,1,TH,1,100,37.035
1752174604.048254,215826.000,33322,1,TH,1,100,37.043
1752174604.181254,215959.000,33341,1,TH,1,100,37.057
1752174604.314254,216092.000,33373,1,TH,1,100,37.057
1752174604.448254,216226.000,33389,1,TH,1,100,37.016
1752174604.581254,216359.000,33406,1,TH,1,100,37.016
1752174604.714254,216492.000,33442,1,TH,1,100,37.089
1752174604.848254,216626.000,33458,1,TH,1,100,37.096
1752174604.981254,216759.000,33475,1,TH,1,100,37.111
1752174605.114254,216892.000,33494,1,TH,1,100,37.111
1752174605.247754,217025.500,33534,2,TH,1,100,37.074
1752174605.381254,217159.000,33534,2,TH,1,100,37.074
1752174605.514254,217292.000,33552,1,TH,1,100,37.098
1752174605.648254,217426.000,33584,1,TH,1,100,37.106
1752174605.781254,217559.000,33601,1,TH,1,100,37.096
1752174605.914254,217692.000,33619,1,TH,1,100,37.096
1752174606.047254,217825.000,33653,1,TH,1,100,37.072
1752174606.181254,217959.000,33670,1,TH,1,100,37.072
