LF-FpZ,OTE_L-FpZ,RF-FpZ,OTE_R-FpZ,Time
-3.6622211371196626e-06,0.0003643910031434064,-2.7466658528397473e-06,0.0008542130802331613,0.0
2.6551103244117554e-05,0.0015747550889614551,1.464888454847865e-05,0.003085421308023316,0.008
7.141331217383343e-05,0.003968932157353435,4.577776421399579e-05,0.007486495559556871,0.016
9.430219428083131e-05,0.005005340739158299,6.40888698995941e-05,0.00933225501266518,0.024
9.247108371227149e-05,0.004878994109927671,6.0426648762474434e-05,0.009178441724906155,0.032
9.430219428083131e-05,0.0048185674611651965,6.40888698995941e-05,0.00902371288186285,0.04
9.430219428083131e-05,0.004865260780663472,6.134220404675436e-05,0.009194006164738913,0.048
8.972441785943173e-05,0.004442274239326151,6.134220404675436e-05,0.008379161961729789,0.056
8.6977752006592e-05,0.004260078737754447,5.5848872341074855e-05,0.00814752647480697,0.064
8.514664143803215e-05,0.003983581041901913,5.767998290963469e-05,0.0075945310831019,0.072
8.423108615375224e-05,0.003986327707754753,5.401776177251503e-05,0.007694326609088411,0.08
8.331553086947232e-05,0.0038032166508987697,5.676442762535478e-05,0.007314371166112246,0.088
8.056886501663259e-05,0.003627430036317026,5.127109591967528e-05,0.007091891232032226,0.096
7.782219916379283e-05,0.003319803460798974,5.310220648823511e-05,0.006488540299691763,0.104
7.599108859523301e-05,0.0032135990478225043,4.8524430066835536e-05,0.00639698477126377,0.112
7.507553331095309e-05,0.0029874568926053645,5.127109591967528e-05,0.005936460463270973,0.12
7.415997802667316e-05,0.002951750236518448,4.577776421399579e-05,0.00597582934049501,0.128
7.141331217383343e-05,0.002634968108157597,4.8524430066835536e-05,0.005347758415478987,0.136
6.95822016052736e-05,0.0025470748008667257,4.303109836115604e-05,0.005302896206549271,0.144
6.775109103671375e-05,0.002343821527756584,4.577776421399579e-05,0.004877162999359111,0.152
6.683553575243384e-05,0.002395092623676259,4.119998779259621e-05,0.005084078493606372,0.16
6.500442518387402e-05,0.0022357860042115543,4.394665364543596e-05,0.004741660817285683,0.168
6.317331461531417e-05,0.002260505996887112,3.845332193975646e-05,0.004903714102603228,0.176
6.134220404675436e-05,0.0020664082766197697,4.119998779259621e-05,0.004493545335245826,0.184
5.9511093478194525e-05,0.0020902127140110475,3.5706656086916715e-05,0.004660176396984771,0.192
5.767998290963469e-05,0.0018951994384594256,3.936887722403637e-05,0.004245429853205969,0.2
5.676442762535478e-05,0.0018585772270882288,3.387554551835688e-05,0.004312265388958404,0.208
5.493331705679494e-05,0.0015536973174230168,3.6622211371196624e-05,0.00369518112735374,0.216
5.310220648823511e-05,0.0015060884426404612,3.1128879665517136e-05,0.0037409588915677354,0.224
5.218665120395519e-05,0.0011764885402996918,3.47911008026368e-05,0.003081759086886196,0.232
5.035554063539536e-05,0.0011352885525070956,2.92977690969573e-05,0.0031421857356486705,0.24
4.9439985351115445e-05,0.0008185064241462446,3.204443494979705e-05,0.0025131992553483686,0.248
4.760887478255561e-05,0.000792870876186407,2.746665852839747e-05,0.00260200811792352,0.256
4.577776421399579e-05,0.0004724265266884365,3.0213324381237217e-05,0.0019556260872219,0.264
4.4862208929715866e-05,0.00042481765190588086,2.4719992675557722e-05,0.0020114749595629747,0.272
4.303109836115604e-05,9.521774956511123e-05,2.838221381267739e-05,0.0013476973784600358,0.28
4.211554307687612e-05,5.9511093478194525e-05,2.2888882106997894e-05,0.001446577349162267,0.288
4.119998779259621e-05,-0.0002517777031769768,2.746665852839747e-05,0.0008020264290292061,0.296
3.936887722403637e-05,-0.00026093325601977594,2.105777153843806e-05,0.0009384441663869136,0.304
3.845332193975646e-05,-0.0006299020355845819,2.3804437391277807e-05,0.00019775994140446178,0.312
3.7537766655476546e-05,-0.0006372264778588213,1.922666096987823e-05,0.0003378398998992889,0.32
3.5706656086916715e-05,-0.0010180974761192663,2.197332682271798e-05,-0.0003927732169560838,0.328
3.47911008026368e-05,-0.0009750663777581102,1.8311105685598312e-05,-0.00017303994872890408,0.336
3.387554551835688e-05,-0.0013147373882259588,2.105777153843806e-05,-0.0008587908566545609,0.344
3.295999023407697e-05,-0.0013550218207342751,1.3733329264198735e-05,-0.0007782219916379283,0.352
3.1128879665517136e-05,-0.0017102572710348824,1.8311105685598312e-05,-0.0014960173345133824,0.36
3.0213324381237217e-05,-0.0017679372539445173,1.1902218695638903e-05,-0.0013824884792626728,0.368
2.92977690969573e-05,-0.0020398571733756523,2.0142216254158147e-05,-0.0019840083010345773,0.376
