LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1752703219.949502,498633.000,14254,2,AK,1,100,13490
1752703219.949502,498633.000,14254,2,AK,1,100,RD
1752703219.956002,498639.500,14257,2,AK,1,100,14255
1752703219.962502,498646.000,14257,2,AK,1,100,RD
1752703222.512008,501195.500,15110,2,AK,1,100,14255
1752703225.061513,503745.000,15110,2,AK,1,100,RD
1752703225.068013,503751.500,15113,2,AK,1,100,15111
1752703225.074513,503758.000,15113,2,AK,1,100,RD
1752703227.631519,506315.000,15981,2,AK,1,100,15111
1752703230.188525,508872.000,15981,2,AK,1,100,RD
1752703230.192525,508876.000,15984,2,AK,1,100,15982
1752703230.196525,508880.000,15984,2,AK,1,100,RD
1752703232.745531,511429.000,16845,2,AK,1,100,15982
1752703235.294537,513978.000,16845,2,AK,1,100,RD
1752703235.300537,513984.000,16848,2,AK,1,100,16846
1752703235.306537,513990.000,16848,2,AK,1,100,RD
1752703237.855043,516538.500,17708,2,AK,1,100,16846
1752703240.403549,519087.000,17708,2,AK,1,100,RD
1752703240.411049,519094.500,17711,2,AK,1,100,17709
1752703240.418549,519102.000,17711,2,AK,1,100,RD
1752703242.976055,521659.500,18585,2,AK,1,100,17709
1752703245.533561,524217.000,18585,2,AK,1,100,RD
1752703245.539561,524223.000,18588,2,AK,1,100,18586
1752703245.545561,524229.000,18588,2,AK,1,100,RD
1752703248.093067,526776.500,19446,2,AK,1,100,18586
1752703250.640573,529324.000,19446,2,AK,1,100,RD
1752703250.646573,529330.000,19449,2,AK,1,100,19447
1752703250.652573,529336.000,19449,2,AK,1,100,RD
1752703253.214078,531897.500,20325,2,AK,1,100,19447
1752703255.775584,534459.000,20325,2,AK,1,100,RD
1752703255.790584,534474.000,20328,2,AK,1,100,20326
1752703255.805584,534489.000,20328,2,AK,1,100,RD
1752703258.352590,537036.000,20978,2,AK,1,100,20326
1752703260.899596,539583.000,20978,2,AK,1,100,RD
1752703260.905596,539589.000,20981,2,AK,1,100,20979
1752703260.911596,539595.000,20981,2,AK,1,100,RD
1752703263.461102,542144.500,21836,2,AK,1,100,20979
