LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1752703216.587494,495271,13695,1,BI,1,100,680
1752703217.227495,495911,13793,1,BI,1,100,640
1752703217.906497,496590,13914,1,BI,1,100,680
1752703218.546498,497230,14014,1,BI,1,100,640
1752703219.146500,497830,14117,1,BI,1,100,600
1752703219.720501,498404,14218,1,BI,1,100,560
1752703220.320502,499004,14326,1,BI,1,100,600
1752703220.959504,499643,14429,1,BI,1,100,640
1752703221.519505,500203,14512,1,BI,1,100,560
1752703222.279507,500963,14647,1,BI,1,100,760
1752703222.879508,501563,14751,1,BI,1,100,600
1752703223.559510,502243,14854,1,BI,1,100,680
1752703224.332512,503016,14991,1,BI,1,100,760
1752703224.892513,503576,15090,1,BI,1,100,560
1752703225.652515,504336,15215,1,BI,1,100,760
1752703226.332516,505016,15330,1,BI,1,100,680
1752703227.012518,505696,15448,1,BI,1,100,680
1752703227.612519,506296,15533,1,BI,1,100,600
1752703228.212521,506896,15636,1,BI,1,100,600
1752703228.892522,507576,15758,1,BI,1,100,680
1752703229.545524,508229,15876,1,BI,1,100,640
1752703230.305526,508989,16002,1,BI,1,100,760
1752703230.945527,509629,16104,1,BI,1,100,640
1752703231.625529,510309,16223,1,BI,1,100,680
1752703232.345530,511029,16345,1,BI,1,100,720
1752703233.105532,511789,16481,1,BI,1,100,760
1752703233.785534,512469,16584,1,BI,1,100,680
1752703234.438535,513122,16703,1,BI,1,100,640
1752703235.158537,513842,16823,1,BI,1,100,720
1752703235.838538,514522,16935,1,BI,1,100,680
1752703236.598540,515282,17072,1,BI,1,100,760
1752703237.158541,515842,17157,1,BI,1,100,560
1752703237.838543,516522,17279,1,BI,1,100,680
1752703238.518544,517202,17398,1,BI,1,100,680
1752703239.211546,517895,17519,1,BI,1,100,680
1752703239.931548,518615,17638,1,BI,1,100,720
1752703240.531549,519215,17748,1,BI,1,100,600
1752703241.211551,519895,17848,1,BI,1,100,680
1752703241.891552,520575,17968,1,BI,1,100,680
1752703242.571554,521255,18090,1,BI,1,100,680
1752703243.211555,521895,18190,1,BI,1,100,640
1752703243.864557,522548,18295,1,BI,1,100,640
1752703244.544558,523228,18413,1,BI,1,100,680
1752703245.224560,523908,18535,1,BI,1,100,680
