LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1752703218.151497,496835.000,13963,1,BV,1,100,3.72
1752703223.151509,501835.000,14801,1,BV,1,100,3.72
1752703228.150521,506834.000,15655,1,BV,1,100,3.72
1752703233.150532,511834.000,16500,1,BV,1,100,3.71
1752703238.149544,516833.000,17345,1,BV,1,100,3.72
1752703243.149555,521833.000,18188,1,BV,1,100,3.72
1752703248.148567,526832.000,19050,1,BV,1,100,3.72
1752703253.148578,531832.000,19894,1,BV,1,100,3.72
1752703258.147590,536831.000,20674,1,BV,1,100,3.72
1752703263.147601,541831.000,21373,1,BV,1,100,3.72
1752703268.146613,546830.000,22212,1,BV,1,100,3.72
1752703273.146625,551830.000,23041,1,BV,1,100,3.72
1752703278.145636,556829.000,23901,1,BV,1,100,3.72
1752703283.145648,561829.000,24743,1,BV,1,100,3.72
1752703288.144659,566828.000,25358,1,BV,1,100,3.72
1752703293.144671,571828.000,26200,1,BV,1,100,3.72
1752703298.143682,576827.000,27064,1,BV,1,100,3.72
1752703303.143694,581827.000,27889,1,BV,1,100,3.72
1752703308.142705,586826.000,28729,1,BV,1,100,3.72
1752703313.142717,591826.000,29565,1,BV,1,100,3.72
1752703318.141728,596825.000,30409,1,BV,1,100,3.72
1752703323.141740,601825.000,31251,1,BV,1,100,3.72
1752703328.140752,606824.000,32065,1,BV,1,100,3.72
1752703333.140763,611824.000,32910,1,BV,1,100,3.72
1752703338.139775,616823.000,33761,1,BV,1,100,3.72
1752703343.139786,621823.000,34604,1,BV,1,100,3.72
1752703348.138798,626822.000,35444,1,BV,1,100,3.72
1752703353.138809,631822.000,36266,1,BV,1,100,3.72
1752703358.137821,636821.000,37103,1,BV,1,100,3.72
1752703363.137832,641821.000,37947,1,BV,1,100,3.72
1752703368.136844,646820.000,38787,1,BV,1,100,3.72
1752703373.136856,651820.000,39632,1,BV,1,100,3.72
1752703378.135867,656819.000,40472,1,BV,1,100,3.72
1752703383.135879,661819.000,41315,1,BV,1,100,3.72
1752703388.134890,666818.000,42138,1,BV,1,100,3.72
1752703393.134902,671818.000,42975,1,BV,1,100,3.72
1752703398.133913,676817.000,43808,1,BV,1,100,3.72
1752703403.133925,681817.000,44638,1,BV,1,100,3.72
1752703408.132936,686816.000,45475,1,BV,1,100,3.72
1752703413.132948,691816.000,46313,1,BV,1,100,3.72
1752703418.131959,696815.000,47126,1,BV,1,100,3.72
1752703423.131971,701815.000,47958,1,BV,1,100,3.73
1752703428.130983,706814.000,48782,1,BV,1,100,3.73
1752703433.130994,711814.000,49607,1,BV,1,100,3.73
1752703438.130006,716813.000,50416,1,BV,1,100,3.72
1752703443.130017,721813.000,51236,1,BV,1,100,3.73
1752703448.129029,726812.000,52070,1,BV,1,100,3.73
1752703453.129040,731812.000,52898,1,BV,1,100,3.73
1752703458.128052,736811.000,53720,1,BV,1,100,3.73
1752703463.128063,741811.000,54546,1,BV,1,100,3.72
1752703468.127075,746810.000,55368,1,BV,1,100,3.73
1752703473.127087,751810.000,56172,1,BV,1,100,3.73
1752703478.126098,756809.000,57001,1,BV,1,100,3.72
1752703483.126110,761809.000,57825,1,BV,1,100,3.73
1752703488.125121,766808.000,58645,1,BV,1,100,3.73
1752703493.125133,771808.000,59245,1,BV,1,100,3.73
1752703498.124144,776807.000,60068,1,BV,1,100,3.73
1752703503.124156,781807.000,60895,1,BV,1,100,3.73
1752703508.123167,786806.000,61716,1,BV,1,100,3.73
1752703513.123179,791806.000,62538,1,BV,1,100,3.73
1752703518.122191,796805.000,63363,1,BV,1,100,3.73
1752703523.122202,801805.000,64168,1,BV,1,100,3.73
1752703528.121214,806804.000,64990,1,BV,1,100,3.73
1752703533.121225,811804.000,279,1,BV,1,100,3.73
1752703538.120237,816803.000,1117,1,BV,1,100,3.73
1752703543.120248,821803.000,1941,1,BV,1,100,3.73
1752703548.119260,826802.000,2762,1,BV,1,100,3.73
1752703553.119271,831802.000,3567,1,BV,1,100,3.73
1752703558.118283,836801.000,4408,1,BV,1,100,3.73
1752703563.118294,841801.000,5236,1,BV,1,100,3.73
1752703568.117306,846800.000,6056,1,BV,1,100,3.73
1752703573.117318,851800.000,6871,1,BV,1,100,3.73
1752703578.116329,856799.000,7693,1,BV,1,100,3.73
1752703583.116341,861799.000,8533,1,BV,1,100,3.73
1752703588.115352,866798.000,9356,1,BV,1,100,3.73
1752703593.115364,871798.000,10178,1,BV,1,100,3.73
1752703598.114375,876797.000,11002,1,BV,1,100,3.73
1752703603.114387,881797.000,11840,1,BV,1,100,3.73
1752703608.113398,886796.000,12651,1,BV,1,100,3.74
1752703613.113410,891796.000,13476,1,BV,1,100,3.73
1752703618.112422,896795.000,14314,1,BV,1,100,3.74
1752703623.112433,901795.000,15137,1,BV,1,100,3.73
1752703628.111445,906794.000,15958,1,BV,1,100,3.73
1752703633.111456,911794.000,16777,1,BV,1,100,3.74
1752703638.110468,916793.000,17617,1,BV,1,100,3.74
1752703643.110479,921793.000,18442,1,BV,1,100,3.73
1752703648.109491,926792.000,19262,1,BV,1,100,3.73
1752703653.109502,931792.000,20082,1,BV,1,100,3.74
1752703658.108514,936791.000,20904,1,BV,1,100,3.74
1752703663.108525,941791.000,21744,1,BV,1,100,3.74
1752703668.107537,946790.000,22565,1,BV,1,100,3.74
1752703673.107549,951790.000,23387,1,BV,1,100,3.74
1752703678.106560,956789.000,24209,1,BV,1,100,3.74
1752703683.106572,961789.000,25029,1,BV,1,100,3.74
1752703688.105583,966788.000,25851,1,BV,1,100,3.74
1752703693.105595,971788.000,26674,1,BV,1,100,3.74
1752703698.104606,976787.000,27289,1,BV,1,100,3.74
1752703703.104618,981787.000,28110,1,BV,1,100,3.74
1752703708.103629,986786.000,28932,1,BV,1,100,3.74
1752703713.103641,991786.000,29760,1,BV,1,100,3.74
1752703718.102653,996785.000,30582,1,BV,1,100,3.74
1752703723.102664,1001785.000,31402,1,BV,1,100,3.74
1752703728.101676,1006784.000,32240,1,BV,1,100,3.75
1752703733.101687,1011784.000,33049,1,BV,1,100,3.74
1752703738.100699,1016783.000,33869,1,BV,1,100,3.74
1752703743.100710,1021783.000,34692,1,BV,1,100,3.74
1752703748.099722,1026782.000,35499,1,BV,1,100,3.74
1752703753.099733,1031782.000,36320,1,BV,1,100,3.74
1752703758.098745,1036781.000,37143,1,BV,1,100,3.74
1752703763.098757,1041781.000,37967,1,BV,1,100,3.74
1752703768.097768,1046780.000,38790,1,BV,1,100,3.74
1752703773.097780,1051780.000,39595,1,BV,1,100,3.74
1752703778.096791,1056779.000,40417,1,BV,1,100,3.75
1752703783.096803,1061779.000,41241,1,BV,1,100,3.74
1752703788.095814,1066778.000,42057,1,BV,1,100,3.74
1752703793.095826,1071778.000,42881,1,BV,1,100,3.74
1752703798.094837,1076777.000,43701,1,BV,1,100,3.75
1752703803.094849,1081777.000,44524,1,BV,1,100,3.74
1752703808.093860,1086776.000,45344,1,BV,1,100,3.74
1752703813.093872,1091776.000,46149,1,BV,1,100,3.75
1752703818.092884,1096775.000,46972,1,BV,1,100,3.74
1752703823.092895,1101775.000,47797,1,BV,1,100,3.74
1752703828.091907,1106774.000,48618,1,BV,1,100,3.75
1752703833.091918,1111774.000,49442,1,BV,1,100,3.74
1752703838.090930,1116773.000,50245,1,BV,1,100,3.75
1752703843.090941,1121773.000,51071,1,BV,1,100,3.75
1752703848.089953,1126772.000,51891,1,BV,1,100,3.75
1752703853.089964,1131772.000,52696,1,BV,1,100,3.75
1752703858.088976,1136771.000,53522,1,BV,1,100,3.75
1752703863.088988,1141771.000,54342,1,BV,1,100,3.75
1752703868.087999,1146770.000,55165,1,BV,1,100,3.75
1752703873.088011,1151770.000,55967,1,BV,1,100,3.74
1752703878.087022,1156769.000,56790,1,BV,1,100,3.75
1752703883.087034,1161769.000,57613,1,BV,1,100,3.75
1752703888.086045,1166768.000,58433,1,BV,1,100,3.75
1752703893.086057,1171768.000,59258,1,BV,1,100,3.75
1752703898.085068,1176767.000,60019,1,BV,1,100,3.75
1752703903.085080,1181767.000,60666,1,BV,1,100,3.75
1752703908.084091,1186766.000,61490,1,BV,1,100,3.75
1752703913.084103,1191766.000,62316,1,BV,1,100,3.75
1752703918.083115,1196765.000,63137,1,BV,1,100,3.76
1752703923.083126,1201765.000,63940,1,BV,1,100,3.75
1752703928.082138,1206764.000,64761,1,BV,1,100,3.75
1752703933.082149,1211764.000,47,1,BV,1,100,3.75
1752703938.081161,1216763.000,870,1,BV,1,100,3.75
1752703943.081172,1221763.000,1708,1,BV,1,100,3.75
1752703948.080184,1226762.000,2529,1,BV,1,100,3.75
1752703953.080195,1231762.000,3356,1,BV,1,100,3.75
1752703958.079207,1236761.000,4175,1,BV,1,100,3.76
1752703963.079219,1241761.000,5000,1,BV,1,100,3.76
1752703968.078230,1246760.000,5840,1,BV,1,100,3.75
1752703973.078242,1251760.000,6645,1,BV,1,100,3.75
1752703978.077253,1256759.000,7470,1,BV,1,100,3.75
1752703983.077265,1261759.000,8289,1,BV,1,100,3.76
1752703988.076276,1266758.000,9127,1,BV,1,100,3.75
1752703993.076288,1271758.000,9950,1,BV,1,100,3.76
1752703998.075299,1276757.000,10769,1,BV,1,100,3.76
1752704003.075311,1281757.000,11569,1,BV,1,100,3.76
1752704008.074323,1286756.000,12410,1,BV,1,100,3.76
