LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1752703216.452494,495136.000,13665,2,EL,1,100,-8409.000000
1752703216.452494,495136.000,13665,2,EL,1,100,-8517.599609
1752703216.519494,495203.000,13683,1,EL,1,100,-8610.400391
1752703216.585994,495269.500,13701,2,EL,1,100,-8703.000000
1752703216.652494,495336.000,13701,2,EL,1,100,-8702.200195
1752703216.719494,495403.000,13718,1,EL,1,100,-8710.000000
1752703216.785994,495469.500,13733,2,EL,1,100,-8767.400391
1752703216.852494,495536.000,13733,2,EL,1,100,-8932.799805
1752703216.919495,495603.000,13750,1,EL,1,100,-8993.000000
1752703216.985995,495669.500,13766,2,EL,1,100,-9042.799805
1752703217.052495,495736.000,13766,2,EL,1,100,-9124.599609
1752703217.119495,495803.000,13783,1,EL,1,100,-9171.400391
1752703217.185995,495869.500,13802,2,EL,1,100,-9212.599609
1752703217.252495,495936.000,13802,2,EL,1,100,-9240.599609
1752703217.319496,496003.000,13819,1,EL,1,100,-9261.599609
1752703217.385996,496069.500,13835,2,EL,1,100,-9276.000000
1752703217.452496,496136.000,13835,2,EL,1,100,-9285.000000
1752703217.519496,496203.000,13853,1,EL,1,100,-9297.799805
1752703217.585996,496269.500,13867,2,EL,1,100,-9314.400391
1752703217.652496,496336.000,13867,2,EL,1,100,-9332.000000
1752703217.719496,496403.000,13884,1,EL,1,100,-9328.599609
1752703217.785997,496469.500,13901,2,EL,1,100,-9403.799805
1752703217.852497,496536.000,13901,2,EL,1,100,-9405.400391
1752703217.918497,496602.000,13920,1,EL,1,100,-9406.799805
1752703217.985497,496669.000,13934,2,EL,1,100,-9404.200195
1752703218.052497,496736.000,13934,2,EL,1,100,-9303.799805
1752703218.119497,496803.000,13951,1,EL,1,100,-9325.599609
1752703218.185998,496869.500,13970,2,EL,1,100,-9373.400391
1752703218.252498,496936.000,13970,2,EL,1,100,-9408.000000
1752703218.318498,497002.000,13987,1,EL,1,100,-9433.599609
1752703218.385498,497069.000,14002,2,EL,1,100,-9467.799805
1752703218.452498,497136.000,14002,2,EL,1,100,-9496.200195
1752703218.518998,497202.500,14023,2,EL,1,100,-9422.000000
1752703218.585498,497269.000,14023,2,EL,1,100,-9362.200195
1752703218.652499,497336.000,14039,1,EL,1,100,-9417.200195
1752703218.718999,497402.500,14056,2,EL,1,100,-9519.799805
1752703218.785499,497469.000,14056,2,EL,1,100,-9570.799805
1752703218.852499,497536.000,14073,1,EL,1,100,-9624.200195
1752703218.918999,497602.500,14088,2,EL,1,100,-9630.799805
1752703218.985499,497669.000,14088,2,EL,1,100,-9631.400391
1752703219.052500,497736.000,14104,1,EL,1,100,-9666.400391
1752703219.119000,497802.500,14126,2,EL,1,100,-9694.599609
1752703219.185500,497869.000,14126,2,EL,1,100,-9683.400391
1752703219.252500,497936.000,14142,1,EL,1,100,-9640.400391
1752703219.319000,498002.500,14157,2,EL,1,100,-9664.000000
1752703219.385500,498069.000,14157,2,EL,1,100,-9687.200195
1752703219.452500,498136.000,14173,1,EL,1,100,-9688.200195
1752703219.519001,498202.500,14191,2,EL,1,100,-9697.400391
1752703219.585501,498269.000,14191,2,EL,1,100,-9720.200195
1752703219.652501,498336.000,14207,1,EL,1,100,-9736.000000
1752703219.719001,498402.500,14224,2,EL,1,100,-9765.000000
1752703219.785501,498469.000,14224,2,EL,1,100,-9788.200195
1752703219.852501,498536.000,14241,1,EL,1,100,-9809.799805
1752703219.919002,498602.500,14265,2,EL,1,100,-9809.400391
1752703219.985502,498669.000,14265,2,EL,1,100,-9811.000000
1752703220.052502,498736.000,14281,1,EL,1,100,-9817.200195
1752703220.119002,498802.500,14297,2,EL,1,100,-9816.599609
1752703220.185502,498869.000,14297,2,EL,1,100,-9807.599609
1752703220.252502,498936.000,14313,1,EL,1,100,-9822.599609
1752703220.319002,499002.500,14332,2,EL,1,100,-9846.599609
1752703220.385503,499069.000,14332,2,EL,1,100,-9873.799805
1752703220.452503,499136.000,14348,1,EL,1,100,-9931.000000
1752703220.519003,499202.500,14367,2,EL,1,100,-9892.799805
1752703220.585503,499269.000,14367,2,EL,1,100,-9876.400391
1752703220.652503,499336.000,14382,1,EL,1,100,-9877.400391
1752703220.719003,499402.500,14399,2,EL,1,100,-9925.599609
1752703220.785504,499469.000,14399,2,EL,1,100,-9970.000000
1752703220.852004,499535.500,14416,2,EL,1,100,-10035.599609
