LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1752703216.352493,495036.000,13648,4,EM,1,100,RS
1752703216.352493,495036.000,13648,4,EM,1,100,RB
1752703216.352493,495036.000,13648,4,EM,1,100,2025-07-16_18-00-15-608675.csv
1752703216.352493,495036.000,13648,4,EM,1,100,PS
1752703216.402743,495086.250,13677,4,EM,1,100,RS
1752703216.452994,495136.500,13677,4,EM,1,100,RB
1752703216.503244,495186.750,13677,4,EM,1,100,2025-07-16_18-00-15-608675.csv
1752703216.553494,495237.000,13677,4,EM,1,100,PS
1752703216.603744,495287.250,13713,4,EM,1,100,RS
1752703216.653994,495337.500,13713,4,EM,1,100,RB
1752703216.704244,495387.750,13713,4,EM,1,100,2025-07-16_18-00-15-608675.csv
1752703216.754494,495438.000,13713,4,EM,1,100,PS
1752703216.804744,495488.250,13745,4,EM,1,100,RS
1752703216.854994,495538.500,13745,4,EM,1,100,RB
1752703216.905245,495588.750,13745,4,EM,1,100,2025-07-16_18-00-15-608675.csv
1752703216.955495,495639.000,13745,4,EM,1,100,PS
1752703217.005745,495689.250,13778,4,EM,1,100,RS
1752703217.055995,495739.500,13778,4,EM,1,100,RB
1752703217.106245,495789.750,13778,4,EM,1,100,2025-07-16_18-00-15-608675.csv
1752703217.156495,495840.000,13778,4,EM,1,100,PS
1752703217.206745,495890.250,13814,4,EM,1,100,RS
1752703217.256995,495940.500,13814,4,EM,1,100,RB
1752703217.307245,495990.750,13814,4,EM,1,100,2025-07-16_18-00-15-608675.csv
1752703217.357496,496041.000,13814,4,EM,1,100,PS
1752703217.408246,496091.750,13847,4,EM,1,100,RS
1752703217.458996,496142.500,13847,4,EM,1,100,RB
1752703217.509746,496193.250,13847,4,EM,1,100,2025-07-16_18-00-15-608675.csv
1752703217.560496,496244.000,13847,4,EM,1,100,PS
1752703217.610746,496294.250,13879,4,EM,1,100,RS
1752703217.660996,496344.500,13879,4,EM,1,100,RB
1752703217.711246,496394.750,13879,4,EM,1,100,2025-07-16_18-00-15-608675.csv
