LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1752703216.347493,495031.000,13658,1,MX,1,100,-126
1752703216.387493,495071.000,13674,2,MX,1,100,-126
1752703216.427493,495111.000,13674,2,MX,1,100,-126
1752703216.467494,495151.000,13692,3,MX,1,100,-126
1752703216.507494,495191.000,13692,3,MX,1,100,-125
1752703216.547494,495231.000,13692,3,MX,1,100,-124
1752703216.587494,495271.000,13710,2,MX,1,100,-126
1752703216.627494,495311.000,13710,2,MX,1,100,-126
1752703216.667494,495351.000,13725,3,MX,1,100,-126
1752703216.707494,495391.000,13725,3,MX,1,100,-125
1752703216.747494,495431.000,13725,3,MX,1,100,-126
1752703216.787494,495471.000,13742,2,MX,1,100,-126
1752703216.827494,495511.000,13742,2,MX,1,100,-126
1752703216.867494,495551.000,13759,3,MX,1,100,-126
1752703216.907495,495591.000,13759,3,MX,1,100,-126
1752703216.947495,495631.000,13759,3,MX,1,100,-126
1752703216.987495,495671.000,13775,2,MX,1,100,-126
1752703217.027495,495711.000,13775,2,MX,1,100,-126
1752703217.067495,495751.000,13790,3,MX,1,100,-124
1752703217.107495,495791.000,13790,3,MX,1,100,-125
1752703217.147495,495831.000,13790,3,MX,1,100,-124
1752703217.187495,495871.000,13811,3,MX,1,100,-123
1752703217.227495,495911.000,13811,3,MX,1,100,-124
1752703217.267495,495951.000,13811,3,MX,1,100,-122
1752703217.307495,495991.000,13828,2,MX,1,100,-123
1752703217.347496,496031.000,13828,2,MX,1,100,-121
1752703217.387496,496071.000,13844,3,MX,1,100,-121
1752703217.427496,496111.000,13844,3,MX,1,100,-121
1752703217.467496,496151.000,13844,3,MX,1,100,-120
1752703217.507496,496191.000,13860,2,MX,1,100,-120
1752703217.547496,496231.000,13860,2,MX,1,100,-121
1752703217.587163,496270.667,13876,3,MX,1,100,-120
1752703217.626830,496310.333,13876,3,MX,1,100,-120
1752703217.666496,496350.000,13876,3,MX,1,100,-119
1752703217.706496,496390.000,13893,2,MX,1,100,-118
1752703217.746497,496430.000,13893,2,MX,1,100,-118
1752703217.786497,496470.000,13910,3,MX,1,100,-119
1752703217.826497,496510.000,13910,3,MX,1,100,-120
1752703217.866497,496550.000,13910,3,MX,1,100,-118
1752703217.906497,496590.000,13927,2,MX,1,100,-119
1752703217.946497,496630.000,13927,2,MX,1,100,-119
1752703217.986497,496670.000,13943,3,MX,1,100,-118
1752703218.026497,496710.000,13943,3,MX,1,100,-118
1752703218.066497,496750.000,13943,3,MX,1,100,-118
1752703218.106497,496790.000,13960,2,MX,1,100,-118
1752703218.146497,496830.000,13960,2,MX,1,100,-117
1752703218.186498,496870.000,13979,3,MX,1,100,-117
1752703218.226498,496910.000,13979,3,MX,1,100,-117
1752703218.266498,496950.000,13979,3,MX,1,100,-117
1752703218.306498,496990.000,13995,2,MX,1,100,-118
1752703218.346498,497030.000,13995,2,MX,1,100,-117
1752703218.386498,497070.000,14010,3,MX,1,100,-117
1752703218.426498,497110.000,14010,3,MX,1,100,-118
1752703218.466498,497150.000,14010,3,MX,1,100,-118
1752703218.506498,497190.000,14032,3,MX,1,100,-117
1752703218.546498,497230.000,14032,3,MX,1,100,-117
1752703218.586498,497270.000,14032,3,MX,1,100,-117
1752703218.626499,497310.000,14048,2,MX,1,100,-117
1752703218.666499,497350.000,14048,2,MX,1,100,-118
1752703218.706499,497390.000,14065,3,MX,1,100,-117
1752703218.746499,497430.000,14065,3,MX,1,100,-117
1752703218.786499,497470.000,14065,3,MX,1,100,-117
1752703218.826499,497510.000,14080,2,MX,1,100,-117
1752703218.866499,497550.000,14080,2,MX,1,100,-117
1752703218.906499,497590.000,14097,3,MX,1,100,-117
1752703218.946499,497630.000,14097,3,MX,1,100,-117
1752703218.986499,497670.000,14097,3,MX,1,100,-116
1752703219.026499,497710.000,14113,2,MX,1,100,-117
1752703219.066500,497750.000,14113,2,MX,1,100,-117
1752703219.106500,497790.000,14135,3,MX,1,100,-115
1752703219.146500,497830.000,14135,3,MX,1,100,-115
1752703219.186500,497870.000,14135,3,MX,1,100,-117
1752703219.226500,497910.000,14149,2,MX,1,100,-118
1752703219.266500,497950.000,14149,2,MX,1,100,-117
1752703219.306500,497990.000,14166,3,MX,1,100,-117
1752703219.346500,498030.000,14166,3,MX,1,100,-117
1752703219.386500,498070.000,14166,3,MX,1,100,-117
1752703219.426500,498110.000,14182,2,MX,1,100,-117
1752703219.466500,498150.000,14182,2,MX,1,100,-116
1752703219.506501,498190.000,14200,3,MX,1,100,-116
1752703219.546501,498230.000,14200,3,MX,1,100,-117
1752703219.586501,498270.000,14200,3,MX,1,100,-117
1752703219.626501,498310.000,14214,2,MX,1,100,-117
1752703219.666501,498350.000,14214,2,MX,1,100,-117
1752703219.706501,498390.000,14233,3,MX,1,100,-117
1752703219.746501,498430.000,14233,3,MX,1,100,-116
1752703219.786501,498470.000,14233,3,MX,1,100,-116
1752703219.826501,498510.000,14250,3,MX,1,100,-116
