LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1752703219.950502,498634.000,14255,2,RD,1,100,TL
1752703219.950502,498634.000,14255,2,RD,1,100,TU
1752703222.506508,501190.000,15111,2,RD,1,100,TL
1752703225.062513,503746.000,15111,2,RD,1,100,TU
1752703227.625519,506309.000,15982,2,RD,1,100,TL
1752703230.188525,508872.000,15982,2,RD,1,100,TU
1752703232.742031,511425.500,16846,2,RD,1,100,TL
1752703235.295537,513979.000,16846,2,RD,1,100,TU
1752703237.850043,516533.500,17709,2,RD,1,100,TL
1752703240.404549,519088.000,17709,2,RD,1,100,TU
1752703242.969055,521652.500,18586,2,RD,1,100,TL
1752703245.533561,524217.000,18586,2,RD,1,100,TU
1752703248.088067,526771.500,19447,2,RD,1,100,TL
1752703250.642573,529326.000,19447,2,RD,1,100,TU
1752703253.209578,531893.000,20326,2,RD,1,100,TL
1752703255.776584,534460.000,20326,2,RD,1,100,TU
1752703258.338090,537021.500,20979,2,RD,1,100,TL
1752703260.899596,539583.000,20979,2,RD,1,100,TU
1752703263.455102,542138.500,21837,2,RD,1,100,TL
1752703266.010608,544694.000,21837,2,RD,1,100,TU
1752703268.564614,547248.000,22696,2,RD,1,100,TL
1752703271.118620,549802.000,22696,2,RD,1,100,TU
1752703273.681626,552365.000,23562,2,RD,1,100,TL
1752703276.244632,554928.000,23562,2,RD,1,100,TU
1752703278.796138,557479.500,24413,2,RD,1,100,TL
1752703281.347643,560031.000,24413,2,RD,1,100,TU
1752703283.938649,562622.000,25268,2,RD,1,100,TL
1752703286.529655,565213.000,25268,2,RD,1,100,TU
1752703289.097661,567781.000,25942,2,RD,1,100,TL
1752703291.665667,570349.000,25942,2,RD,1,100,TU
1752703294.220173,572903.500,26807,2,RD,1,100,TL
1752703296.774679,575458.000,26807,2,RD,1,100,TU
1752703299.328185,578011.500,27662,2,RD,1,100,TL
1752703301.881691,580565.000,27662,2,RD,1,100,TU
1752703304.446197,583129.500,28522,2,RD,1,100,TL
1752703307.010703,585694.000,28522,2,RD,1,100,TU
1752703309.565709,588249.000,29376,2,RD,1,100,TL
1752703312.120715,590804.000,29376,2,RD,1,100,TU
1752703314.672720,593356.000,30237,2,RD,1,100,TL
1752703317.224726,595908.000,30237,2,RD,1,100,TU
1752703319.779232,598462.500,31095,2,RD,1,100,TL
1752703322.333738,601017.000,31095,2,RD,1,100,TU
1752703324.889744,603573.000,31946,2,RD,1,100,TL
1752703327.445750,606129.000,31946,2,RD,1,100,TU
1752703330.006756,608690.000,32806,2,RD,1,100,TL
