LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1752703216.119493,494803,13796,1,SA,1,100,0.011207
1752703218.386498,497070,14016,1,SA,1,100,0.000388
1752703218.719499,497403,14119,1,SA,1,100,0.002446
1752703219.652501,498336,14259,1,SA,1,100,0.001068
1752703220.385503,499069,14360,1,SA,1,100,0.000850
1752703220.719503,499403,14431,1,SA,1,100,0.001551
1752703221.585505,500269,14580,1,SA,1,100,0.001473
1752703222.118507,500802,14649,1,SA,1,100,0.000537
1752703222.385507,501069,14733,1,SA,1,100,0.002016
1752703223.251509,501935,14888,1,SA,1,100,0.001325
1752703223.785510,502469,14955,1,SA,1,100,0.003155
1752703224.718513,503402,15195,1,SA,1,100,0.003070
1752703225.984516,504668,15332,1,SA,1,100,0.000743
1752703226.784517,505468,15450,1,SA,1,100,0.000911
1752703227.384519,506068,15568,1,SA,1,100,0.001063
1752703227.851520,506535,15638,1,SA,1,100,0.000942
1752703228.384521,507068,15723,1,SA,1,100,0.000967
1752703228.784522,507468,15792,1,SA,1,100,0.000613
1752703229.251523,507935,15878,1,SA,1,100,0.000862
1752703229.651524,508335,15913,1,SA,1,100,0.000276
1752703230.385526,509069,16036,1,SA,1,100,0.000182
1752703230.717526,509401,16153,1,SA,1,100,0.001481
1752703231.250528,509934,16189,1,SA,1,100,0.000459
1752703231.650529,510334,16258,1,SA,1,100,0.000500
1752703232.050530,510734,16326,1,SA,1,100,0.000418
1752703232.317530,511001,16362,1,SA,1,100,0.000132
1752703232.517531,511201,16446,1,SA,1,100,0.001259
1752703233.184532,511868,16551,1,SA,1,100,0.001030
1752703233.918534,512602,16651,1,SA,1,100,0.001205
1752703234.250535,512934,16705,1,SA,1,100,0.000705
1752703234.517535,513201,16756,1,SA,1,100,0.000959
1752703234.983536,513667,16825,1,SA,1,100,0.000331
1752703235.251537,513935,16880,1,SA,1,100,0.000401
1752703235.517538,514201,16916,1,SA,1,100,0.000255
1752703235.717538,514401,16969,1,SA,1,100,0.001674
1752703236.183539,514867,17036,1,SA,1,100,0.000460
1752703236.451540,515135,17074,1,SA,1,100,0.000167
1752703236.650540,515334,17191,1,SA,1,100,0.001929
