LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1752703216.378493,495062.000,13666,1,T1,1,100,36.590
1752703216.512494,495196.000,13684,1,T1,1,100,36.716
1752703216.645494,495329.000,13702,1,T1,1,100,36.735
1752703216.778494,495462.000,13734,1,T1,1,100,36.708
1752703216.912495,495596.000,13751,1,T1,1,100,36.696
1752703217.045495,495729.000,13767,1,T1,1,100,36.691
1752703217.178495,495862.000,13803,1,T1,1,100,36.618
1752703217.312495,495996.000,13820,1,T1,1,100,36.658
1752703217.445496,496129.000,13836,1,T1,1,100,36.781
1752703217.578496,496262.000,13868,1,T1,1,100,36.692
1752703217.712496,496396.000,13885,1,T1,1,100,36.690
1752703217.845497,496529.000,13902,1,T1,1,100,36.724
1752703217.978497,496662.000,13935,1,T1,1,100,36.703
1752703218.112497,496796.000,13952,1,T1,1,100,36.801
1752703218.245498,496929.000,13971,1,T1,1,100,36.736
1752703218.378498,497062.000,13988,1,T1,1,100,36.709
1752703218.512498,497196.000,14024,1,T1,1,100,36.626
1752703218.645499,497329.000,14040,1,T1,1,100,36.732
1752703218.778499,497462.000,14057,1,T1,1,100,36.707
1752703218.912499,497596.000,14089,1,T1,1,100,36.731
1752703219.045500,497729.000,14105,1,T1,1,100,36.848
1752703219.178500,497862.000,14127,1,T1,1,100,36.757
1752703219.312500,497996.000,14158,1,T1,1,100,36.789
1752703219.445500,498129.000,14174,1,T1,1,100,36.838
1752703219.578501,498262.000,14192,1,T1,1,100,36.823
1752703219.711501,498395.000,14225,1,T1,1,100,36.746
1752703219.845501,498529.000,14242,1,T1,1,100,36.713
1752703219.978502,498662.000,14266,1,T1,1,100,36.734
1752703220.111502,498795.000,14298,1,T1,1,100,36.743
1752703220.245502,498929.000,14314,1,T1,1,100,36.853
1752703220.378503,499062.000,14333,1,T1,1,100,36.866
1752703220.511503,499195.000,14349,1,T1,1,100,36.800
1752703220.645503,499329.000,14383,1,T1,1,100,36.807
1752703220.778504,499462.000,14400,1,T1,1,100,36.810
1752703220.911504,499595.000,14417,1,T1,1,100,36.811
1752703221.045504,499729.000,14452,1,T1,1,100,36.883
1752703221.178504,499862.000,14470,1,T1,1,100,36.843
1752703221.311505,499995.000,14486,1,T1,1,100,36.719
1752703221.445505,500129.000,14520,1,T1,1,100,36.843
1752703221.578505,500262.000,14537,1,T1,1,100,36.861
1752703221.711506,500395.000,14553,1,T1,1,100,36.798
1752703221.845506,500529.000,14587,1,T1,1,100,36.806
1752703221.978506,500662.000,14604,1,T1,1,100,36.810
1752703222.111507,500795.000,14620,1,T1,1,100,36.776
1752703222.245507,500929.000,14656,1,T1,1,100,36.868
1752703222.378507,501062.000,14673,1,T1,1,100,36.907
1752703222.511508,501195.000,14690,1,T1,1,100,36.924
1752703222.644508,501328.000,14707,1,T1,1,100,36.932
1752703222.778508,501462.000,14740,1,T1,1,100,36.935
1752703222.911508,501595.000,14759,1,T1,1,100,36.866
1752703223.044509,501728.000,14776,1,T1,1,100,36.942
1752703223.178509,501862.000,14810,1,T1,1,100,36.939
1752703223.311509,501995.000,14826,1,T1,1,100,36.938
1752703223.444510,502128.000,14843,1,T1,1,100,36.831
1752703223.578510,502262.000,14877,1,T1,1,100,36.856
1752703223.711510,502395.000,14895,1,T1,1,100,36.867
1752703223.844511,502528.000,14913,1,T1,1,100,36.942
1752703223.978511,502662.000,14944,1,T1,1,100,36.904
1752703224.111511,502795.000,14962,1,T1,1,100,36.923
1752703224.244512,502928.000,14980,1,T1,1,100,36.931
1752703224.378512,503062.000,15013,1,T1,1,100,36.970
1752703224.511512,503195.000,15030,1,T1,1,100,37.023
1752703224.644512,503328.000,15047,1,T1,1,100,36.939
1752703224.778513,503462.000,15079,1,T1,1,100,36.974
1752703224.911513,503595.000,15097,1,T1,1,100,36.953
1752703225.044513,503728.000,15119,1,T1,1,100,36.873
1752703225.178514,503862.000,15135,1,T1,1,100,36.945
1752703225.311514,503995.000,15167,1,T1,1,100,37.047
1752703225.444514,504128.000,15184,1,T1,1,100,37.020
1752703225.578515,504262.000,15203,1,T1,1,100,36.973
1752703225.711515,504395.000,15236,1,T1,1,100,36.988
1752703225.844515,504528.000,15254,1,T1,1,100,36.924
1752703225.977516,504661.000,15270,1,T1,1,100,37.038
1752703226.111516,504795.000,15302,1,T1,1,100,37.016
1752703226.244516,504928.000,15319,1,T1,1,100,36.901
1752703226.377516,505061.000,15339,1,T1,1,100,36.922
1752703226.511517,505195.000,15371,1,T1,1,100,36.931
1752703226.644517,505328.000,15388,1,T1,1,100,36.935
1752703226.777517,505461.000,15404,1,T1,1,100,37.043
1752703226.911518,505595.000,15436,1,T1,1,100,37.018
1752703227.044518,505728.000,15457,1,T1,1,100,36.937
1752703227.177518,505861.000,15474,1,T1,1,100,36.937
1752703227.311519,505995.000,15505,1,T1,1,100,37.008
1752703227.444519,506128.000,15522,1,T1,1,100,36.968
1752703227.577519,506261.000,15541,1,T1,1,100,36.951
1752703227.711520,506395.000,15558,1,T1,1,100,36.979
1752703227.844520,506528.000,15592,1,T1,1,100,36.955
1752703227.977520,506661.000,15608,1,T1,1,100,36.945
1752703228.111520,506795.000,15625,1,T1,1,100,37.047
1752703228.244521,506928.000,15663,1,T1,1,100,37.020
1752703228.377521,507061.000,15679,1,T1,1,100,37.080
1752703228.511521,507195.000,15697,1,T1,1,100,37.105
1752703228.644522,507328.000,15730,1,T1,1,100,37.010
1752703228.777522,507461.000,15746,1,T1,1,100,37.075
1752703228.911522,507595.000,15766,1,T1,1,100,37.139
1752703229.044523,507728.000,15799,1,T1,1,100,37.025
1752703229.177523,507861.000,15816,1,T1,1,100,36.904
1752703229.311523,507995.000,15833,1,T1,1,100,36.959
1752703229.444524,508128.000,15865,1,T1,1,100,36.947
1752703229.577524,508261.000,15885,1,T1,1,100,36.977
1752703229.711524,508395.000,15902,1,T1,1,100,37.061
1752703229.844524,508528.000,15920,1,T1,1,100,37.062
1752703229.977525,508661.000,15952,1,T1,1,100,37.027
1752703230.110525,508794.000,15969,1,T1,1,100,37.012
1752703230.244525,508928.000,15991,1,T1,1,100,37.111
1752703230.377526,509061.000,16024,1,T1,1,100,37.119
1752703230.510526,509194.000,16044,1,T1,1,100,37.052
1752703230.644526,509328.000,16060,1,T1,1,100,37.058
1752703230.777527,509461.000,16092,1,T1,1,100,36.990
1752703230.910527,509594.000,16111,1,T1,1,100,37.102
1752703231.044527,509728.000,16127,1,T1,1,100,37.150
1752703231.177528,509861.000,16161,1,T1,1,100,37.065
1752703231.310528,509994.000,16178,1,T1,1,100,37.064
1752703231.444528,510128.000,16196,1,T1,1,100,37.134
1752703231.577528,510261.000,16230,1,T1,1,100,37.093
