LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1752703216.393493,495077.000,13667,1,TH,1,100,35.979
1752703216.527494,495211.000,13685,1,TH,1,100,36.006
1752703216.660494,495344.000,13703,1,TH,1,100,36.006
1752703216.793494,495477.000,13735,1,TH,1,100,35.971
1752703216.927495,495611.000,13752,1,TH,1,100,35.978
1752703217.060495,495744.000,13768,1,TH,1,100,35.978
1752703217.193495,495877.000,13804,1,TH,1,100,35.978
1752703217.327496,496011.000,13821,1,TH,1,100,35.995
1752703217.460496,496144.000,13837,1,TH,1,100,36.002
1752703217.593496,496277.000,13869,1,TH,1,100,35.980
1752703217.726496,496410.000,13886,1,TH,1,100,35.980
1752703217.860497,496544.000,13903,1,TH,1,100,36.022
1752703217.993497,496677.000,13936,1,TH,1,100,36.022
1752703218.126497,496810.000,13953,1,TH,1,100,35.958
1752703218.260498,496944.000,13972,1,TH,1,100,35.958
1752703218.393498,497077.000,14003,1,TH,1,100,35.968
1752703218.526498,497210.000,14025,1,TH,1,100,35.975
1752703218.660499,497344.000,14041,1,TH,1,100,36.016
1752703218.793499,497477.000,14058,1,TH,1,100,36.016
1752703218.926499,497610.000,14090,1,TH,1,100,35.987
1752703219.060500,497744.000,14106,1,TH,1,100,35.987
1752703219.193500,497877.000,14128,1,TH,1,100,36.023
1752703219.326500,498010.000,14159,1,TH,1,100,36.023
1752703219.460500,498144.000,14175,1,TH,1,100,36.038
1752703219.593501,498277.000,14193,1,TH,1,100,36.045
1752703219.726501,498410.000,14226,1,TH,1,100,36.048
1752703219.860501,498544.000,14243,1,TH,1,100,36.048
1752703219.993502,498677.000,14267,1,TH,1,100,36.101
1752703220.126502,498810.000,14299,1,TH,1,100,36.101
1752703220.260502,498944.000,14315,1,TH,1,100,35.969
1752703220.393503,499077.000,14334,1,TH,1,100,35.969
1752703220.526503,499210.000,14368,1,TH,1,100,35.974
1752703220.660503,499344.000,14384,1,TH,1,100,35.981
1752703220.793504,499477.000,14401,1,TH,1,100,35.998
1752703220.926504,499610.000,14418,1,TH,1,100,35.998
1752703221.059504,499743.000,14453,1,TH,1,100,36.039
1752703221.193504,499877.000,14471,1,TH,1,100,36.047
1752703221.326505,500010.000,14487,1,TH,1,100,35.990
1752703221.459505,500143.000,14521,1,TH,1,100,35.990
1752703221.593505,500277.000,14538,1,TH,1,100,36.029
1752703221.726506,500410.000,14554,1,TH,1,100,36.029
1752703221.859506,500543.000,14588,1,TH,1,100,35.978
1752703221.993506,500677.000,14605,1,TH,1,100,35.978
1752703222.126507,500810.000,14621,1,TH,1,100,35.975
1752703222.259507,500943.000,14657,1,TH,1,100,35.982
1752703222.393507,501077.000,14674,1,TH,1,100,36.027
1752703222.526508,501210.000,14691,1,TH,1,100,36.026
1752703222.659508,501343.000,14722,1,TH,1,100,36.029
1752703222.793508,501477.000,14741,1,TH,1,100,36.029
1752703222.926508,501610.000,14760,1,TH,1,100,36.022
1752703223.059509,501743.000,14791,1,TH,1,100,36.029
1752703223.193509,501877.000,14811,1,TH,1,100,36.031
1752703223.326509,502010.000,14827,1,TH,1,100,36.031
1752703223.459510,502143.000,14844,1,TH,1,100,35.999
1752703223.593510,502277.000,14878,1,TH,1,100,35.999
1752703223.726510,502410.000,14896,1,TH,1,100,36.075
1752703223.859511,502543.000,14914,1,TH,1,100,36.075
1752703223.993511,502677.000,14945,1,TH,1,100,35.999
1752703224.126511,502810.000,14963,1,TH,1,100,36.006
1752703224.259512,502943.000,14981,1,TH,1,100,36.042
1752703224.393512,503077.000,15014,1,TH,1,100,36.042
1752703224.526512,503210.000,15031,1,TH,1,100,36.077
1752703224.659512,503343.000,15048,1,TH,1,100,36.077
1752703224.793513,503477.000,15080,1,TH,1,100,36.047
1752703224.926513,503610.000,15098,1,TH,1,100,36.055
1752703225.059513,503743.000,15120,1,TH,1,100,36.059
1752703225.192514,503876.000,15152,1,TH,1,100,36.059
1752703225.326514,504010.000,15168,1,TH,1,100,35.936
1752703225.459514,504143.000,15185,1,TH,1,100,35.936
1752703225.592515,504276.000,15204,1,TH,1,100,36.064
1752703225.726515,504410.000,15237,1,TH,1,100,36.071
1752703225.859515,504543.000,15255,1,TH,1,100,36.108
1752703225.992516,504676.000,15271,1,TH,1,100,36.108
1752703226.126516,504810.000,15303,1,TH,1,100,36.042
1752703226.259516,504943.000,15320,1,TH,1,100,36.042
1752703226.392516,505076.000,15340,1,TH,1,100,36.051
1752703226.526517,505210.000,15372,1,TH,1,100,36.051
1752703226.659517,505343.000,15389,1,TH,1,100,36.083
1752703226.792517,505476.000,15405,1,TH,1,100,36.090
1752703226.926518,505610.000,15437,1,TH,1,100,36.048
1752703227.059518,505743.000,15458,1,TH,1,100,36.048
1752703227.192518,505876.000,15475,1,TH,1,100,36.134
1752703227.326519,506010.000,15506,1,TH,1,100,36.134
1752703227.459519,506143.000,15523,1,TH,1,100,35.999
1752703227.592519,506276.000,15542,1,TH,1,100,35.999
1752703227.726520,506410.000,15575,1,TH,1,100,36.112
1752703227.859520,506543.000,15593,1,TH,1,100,36.119
1752703227.992520,506676.000,15609,1,TH,1,100,36.021
1752703228.125520,506809.000,15626,1,TH,1,100,36.021
