LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1752794195.955216,576363.000,27959,2,AK,1,100,27132
1752794195.955216,576363.000,27959,2,AK,1,100,RD
1752794198.514224,578922.000,28817,2,AK,1,100,27960
1752794201.073232,581481.000,28817,2,AK,1,100,RD
1752794201.074232,581482.000,28819,2,AK,1,100,27960
1752794201.075232,581483.000,28819,2,AK,1,100,RD
1752794201.084232,581492.000,28822,2,AK,1,100,28820
1752794201.093232,581501.000,28822,2,AK,1,100,RD
1752794203.637240,584045.000,29681,2,AK,1,100,28820
1752794206.181248,586589.000,29681,2,AK,1,100,RD
1752794206.191748,586599.500,29684,2,AK,1,100,29682
1752794206.202248,586610.000,29684,2,AK,1,100,RD
1752794208.746755,589154.500,30522,2,AK,1,100,29682
1752794211.291263,591699.000,30522,2,AK,1,100,RD
1752794211.299263,591707.000,30525,2,AK,1,100,30523
1752794211.307263,591715.000,30525,2,AK,1,100,RD
1752794213.862271,594270.000,31398,2,AK,1,100,30523
1752794216.417279,596825.000,31398,2,AK,1,100,RD
1752794216.421779,596829.500,31401,2,AK,1,100,31399
1752794216.426279,596834.000,31401,2,AK,1,100,RD
1752794218.975787,599383.500,32261,2,AK,1,100,31399
1752794221.525295,601933.000,32261,2,AK,1,100,RD
1752794221.532795,601940.500,32264,2,AK,1,100,32262
1752794221.540295,601948.000,32264,2,AK,1,100,RD
1752794224.086302,604494.000,33123,2,AK,1,100,32262
1752794226.632310,607040.000,33123,2,AK,1,100,RD
1752794226.637310,607045.000,33126,2,AK,1,100,33124
1752794226.642310,607050.000,33126,2,AK,1,100,RD
1752794229.193818,609601.500,33984,2,AK,1,100,33124
1752794231.745326,612153.000,33984,2,AK,1,100,RD
1752794231.768326,612176.000,33987,2,AK,1,100,33985
1752794231.791326,612199.000,33987,2,AK,1,100,RD
1752794234.327834,614735.500,34841,2,AK,1,100,33985
1752794236.864342,617272.000,34841,2,AK,1,100,RD
1752794236.870842,617278.500,34844,2,AK,1,100,34842
1752794236.877342,617285.000,34844,2,AK,1,100,RD
1752794239.431350,619839.000,35709,2,AK,1,100,34842
1752794241.985357,622393.000,35709,2,AK,1,100,RD
1752794241.991357,622399.000,35712,2,AK,1,100,35710
1752794241.997357,622405.000,35712,2,AK,1,100,RD
1752794244.547365,624955.000,36572,2,AK,1,100,35710
1752794247.097373,627505.000,36572,2,AK,1,100,RD
1752794247.104373,627512.000,36575,2,AK,1,100,36573
1752794247.111373,627519.000,36575,2,AK,1,100,RD
1752794249.663881,630071.500,37443,2,AK,1,100,36573
1752794252.216389,632624.000,37443,2,AK,1,100,RD
1752794252.228389,632636.000,37446,2,AK,1,100,37444
1752794252.240389,632648.000,37446,2,AK,1,100,RD
1752794254.785897,635193.500,38294,2,AK,1,100,37444
1752794257.331404,637739.000,38294,2,AK,1,100,RD
1752794257.336904,637744.500,38297,2,AK,1,100,38295
1752794257.342404,637750.000,38297,2,AK,1,100,RD
1752794259.891412,640299.000,39155,2,AK,1,100,38295
1752794262.440420,642848.000,39155,2,AK,1,100,RD
1752794262.447420,642855.000,39158,2,AK,1,100,39156
1752794262.454420,642862.000,39158,2,AK,1,100,RD
1752794265.004928,645412.500,40018,2,AK,1,100,39156
1752794267.555436,647963.000,40018,2,AK,1,100,RD
1752794267.561436,647969.000,40021,2,AK,1,100,40019
1752794267.567436,647975.000,40021,2,AK,1,100,RD
1752794270.114944,650522.500,40884,2,AK,1,100,40019
1752794272.662451,653070.000,40884,2,AK,1,100,RD
1752794272.670451,653078.000,40887,2,AK,1,100,40885
1752794272.678451,653086.000,40887,2,AK,1,100,RD
1752794275.225459,655633.000,41737,2,AK,1,100,40885
1752794277.772467,658180.000,41737,2,AK,1,100,RD
1752794277.787467,658195.000,41740,2,AK,1,100,41738
1752794277.802467,658210.000,41740,2,AK,1,100,RD
1752794280.345475,660753.000,42587,2,AK,1,100,41738
1752794282.888483,663296.000,42587,2,AK,1,100,RD
1752794282.897483,663305.000,42590,2,AK,1,100,42588
1752794282.906483,663314.000,42590,2,AK,1,100,RD
1752794285.455991,665863.500,43431,2,AK,1,100,42588
1752794288.005498,668413.000,43431,2,AK,1,100,RD
1752794288.011498,668419.000,43434,2,AK,1,100,43432
1752794288.017499,668425.000,43434,2,AK,1,100,RD
1752794290.568006,670975.500,44278,2,AK,1,100,43432
1752794293.118514,673526.000,44278,2,AK,1,100,RD
1752794293.126014,673533.500,44281,2,AK,1,100,44279
1752794293.133514,673541.000,44281,2,AK,1,100,RD
1752794295.683522,676091.000,45120,2,AK,1,100,44279
1752794298.233530,678641.000,45120,2,AK,1,100,RD
1752794298.239530,678647.000,45123,2,AK,1,100,45121
1752794298.245530,678653.000,45123,2,AK,1,100,RD
1752794300.794038,681201.500,45963,2,AK,1,100,45121
1752794303.342545,683750.000,45963,2,AK,1,100,RD
1752794303.347546,683755.000,45966,2,AK,1,100,45964
1752794303.352546,683760.000,45966,2,AK,1,100,RD
1752794305.902553,686310.000,46804,2,AK,1,100,45964
1752794308.452561,688860.000,46804,2,AK,1,100,RD
1752794308.459061,688866.500,46807,2,AK,1,100,46805
1752794308.465561,688873.000,46807,2,AK,1,100,RD
1752794311.021569,691429.000,47646,2,AK,1,100,46805
