LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1752794194.533212,574941.000,27729,3,AX,1,100,0.902
1752794194.533212,574941.000,27729,3,AX,1,100,0.915
1752794194.533212,574941.000,27729,3,AX,1,100,0.905
1752794194.573212,574981.000,27746,2,AX,1,100,0.906
1752794194.613212,575021.000,27746,2,AX,1,100,0.903
1752794194.653212,575061.000,27762,3,AX,1,100,0.913
1752794194.693212,575101.000,27762,3,AX,1,100,0.924
1752794194.733212,575141.000,27762,3,AX,1,100,0.922
1752794194.773213,575181.000,27779,2,AX,1,100,0.901
1752794194.813213,575221.000,27779,2,AX,1,100,0.893
1752794194.853213,575261.000,27796,3,AX,1,100,0.895
1752794194.893213,575301.000,27796,3,AX,1,100,0.936
1752794194.933213,575341.000,27796,3,AX,1,100,0.916
1752794194.973213,575381.000,27813,2,AX,1,100,0.908
1752794195.013213,575421.000,27813,2,AX,1,100,0.927
1752794195.053213,575461.000,27831,3,AX,1,100,0.931
1752794195.093214,575501.000,27831,3,AX,1,100,0.945
1752794195.133214,575541.000,27831,3,AX,1,100,0.949
1752794195.173214,575581.000,27847,2,AX,1,100,0.948
1752794195.213214,575621.000,27847,2,AX,1,100,0.937
1752794195.253214,575661.000,27863,3,AX,1,100,0.939
1752794195.293214,575701.000,27863,3,AX,1,100,0.938
1752794195.333214,575741.000,27863,3,AX,1,100,0.942
1752794195.373214,575781.000,27880,3,AX,1,100,0.950
1752794195.413215,575821.000,27880,3,AX,1,100,0.938
1752794195.453215,575861.000,27880,3,AX,1,100,0.935
1752794195.493215,575901.000,27897,2,AX,1,100,0.936
1752794195.533215,575941.000,27897,2,AX,1,100,0.930
1752794195.573215,575981.000,27912,3,AX,1,100,0.934
1752794195.613215,576021.000,27912,3,AX,1,100,0.927
1752794195.653215,576061.000,27912,3,AX,1,100,0.938
1752794195.693215,576101.000,27930,2,AX,1,100,0.934
1752794195.733216,576141.000,27930,2,AX,1,100,0.934
1752794195.768549,576176.333,27947,3,AX,1,100,0.949
1752794195.803882,576211.667,27947,3,AX,1,100,0.946
1752794195.839216,576247.000,27947,3,AX,1,100,0.937
1752794195.879216,576287.000,27970,5,AX,1,100,0.941
1752794195.919216,576327.000,27970,5,AX,1,100,0.939
1752794195.959216,576367.000,27970,5,AX,1,100,0.937
1752794195.999216,576407.000,27970,5,AX,1,100,0.945
1752794196.039216,576447.000,27970,5,AX,1,100,0.944
