LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1752794194.531212,574939.000,27726,2,EL,1,100,-15968.400391
1752794194.531212,574939.000,27726,2,EL,1,100,-16016.799805
1752794194.598212,575006.000,27743,1,EL,1,100,-16191.400391
1752794194.664712,575072.500,27759,2,EL,1,100,-16314.000000
1752794194.731212,575139.000,27759,2,EL,1,100,-16219.799805
1752794194.798213,575206.000,27778,1,EL,1,100,-16086.400391
1752794194.864713,575272.500,27793,2,EL,1,100,-16019.400391
1752794194.931213,575339.000,27793,2,EL,1,100,-15994.799805
1752794194.998213,575406.000,27810,1,EL,1,100,-15987.599609
1752794195.064714,575472.500,27828,2,EL,1,100,-15989.200195
1752794195.131214,575539.000,27828,2,EL,1,100,-15989.799805
1752794195.198214,575606.000,27846,1,EL,1,100,-15993.200195
1752794195.264714,575672.500,27860,2,EL,1,100,-15998.599609
1752794195.331214,575739.000,27860,2,EL,1,100,-16002.599609
1752794195.398215,575806.000,27877,1,EL,1,100,-16005.400391
1752794195.464715,575872.500,27894,2,EL,1,100,-16008.000000
1752794195.531215,575939.000,27894,2,EL,1,100,-16014.799805
1752794195.598215,576006.000,27911,1,EL,1,100,-16017.000000
1752794195.664715,576072.500,27927,2,EL,1,100,-16019.799805
1752794195.731216,576139.000,27927,2,EL,1,100,-16021.599609
1752794195.798216,576206.000,27944,1,EL,1,100,-16022.799805
1752794195.864966,576272.750,27967,4,EL,1,100,-16028.000000
1752794195.931716,576339.500,27967,4,EL,1,100,-16036.599609
1752794195.998466,576406.250,27967,4,EL,1,100,-16038.799805
1752794196.065217,576473.000,27967,4,EL,1,100,-16037.799805
1752794196.131217,576539.000,27983,1,EL,1,100,-16038.799805
1752794196.198217,576606.000,27999,2,EL,1,100,-16043.200195
1752794196.265217,576673.000,27999,2,EL,1,100,-16047.599609
1752794196.331217,576739.000,28015,1,EL,1,100,-16048.200195
1752794196.398218,576806.000,28036,2,EL,1,100,-16050.400391
1752794196.465218,576873.000,28036,2,EL,1,100,-16051.000000
1752794196.531218,576939.000,28053,1,EL,1,100,-16051.799805
1752794196.598218,577006.000,28068,2,EL,1,100,-16059.200195
1752794196.665218,577073.000,28068,2,EL,1,100,-16062.200195
1752794196.731219,577139.000,28084,1,EL,1,100,-16062.200195
1752794196.798219,577206.000,28102,2,EL,1,100,-16066.200195
1752794196.865219,577273.000,28102,2,EL,1,100,-16072.000000
1752794196.931219,577339.000,28120,1,EL,1,100,-16078.000000
1752794196.998219,577406.000,28135,2,EL,1,100,-16077.400391
1752794197.065220,577473.000,28135,2,EL,1,100,-16081.200195
1752794197.131220,577539.000,28151,1,EL,1,100,-16085.000000
1752794197.198220,577606.000,28171,2,EL,1,100,-16091.000000
1752794197.265220,577673.000,28171,2,EL,1,100,-16086.799805
1752794197.331220,577739.000,28187,1,EL,1,100,-16088.400391
1752794197.398221,577806.000,28202,2,EL,1,100,-16097.400391
1752794197.465221,577873.000,28202,2,EL,1,100,-16097.400391
1752794197.531221,577939.000,28221,1,EL,1,100,-16100.799805
1752794197.598221,578006.000,28240,2,EL,1,100,-16101.599609
1752794197.665221,578073.000,28240,2,EL,1,100,-16107.200195
1752794197.731222,578139.000,28256,1,EL,1,100,-16107.799805
1752794197.797722,578205.500,28273,2,EL,1,100,-16110.799805
1752794197.864222,578272.000,28273,2,EL,1,100,-16116.000000
1752794197.931222,578339.000,28288,1,EL,1,100,-16120.400391
1752794197.997723,578405.500,28307,2,EL,1,100,-16122.000000
1752794198.064223,578472.000,28307,2,EL,1,100,-16123.000000
1752794198.131223,578539.000,28325,1,EL,1,100,-16125.400391
1752794198.197723,578605.500,28342,2,EL,1,100,-16125.799805
1752794198.264223,578672.000,28342,2,EL,1,100,-16128.400391
1752794198.331224,578739.000,28357,2,EL,1,100,-16133.200195
1752794198.398224,578806.000,28357,2,EL,1,100,-16136.599609
1752794198.464224,578872.000,28374,1,EL,1,100,-16142.400391
1752794198.531224,578939.000,28391,2,EL,1,100,-16146.799805
1752794198.598224,579006.000,28391,2,EL,1,100,-16147.599609
1752794198.664225,579072.000,28410,1,EL,1,100,-16149.000000
1752794198.731225,579139.000,28426,2,EL,1,100,-16153.000000
1752794198.798225,579206.000,28426,2,EL,1,100,-16157.000000
1752794198.864225,579272.000,28446,1,EL,1,100,-16155.400391
1752794198.931225,579339.000,28462,2,EL,1,100,-16161.200195
1752794198.998226,579406.000,28462,2,EL,1,100,-16191.799805
1752794199.064226,579472.000,28479,1,EL,1,100,-16192.200195
1752794199.131226,579539.000,28496,2,EL,1,100,-16155.799805
1752794199.198226,579606.000,28496,2,EL,1,100,-16154.200195
1752794199.264226,579672.000,28515,1,EL,1,100,-16162.799805
1752794199.331227,579739.000,28531,2,EL,1,100,-16193.200195
