LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1752794194.435212,574843.000,27718,4,EM,1,100,RS
1752794194.435212,574843.000,27718,4,EM,1,100,RB
1752794194.435212,574843.000,27718,4,EM,1,100,2025-07-17_19-16-34-115458.csv
1752794194.435212,574843.000,27718,4,EM,1,100,PS
1752794194.485462,574893.250,27738,4,EM,1,100,RS
1752794194.535712,574943.500,27738,4,EM,1,100,RB
1752794194.585962,574993.750,27738,4,EM,1,100,2025-07-17_19-16-34-115458.csv
1752794194.636212,575044.000,27738,4,EM,1,100,PS
1752794194.687212,575095.000,27771,4,EM,1,100,RS
1752794194.738213,575146.000,27771,4,EM,1,100,RB
1752794194.789213,575197.000,27771,4,EM,1,100,2025-07-17_19-16-34-115458.csv
1752794194.840213,575248.000,27771,4,EM,1,100,PS
1752794194.890213,575298.000,27805,4,EM,1,100,RS
1752794194.940213,575348.000,27805,4,EM,1,100,RB
1752794194.990213,575398.000,27805,4,EM,1,100,2025-07-17_19-16-34-115458.csv
1752794195.040213,575448.000,27805,4,EM,1,100,PS
1752794195.090464,575498.250,27840,4,EM,1,100,RS
1752794195.140714,575548.500,27840,4,EM,1,100,RB
1752794195.190964,575598.750,27840,4,EM,1,100,2025-07-17_19-16-34-115458.csv
1752794195.241214,575649.000,27840,4,EM,1,100,PS
1752794195.291464,575699.250,27872,4,EM,1,100,RS
1752794195.341714,575749.500,27872,4,EM,1,100,RB
1752794195.391965,575799.750,27872,4,EM,1,100,2025-07-17_19-16-34-115458.csv
1752794195.442215,575850.000,27872,4,EM,1,100,PS
1752794195.492465,575900.250,27906,4,EM,1,100,RS
1752794195.542715,575950.500,27906,4,EM,1,100,RB
1752794195.592965,576000.750,27906,4,EM,1,100,2025-07-17_19-16-34-115458.csv
1752794195.643215,576051.000,27906,4,EM,1,100,PS
1752794195.693715,576101.500,27939,4,EM,1,100,RS
1752794195.744216,576152.000,27939,4,EM,1,100,RB
1752794195.794716,576202.500,27939,4,EM,1,100,2025-07-17_19-16-34-115458.csv
1752794195.845216,576253.000,27939,4,EM,1,100,PS
1752794195.898966,576306.750,27961,4,EM,1,100,RS
1752794195.952716,576360.500,27961,4,EM,1,100,RB
1752794196.006466,576414.250,27961,4,EM,1,100,2025-07-17_19-16-34-115458.csv
1752794196.060217,576468.000,27961,4,EM,1,100,PS
1752794196.110467,576518.250,27993,4,EM,1,100,RS
1752794196.160717,576568.500,27993,4,EM,1,100,RB
1752794196.210967,576618.750,27993,4,EM,1,100,2025-07-17_19-16-34-115458.csv
1752794196.261217,576669.000,27993,4,EM,1,100,PS
1752794196.311467,576719.250,28027,4,EM,1,100,RS
1752794196.361717,576769.500,28027,4,EM,1,100,RB
1752794196.411968,576819.750,28027,4,EM,1,100,2025-07-17_19-16-34-115458.csv
1752794196.462218,576870.000,28027,4,EM,1,100,PS
1752794196.512468,576920.250,28063,4,EM,1,100,RS
1752794196.562718,576970.500,28063,4,EM,1,100,RB
1752794196.612968,577020.750,28063,4,EM,1,100,2025-07-17_19-16-34-115458.csv
1752794196.663218,577071.000,28063,4,EM,1,100,PS
1752794196.714219,577122.000,28096,4,EM,1,100,RS
1752794196.765219,577173.000,28096,4,EM,1,100,RB
1752794196.816219,577224.000,28096,4,EM,1,100,2025-07-17_19-16-34-115458.csv
1752794196.867219,577275.000,28096,4,EM,1,100,PS
1752794196.917469,577325.250,28130,4,EM,1,100,RS
1752794196.967719,577375.500,28130,4,EM,1,100,RB
1752794197.017969,577425.750,28130,4,EM,1,100,2025-07-17_19-16-34-115458.csv
1752794197.068220,577476.000,28130,4,EM,1,100,PS
1752794197.118470,577526.250,28163,4,EM,1,100,RS
1752794197.168720,577576.500,28163,4,EM,1,100,RB
1752794197.218970,577626.750,28163,4,EM,1,100,2025-07-17_19-16-34-115458.csv
1752794197.269220,577677.000,28163,4,EM,1,100,PS
1752794197.319470,577727.250,28197,4,EM,1,100,RS
1752794197.369721,577777.500,28197,4,EM,1,100,RB
1752794197.419971,577827.750,28197,4,EM,1,100,2025-07-17_19-16-34-115458.csv
1752794197.470221,577878.000,28197,4,EM,1,100,PS
1752794197.521471,577929.250,28233,4,EM,1,100,RS
1752794197.572721,577980.500,28233,4,EM,1,100,RB
1752794197.623971,578031.750,28233,4,EM,1,100,2025-07-17_19-16-34-115458.csv
1752794197.675222,578083.000,28233,4,EM,1,100,PS
1752794197.725472,578133.250,28267,4,EM,1,100,RS
1752794197.775722,578183.500,28267,4,EM,1,100,RB
1752794197.825972,578233.750,28267,4,EM,1,100,2025-07-17_19-16-34-115458.csv
1752794197.876222,578284.000,28267,4,EM,1,100,PS
1752794197.927222,578335.000,28300,4,EM,1,100,RS
1752794197.978222,578386.000,28300,4,EM,1,100,RB
1752794198.029223,578437.000,28300,4,EM,1,100,2025-07-17_19-16-34-115458.csv
1752794198.080223,578488.000,28300,4,EM,1,100,PS
1752794198.130473,578538.250,28336,4,EM,1,100,RS
1752794198.180723,578588.500,28336,4,EM,1,100,RB
1752794198.230973,578638.750,28336,4,EM,1,100,2025-07-17_19-16-34-115458.csv
1752794198.281223,578689.000,28336,4,EM,1,100,PS
1752794198.331474,578739.250,28369,4,EM,1,100,RS
1752794198.381724,578789.500,28369,4,EM,1,100,RB
1752794198.431974,578839.750,28369,4,EM,1,100,2025-07-17_19-16-34-115458.csv
1752794198.482224,578890.000,28369,4,EM,1,100,PS
1752794198.532474,578940.250,28403,4,EM,1,100,RS
1752794198.582724,578990.500,28403,4,EM,1,100,RB
1752794198.632974,579040.750,28403,4,EM,1,100,2025-07-17_19-16-34-115458.csv
1752794198.683225,579091.000,28403,4,EM,1,100,PS
1752794198.733475,579141.250,28438,4,EM,1,100,RS
1752794198.783725,579191.500,28438,4,EM,1,100,RB
1752794198.833975,579241.750,28438,4,EM,1,100,2025-07-17_19-16-34-115458.csv
1752794198.884225,579292.000,28438,4,EM,1,100,PS
1752794198.934475,579342.250,28474,4,EM,1,100,RS
1752794198.984726,579392.500,28474,4,EM,1,100,RB
1752794199.034976,579442.750,28474,4,EM,1,100,2025-07-17_19-16-34-115458.csv
1752794199.085226,579493.000,28474,4,EM,1,100,PS
1752794199.135476,579543.250,28508,4,EM,1,100,RS
1752794199.185726,579593.500,28508,4,EM,1,100,RB
1752794199.235976,579643.750,28508,4,EM,1,100,2025-07-17_19-16-34-115458.csv
1752794199.286226,579694.000,28508,4,EM,1,100,PS
1752794199.336477,579744.250,28543,4,EM,1,100,RS
1752794199.386727,579794.500,28543,4,EM,1,100,RB
1752794199.436977,579844.750,28543,4,EM,1,100,2025-07-17_19-16-34-115458.csv
1752794199.487227,579895.000,28543,4,EM,1,100,PS
1752794199.537477,579945.250,28577,4,EM,1,100,RS
1752794199.587727,579995.500,28577,4,EM,1,100,RB
1752794199.637978,580045.750,28577,4,EM,1,100,2025-07-17_19-16-34-115458.csv
1752794199.688228,580096.000,28577,4,EM,1,100,PS
1752794199.738478,580146.250,28612,4,EM,1,100,RS
1752794199.788728,580196.500,28612,4,EM,1,100,RB
1752794199.838978,580246.750,28612,4,EM,1,100,2025-07-17_19-16-34-115458.csv
1752794199.889228,580297.000,28612,4,EM,1,100,PS
1752794199.939978,580347.750,28646,4,EM,1,100,RS
1752794199.990729,580398.500,28646,4,EM,1,100,RB
1752794200.041479,580449.250,28646,4,EM,1,100,2025-07-17_19-16-34-115458.csv
1752794200.092229,580500.000,28646,4,EM,1,100,PS
1752794200.142479,580550.250,28680,4,EM,1,100,RS
1752794200.192729,580600.500,28680,4,EM,1,100,RB
1752794200.242979,580650.750,28680,4,EM,1,100,2025-07-17_19-16-34-115458.csv
1752794200.293230,580701.000,28680,4,EM,1,100,PS
1752794200.343480,580751.250,28711,4,EM,1,100,RS
1752794200.393730,580801.500,28711,4,EM,1,100,RB
1752794200.443980,580851.750,28711,4,EM,1,100,2025-07-17_19-16-34-115458.csv
1752794200.494230,580902.000,28711,4,EM,1,100,PS
1752794200.544480,580952.250,28749,4,EM,1,100,RS
1752794200.594730,581002.500,28749,4,EM,1,100,RB
1752794200.644981,581052.750,28749,4,EM,1,100,2025-07-17_19-16-34-115458.csv
1752794200.695231,581103.000,28749,4,EM,1,100,PS
1752794200.745481,581153.250,28782,4,EM,1,100,RS
1752794200.795731,581203.500,28782,4,EM,1,100,RB
1752794200.845981,581253.750,28782,4,EM,1,100,2025-07-17_19-16-34-115458.csv
1752794200.896231,581304.000,28782,4,EM,1,100,PS
1752794200.946482,581354.250,28823,4,EM,1,100,RS
1752794200.996732,581404.500,28823,4,EM,1,100,RB
1752794201.046982,581454.750,28823,4,EM,1,100,2025-07-17_19-16-34-115458.csv
1752794201.097232,581505.000,28823,4,EM,1,100,PS
1752794201.147482,581555.250,28859,4,EM,1,100,RS
1752794201.197732,581605.500,28859,4,EM,1,100,RB
1752794201.247982,581655.750,28859,4,EM,1,100,2025-07-17_19-16-34-115458.csv
1752794201.298233,581706.000,28859,4,EM,1,100,PS
1752794201.348483,581756.250,28892,4,EM,1,100,RS
1752794201.398733,581806.500,28892,4,EM,1,100,RB
1752794201.448983,581856.750,28892,4,EM,1,100,2025-07-17_19-16-34-115458.csv
1752794201.499233,581907.000,28892,4,EM,1,100,PS
1752794201.549483,581957.250,28928,4,EM,1,100,RS
