LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1752794194.493212,574901,27720,1,HR,1,100,93.71
1752794195.093214,575501,27823,1,HR,1,100,95.10
1752794195.693215,576101,27922,1,HR,1,100,96.19
1752794196.426218,576834,28029,1,HR,1,100,93.33
1752794196.946219,577354,28115,1,HR,1,100,98.24
1752794197.506221,577914,28215,1,HR,1,100,100.21
1752794198.106223,578514,28320,1,HR,1,100,100.17
1752794198.706225,579114,28421,1,HR,1,100,100.13
1752794199.306227,579714,28510,1,HR,1,100,100.10
1752794199.906228,580314,28614,1,HR,1,100,100.08
1752794200.466230,580874,28713,1,HR,1,100,101.65
1752794201.039232,581447,28825,1,HR,1,100,102.87
1752794201.639234,582047,28911,1,HR,1,100,102.23
1752794202.279236,582687,29031,1,HR,1,100,100.35
1752794202.839237,583247,29114,1,HR,1,100,101.86
1752794203.399239,583807,29215,1,HR,1,100,103.03
1752794203.959241,584367,29304,1,HR,1,100,103.95
1752794204.599243,585007,29406,1,HR,1,100,101.68
1752794205.118244,585526,29507,1,HR,1,100,104.73
1752794205.692246,586100,29593,1,HR,1,100,105.26
1752794206.332248,586740,29719,1,HR,1,100,102.70
1752794206.812250,587220,29788,1,HR,1,100,107.66
1752794207.332251,587740,29871,1,HR,1,100,109.38
1752794208.771256,589179,30123,1,HR,1,100,94.33
1752794210.945262,591353,30472,1,HR,1,100,79.54
1752794211.505264,591913,30561,1,HR,1,100,85.67
1752794212.104266,592512,30660,1,HR,1,100,88.86
1752794212.664267,593072,30763,1,HR,1,100,92.92
1752794213.184269,593592,30848,1,HR,1,100,97.91
1752794213.784271,594192,30951,1,HR,1,100,98.38
1752794214.304272,594712,31036,1,HR,1,100,102.16
1752794214.984275,595392,31155,1,HR,1,100,99.06
1752794215.517276,595925,31241,1,HR,1,100,102.69
1752794216.117278,596525,31346,1,HR,1,100,102.09
1752794216.637280,597045,31437,1,HR,1,100,105.05
1752794217.157281,597565,31521,1,HR,1,100,107.34
1752794217.757283,598165,31624,1,HR,1,100,105.71
1752794218.317285,598725,31710,1,HR,1,100,106.03
1752794218.877287,599285,31812,1,HR,1,100,106.28
1752794219.437288,599845,31915,1,HR,1,100,106.47
1752794220.050290,600458,32018,1,HR,1,100,105.03
1752794220.650292,601058,32105,1,HR,1,100,103.91
1752794221.210294,601618,32211,1,HR,1,100,104.63
1752794221.770295,602178,32317,1,HR,1,100,105.19
1752794222.410297,602818,32422,1,HR,1,100,102.65
1752794222.970299,603378,32508,1,HR,1,100,103.65
1752794223.570301,603978,32608,1,HR,1,100,102.84
1752794224.170303,604578,32711,1,HR,1,100,102.21
1752794224.783305,605191,32812,1,HR,1,100,101.72
1752794225.383306,605791,32915,1,HR,1,100,101.33
1752794225.983308,606391,33019,1,HR,1,100,101.04
1752794226.623310,607031,33129,1,HR,1,100,99.42
1752794227.223312,607631,33216,1,HR,1,100,99.55
1752794227.823314,608231,33317,1,HR,1,100,99.65
1752794228.503316,608911,33437,1,HR,1,100,97.11
1752794229.103318,609511,33540,1,HR,1,100,97.75
1752794229.716320,610124,33643,1,HR,1,100,98.25
1752794230.316322,610724,33746,1,HR,1,100,98.64
1752794230.956324,611364,33851,1,HR,1,100,97.55
1752794231.596326,612004,33949,1,HR,1,100,96.71
1752794232.236327,612644,34057,1,HR,1,100,96.05
1752794232.836329,613244,34160,1,HR,1,100,96.93
1752794233.356331,613764,34244,1,HR,1,100,101.03
1752794233.969333,614377,34343,1,HR,1,100,100.80
1752794234.609335,615017,34464,1,HR,1,100,99.23
1752794235.249337,615657,34566,1,HR,1,100,98.02
1752794235.809338,616217,34651,1,HR,1,100,100.04
1752794236.449340,616857,34773,1,HR,1,100,98.65
1752794237.089342,617497,34883,1,HR,1,100,97.56
1752794237.729344,618137,34988,1,HR,1,100,96.71
1752794238.408346,618816,35107,1,HR,1,100,94.83
1752794239.022348,619430,35210,1,HR,1,100,95.98
1752794239.622350,620030,35313,1,HR,1,100,96.87
1752794240.222352,620630,35397,1,HR,1,100,97.57
1752794240.862354,621270,35518,1,HR,1,100,96.72
1752794241.501356,621909,35623,1,HR,1,100,96.06
1752794242.141358,622549,35731,1,HR,1,100,95.55
1752794242.741360,623149,35832,1,HR,1,100,96.54
1752794243.435362,623843,35952,1,HR,1,100,94.69
1752794244.035364,624443,36051,1,HR,1,100,95.87
1752794244.635365,625043,36158,1,HR,1,100,96.79
1752794245.274367,625682,36261,1,HR,1,100,96.11
1752794245.834369,626242,36348,1,HR,1,100,98.56
1752794246.474371,626882,36471,1,HR,1,100,97.49
1752794247.074373,627482,36578,1,HR,1,100,98.05
1752794247.714375,628122,36683,1,HR,1,100,97.10
1752794248.367377,628775,36786,1,HR,1,100,96.35
1752794249.007379,629415,36891,1,HR,1,100,95.77
1752794249.607381,630015,36996,1,HR,1,100,96.71
1752794250.247383,630655,37098,1,HR,1,100,96.05
1752794250.847385,631255,37203,1,HR,1,100,96.93
1752794251.487387,631895,37322,1,HR,1,100,96.22
1752794252.127388,632535,37427,1,HR,1,100,95.67
1752794252.740390,633148,37534,1,HR,1,100,96.64
1752794253.420392,633828,37635,1,HR,1,100,94.77
1752794254.020394,634428,37738,1,HR,1,100,95.93
1752794254.580396,634988,37837,1,HR,1,100,98.42
1752794255.220398,635628,37937,1,HR,1,100,97.38
1752794255.860400,636268,38038,1,HR,1,100,96.58
1752794256.420402,636828,38141,1,HR,1,100,98.92
1752794257.060404,637468,38244,1,HR,1,100,97.77
1752794257.673405,638081,38350,1,HR,1,100,98.27
1752794258.353408,638761,38470,1,HR,1,100,96.04
1752794258.953409,639361,38556,1,HR,1,100,96.92
1752794259.513411,639921,38658,1,HR,1,100,99.19
1752794260.153413,640561,38763,1,HR,1,100,97.98
1752794260.873415,641281,38881,1,HR,1,100,94.73
1752794261.513417,641921,39002,1,HR,1,100,94.51
1752794262.086419,642494,39089,1,HR,1,100,97.32
1752794262.766421,643174,39213,1,HR,1,100,95.30
1752794263.406423,643814,39316,1,HR,1,100,94.95
1752794264.046425,644454,39419,1,HR,1,100,94.69
1752794264.646427,645054,39520,1,HR,1,100,95.87
1752794265.286429,645694,39642,1,HR,1,100,95.40
1752794265.926431,646334,39745,1,HR,1,100,95.03
1752794266.539433,646947,39849,1,HR,1,100,96.14
1752794267.219435,647627,39967,1,HR,1,100,94.38
1752794267.819437,648227,40058,1,HR,1,100,95.63
1752794268.459439,648867,40161,1,HR,1,100,95.21
1752794269.099440,649507,40280,1,HR,1,100,94.89
1752794269.739442,650147,40385,1,HR,1,100,94.63
1752794270.339444,650747,40488,1,HR,1,100,95.83
1752794270.992446,651400,40593,1,HR,1,100,95.36
1752794271.632448,652040,40713,1,HR,1,100,95.01
1752794272.272450,652680,40816,1,HR,1,100,94.73
1752794272.832452,653240,40906,1,HR,1,100,97.49
1752794273.512454,653920,41022,1,HR,1,100,95.43
1752794274.112456,654520,41125,1,HR,1,100,96.45
1752794274.792458,655200,41226,1,HR,1,100,94.62
1752794275.392460,655800,41329,1,HR,1,100,95.82
1752794276.125462,656533,41465,1,HR,1,100,93.04
1752794276.645464,657053,41551,1,HR,1,100,98.01
1752794277.245465,657653,41652,1,HR,1,100,98.45
1752794277.884467,658292,41762,1,HR,1,100,97.41
1752794278.445469,658853,41846,1,HR,1,100,99.57
1752794279.044471,659452,41953,1,HR,1,100,99.67
1752794279.684473,660092,42052,1,HR,1,100,98.35
1752794280.298475,660706,42153,1,HR,1,100,98.72
1752794280.858477,661266,42253,1,HR,1,100,100.59
1752794281.498479,661906,42354,1,HR,1,100,99.07
1752794282.097480,662505,42453,1,HR,1,100,99.28
1752794282.657482,663065,42554,1,HR,1,100,101.02
1752794283.257484,663665,42644,1,HR,1,100,100.80
1752794283.857486,664265,42744,1,HR,1,100,100.62
1752794284.417487,664825,42827,1,HR,1,100,102.07
1752794285.030489,665438,42944,1,HR,1,100,101.61
1752794285.590491,665998,43031,1,HR,1,100,102.84
1752794286.230493,666638,43131,1,HR,1,100,100.82
1752794286.790495,667198,43232,1,HR,1,100,102.22
1752794287.350496,667758,43316,1,HR,1,100,103.32
1752794287.990498,668398,43437,1,HR,1,100,101.19
1752794288.590500,668998,43520,1,HR,1,100,100.93
1752794289.110502,669518,43607,1,HR,1,100,104.14
1752794289.723504,670131,43706,1,HR,1,100,103.22
1752794290.283505,670691,43807,1,HR,1,100,104.09
1752794290.923507,671331,43910,1,HR,1,100,101.79
1752794291.563509,671971,44010,1,HR,1,100,100.01
1752794292.203511,672611,44127,1,HR,1,100,98.62
1752794292.803513,673211,44228,1,HR,1,100,98.92
1752794293.363515,673771,44318,1,HR,1,100,100.75
1752794294.016517,674424,44419,1,HR,1,100,99.19
1752794294.696519,675104,44534,1,HR,1,100,96.76
1752794295.336521,675744,44634,1,HR,1,100,96.09
1752794295.896523,676304,44736,1,HR,1,100,98.55
1752794296.496524,676904,44836,1,HR,1,100,98.87
1752794297.176527,677584,44935,1,HR,1,100,96.51
1752794297.856529,678264,45053,1,HR,1,100,94.67
1752794298.509531,678917,45157,1,HR,1,100,94.46
1752794299.149533,679557,45258,1,HR,1,100,94.31
1752794299.709534,680117,45359,1,HR,1,100,97.16
1752794300.349536,680757,45460,1,HR,1,100,96.40
1752794301.029538,681437,45579,1,HR,1,100,94.59
1752794301.589540,681997,45680,1,HR,1,100,97.38
1752794302.149542,682557,45764,1,HR,1,100,99.55
1752794302.789544,683197,45863,1,HR,1,100,98.26
1752794303.362546,683770,45969,1,HR,1,100,100.23
1752794303.962547,684370,46070,1,HR,1,100,100.18
1752794304.602549,685010,46169,1,HR,1,100,98.75
1752794305.322552,685730,46286,1,HR,1,100,95.33
1752794305.962554,686370,46387,1,HR,1,100,94.98
1752794306.562555,686970,46487,1,HR,1,100,96.09
1752794307.202557,687610,46604,1,HR,1,100,95.57
1752794307.855559,688263,46704,1,HR,1,100,95.17
1752794308.415561,688823,46787,1,HR,1,100,97.83
1752794309.015563,689423,46892,1,HR,1,100,98.31
1752794309.655565,690063,46993,1,HR,1,100,97.30
1752794310.175566,690583,47077,1,HR,1,100,101.32
1752794310.815568,691223,47192,1,HR,1,100,99.64
1752794311.415570,691823,47295,1,HR,1,100,99.72
1752794312.108572,692516,47394,1,HR,1,100,97.16
1752794312.748574,693156,47512,1,HR,1,100,96.41
1752794313.348576,693756,47611,1,HR,1,100,97.20
1752794313.948578,694356,47700,1,HR,1,100,97.83
1752794314.667580,695075,47818,1,HR,1,100,94.61
1752794315.308582,695716,47919,1,HR,1,100,94.42
1752794315.947584,696355,48038,1,HR,1,100,94.27
1752794316.587586,696995,48139,1,HR,1,100,94.15
1752794317.281588,697689,48255,1,HR,1,100,92.84
1752794317.881590,698289,48355,1,HR,1,100,94.43
1752794318.481592,698889,48460,1,HR,1,100,95.67
1752794319.160594,699568,48564,1,HR,1,100,94.02
