LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1752794195.956216,576364.000,27960,2,RD,1,100,TL
1752794195.956216,576364.000,27960,2,RD,1,100,TU
1752794198.516224,578924.000,28820,2,RD,1,100,TL
1752794201.076232,581484.000,28820,2,RD,1,100,TU
1752794203.628740,584036.500,29682,2,RD,1,100,TL
1752794206.181248,586589.000,29682,2,RD,1,100,TU
1752794208.736755,589144.500,30523,2,RD,1,100,TL
1752794211.292263,591700.000,30523,2,RD,1,100,TU
1752794213.854771,594262.500,31399,2,RD,1,100,TL
1752794216.417279,596825.000,31399,2,RD,1,100,TU
1752794218.971287,599379.000,32262,2,RD,1,100,TL
1752794221.525295,601933.000,32262,2,RD,1,100,TU
1752794224.078802,604486.500,33124,2,RD,1,100,TL
1752794226.632310,607040.000,33124,2,RD,1,100,TU
1752794229.189318,609597.000,33985,2,RD,1,100,TL
1752794231.746326,612154.000,33985,2,RD,1,100,TU
1752794234.305834,614713.500,34842,2,RD,1,100,TL
1752794236.865342,617273.000,34842,2,RD,1,100,TU
1752794239.425350,619833.000,35710,2,RD,1,100,TL
1752794241.985357,622393.000,35710,2,RD,1,100,TU
1752794244.541865,624949.500,36573,2,RD,1,100,TL
1752794247.098373,627506.000,36573,2,RD,1,100,TU
1752794249.657881,630065.500,37444,2,RD,1,100,TL
1752794252.217389,632625.000,37444,2,RD,1,100,TU
1752794254.774897,635182.500,38295,2,RD,1,100,TL
1752794257.332404,637740.000,38295,2,RD,1,100,TU
1752794259.886912,640294.500,39156,2,RD,1,100,TL
1752794262.441420,642849.000,39156,2,RD,1,100,TU
1752794264.998428,645406.000,40019,2,RD,1,100,TL
1752794267.555436,647963.000,40019,2,RD,1,100,TU
1752794270.108944,650516.500,40885,2,RD,1,100,TL
1752794272.662451,653070.000,40885,2,RD,1,100,TU
1752794275.217959,655625.500,41738,2,RD,1,100,TL
1752794277.773467,658181.000,41738,2,RD,1,100,TU
1752794280.331475,660739.000,42588,2,RD,1,100,TL
1752794282.889483,663297.000,42588,2,RD,1,100,TU
1752794285.447491,665855.000,43432,2,RD,1,100,TL
1752794288.005498,668413.000,43432,2,RD,1,100,TU
1752794290.562006,670969.500,44279,2,RD,1,100,TL
1752794293.118514,673526.000,44279,2,RD,1,100,TU
1752794295.677022,676084.500,45121,2,RD,1,100,TL
1752794298.235530,678643.000,45121,2,RD,1,100,TU
1752794300.789538,681197.000,45964,2,RD,1,100,TL
1752794303.343545,683751.000,45964,2,RD,1,100,TU
