LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1752794194.465212,574873,27773,1,SR,1,100,0.266667
1752794195.798216,576206,28031,1,SR,1,100,0.600000
1752794196.531218,576939,28166,1,SR,1,100,0.666667
1752794197.331220,577739,28235,1,SR,1,100,0.200000
1752794197.798222,578206,28302,1,SR,1,100,0.200000
1752794198.264223,578672,28405,1,SR,1,100,0.333333
1752794198.732225,579140,28440,1,SR,1,100,0.066667
1752794198.932225,579340,28490,1,SR,1,100,0.133333
1752794199.332227,579740,28545,1,SR,1,100,0.066667
1752794199.664228,580072,28595,1,SR,1,100,0.066667
1752794199.864228,580272,28715,1,SR,1,100,0.533333
1752794200.798231,581206,28827,1,SR,1,100,0.266667
1752794201.331233,581739,28913,1,SR,1,100,0.200000
1752794201.665234,582073,28980,1,SR,1,100,0.266667
1752794202.597237,583005,29148,1,SR,1,100,0.333333
1752794203.198238,583606,29217,1,SR,1,100,0.133333
1752794203.598240,584006,29270,1,SR,1,100,0.066667
1752794203.931241,584339,29387,1,SR,1,100,0.400000
1752794204.597243,585005,29474,1,SR,1,100,0.333333
1752794205.197245,585605,29575,1,SR,1,100,0.333333
1752794205.797246,586205,29646,1,SR,1,100,0.133333
1752794206.464248,586872,29770,1,SR,1,100,0.133333
1752794207.130251,587538,29971,1,SR,1,100,0.666667
1752794208.064253,588472,30104,1,SR,1,100,0.533333
1752794210.263260,590671,30386,1,SR,1,100,0.066667
1752794211.663264,592071,30678,1,SR,1,100,0.466667
1752794212.263266,592671,30780,1,SR,1,100,0.466667
1752794213.130269,593538,30882,1,SR,1,100,0.200000
1752794213.464270,593872,30933,1,SR,1,100,0.200000
1752794213.930271,594338,31038,1,SR,1,100,0.333333
1752794214.396273,594804,31121,1,SR,1,100,0.400000
1752794215.197275,595605,31222,1,SR,1,100,0.133333
1752794215.729277,596137,31311,1,SR,1,100,0.133333
1752794215.997278,596405,31362,1,SR,1,100,0.133333
1752794216.263279,596671,31420,1,SR,1,100,0.200000
1752794216.996281,597404,31523,1,SR,1,100,0.133333
1752794217.530282,597938,31642,1,SR,1,100,0.266667
1752794218.330285,598738,31743,1,SR,1,100,0.066667
1752794218.530285,598938,31779,1,SR,1,100,0.066667
1752794218.996287,599404,31897,1,SR,1,100,0.333333
1752794219.463288,599871,31935,1,SR,1,100,0.066667
1752794219.663289,600071,31985,1,SR,1,100,0.200000
1752794219.996290,600404,32020,1,SR,1,100,0.066667
1752794220.463291,600871,32107,1,SR,1,100,0.066667
1752794220.796292,601204,32176,1,SR,1,100,0.133333
1752794221.196294,601604,32284,1,SR,1,100,0.333333
1752794221.662295,602070,32319,1,SR,1,100,0.133333
1752794222.062296,602470,32386,1,SR,1,100,0.066667
1752794222.396297,602804,32489,1,SR,1,100,0.400000
1752794223.062299,603470,32559,1,SR,1,100,0.133333
1752794223.462301,603870,32628,1,SR,1,100,0.066667
1752794223.929302,604337,32796,1,SR,1,100,0.666667
1752794224.995305,605403,32879,1,SR,1,100,0.066667
1752794225.195306,605603,32917,1,SR,1,100,0.066667
1752794225.662307,606070,33053,1,SR,1,100,0.400000
1752794226.328309,606736,33104,1,SR,1,100,0.066667
1752794226.528310,606936,33131,1,SR,1,100,0.066667
1752794226.728311,607136,33165,1,SR,1,100,0.133333
1752794227.528313,607936,33300,1,SR,1,100,0.133333
1752794227.795314,608203,33369,1,SR,1,100,0.200000
1752794228.261315,608669,33439,1,SR,1,100,0.200000
1752794228.595316,609003,33521,1,SR,1,100,0.333333
1752794229.061318,609469,33624,1,SR,1,100,0.533333
1752794229.728320,610136,33659,1,SR,1,100,0.066667
1752794230.061321,610469,33727,1,SR,1,100,0.066667
1752794230.395322,610803,33829,1,SR,1,100,0.400000
1752794231.729326,612137,34039,1,SR,1,100,0.266667
1752794232.461328,612869,34125,1,SR,1,100,0.133333
1752794233.795332,614203,34362,1,SR,1,100,0.200000
1752794234.128333,614536,34412,1,SR,1,100,0.133333
1752794234.528335,614936,34466,1,SR,1,100,0.066667
1752794234.728335,615136,34568,1,SR,1,100,0.466667
1752794235.461337,615869,34653,1,SR,1,100,0.200000
1752794236.061339,616469,34722,1,SR,1,100,0.066667
1752794236.261340,616669,34775,1,SR,1,100,0.133333
1752794236.528341,616936,34864,1,SR,1,100,0.400000
1752794237.061342,617469,34919,1,SR,1,100,0.200000
1752794237.395343,617803,34969,1,SR,1,100,0.133333
1752794237.661344,618069,35004,1,SR,1,100,0.066667
1752794237.994345,618402,35089,1,SR,1,100,0.266667
1752794238.660347,619068,35192,1,SR,1,100,0.266667
1752794239.060348,619468,35227,1,SR,1,100,0.066667
1752794239.260349,619668,35294,1,SR,1,100,0.200000
1752794239.860351,620268,35399,1,SR,1,100,0.200000
1752794240.194352,620602,35434,1,SR,1,100,0.133333
1752794240.461353,620869,35520,1,SR,1,100,0.333333
1752794241.061355,621469,35573,1,SR,1,100,0.066667
1752794241.661356,622069,35690,1,SR,1,100,0.133333
1752794241.927357,622335,35765,1,SR,1,100,0.333333
1752794242.527359,622935,35834,1,SR,1,100,0.133333
1752794243.793363,624201,36053,1,SR,1,100,0.200000
1752794244.127364,624535,36089,1,SR,1,100,0.066667
1752794244.327365,624735,36122,1,SR,1,100,0.133333
1752794244.593365,625001,36176,1,SR,1,100,0.133333
1752794244.860366,625268,36227,1,SR,1,100,0.133333
1752794245.126367,625534,36263,1,SR,1,100,0.133333
1752794245.393368,625801,36315,1,SR,1,100,0.133333
1752794245.660369,626068,36402,1,SR,1,100,0.333333
1752794246.126370,626534,36437,1,SR,1,100,0.133333
1752794246.660372,627068,36522,1,SR,1,100,0.133333
1752794247.060373,627468,36580,1,SR,1,100,0.066667
1752794247.260374,627668,36632,1,SR,1,100,0.133333
1752794247.527374,627935,36685,1,SR,1,100,0.133333
1752794247.927376,628335,36752,1,SR,1,100,0.133333
