LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1752794194.473212,574881.000,27728,1,TH,1,100,37.854
1752794194.606212,575014.000,27745,1,TH,1,100,37.854
1752794194.739213,575147.000,27761,1,TH,1,100,37.864
1752794194.873213,575281.000,27795,1,TH,1,100,37.864
1752794195.006213,575414.000,27812,1,TH,1,100,37.842
1752794195.139214,575547.000,27830,1,TH,1,100,37.842
1752794195.273214,575681.000,27862,1,TH,1,100,37.914
1752794195.406215,575814.000,27879,1,TH,1,100,37.914
1752794195.539215,575947.000,27896,1,TH,1,100,37.828
1752794195.673215,576081.000,27929,1,TH,1,100,37.828
1752794195.806216,576214.000,27946,1,TH,1,100,37.861
1752794195.939716,576347.500,27969,2,TH,1,100,37.869
1752794196.073217,576481.000,27969,2,TH,1,100,37.820
1752794196.206217,576614.000,28001,1,TH,1,100,37.820
1752794196.339217,576747.000,28017,1,TH,1,100,37.791
1752794196.473218,576881.000,28038,1,TH,1,100,37.791
1752794196.606218,577014.000,28070,1,TH,1,100,37.832
1752794196.739219,577147.000,28086,1,TH,1,100,37.832
1752794196.873219,577281.000,28104,1,TH,1,100,37.765
1752794197.006219,577414.000,28137,1,TH,1,100,37.772
1752794197.139220,577547.000,28153,1,TH,1,100,37.933
1752794197.273220,577681.000,28173,1,TH,1,100,37.933
1752794197.406221,577814.000,28204,1,TH,1,100,37.885
1752794197.539221,577947.000,28223,1,TH,1,100,37.885
1752794197.673222,578081.000,28242,1,TH,1,100,37.859
1752794197.806222,578214.000,28274,1,TH,1,100,37.859
1752794197.939222,578347.000,28290,1,TH,1,100,37.875
1752794198.073223,578481.000,28309,1,TH,1,100,37.875
1752794198.206223,578614.000,28343,1,TH,1,100,37.813
1752794198.339224,578747.000,28359,1,TH,1,100,37.813
1752794198.472224,578880.000,28376,1,TH,1,100,37.842
1752794198.606224,579014.000,28393,1,TH,1,100,37.849
1752794198.739225,579147.000,28428,1,TH,1,100,37.777
1752794198.872225,579280.000,28448,1,TH,1,100,37.777
1752794199.006226,579414.000,28464,1,TH,1,100,37.822
1752794199.139226,579547.000,28498,1,TH,1,100,37.822
1752794199.272226,579680.000,28517,1,TH,1,100,37.747
1752794199.406227,579814.000,28533,1,TH,1,100,37.747
1752794199.539227,579947.000,28567,1,TH,1,100,37.851
1752794199.672228,580080.000,28584,1,TH,1,100,37.851
1752794199.806228,580214.000,28602,1,TH,1,100,37.916
1752794199.939228,580347.000,28636,1,TH,1,100,37.916
1752794200.072229,580480.000,28653,1,TH,1,100,37.827
1752794200.206229,580614.000,28670,1,TH,1,100,37.827
1752794200.339230,580747.000,28701,1,TH,1,100,37.863
1752794200.472230,580880.000,28723,1,TH,1,100,37.870
1752794200.606230,581014.000,28739,1,TH,1,100,37.904
1752794200.739231,581147.000,28756,1,TH,1,100,37.904
1752794200.872231,581280.000,28790,1,TH,1,100,37.856
1752794201.006232,581414.000,28806,1,TH,1,100,37.856
1752794201.139232,581547.000,28834,1,TH,1,100,37.935
1752794201.272233,581680.000,28866,1,TH,1,100,37.935
1752794201.406233,581814.000,28882,1,TH,1,100,37.848
1752794201.539233,581947.000,28900,1,TH,1,100,37.856
1752794201.672234,582080.000,28935,1,TH,1,100,37.931
1752794201.805234,582213.000,28951,1,TH,1,100,37.931
1752794201.939235,582347.000,28969,1,TH,1,100,37.925
1752794202.072235,582480.000,29002,1,TH,1,100,37.925
1752794202.205235,582613.000,29019,1,TH,1,100,37.865
1752794202.339236,582747.000,29038,1,TH,1,100,37.865
1752794202.472236,582880.000,29070,1,TH,1,100,37.918
1752794202.605237,583013.000,29086,1,TH,1,100,37.918
1752794202.739237,583147.000,29103,1,TH,1,100,37.906
1752794202.872237,583280.000,29122,1,TH,1,100,37.906
1752794203.005238,583413.000,29155,1,TH,1,100,37.872
1752794203.139238,583547.000,29172,1,TH,1,100,37.880
1752794203.272239,583680.000,29189,1,TH,1,100,37.870
1752794203.405239,583813.000,29224,1,TH,1,100,37.870
1752794203.539239,583947.000,29242,1,TH,1,100,37.899
1752794203.672240,584080.000,29258,1,TH,1,100,37.899
1752794203.805240,584213.000,29292,1,TH,1,100,37.860
1752794203.939241,584347.000,29311,1,TH,1,100,37.860
1752794204.072241,584480.000,29327,1,TH,1,100,37.957
1752794204.205242,584613.000,29359,1,TH,1,100,37.957
1752794204.339242,584747.000,29376,1,TH,1,100,37.891
1752794204.472242,584880.000,29394,1,TH,1,100,37.899
1752794204.605243,585013.000,29414,1,TH,1,100,37.937
1752794204.738243,585146.000,29445,1,TH,1,100,37.937
1752794204.872244,585280.000,29462,1,TH,1,100,37.961
1752794205.005244,585413.000,29481,1,TH,1,100,37.961
1752794205.138244,585546.000,29515,1,TH,1,100,37.959
1752794205.272245,585680.000,29531,1,TH,1,100,37.959
1752794205.405245,585813.000,29548,1,TH,1,100,37.998
1752794205.538246,585946.000,29582,1,TH,1,100,37.998
1752794205.672246,586080.000,29600,1,TH,1,100,37.932
1752794205.805246,586213.000,29617,1,TH,1,100,37.932
1752794205.938247,586346.000,29653,1,TH,1,100,37.990
1752794206.072247,586480.000,29669,1,TH,1,100,37.990
1752794206.205248,586613.000,29692,1,TH,1,100,37.968
1752794206.338248,586746.000,29725,1,TH,1,100,37.968
1752794206.472248,586880.000,29741,1,TH,1,100,37.906
1752794206.605249,587013.000,29759,1,TH,1,100,37.906
1752794206.738249,587146.000,29794,1,TH,1,100,37.970
1752794206.872250,587280.000,29811,1,TH,1,100,37.978
1752794207.005250,587413.000,29828,1,TH,1,100,37.879
1752794207.138251,587546.000,29844,1,TH,1,100,37.879
1752794207.272251,587680.000,29878,1,TH,1,100,37.983
1752794207.405251,587813.000,29895,1,TH,1,100,37.983
1752794207.538252,587946.000,29912,1,TH,1,100,37.946
1752794207.672252,588080.000,29943,1,TH,1,100,37.946
1752794207.805253,588213.000,29960,1,TH,1,100,38.009
1752794207.938253,588346.000,29979,1,TH,1,100,38.009
1752794208.072253,588480.000,30010,1,TH,1,100,37.939
1752794208.205254,588613.000,30028,1,TH,1,100,37.939
1752794208.338254,588746.000,30044,1,TH,1,100,37.927
1752794208.472255,588880.000,30076,1,TH,1,100,37.927
1752794208.605255,589013.000,30093,1,TH,1,100,37.961
1752794208.738255,589146.000,30111,1,TH,1,100,37.968
1752794208.871256,589279.000,30145,1,TH,1,100,37.960
1752794209.005256,589413.000,30162,1,TH,1,100,37.960
1752794209.138257,589546.000,30178,1,TH,1,100,37.987
1752794209.271257,589679.000,30196,1,TH,1,100,37.987
1752794209.405257,589813.000,30227,1,TH,1,100,37.953
1752794209.538258,589946.000,30244,1,TH,1,100,37.953
1752794209.671258,590079.000,30261,1,TH,1,100,37.891
1752794209.805259,590213.000,30293,1,TH,1,100,37.891
1752794209.938259,590346.000,30309,1,TH,1,100,37.932
1752794210.071260,590479.000,30326,1,TH,1,100,37.932
1752794210.205260,590613.000,30358,1,TH,1,100,37.919
1752794210.338260,590746.000,30374,1,TH,1,100,37.919
1752794210.471261,590879.000,30393,1,TH,1,100,37.934
1752794210.605261,591013.000,30425,1,TH,1,100,37.934
1752794210.738262,591146.000,30441,1,TH,1,100,37.987
1752794210.871262,591279.000,30459,1,TH,1,100,37.994
1752794211.005262,591413.000,30494,1,TH,1,100,37.946
1752794211.138263,591546.000,30510,1,TH,1,100,37.946
1752794211.271263,591679.000,30533,1,TH,1,100,38.011
1752794211.404264,591812.000,30549,1,TH,1,100,38.011
1752794211.538264,591946.000,30583,1,TH,1,100,38.035
1752794211.671264,592079.000,30600,1,TH,1,100,38.035
1752794211.804265,592212.000,30616,1,TH,1,100,37.902
1752794211.938265,592346.000,30648,1,TH,1,100,37.902
1752794212.071266,592479.000,30667,1,TH,1,100,37.987
1752794212.204266,592612.000,30686,1,TH,1,100,37.987
1752794212.338266,592746.000,30717,1,TH,1,100,38.033
1752794212.471267,592879.000,30734,1,TH,1,100,38.033
1752794212.604267,593012.000,30751,1,TH,1,100,38.020
1752794212.738268,593146.000,30786,1,TH,1,100,38.028
1752794212.871268,593279.000,30804,1,TH,1,100,37.984
1752794213.004269,593412.000,30820,1,TH,1,100,37.984
1752794213.138269,593546.000,30837,1,TH,1,100,38.018
1752794213.271269,593679.000,30871,1,TH,1,100,38.018
1752794213.404270,593812.000,30889,1,TH,1,100,38.049
1752794213.538270,593946.000,30907,1,TH,1,100,38.049
1752794213.671271,594079.000,30940,1,TH,1,100,38.003
1752794213.804271,594212.000,30958,1,TH,1,100,38.004
1752794213.938271,594346.000,30976,1,TH,1,100,38.068
1752794214.071272,594479.000,31007,1,TH,1,100,38.068
1752794214.204272,594612.000,31024,1,TH,1,100,38.129
1752794214.338273,594746.000,31045,1,TH,1,100,38.129
1752794214.471273,594879.000,31077,1,TH,1,100,37.965
1752794214.604273,595012.000,31093,1,TH,1,100,37.965
1752794214.737274,595145.000,31110,1,TH,1,100,38.054
1752794214.871274,595279.000,31129,1,TH,1,100,38.061
1752794215.004275,595412.000,31162,1,TH,1,100,38.078
1752794215.137275,595545.000,31179,1,TH,1,100,38.078
1752794215.271275,595679.000,31196,1,TH,1,100,38.030
1752794215.404276,595812.000,31229,1,TH,1,100,38.030
1752794215.538276,595946.000,31249,1,TH,1,100,38.039
1752794215.671277,596079.000,31265,1,TH,1,100,38.039
1752794215.804277,596212.000,31297,1,TH,1,100,38.039
1752794215.937278,596345.000,31318,1,TH,1,100,38.039
1752794216.071278,596479.000,31334,1,TH,1,100,37.996
1752794216.204278,596612.000,31370,1,TH,1,100,37.996
1752794216.337279,596745.000,31387,1,TH,1,100,37.953
1752794216.471279,596879.000,31408,1,TH,1,100,37.960
1752794216.604280,597012.000,31444,1,TH,1,100,38.032
1752794216.737280,597145.000,31461,1,TH,1,100,38.032
1752794216.871280,597279.000,31478,1,TH,1,100,37.998
1752794217.004281,597412.000,31495,1,TH,1,100,37.998
1752794217.137281,597545.000,31531,1,TH,1,100,38.087
1752794217.271282,597679.000,31547,1,TH,1,100,38.087
1752794217.404282,597812.000,31564,1,TH,1,100,38.039
1752794217.537282,597945.000,31596,1,TH,1,100,38.039
1752794217.671283,598079.000,31612,1,TH,1,100,38.020
1752794217.804283,598212.000,31631,1,TH,1,100,38.020
1752794217.937284,598345.000,31665,1,TH,1,100,38.005
1752794218.070284,598478.000,31681,1,TH,1,100,38.005
1752794218.204284,598612.000,31699,1,TH,1,100,38.126
1752794218.337285,598745.000,31732,1,TH,1,100,38.133
1752794218.470285,598878.000,31750,1,TH,1,100,38.020
1752794218.604286,599012.000,31768,1,TH,1,100,38.020
1752794218.737286,599145.000,31801,1,TH,1,100,38.013
1752794218.870286,599278.000,31820,1,TH,1,100,38.013
1752794219.004287,599412.000,31837,1,TH,1,100,38.056
1752794219.137287,599545.000,31853,1,TH,1,100,38.056
1752794219.270288,599678.000,31885,1,TH,1,100,38.049
1752794219.404288,599812.000,31904,1,TH,1,100,38.049
1752794219.537289,599945.000,31923,1,TH,1,100,38.036
1752794219.670289,600078.000,31956,1,TH,1,100,38.036
1752794219.804289,600212.000,31973,1,TH,1,100,38.126
1752794219.937290,600345.000,31992,1,TH,1,100,38.126
1752794220.070290,600478.000,32027,1,TH,1,100,38.060
1752794220.204291,600612.000,32045,1,TH,1,100,38.060
1752794220.337291,600745.000,32061,1,TH,1,100,38.041
1752794220.470291,600878.000,32093,1,TH,1,100,38.048
1752794220.604292,601012.000,32114,1,TH,1,100,38.053
1752794220.737292,601145.000,32130,1,TH,1,100,38.053
1752794220.870293,601278.000,32164,1,TH,1,100,38.087
1752794221.004293,601412.000,32183,1,TH,1,100,38.087
1752794221.137293,601545.000,32199,1,TH,1,100,38.010
1752794221.270294,601678.000,32233,1,TH,1,100,38.010
1752794221.404294,601812.000,32250,1,TH,1,100,38.092
1752794221.537295,601945.000,32272,1,TH,1,100,38.092
1752794221.670295,602078.000,32291,1,TH,1,100,38.065
1752794221.803295,602211.000,32327,1,TH,1,100,38.065
1752794221.937296,602345.000,32343,1,TH,1,100,38.027
1752794222.070296,602478.000,32360,1,TH,1,100,38.027
1752794222.203297,602611.000,32394,1,TH,1,100,38.077
1752794222.337297,602745.000,32410,1,TH,1,100,38.085
1752794222.470298,602878.000,32429,1,TH,1,100,38.053
1752794222.603298,603011.000,32461,1,TH,1,100,38.046
1752794222.737298,603145.000,32477,1,TH,1,100,38.171
1752794222.870299,603278.000,32497,1,TH,1,100,38.178
1752794223.003299,603411.000,32530,1,TH,1,100,38.063
1752794223.137300,603545.000,32546,1,TH,1,100,38.063
1752794223.270300,603678.000,32566,1,TH,1,100,38.005
1752794223.403300,603811.000,32597,1,TH,1,100,38.005
1752794223.537301,603945.000,32616,1,TH,1,100,38.072
1752794223.670301,604078.000,32635,1,TH,1,100,38.072
1752794223.803302,604211.000,32651,1,TH,1,100,38.029
1752794223.937302,604345.000,32683,1,TH,1,100,38.029
1752794224.070302,604478.000,32700,1,TH,1,100,38.103
1752794224.203303,604611.000,32719,1,TH,1,100,38.103
1752794224.337303,604745.000,32750,1,TH,1,100,38.067
1752794224.470304,604878.000,32767,1,TH,1,100,38.075
1752794224.603304,605011.000,32784,1,TH,1,100,38.087
1752794224.736304,605144.000,32819,1,TH,1,100,38.087
1752794224.870305,605278.000,32837,1,TH,1,100,38.156
1752794225.003305,605411.000,32853,1,TH,1,100,38.156
1752794225.137306,605545.000,32887,1,TH,1,100,38.089
1752794225.270306,605678.000,32904,1,TH,1,100,38.089
1752794225.403307,605811.000,32924,1,TH,1,100,38.110
1752794225.537307,605945.000,32956,1,TH,1,100,38.110
1752794225.670307,606078.000,32973,1,TH,1,100,38.043
1752794225.803308,606211.000,32989,1,TH,1,100,38.043
1752794225.936308,606344.000,33025,1,TH,1,100,38.137
1752794226.070309,606478.000,33042,1,TH,1,100,38.137
1752794226.203309,606611.000,33061,1,TH,1,100,38.089
1752794226.336309,606744.000,33078,1,TH,1,100,38.096
1752794226.470310,606878.000,33112,1,TH,1,100,38.069
1752794226.603310,607011.000,33138,2,TH,1,100,38.069
1752794226.736311,607144.000,33138,2,TH,1,100,38.149
1752794226.870311,607278.000,33172,1,TH,1,100,38.149
1752794227.003311,607411.000,33188,1,TH,1,100,38.089
1752794227.136312,607544.000,33205,1,TH,1,100,38.089
1752794227.270312,607678.000,33239,1,TH,1,100,38.050
1752794227.403313,607811.000,33255,1,TH,1,100,38.050
1752794227.536313,607944.000,33273,1,TH,1,100,38.074
1752794227.670313,608078.000,33306,1,TH,1,100,38.074
1752794227.803314,608211.000,33324,1,TH,1,100,38.069
1752794227.936314,608344.000,33342,1,TH,1,100,38.069
1752794228.069315,608477.000,33375,1,TH,1,100,38.115
1752794228.203315,608611.000,33392,1,TH,1,100,38.122
1752794228.336316,608744.000,33409,1,TH,1,100,38.132
1752794228.469316,608877.000,33425,1,TH,1,100,38.132
1752794228.603316,609011.000,33461,1,TH,1,100,38.146
1752794228.736317,609144.000,33478,1,TH,1,100,38.146
1752794228.869317,609277.000,33495,1,TH,1,100,38.185
1752794229.003318,609411.000,33528,1,TH,1,100,38.185
1752794229.136318,609544.000,33547,1,TH,1,100,38.129
1752794229.269318,609677.000,33564,1,TH,1,100,38.129
1752794229.403319,609811.000,33595,1,TH,1,100,38.124
1752794229.536319,609944.000,33613,1,TH,1,100,38.124
1752794229.669320,610077.000,33631,1,TH,1,100,38.165
1752794229.803320,610211.000,33667,1,TH,1,100,38.165
1752794229.936320,610344.000,33684,1,TH,1,100,38.225
1752794230.069321,610477.000,33700,1,TH,1,100,38.225
1752794230.203321,610611.000,33734,1,TH,1,100,38.098
1752794230.336322,610744.000,33753,1,TH,1,100,38.098
1752794230.469322,610877.000,33769,1,TH,1,100,38.141
1752794230.603322,611011.000,33787,1,TH,1,100,38.141
1752794230.736323,611144.000,33818,1,TH,1,100,38.110
1752794230.869323,611277.000,33837,1,TH,1,100,38.117
1752794231.003324,611411.000,33858,1,TH,1,100,38.141
1752794231.136324,611544.000,33890,1,TH,1,100,38.141
1752794231.269325,611677.000,33906,1,TH,1,100,38.095
1752794231.403325,611811.000,33923,1,TH,1,100,38.095
1752794231.536325,611944.000,33957,1,TH,1,100,38.216
1752794231.669326,612077.000,33973,1,TH,1,100,38.216
1752794231.802326,612210.000,33995,1,TH,1,100,38.117
1752794231.936327,612344.000,34012,1,TH,1,100,38.117
1752794232.069327,612477.000,34045,1,TH,1,100,38.002
1752794232.202327,612610.000,34065,1,TH,1,100,38.002
1752794232.336328,612744.000,34081,1,TH,1,100,38.158
1752794232.469328,612877.000,34098,1,TH,1,100,38.158
1752794232.602329,613010.000,34132,1,TH,1,100,38.208
1752794232.736329,613144.000,34148,1,TH,1,100,38.215
1752794232.869329,613277.000,34168,1,TH,1,100,38.127
1752794233.002330,613410.000,34199,1,TH,1,100,38.127
1752794233.136330,613544.000,34215,1,TH,1,100,38.098
1752794233.269331,613677.000,34233,1,TH,1,100,38.098
1752794233.402331,613810.000,34266,1,TH,1,100,38.076
1752794233.536331,613944.000,34283,1,TH,1,100,38.076
1752794233.669332,614077.000,34300,1,TH,1,100,38.194
1752794233.802332,614210.000,34332,1,TH,1,100,38.194
1752794233.936333,614344.000,34350,1,TH,1,100,38.220
1752794234.069333,614477.000,34369,1,TH,1,100,38.220
1752794234.202334,614610.000,34401,1,TH,1,100,38.194
1752794234.336334,614744.000,34419,1,TH,1,100,38.194
1752794234.469334,614877.000,34436,1,TH,1,100,38.136
1752794234.602335,615010.000,34472,1,TH,1,100,38.143
