LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1752794195.954216,576362.000,27958,1,TL,1,100,2025-07-17_19-16-30-936543
1752794201.072232,581480.000,28816,1,TL,1,100,2025-07-17_19-16-35-961820
1752794201.074232,581482.000,28818,1,TL,1,100,2025-07-17_19-16-36-104773
1752794201.089232,581497.000,28821,1,TL,1,100,2025-07-17_19-16-41-086101
1752794206.180248,586588.000,29680,1,TL,1,100,2025-07-17_19-16-41-161420
1752794206.201248,586609.000,29683,1,TL,1,100,2025-07-17_19-16-46-185441
1752794211.288263,591696.000,30521,1,TL,1,100,2025-07-17_19-16-46-244783
1752794211.306263,591714.000,30524,1,TL,1,100,2025-07-17_19-16-51-297341
1752794216.416279,596824.000,31397,1,TL,1,100,2025-07-17_19-16-51-332164
1752794216.425279,596833.000,31400,1,TL,1,100,2025-07-17_19-16-56-421279
1752794221.523295,601931.000,32260,1,TL,1,100,2025-07-17_19-16-56-510816
1752794221.539295,601947.000,32263,1,TL,1,100,2025-07-17_19-17-01-530602
1752794226.631310,607039.000,33122,1,TL,1,100,2025-07-17_19-17-01-595391
1752794226.641310,607049.000,33125,1,TL,1,100,2025-07-17_19-17-06-637778
1752794231.744326,612152.000,33983,1,TL,1,100,2025-07-17_19-17-06-769690
1752794231.790326,612198.000,33986,1,TL,1,100,2025-07-17_19-17-11-749785
1752794236.859342,617267.000,34840,1,TL,1,100,2025-07-17_19-17-11-875450
1752794236.876342,617284.000,34843,1,TL,1,100,2025-07-17_19-17-16-868991
1752794241.984357,622392.000,35708,1,TL,1,100,2025-07-17_19-17-17-000423
1752794241.996357,622404.000,35711,1,TL,1,100,2025-07-17_19-17-21-992118
1752794247.096373,627504.000,36571,1,TL,1,100,2025-07-17_19-17-22-113350
1752794247.110373,627518.000,36574,1,TL,1,100,2025-07-17_19-17-27-104600
1752794252.215389,632623.000,37442,1,TL,1,100,2025-07-17_19-17-27-232215
1752794252.239389,632647.000,37445,1,TL,1,100,2025-07-17_19-17-32-221659
1752794257.330404,637738.000,38293,1,TL,1,100,2025-07-17_19-17-32-351519
1752794257.341404,637749.000,38296,1,TL,1,100,2025-07-17_19-17-37-335797
1752794262.439420,642847.000,39154,1,TL,1,100,2025-07-17_19-17-37-459962
1752794262.453420,642861.000,39157,1,TL,1,100,2025-07-17_19-17-42-447686
1752794267.553436,647961.000,40017,1,TL,1,100,2025-07-17_19-17-42-571667
1752794267.566436,647974.000,40020,1,TL,1,100,2025-07-17_19-17-47-559856
1752794272.661451,653069.000,40883,1,TL,1,100,2025-07-17_19-17-47-694553
1752794272.677451,653085.000,40886,1,TL,1,100,2025-07-17_19-17-52-667668
1752794277.771467,658179.000,41736,1,TL,1,100,2025-07-17_19-17-52-795385
1752794277.800467,658208.000,41739,1,TL,1,100,2025-07-17_19-17-57-781219
1752794282.887483,663295.000,42586,1,TL,1,100,2025-07-17_19-17-57-897107
1752794282.905483,663313.000,42589,1,TL,1,100,2025-07-17_19-18-02-892753
1752794288.000498,668408.000,43430,1,TL,1,100,2025-07-17_19-18-03-026666
1752794288.014498,668422.000,43433,1,TL,1,100,2025-07-17_19-18-08-010353
1752794293.116514,673524.000,44277,1,TL,1,100,2025-07-17_19-18-08-138489
1752794293.127514,673535.000,44280,1,TL,1,100,2025-07-17_19-18-13-123478
1752794298.232530,678640.000,45119,1,TL,1,100,2025-07-17_19-18-13-242950
1752794298.244530,678652.000,45122,1,TL,1,100,2025-07-17_19-18-18-240170
1752794303.341545,683749.000,45962,1,TL,1,100,2025-07-17_19-18-18-361625
1752794303.351546,683759.000,45965,1,TL,1,100,2025-07-17_19-18-23-346927
1752794308.451561,688859.000,46803,1,TL,1,100,2025-07-17_19-18-23-468067
1752794308.464561,688872.000,46806,1,TL,1,100,2025-07-17_19-18-28-460995
1752794313.576577,693984.000,47645,1,TL,1,100,2025-07-17_19-18-28-588199
1752794313.589577,693997.000,47648,1,TL,1,100,2025-07-17_19-18-33-581697
1752794318.689593,699097.000,48492,1,TL,1,100,2025-07-17_19-18-33-706445
1752794318.708593,699116.000,48495,1,TL,1,100,2025-07-17_19-18-38-700558
1752794323.809608,704217.000,49339,1,TL,1,100,2025-07-17_19-18-38-825141
1752794323.823608,704231.000,49342,1,TL,1,100,2025-07-17_19-18-43-818106
1752794328.925624,709333.000,50179,1,TL,1,100,2025-07-17_19-18-43-954782
1752794328.938624,709346.000,50182,1,TL,1,100,2025-07-17_19-18-48-934431
1752794334.041640,714449.000,51018,1,TL,1,100,2025-07-17_19-18-49-050151
1752794334.069640,714477.000,51021,1,TL,1,100,2025-07-17_19-18-54-064631
1752794339.159655,719567.000,51857,1,TL,1,100,2025-07-17_19-18-54-173193
1752794339.168655,719576.000,51860,1,TL,1,100,2025-07-17_19-18-59-164810
1752794344.266671,724674.000,52701,1,TL,1,100,2025-07-17_19-18-59-289722
1752794344.319671,724727.000,52704,1,TL,1,100,2025-07-17_19-19-04-272799
1752794349.376687,729784.000,53540,1,TL,1,100,2025-07-17_19-19-04-396065
1752794349.386687,729794.000,53543,1,TL,1,100,2025-07-17_19-19-09-382939
1752794354.499702,734907.000,54381,1,TL,1,100,2025-07-17_19-19-09-502658
1752794354.513702,734921.000,54384,1,TL,1,100,2025-07-17_19-19-14-511422
1752794359.614718,740022.000,55221,1,TL,1,100,2025-07-17_19-19-14-635393
1752794359.631718,740039.000,55224,1,TL,1,100,2025-07-17_19-19-19-627827
1752794364.736734,745144.000,56060,1,TL,1,100,2025-07-17_19-19-19-745269
1752794364.771734,745179.000,56063,1,TL,1,100,2025-07-17_19-19-24-747651
1752794369.856749,750264.000,56901,1,TL,1,100,2025-07-17_19-19-24-883010
1752794369.866749,750274.000,56904,1,TL,1,100,2025-07-17_19-19-29-862816
1752794374.979765,755387.000,57747,1,TL,1,100,2025-07-17_19-19-29-990983
1752794375.000765,755408.000,57750,1,TL,1,100,2025-07-17_19-19-34-994565
1752794380.096781,760504.000,58588,1,TL,1,100,2025-07-17_19-19-35-119612
1752794380.117781,760525.000,58591,1,TL,1,100,2025-07-17_19-19-40-114480
1752794385.207796,765615.000,59427,1,TL,1,100,2025-07-17_19-19-40-239438
1752794385.222797,765630.000,59430,1,TL,1,100,2025-07-17_19-19-45-216705
1752794390.329812,770737.000,60269,1,TL,1,100,2025-07-17_19-19-45-342397
1752794390.341812,770749.000,60272,1,TL,1,100,2025-07-17_19-19-50-338748
1752794395.440828,775848.000,61110,1,TL,1,100,2025-07-17_19-19-50-467564
1752794395.461828,775869.000,61113,1,TL,1,100,2025-07-17_19-19-55-455229
1752794400.554844,780962.000,61950,1,TL,1,100,2025-07-17_19-19-55-573484
1752794400.568844,780976.000,61953,1,TL,1,100,2025-07-17_19-20-00-564117
1752794405.661859,786069.000,62787,1,TL,1,100,2025-07-17_19-20-00-687472
1752794405.673859,786081.000,62790,1,TL,1,100,2025-07-17_19-20-05-669916
1752794410.781875,791189.000,63627,1,TL,1,100,2025-07-17_19-20-05-803799
1752794410.793875,791201.000,63630,1,TL,1,100,2025-07-17_19-20-10-788194
1752794415.907891,796315.000,64469,1,TL,1,100,2025-07-17_19-20-10-924130
1752794415.946891,796354.000,64472,1,TL,1,100,2025-07-17_19-20-15-917970
1752794421.044906,801452.000,65310,1,TL,1,100,2025-07-17_19-20-16-047567
1752794421.085906,801493.000,65313,1,TL,1,100,2025-07-17_19-20-21-055438
1752794426.160922,806568.000,613,1,TL,1,100,2025-07-17_19-20-21-183325
1752794426.178922,806586.000,616,1,TL,1,100,2025-07-17_19-20-26-175482
1752794431.271938,811679.000,1456,1,TL,1,100,2025-07-17_19-20-26-249386
1752794431.279938,811687.000,1459,1,TL,1,100,2025-07-17_19-20-31-277525
1752794436.379953,816787.000,2297,1,TL,1,100,2025-07-17_19-20-31-330380
1752794441.488969,821896.000,3134,1,TL,1,100,2025-07-17_19-20-36-386432
1752794441.490969,821898.000,3136,1,TL,1,100,2025-07-17_19-20-36-508318
1752794441.502969,821910.000,3139,1,TL,1,100,2025-07-17_19-20-41-499561
1752794446.596985,827004.000,3978,1,TL,1,100,2025-07-17_19-20-41-581682
1752794446.605985,827013.000,3981,1,TL,1,100,2025-07-17_19-20-46-603513
1752794451.705000,832112.000,4817,1,TL,1,100,2025-07-17_19-20-46-655258
1752794451.717000,832124.000,4820,1,TL,1,100,2025-07-17_19-20-51-713458
1752794456.825016,837232.000,5674,1,TL,1,100,2025-07-17_19-20-51-741590
1752794456.856016,837263.000,5677,1,TL,1,100,2025-07-17_19-20-56-833650
1752794461.935032,842342.000,6519,1,TL,1,100,2025-07-17_19-20-56-922431
1752794461.948032,842355.000,6522,1,TL,1,100,2025-07-17_19-21-01-940985
1752794467.068047,847475.000,7374,1,TL,1,100,2025-07-17_19-21-01-988079
1752794467.077048,847484.000,7377,1,TL,1,100,2025-07-17_19-21-07-073730
1752794472.176063,852583.000,8213,1,TL,1,100,2025-07-17_19-21-07-163123
1752794472.191063,852598.000,8216,1,TL,1,100,2025-07-17_19-21-12-186082
1752794477.284079,857691.000,9055,1,TL,1,100,2025-07-17_19-21-12-239001
1752794477.307079,857714.000,9058,1,TL,1,100,2025-07-17_19-21-17-292240
1752794482.415095,862822.000,9910,1,TL,1,100,2025-07-17_19-21-17-331466
1752794482.428095,862835.000,9913,1,TL,1,100,2025-07-17_19-21-22-421889
1752794487.524110,867931.000,10750,1,TL,1,100,2025-07-17_19-21-22-502804
1752794487.533110,867940.000,10753,1,TL,1,100,2025-07-17_19-21-27-530482
1752794492.656126,873063.000,11606,1,TL,1,100,2025-07-17_19-21-27-579001
1752794492.720126,873127.000,11609,1,TL,1,100,2025-07-17_19-21-32-662068
1752794497.764142,878171.000,12447,1,TL,1,100,2025-07-17_19-21-32-745254
1752794497.780142,878187.000,12450,1,TL,1,100,2025-07-17_19-21-37-772133
1752794502.872157,883279.000,13286,1,TL,1,100,2025-07-17_19-21-37-819752
1752794502.893157,883300.000,13289,1,TL,1,100,2025-07-17_19-21-42-886553
1752794508.003173,888410.000,14142,1,TL,1,100,2025-07-17_19-21-42-917332
1752794508.030173,888437.000,14145,1,TL,1,100,2025-07-17_19-21-48-010804
