LF-FpZ,OTE_L-FpZ,RF-FpZ,OTE_R-FpZ,Time
0.0,0.0006601153599658193,1.8311105685598313e-06,2.7466658528397473e-06,0.0
3.6622211371196626e-06,-0.006908780175176244,9.155552842799157e-07,-1.73955504013184e-05,0.008
2.7466658528397473e-06,8.789330729087191e-05,-9.155552842799156e-06,9.155552842799157e-07,0.016
1.8311105685598313e-06,-0.007486495559556871,-2.7466658528397473e-06,-2.4719992675557722e-05,0.024
0.0,-0.0010739463484603412,-9.155552842799157e-07,2.7466658528397473e-06,0.032
0.0,-0.008055970946378978,6.40888698995941e-06,-2.563554795983764e-05,0.04
-2.7466658528397473e-06,0.0015353862117374187,-7.324442274239325e-06,9.155552842799156e-06,0.048
1.098666341135899e-05,-0.007030549027985473,4.577776421399578e-06,-2.3804437391277807e-05,0.056
5.493331705679495e-06,0.0001812799462874233,-1.281777397991882e-05,4.577776421399578e-06,0.064
1.464888454847865e-05,-0.006571855830561235,-1.8311105685598313e-06,-2.105777153843806e-05,0.072
-3.6622211371196626e-06,-0.0020563371684926904,-1.8311105685598312e-05,-2.7466658528397473e-06,0.08
1.8311105685598312e-05,-0.0028345591601306192,1.8311105685598313e-06,-1.098666341135899e-05,0.088
-3.6622211371196626e-06,-0.0026239814447462386,-2.7466658528397473e-06,-4.577776421399578e-06,0.096
8.239997558519242e-06,-0.001029084139530625,8.239997558519242e-06,-5.493331705679495e-06,0.104
-9.155552842799157e-07,-0.0015015106662190616,-1.464888454847865e-05,-3.6622211371196626e-06,0.112
1.0071108127079073e-05,-0.0014255195776238289,9.155552842799157e-07,-7.324442274239325e-06,0.12
-2.7466658528397473e-06,-0.0037437055574205754,-1.3733329264198735e-05,-9.155552842799156e-06,0.128
7.324442274239325e-06,0.0006381420331431012,-9.155552842799156e-06,0.0,0.136
-9.155552842799156e-06,-0.00358623004852443,-2.2888882106997894e-05,-9.155552842799156e-06,0.144
3.6622211371196626e-06,0.0011984618671224097,9.155552842799157e-07,0.0,0.152
-3.6622211371196626e-06,-0.0005575731681264686,-4.577776421399578e-06,9.155552842799157e-07,0.16
0.0,0.0029032258064516127,-3.6622211371196626e-06,6.40888698995941e-06,0.168
-9.155552842799156e-06,-0.005219580675679799,-6.40888698995941e-06,-1.5564439832758568e-05,0.176
5.493331705679495e-06,-0.00023071993163853875,9.155552842799156e-06,0.0,0.184
-7.324442274239325e-06,-0.0052150028992584,-5.493331705679495e-06,-1.1902218695638903e-05,0.192
6.40888698995941e-06,0.0024948881496627703,-3.6622211371196626e-06,6.40888698995941e-06,0.2
3.6622211371196626e-06,-0.004109012115848261,-9.155552842799157e-07,-1.3733329264198735e-05,0.208
3.6622211371196626e-06,0.0037958922086245303,-1.0071108127079073e-05,1.098666341135899e-05,0.216
2.7466658528397473e-06,-0.0026239814447462386,0.0,-1.281777397991882e-05,0.224
0.0,0.003464461195715201,-7.324442274239325e-06,1.0071108127079073e-05,0.232
-1.8311105685598313e-06,-0.0034598834192938015,-9.155552842799157e-07,-1.3733329264198735e-05,0.24
-1.8311105685598313e-06,0.0031366924039429914,-1.0071108127079073e-05,1.281777397991882e-05,0.248
4.577776421399578e-06,-0.0012881862849818415,-8.239997558519242e-06,-1.098666341135899e-05,0.256
-4.577776421399578e-06,0.002783288064210944,-2.6551103244117554e-05,6.40888698995941e-06,0.264
1.098666341135899e-05,0.0007589953306680501,1.8311105685598313e-06,-5.493331705679495e-06,0.272
-7.324442274239325e-06,0.0004504531998657185,-1.5564439832758568e-05,-9.155552842799157e-07,0.28
9.155552842799157e-07,0.0027008880886257515,0.0,0.0,0.288
-4.577776421399578e-06,0.0002746665852839747,-3.6622211371196626e-06,4.577776421399578e-06,0.296
1.0071108127079073e-05,0.004573198644978179,9.155552842799157e-07,7.324442274239325e-06,0.304
-7.324442274239325e-06,0.0001702932828760643,-1.1902218695638903e-05,1.8311105685598313e-06,0.312
4.577776421399578e-06,0.004280220954008606,-5.493331705679495e-06,4.577776421399578e-06,0.32
-5.493331705679495e-06,-0.00041291543321024196,-1.73955504013184e-05,9.155552842799157e-07,0.328
3.6622211371196626e-06,0.006502273628955961,-3.6622211371196626e-06,1.1902218695638903e-05,0.336
-4.577776421399578e-06,-0.000846888637958922,-3.6622211371196626e-06,-9.155552842799157e-07,0.344
0.0,0.009334086123233741,-1.3733329264198735e-05,2.2888882106997894e-05,0.352
-7.324442274239325e-06,0.002479323709830012,-1.3733329264198735e-05,2.7466658528397473e-06,0.36
4.577776421399578e-06,0.010395214697714164,-5.493331705679495e-06,2.563554795983764e-05,0.368
-4.577776421399578e-06,-0.0026853236487929927,-8.239997558519242e-06,-8.239997558519242e-06,0.376
6.40888698995941e-06,0.010663472396008178,-5.493331705679495e-06,2.746665852839747e-05,0.384
0.0,0.00010803552354503006,-8.239997558519242e-06,-3.6622211371196626e-06,0.392
8.239997558519242e-06,0.008326975310525833,-8.239997558519242e-06,2.2888882106997894e-05,0.4
-1.8311105685598313e-06,0.000661946470534379,-1.098666341135899e-05,-5.493331705679495e-06,0.408
4.577776421399578e-06,0.007748344370860926,-5.493331705679495e-06,1.73955504013184e-05,0.416
5.493331705679495e-06,0.0009384441663869136,9.155552842799157e-07,0.0,0.424
0.0,0.0,0.0,0.0,0.432
0.0,0.0,0.0,0.0,0.44
0.0,0.0,0.0,0.0,0.448
0.0,0.0,0.0,0.0,0.456
0.0,0.0,0.0,0.0,0.464
0.0,0.0,0.0,0.0,0.472
0.0,0.0,0.0,0.0,0.48
0.0,0.0,0.0,0.0,0.488
0.0,0.0,0.0,0.0,0.496
0.0,0.0,0.0,0.0,0.504
0.0,0.0,0.0,0.0,0.512
0.0,0.0,0.0,0.0,0.52
0.0,0.0,0.0,0.0,0.528
0.0,0.0,0.0,0.0,0.536
0.0,0.0,0.0,0.0,0.544
0.0,0.0,0.0,0.0,0.552
0.0,0.0,0.0,0.0,0.56
0.0,0.0,0.0,0.0,0.568
0.0,0.0,0.0,0.0,0.576
0.0,0.0,0.0,0.0,0.584
0.0,0.0,0.0,0.0,0.592
0.0,0.0,0.0,0.0,0.6
0.0,0.0,0.0,0.0,0.608
0.0,0.0,0.0,0.0,0.616
0.0,0.0,0.0,0.0,0.624
0.0,0.0,0.0,0.0,0.632
0.0,0.0,0.0,0.0,0.64
0.0,0.0,0.0,0.0,0.648
0.0,0.0,0.0,0.0,0.656
0.0,0.0,0.0,0.0,0.664
0.0,0.0,0.0,0.0,0.672
0.0,0.0,0.0,0.0,0.68
0.0,0.0,0.0,0.0,0.688
0.0,0.0,0.0,0.0,0.696
0.0,0.0,0.0,0.0,0.704
0.0,0.0,0.0,0.0,0.712
0.0,0.0,0.0,0.0,0.72
0.0,0.0,0.0,0.0,0.728
0.0,0.0,0.0,0.0,0.736
0.0,0.0,0.0,0.0,0.744
0.0,0.0,0.0,0.0,0.752
0.0,0.0,0.0,0.0,0.76
0.0,0.0,0.0,0.0,0.768
0.0,0.0,0.0,0.0,0.776
0.0,0.0,0.0,0.0,0.784
0.0,0.0,0.0,0.0,0.792
0.0,0.0,0.0,0.0,0.8
0.0,0.0,0.0,0.0,0.808
0.0,0.0,0.0,0.0,0.816
0.0,0.0,0.0,0.0,0.824
0.0,0.0,0.0,0.0,0.832
0.0,0.0,0.0,0.0,0.84
0.0,0.0,0.0,0.0,0.848
0.0,0.0,0.0,0.0,0.856
0.0,0.0,0.0,0.0,0.864
