LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1752794194.531212,574939.000,27725,2,EA,1,100,0.385120
1752794194.531212,574939.000,27725,2,EA,1,100,0.390345
1752794194.598212,575006.000,27742,1,EA,1,100,0.410434
1752794194.664712,575072.500,27758,2,EA,1,100,0.425821
1752794194.731212,575139.000,27758,2,EA,1,100,0.413898
1752794194.798213,575206.000,27777,1,EA,1,100,0.398112
1752794194.864713,575272.500,27792,2,EA,1,100,0.390630
1752794194.931213,575339.000,27792,2,EA,1,100,0.387952
1752794194.998213,575406.000,27809,1,EA,1,100,0.387176
1752794195.064714,575472.500,27827,2,EA,1,100,0.387348
1752794195.131214,575539.000,27827,2,EA,1,100,0.387413
1752794195.198214,575606.000,27845,1,EA,1,100,0.387780
1752794195.264714,575672.500,27859,2,EA,1,100,0.388364
1752794195.331214,575739.000,27859,2,EA,1,100,0.388797
1752794195.398215,575806.000,27876,1,EA,1,100,0.389102
1752794195.464715,575872.500,27893,2,EA,1,100,0.389384
1752794195.531215,575939.000,27893,2,EA,1,100,0.390126
1752794195.598215,576006.000,27910,1,EA,1,100,0.390367
1752794195.664715,576072.500,27926,2,EA,1,100,0.390674
1752794195.731216,576139.000,27926,2,EA,1,100,0.390871
1752794195.798216,576206.000,27943,1,EA,1,100,0.391003
1752794195.864966,576272.750,27966,4,EA,1,100,0.391574
1752794195.931716,576339.500,27966,4,EA,1,100,0.392524
1752794195.998466,576406.250,27966,4,EA,1,100,0.392767
1752794196.065217,576473.000,27966,4,EA,1,100,0.392657
1752794196.131217,576539.000,27982,1,EA,1,100,0.392767
1752794196.198217,576606.000,27998,2,EA,1,100,0.393255
1752794196.265217,576673.000,27998,2,EA,1,100,0.393745
1752794196.331217,576739.000,28014,1,EA,1,100,0.393811
1752794196.398218,576806.000,28035,2,EA,1,100,0.394057
1752794196.465218,576873.000,28035,2,EA,1,100,0.394123
1752794196.531218,576939.000,28052,1,EA,1,100,0.394213
1752794196.598218,577006.000,28067,2,EA,1,100,0.395040
