LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1755628823.928241,2543156,18239,1,BI,1,100,1120
1755628825.048255,2544276,18423,1,BI,1,100,1120
1755628826.061267,2545289,18589,1,BI,1,100,1000
1755628827.221281,2546449,18787,1,BI,1,100,1160
1755628828.141292,2547369,18927,1,BI,1,100,920
1755628829.141305,2548369,19097,1,BI,1,100,1000
1755628830.181317,2549409,19282,1,BI,1,100,1040
1755628831.274331,2550502,19454,1,BI,1,100,1080
1755628832.274343,2551502,19620,1,BI,1,100,1000
1755628833.234354,2552462,19793,1,BI,1,100,960
1755628834.234367,2553462,19960,1,BI,1,100,1000
1755628835.327380,2554555,20129,1,BI,1,100,1080
1755628836.287392,2555515,20297,1,BI,1,100,960
1755628837.407405,2556635,20482,1,BI,1,100,1120
1755628838.486418,2557714,20653,1,BI,1,100,1080
1755628839.486430,2558714,20817,1,BI,1,100,1000
1755628840.460442,2559688,20983,1,BI,1,100,960
1755628841.499455,2560727,21149,1,BI,1,100,1040
1755628842.499467,2561727,21317,1,BI,1,100,1000
1755628843.419478,2562647,21474,1,BI,1,100,920
1755628844.513492,2563741,21657,1,BI,1,100,1080
1755628845.593505,2564821,21822,1,BI,1,100,1080
1755628846.552516,2565780,21988,1,BI,1,100,960
1755628847.512528,2566740,22140,1,BI,1,100,960
1755628848.592541,2567820,22325,1,BI,1,100,1080
1755628849.605553,2568833,22491,1,BI,1,100,1000
1755628850.565565,2569793,22641,1,BI,1,100,960
1755628851.565577,2570793,22809,1,BI,1,100,1000
1755628852.645590,2571873,22995,1,BI,1,100,1080
1755628853.618602,2572846,23152,1,BI,1,100,960
1755628854.738616,2573966,23340,1,BI,1,100,1120
1755628855.818629,2575046,23526,1,BI,1,100,1080
1755628856.618639,2575846,23662,1,BI,1,100,800
1755628857.658651,2576886,23834,1,BI,1,100,1040
1755628858.671664,2577899,24005,1,BI,1,100,1000
1755628859.551674,2578779,24156,1,BI,1,100,880
1755628860.511686,2579739,24308,1,BI,1,100,960
1755628861.551699,2580779,24490,1,BI,1,100,1040
1755628862.524711,2581752,24646,1,BI,1,100,960
1755628863.364721,2582592,24782,1,BI,1,100,840
1755628864.444734,2583672,24972,1,BI,1,100,1080
1755628865.524747,2584752,25142,1,BI,1,100,1080
1755628866.404758,2585632,25293,1,BI,1,100,880
1755628867.337769,2586565,25444,1,BI,1,100,920
1755628868.417782,2587645,25632,1,BI,1,100,1080
1755628869.377794,2588605,25767,1,BI,1,100,960
1755628870.217804,2589445,25923,1,BI,1,100,840
1755628871.257817,2590485,26091,1,BI,1,100,1040
1755628872.310830,2591538,26258,1,BI,1,100,1040
1755628873.110839,2592338,26396,1,BI,1,100,800
1755628874.150852,2593378,26569,1,BI,1,100,1040
1755628875.230865,2594458,26755,1,BI,1,100,1080
1755628876.163877,2595391,26905,1,BI,1,100,920
1755628877.163889,2596391,27073,1,BI,1,100,1000
1755628878.243902,2597471,27255,1,BI,1,100,1080
1755628879.282914,2598510,27426,1,BI,1,100,1040
1755628880.202926,2599430,27576,1,BI,1,100,920
1755628881.256938,2600484,27740,1,BI,1,100,1040
1755628882.336952,2601564,27922,1,BI,1,100,1080
1755628883.215962,2602443,28074,1,BI,1,100,880
1755628884.375976,2603603,28259,1,BI,1,100,1160
1755628885.468990,2604696,28441,1,BI,1,100,1080
1755628886.509002,2605736,28607,1,BI,1,100,1040
1755628887.429014,2606656,28757,1,BI,1,100,920
1755628888.509027,2607736,28941,1,BI,1,100,1080
1755628889.602040,2608829,29130,1,BI,1,100,1080
1755628890.442050,2609669,29269,1,BI,1,100,840
1755628891.602064,2610829,29452,1,BI,1,100,1160
1755628892.722078,2611949,29658,1,BI,1,100,1120
1755628893.895092,2613122,29846,1,BI,1,100,1160
1755628894.775103,2614002,30001,1,BI,1,100,880
1755628895.815116,2615042,30171,1,BI,1,100,1040
1755628896.935129,2616162,30353,1,BI,1,100,1120
1755628897.815140,2617042,30509,1,BI,1,100,880
1755628898.748151,2617975,30662,1,BI,1,100,920
1755628899.828164,2619055,30851,1,BI,1,100,1080
1755628900.908177,2620135,31018,1,BI,1,100,1080
1755628901.868189,2621095,31188,1,BI,1,100,960
1755628902.921202,2622148,31358,1,BI,1,100,1040
1755628904.041216,2623268,31544,1,BI,1,100,1120
1755628905.121229,2624348,31737,1,BI,1,100,1080
1755628906.121241,2625348,31909,1,BI,1,100,1000
1755628907.214254,2626441,32077,1,BI,1,100,1080
1755628908.374268,2627601,32282,1,BI,1,100,1160
1755628909.334280,2628561,32435,1,BI,1,100,960
1755628910.414293,2629641,32628,1,BI,1,100,1080
1755628911.414305,2630641,32796,1,BI,1,100,1000
1755628912.467318,2631694,32968,1,BI,1,100,1040
1755628913.427330,2632654,33118,1,BI,1,100,960
1755628914.467342,2633694,33304,1,BI,1,100,1040
1755628915.586356,2634813,33480,1,BI,1,100,1120
1755628916.560368,2635787,33632,1,BI,1,100,960
1755628917.600381,2636827,33820,1,BI,1,100,1040
1755628918.679394,2637906,33988,1,BI,1,100,1080
1755628919.679406,2638906,34156,1,BI,1,100,1000
1755628920.693418,2639920,34331,1,BI,1,100,1000
1755628921.773431,2641000,34504,1,BI,1,100,1080
1755628922.853444,2642080,34693,1,BI,1,100,1080
1755628923.812456,2643039,34848,1,BI,1,100,960
1755628924.932470,2644159,35036,1,BI,1,100,1120
1755628926.065483,2645292,35224,1,BI,1,100,1120
1755628927.105496,2646332,35393,1,BI,1,100,1040
1755628928.065508,2647292,35567,1,BI,1,100,960
1755628929.185521,2648412,35753,1,BI,1,100,1120
1755628930.278535,2649505,35929,1,BI,1,100,1080
1755628931.198546,2650425,36080,1,BI,1,100,920
1755628932.118557,2651345,36234,1,BI,1,100,920
1755628933.238571,2652465,36420,1,BI,1,100,1120
1755628934.331584,2653558,36607,1,BI,1,100,1080
1755628935.291596,2654518,36765,1,BI,1,100,960
1755628936.371609,2655598,36951,1,BI,1,100,1080
1755628937.491622,2656718,37137,1,BI,1,100,1120
1755628938.424634,2657651,37293,1,BI,1,100,920
