LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1752703216.452494,495136.000,13664,2,EA,1,100,0.124605
1752703216.452494,495136.000,13664,2,EA,1,100,0.125828
1752703216.519494,495203.000,13682,1,EA,1,100,0.126892
1752703216.585994,495269.500,13700,2,EA,1,100,0.127972
1752703216.652494,495336.000,13700,2,EA,1,100,0.127963
1752703216.719494,495403.000,13717,1,EA,1,100,0.128054
1752703216.785994,495469.500,13732,2,EA,1,100,0.128734
1752703216.852494,495536.000,13732,2,EA,1,100,0.130733
1752703216.919495,495603.000,13749,1,EA,1,100,0.131476
1752703216.985995,495669.500,13765,2,EA,1,100,0.132097
1752703217.052495,495736.000,13765,2,EA,1,100,0.133130
1752703217.119495,495803.000,13782,1,EA,1,100,0.133729
1752703217.185995,495869.500,13801,2,EA,1,100,0.134260
1752703217.252495,495936.000,13801,2,EA,1,100,0.134623
1752703217.319496,496003.000,13818,1,EA,1,100,0.134897
1752703217.385996,496069.500,13834,2,EA,1,100,0.135086
1752703217.452496,496136.000,13834,2,EA,1,100,0.135204
1752703217.519496,496203.000,13852,1,EA,1,100,0.135372
1752703217.585996,496269.500,13866,2,EA,1,100,0.135591
1752703217.652496,496336.000,13866,2,EA,1,100,0.135823
1752703217.719496,496403.000,13883,1,EA,1,100,0.135778
1752703217.785997,496469.500,13900,2,EA,1,100,0.136781
1752703217.852497,496536.000,13900,2,EA,1,100,0.136803
1752703217.918497,496602.000,13919,1,EA,1,100,0.136822
1752703217.985497,496669.000,13933,2,EA,1,100,0.136787
1752703218.052497,496736.000,13933,2,EA,1,100,0.135451
1752703218.119497,496803.000,13950,1,EA,1,100,0.135739
1752703218.185998,496869.500,13969,2,EA,1,100,0.136374
1752703218.252498,496936.000,13969,2,EA,1,100,0.136838
1752703218.318498,497002.000,13986,1,EA,1,100,0.137183
1752703218.385498,497069.000,14001,2,EA,1,100,0.137647
1752703218.452498,497136.000,14001,2,EA,1,100,0.138034
1752703218.518998,497202.500,14022,2,EA,1,100,0.137026
1752703218.585498,497269.000,14022,2,EA,1,100,0.136225
1752703218.652499,497336.000,14038,1,EA,1,100,0.136962
