LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1755299139.907663,1018966,30805,1,HR,1,100,68.75
1755299140.867674,1019926,30955,1,HR,1,100,67.36
1755299141.746684,1020805,31103,1,HR,1,100,67.54
1755299142.600694,1021659,31236,1,HR,1,100,68.41
1755299143.480703,1022539,31388,1,HR,1,100,68.36
1755299144.360713,1023419,31536,1,HR,1,100,68.32
1755299145.239723,1024298,31672,1,HR,1,100,68.29
1755299146.173734,1025232,31822,1,HR,1,100,67.61
1755299147.053744,1026112,31970,1,HR,1,100,67.73
1755299147.893753,1026952,32105,1,HR,1,100,68.55
1755299148.692762,1027751,32237,1,HR,1,100,69.99
1755299149.532772,1028591,32370,1,HR,1,100,70.31
1755299150.466782,1029525,32526,1,HR,1,100,69.18
1755299151.345792,1030404,32675,1,HR,1,100,68.96
1755299152.265802,1031324,32825,1,HR,1,100,68.12
1755299153.065812,1032124,32959,1,HR,1,100,69.65
1755299153.905821,1032964,33092,1,HR,1,100,70.05
1755299154.718830,1033777,33224,1,HR,1,100,71.15
1755299155.558840,1034617,33362,1,HR,1,100,71.21
1755299156.438850,1035497,33495,1,HR,1,100,70.54
1755299157.478861,1036537,33677,1,HR,1,100,67.68
1755299158.398872,1037457,33827,1,HR,1,100,67.13
1755299159.211881,1038270,33960,1,HR,1,100,68.88
1755299160.051890,1039110,34092,1,HR,1,100,69.45
1755299161.011901,1040070,34247,1,HR,1,100,67.90
1755299161.931911,1040990,34396,1,HR,1,100,67.31
1755299162.811921,1041870,34548,1,HR,1,100,67.50
1755299163.704931,1042763,34696,1,HR,1,100,67.65
1755299164.624942,1043683,34846,1,HR,1,100,67.11
1755299165.544952,1044603,34984,1,HR,1,100,66.69
1755299166.384962,1045443,35132,1,HR,1,100,67.74
1755299167.304972,1046363,35282,1,HR,1,100,67.18
1755299168.237983,1047296,35432,1,HR,1,100,66.75
1755299169.157993,1048216,35581,1,HR,1,100,66.41
1755299169.998002,1049056,35713,1,HR,1,100,67.52
1755299170.878012,1049936,35852,1,HR,1,100,67.67
1755299171.758022,1050816,36000,1,HR,1,100,67.78
1755299172.691033,1051749,36150,1,HR,1,100,67.21
1755299173.531042,1052589,36299,1,HR,1,100,68.15
1755299174.451053,1053509,36449,1,HR,1,100,67.50
1755299175.411063,1054469,36597,1,HR,1,100,66.39
1755299176.331074,1055389,36752,1,HR,1,100,66.13
1755299177.184083,1056242,36885,1,HR,1,100,67.31
1755299178.064093,1057122,37035,1,HR,1,100,67.50
1755299178.944103,1058002,37168,1,HR,1,100,67.65
1755299179.824113,1058882,37318,1,HR,1,100,67.77
1755299180.664123,1059722,37455,1,HR,1,100,68.58
1755299181.597133,1060655,37605,1,HR,1,100,67.83
1755299182.597144,1061655,37769,1,HR,1,100,66.09
1755299183.477154,1062535,37921,1,HR,1,100,66.56
1755299184.317164,1063375,38053,1,HR,1,100,67.64
1755299185.210174,1064268,38202,1,HR,1,100,67.76
