LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1752787774.440376,75404,10065,1,SA,1,100,0.000862
1752787775.240383,76204,10086,1,SA,1,100,0.000349
1752787776.107390,77071,10210,1,SA,1,100,0.000105
1752787776.440393,77404,10443,1,SA,1,100,0.002444
1752787778.106406,79070,10546,1,SA,1,100,0.000118
1752787779.106415,80070,10730,1,SA,1,100,0.000380
1752787779.439417,80403,10799,1,SA,1,100,0.001062
1752787780.306424,81270,11060,1,SA,1,100,0.002565
1752787782.372441,83336,11261,1,SA,1,100,0.000241
1752787782.906446,83870,11364,1,SA,1,100,0.000372
1752787783.506451,84470,11448,1,SA,1,100,0.000107
1752787783.706452,84670,11502,1,SA,1,100,0.000330
1752787784.440458,85404,11620,1,SA,1,100,0.000228
1752787784.839462,85803,11688,1,SA,1,100,0.000342
1752787785.173465,86137,11757,1,SA,1,100,0.000527
1752787785.573468,86537,11793,1,SA,1,100,0.000118
1752787786.306474,87270,11917,1,SA,1,100,0.000100
1752787786.505476,87469,11952,1,SA,1,100,0.000123
1752787786.839478,87803,12055,1,SA,1,100,0.000541
1752787787.306482,88270,12140,1,SA,1,100,0.000599
1752787788.172489,89136,12276,1,SA,1,100,0.000626
1752787788.772494,89736,12343,1,SA,1,100,0.000126
1752787788.972496,89936,12379,1,SA,1,100,0.000248
1752787789.506500,90470,12498,1,SA,1,100,0.000407
1752787790.039505,91003,12565,1,SA,1,100,0.000334
1752787790.372507,91336,12601,1,SA,1,100,0.000109
1752787790.572509,91536,12654,1,SA,1,100,0.000489
1752787791.239515,92203,12778,1,SA,1,100,0.000263
1752787791.639518,92603,12896,1,SA,1,100,0.000976
1752787792.305523,93269,12934,1,SA,1,100,0.000129
1752787792.505525,93469,12984,1,SA,1,100,0.000309
1752787792.905528,93869,13037,1,SA,1,100,0.000112
1752787793.238531,94202,13104,1,SA,1,100,0.000204
1752787793.505533,94469,13174,1,SA,1,100,0.000334
1752787793.838536,94802,13208,1,SA,1,100,0.000214
1752787794.305540,95269,13294,1,SA,1,100,0.000204
1752787794.571542,95535,13345,1,SA,1,100,0.000599
1752787795.171547,96135,13567,1,SA,1,100,0.001378
1752787796.305556,97269,13639,1,SA,1,100,0.000212
1752787796.704560,97668,13692,1,SA,1,100,0.000371
1752787797.304565,98268,13795,1,SA,1,100,0.000178
1752787797.504566,98468,13897,1,SA,1,100,0.001571
1752787798.237572,99201,13948,1,SA,1,100,0.000352
1752787798.437574,99401,13983,1,SA,1,100,0.000953
1752787799.037579,100001,14118,1,SA,1,100,0.000589
1752787799.837585,100801,14288,1,SA,1,100,0.001853
1752787800.571591,101535,14441,1,SA,1,100,0.001103
1752787801.637600,102601,14514,1,SA,1,100,0.000232
1752787802.170605,103134,14600,1,SA,1,100,0.000194
1752787802.704609,103668,14684,1,SA,1,100,0.000092
1752787803.038612,104002,14739,1,SA,1,100,0.000097
1752787803.770618,104734,14856,1,SA,1,100,0.000109
1752787803.970619,104934,14890,1,SA,1,100,0.000116
1752787804.170621,105134,14945,1,SA,1,100,0.000235
1752787804.570624,105534,15045,1,SA,1,100,0.000509
1752787805.304630,106268,15218,1,SA,1,100,0.001095
1752787806.237638,107201,15285,1,SA,1,100,0.000208
1752787806.637641,107601,15361,1,SA,1,100,0.000221
1752787806.903644,107867,15396,1,SA,1,100,0.000100
1752787807.770651,108734,15547,1,SA,1,100,0.000247
1752787808.170654,109134,15616,1,SA,1,100,0.000108
1752787808.504657,109468,15701,1,SA,1,100,0.000495
1752787809.036661,110000,15770,1,SA,1,100,0.000210
1752787809.304663,110268,15822,1,SA,1,100,0.000307
1752787809.770667,110734,15942,1,SA,1,100,0.000758
1752787810.770676,111734,16079,1,SA,1,100,0.000370
1752787811.170679,112134,16148,1,SA,1,100,0.000314
1752787811.503682,112467,16184,1,SA,1,100,0.000200
1752787811.770684,112734,16272,1,SA,1,100,0.000520
1752787812.236688,113200,16308,1,SA,1,100,0.000268
1752787812.903693,113867,16426,1,SA,1,100,0.000238
1752787813.436698,114400,16511,1,SA,1,100,0.000080
1752787813.636699,114600,16546,1,SA,1,100,0.000256
1752787814.436706,115400,16667,1,SA,1,100,0.000117
1752787814.769709,115733,16751,1,SA,1,100,0.000403
1752787815.103711,116067,16786,1,SA,1,100,0.000079
1752787815.436714,116400,16853,1,SA,1,100,0.000196
1752787816.236721,117200,16992,1,SA,1,100,0.000200
1752787816.502723,117466,17028,1,SA,1,100,0.000212
1752787816.769725,117733,17061,1,SA,1,100,0.000126
1752787817.502731,118466,17201,1,SA,1,100,0.000207
1752787817.769733,118733,17271,1,SA,1,100,0.001207
1752787818.302738,119266,17356,1,SA,1,100,0.000509
1752787818.969743,119933,17526,1,SA,1,100,0.000871
1752787819.902751,120866,17627,1,SA,1,100,0.000299
1752787820.369755,121333,17711,1,SA,1,100,0.000538
1752787820.969760,121933,17816,1,SA,1,100,0.000628
1752787821.568765,122532,17885,1,SA,1,100,0.000190
1752787821.835767,122799,17936,1,SA,1,100,0.000227
1752787822.368771,123332,18026,1,SA,1,100,0.000126
1752787822.569773,123533,18061,1,SA,1,100,0.000110
1752787822.768774,123732,18081,1,SA,1,100,0.000116
1752787823.102777,124066,18148,1,SA,1,100,0.000230
1752787823.768783,124732,18283,1,SA,1,100,0.000297
1752787824.102785,125066,18320,1,SA,1,100,0.000106
1752787824.436788,125400,18388,1,SA,1,100,0.000360
1752787824.768791,125732,18424,1,SA,1,100,0.000095
1752787825.101794,126065,18475,1,SA,1,100,0.000101
1752787825.301795,126265,18528,1,SA,1,100,0.000202
1752787825.835800,126799,18633,1,SA,1,100,0.000290
1752787826.169802,127133,18666,1,SA,1,100,0.000092
1752787826.635806,127599,18769,1,SA,1,100,0.000295
1752787827.235811,128199,18859,1,SA,1,100,0.000074
1752787827.435813,128399,18877,1,SA,1,100,0.000163
1752787827.635815,128599,18929,1,SA,1,100,0.000190
1752787827.902817,128866,18963,1,SA,1,100,0.000153
1752787828.234820,129198,19016,1,SA,1,100,0.000117
1752787828.435821,129399,19085,1,SA,1,100,0.000278
1752787828.902825,129866,19188,1,SA,1,100,0.000593
1752787829.701832,130665,19273,1,SA,1,100,0.000091
1752787830.168835,131132,19340,1,SA,1,100,0.000088
1752787830.368837,131332,19409,1,SA,1,100,0.000294
1752787830.701840,131665,19443,1,SA,1,100,0.000227
1752787831.368845,132332,19548,1,SA,1,100,0.000103
1752787831.568847,132532,19601,1,SA,1,100,0.000192
1752787831.968850,132932,19668,1,SA,1,100,0.000180
1752787832.234852,133198,19711,1,SA,1,100,0.000186
1752787832.901858,133865,19812,1,SA,1,100,0.000097
1752787833.101860,134065,19879,1,SA,1,100,0.000287
1752787833.434862,134398,19916,1,SA,1,100,0.000197
1752787833.834866,134798,20000,1,SA,1,100,0.000400
1752787834.234869,135198,20036,1,SA,1,100,0.000163
1752787834.434871,135398,20103,1,SA,1,100,0.000422
1752787835.234877,136198,20206,1,SA,1,100,0.000102
1752787835.434879,136398,20258,1,SA,1,100,0.000205
1752787835.701881,136665,20309,1,SA,1,100,0.000199
1752787836.101884,137065,20365,1,SA,1,100,0.000142
