LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1755628824.033242,2543261,18307,1,SR,1,100,0.266667
1755628824.433247,2543661,18341,1,SR,1,100,0.066667
1755628827.567285,2546795,18963,1,SR,1,100,0.666667
1755628828.767300,2547995,19079,1,SR,1,100,0.200000
1755628829.233306,2548461,19181,1,SR,1,100,0.266667
1755628829.633311,2548861,19216,1,SR,1,100,0.133333
1755628830.166317,2549394,19301,1,SR,1,100,0.066667
1755628830.366319,2549594,19335,1,SR,1,100,0.066667
1755628830.766324,2549994,19419,1,SR,1,100,0.200000
1755628831.633335,2550861,19570,1,SR,1,100,0.266667
1755628833.499358,2552727,19861,1,SR,1,100,0.133333
1755628834.033364,2553261,19978,1,SR,1,100,0.266667
1755628834.699372,2553927,20079,1,SR,1,100,0.266667
1755628835.232379,2554460,20180,1,SR,1,100,0.266667
1755628836.232391,2555460,20366,1,SR,1,100,0.466667
1755628841.366453,2560594,21167,1,SR,1,100,0.200000
1755628842.166463,2561394,21320,1,SR,1,100,0.266667
1755628843.965485,2563193,21607,1,SR,1,100,0.200000
1755628849.831556,2569059,22559,1,SR,1,100,0.133333
1755628850.898569,2570126,22743,1,SR,1,100,0.133333
1755628851.164572,2570392,22877,1,SR,1,100,0.733333
1755628852.164585,2571392,22963,1,SR,1,100,0.266667
1755628852.697591,2571925,23049,1,SR,1,100,0.200000
1755628853.297598,2572525,23189,1,SR,1,100,0.400000
1755628854.097608,2573325,23272,1,SR,1,100,0.133333
1755628854.364611,2573592,23323,1,SR,1,100,0.133333
1755628855.030619,2574258,23425,1,SR,1,100,0.133333
1755628855.430624,2574658,23508,1,SR,1,100,0.266667
1755628855.963631,2575191,23577,1,SR,1,100,0.133333
1755628856.230634,2575458,23630,1,SR,1,100,0.133333
1755628856.763641,2575991,23713,1,SR,1,100,0.133333
1755628857.163645,2576391,23781,1,SR,1,100,0.066667
1755628857.630651,2576858,23934,1,SR,1,100,0.533333
1755628858.830666,2578058,24107,1,SR,1,100,0.400000
1755628859.896679,2579124,24242,1,SR,1,100,0.133333
1755628860.564687,2579792,24410,1,SR,1,100,0.466667
1755628861.430697,2580658,24493,1,SR,1,100,0.133333
1755628861.830702,2581058,24560,1,SR,1,100,0.066667
1755628862.563711,2581791,24682,1,SR,1,100,0.066667
1755628862.763714,2581991,24766,1,SR,1,100,0.400000
1755628863.696725,2582924,24872,1,SR,1,100,0.133333
1755628864.096730,2583324,24975,1,SR,1,100,0.333333
1755628864.963740,2584191,25107,1,SR,1,100,0.266667
1755628865.363745,2584591,25145,1,SR,1,100,0.066667
1755628865.829751,2585057,25261,1,SR,1,100,0.333333
1755628866.563760,2585791,25395,1,SR,1,100,0.333333
1755628867.562772,2586790,25565,1,SR,1,100,0.400000
1755628868.896788,2588124,25735,1,SR,1,100,0.200000
1755628869.229792,2588457,25788,1,SR,1,100,0.133333
1755628869.496795,2588724,25837,1,SR,1,100,0.133333
1755628869.762799,2588990,25890,1,SR,1,100,0.200000
1755628870.495808,2589723,25991,1,SR,1,100,0.133333
1755628871.362818,2590590,26159,1,SR,1,100,0.266667
1755628872.095827,2591323,26276,1,SR,1,100,0.200000
1755628873.228841,2592456,26478,1,SR,1,100,0.333333
1755628873.828848,2593056,26572,1,SR,1,100,0.200000
1755628874.428855,2593656,26655,1,SR,1,100,0.133333
1755628875.096864,2594324,26790,1,SR,1,100,0.266667
1755628876.228877,2595456,27039,1,SR,1,100,0.666667
1755628887.562015,2606789,28858,1,SR,1,100,0.333333
1755628888.028021,2607255,28994,1,SR,1,100,0.733333
1755628888.895031,2608122,29149,1,SR,1,100,0.800000
1755628889.828043,2609055,29184,1,SR,1,100,0.066667
1755628890.028045,2609255,29251,1,SR,1,100,0.200000
1755628890.761054,2609988,29353,1,SR,1,100,0.133333
1755628891.694065,2610921,29520,1,SR,1,100,0.200000
1755628892.028069,2611255,29570,1,SR,1,100,0.133333
1755628892.428074,2611655,29625,1,SR,1,100,0.066667
1755628892.628077,2611855,29677,1,SR,1,100,0.200000
1755628892.961081,2612188,29712,1,SR,1,100,0.066667
1755628893.294085,2612521,29779,1,SR,1,100,0.066667
1755628893.494087,2612721,29849,1,SR,1,100,0.333333
1755628895.027106,2614254,30085,1,SR,1,100,0.200000
1755628895.361110,2614588,30152,1,SR,1,100,0.266667
1755628895.894116,2615121,30222,1,SR,1,100,0.133333
1755628896.894129,2616121,30407,1,SR,1,100,0.266667
1755628897.294134,2616521,30443,1,SR,1,100,0.066667
1755628897.894141,2617121,30577,1,SR,1,100,0.266667
1755628898.428147,2617655,30644,1,SR,1,100,0.200000
1755628899.294158,2618521,30834,1,SR,1,100,0.400000
1755628900.627174,2619854,31000,1,SR,1,100,0.133333
1755628901.027179,2620254,31102,1,SR,1,100,0.266667
1755628901.561185,2620788,31153,1,SR,1,100,0.066667
1755628901.761188,2620988,31191,1,SR,1,100,0.066667
1755628902.360195,2621587,31308,1,SR,1,100,0.200000
1755628902.826201,2622053,31395,1,SR,1,100,0.200000
1755628903.160205,2622387,31428,1,SR,1,100,0.133333
1755628904.227218,2623454,31596,1,SR,1,100,0.066667
1755628904.426220,2623653,31651,1,SR,1,100,0.200000
1755628904.760224,2623987,31687,1,SR,1,100,0.066667
1755628904.960227,2624187,31740,1,SR,1,100,0.133333
1755628905.227230,2624454,31775,1,SR,1,100,0.066667
1755628905.560234,2624787,31825,1,SR,1,100,0.066667
1755628906.293243,2625520,31977,1,SR,1,100,0.200000
1755628906.627247,2625854,32011,1,SR,1,100,0.133333
1755628906.893250,2626120,32080,1,SR,1,100,0.266667
1755628907.293255,2626520,32149,1,SR,1,100,0.266667
1755628907.826262,2627053,32250,1,SR,1,100,0.266667
1755628908.493270,2627720,32335,1,SR,1,100,0.133333
1755628909.026276,2628253,32403,1,SR,1,100,0.066667
1755628909.226279,2628453,32477,1,SR,1,100,0.200000
1755628909.826286,2629053,32576,1,SR,1,100,0.266667
1755628910.759297,2629986,32727,1,SR,1,100,0.200000
1755628911.093301,2630320,32763,1,SR,1,100,0.066667
1755628911.559307,2630786,32832,1,SR,1,100,0.066667
1755628911.759309,2630986,32899,1,SR,1,100,0.200000
