LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1755113196.596630,76365.000,10534,1,T1,1,100,35.741
1755113196.730633,76499.000,10552,1,T1,1,100,35.675
1755113196.863636,76632.000,10583,1,T1,1,100,35.611
1755113196.996639,76765.000,10604,1,T1,1,100,35.690
1755113197.130642,76899.000,10624,1,T1,1,100,35.618
1755113197.263645,77032.000,10655,1,T1,1,100,35.622
1755113197.397648,77166.000,10672,1,T1,1,100,35.624
1755113197.530651,77299.000,10689,1,T1,1,100,35.660
1755113197.663654,77432.000,10723,1,T1,1,100,35.711
1755113197.796657,77565.000,10739,1,T1,1,100,35.662
1755113197.930660,77699.000,10756,1,T1,1,100,35.641
1755113198.063663,77832.000,10772,1,T1,1,100,35.632
1755113198.196666,77965.000,10804,1,T1,1,100,35.628
1755113198.330669,78099.000,10821,1,T1,1,100,35.662
1755113198.463672,78232.000,10840,1,T1,1,100,35.712
1755113198.596675,78365.000,10873,1,T1,1,100,35.698
1755113198.730678,78499.000,10891,1,T1,1,100,35.763
1755113198.863681,78632.000,10907,1,T1,1,100,35.614
1755113198.996684,78765.000,10941,1,T1,1,100,35.549
1755113199.130687,78899.000,10958,1,T1,1,100,35.699
1755113199.263690,79032.000,10974,1,T1,1,100,35.621
1755113199.396693,79165.000,11006,1,T1,1,100,35.730
1755113199.529696,79298.000,11023,1,T1,1,100,35.670
1755113199.663699,79432.000,11039,1,T1,1,100,35.574
1755113199.796702,79565.000,11073,1,T1,1,100,35.674
1755113199.929705,79698.000,11090,1,T1,1,100,35.682
1755113200.063708,79832.000,11109,1,T1,1,100,35.649
1755113200.196711,79965.000,11126,1,T1,1,100,35.529
1755113200.329714,80098.000,11158,1,T1,1,100,35.690
1755113200.463717,80232.000,11174,1,T1,1,100,35.618
1755113200.596720,80365.000,11193,1,T1,1,100,35.586
1755113200.729723,80498.000,11225,1,T1,1,100,35.644
1755113200.863726,80632.000,11241,1,T1,1,100,35.633
1755113200.996729,80765.000,11260,1,T1,1,100,35.558
1755113201.129732,80898.000,11294,1,T1,1,100,35.560
1755113201.263736,81032.000,11310,1,T1,1,100,35.632
1755113201.396739,81165.000,11328,1,T1,1,100,35.628
1755113201.529742,81298.000,11359,1,T1,1,100,35.662
1755113201.663745,81432.000,11375,1,T1,1,100,35.712
1755113201.796748,81565.000,11393,1,T1,1,100,35.592
1755113201.929751,81698.000,11426,1,T1,1,100,35.717
1755113202.063254,81831.500,11449,2,T1,1,100,35.665
1755113202.196757,81965.000,11449,2,T1,1,100,35.642
1755113202.329760,82098.000,11467,1,T1,1,100,35.703
1755113202.463763,82232.000,11499,1,T1,1,100,35.694
1755113202.596766,82365.000,11516,1,T1,1,100,35.620
1755113202.729769,82498.000,11533,1,T1,1,100,35.694
1755113202.863772,82632.000,11564,1,T1,1,100,35.726
1755113202.996775,82765.000,11581,1,T1,1,100,35.704
1755113203.129778,82898.000,11598,1,T1,1,100,35.695
1755113203.262781,83031.000,11631,1,T1,1,100,35.655
1755113203.396784,83165.000,11649,1,T1,1,100,35.673
1755113203.529787,83298.000,11665,1,T1,1,100,35.752
1755113203.662790,83431.000,11697,1,T1,1,100,35.751
1755113203.796793,83565.000,11714,1,T1,1,100,35.786
1755113203.929796,83698.000,11730,1,T1,1,100,35.695
1755113204.062799,83831.000,11762,1,T1,1,100,35.726
1755113204.196802,83965.000,11779,1,T1,1,100,35.633
1755113204.329805,84098.000,11797,1,T1,1,100,35.664
1755113204.462808,84231.000,11815,1,T1,1,100,35.713
1755113204.596811,84365.000,11848,1,T1,1,100,35.628
1755113204.729814,84498.000,11865,1,T1,1,100,35.626
1755113204.862817,84631.000,11882,1,T1,1,100,35.732
1755113204.996820,84765.000,11918,1,T1,1,100,35.742
1755113205.129823,84898.000,11934,1,T1,1,100,35.676
1755113205.262826,85031.000,11951,1,T1,1,100,35.718
1755113205.396829,85165.000,11983,1,T1,1,100,35.665
1755113205.529832,85298.000,11999,1,T1,1,100,35.571
1755113205.662835,85431.000,12016,1,T1,1,100,35.708
1755113205.796838,85565.000,12050,1,T1,1,100,35.661
1755113205.929841,85698.000,12066,1,T1,1,100,35.641
1755113206.062845,85831.000,12084,1,T1,1,100,35.703
1755113206.196848,85965.000,12115,1,T1,1,100,35.659
1755113206.329851,86098.000,12133,1,T1,1,100,35.675
1755113206.462854,86231.000,12151,1,T1,1,100,35.753
1755113206.596857,86365.000,12182,1,T1,1,100,35.787
1755113206.729860,86498.000,12201,1,T1,1,100,35.695
1755113206.862863,86631.000,12220,1,T1,1,100,35.762
1755113206.995866,86764.000,12236,1,T1,1,100,35.755
1755113207.129869,86898.000,12270,1,T1,1,100,35.752
1755113207.262872,87031.000,12294,1,T1,1,100,35.786
1755113207.395875,87164.000,12313,1,T1,1,100,35.766
1755113207.529878,87298.000,12346,1,T1,1,100,35.686
1755113207.662881,87431.000,12363,1,T1,1,100,35.687
1755113207.795884,87564.000,12382,1,T1,1,100,35.723
1755113207.929887,87698.000,12413,1,T1,1,100,35.596
1755113208.062890,87831.000,12431,1,T1,1,100,35.648
1755113208.195893,87964.000,12447,1,T1,1,100,35.741
1755113208.329896,88098.000,12481,1,T1,1,100,35.675
1755113208.462899,88231.000,12498,1,T1,1,100,35.682
1755113208.595902,88364.000,12516,1,T1,1,100,35.792
1755113208.729905,88498.000,12548,1,T1,1,100,35.662
1755113208.862908,88631.000,12565,1,T1,1,100,35.676
1755113208.995911,88764.000,12581,1,T1,1,100,35.718
1755113209.129914,88898.000,12599,1,T1,1,100,35.630
1755113209.262917,89031.000,12634,1,T1,1,100,35.698
1755113209.395920,89164.000,12651,1,T1,1,100,35.763
1755113209.529923,89298.000,12668,1,T1,1,100,35.720
1755113209.662926,89431.000,12700,1,T1,1,100,35.737
1755113209.795929,89564.000,12716,1,T1,1,100,35.780
1755113209.929932,89698.000,12735,1,T1,1,100,35.692
1755113210.062935,89831.000,12767,1,T1,1,100,35.725
1755113210.195938,89964.000,12783,1,T1,1,100,35.846
1755113210.328941,90097.000,12802,1,T1,1,100,35.685
1755113210.462944,90231.000,12834,1,T1,1,100,35.686
1755113210.595947,90364.000,12852,1,T1,1,100,35.687
1755113210.728950,90497.000,12872,1,T1,1,100,35.652
1755113210.862954,90631.000,12888,1,T1,1,100,35.672
1755113210.995957,90764.000,12919,1,T1,1,100,35.681
1755113211.128960,90897.000,12937,1,T1,1,100,35.649
1755113211.262963,91031.000,12953,1,T1,1,100,35.706
1755113211.395966,91164.000,12985,1,T1,1,100,35.767
1755113211.528969,91297.000,13002,1,T1,1,100,35.793
1755113211.662972,91431.000,13022,1,T1,1,100,35.698
1755113211.795975,91564.000,13054,1,T1,1,100,35.798
1755113211.928978,91697.000,13071,1,T1,1,100,35.771
1755113212.062981,91831.000,13088,1,T1,1,100,35.724
1755113212.195984,91964.000,13123,1,T1,1,100,35.774
1755113212.328987,92097.000,13145,1,T1,1,100,35.796
1755113212.462990,92231.000,13162,1,T1,1,100,35.699
1755113212.595993,92364.000,13195,1,T1,1,100,35.692
1755113212.728996,92497.000,13213,1,T1,1,100,35.725
1755113212.862999,92631.000,13229,1,T1,1,100,35.668
1755113212.996002,92764.000,13246,1,T1,1,100,35.715
1755113213.129005,92897.000,13280,1,T1,1,100,35.806
1755113213.262008,93030.000,13296,1,T1,1,100,35.632
1755113213.396011,93164.000,13316,1,T1,1,100,35.770
1755113213.529014,93297.000,13347,1,T1,1,100,35.794
1755113213.663017,93431.000,13363,1,T1,1,100,35.698
1755113213.796020,93564.000,13381,1,T1,1,100,35.763
1755113213.929023,93697.000,13412,1,T1,1,100,35.791
1755113214.062026,93830.000,13429,1,T1,1,100,35.732
1755113214.196029,93964.000,13448,1,T1,1,100,35.813
1755113214.329032,94097.000,13484,1,T1,1,100,35.848
1755113214.463035,94231.000,13500,1,T1,1,100,35.793
1755113214.596038,94364.000,13517,1,T1,1,100,35.910
1755113214.729041,94497.000,13549,1,T1,1,100,35.890
1755113214.862044,94630.000,13565,1,T1,1,100,35.704
1755113214.996047,94764.000,13582,1,T1,1,100,35.766
1755113215.129050,94897.000,13601,1,T1,1,100,35.792
1755113215.262053,95030.000,13634,1,T1,1,100,35.733
1755113215.396056,95164.000,13652,1,T1,1,100,35.778
1755113215.529060,95297.000,13668,1,T1,1,100,35.727
1755113215.662063,95430.000,13700,1,T1,1,100,35.669
1755113215.796066,95564.000,13717,1,T1,1,100,35.786
1755113215.929069,95697.000,13733,1,T1,1,100,35.801
1755113216.062072,95830.000,13767,1,T1,1,100,35.737
1755113216.196075,95964.000,13784,1,T1,1,100,35.744
1755113216.329078,96097.000,13800,1,T1,1,100,35.747
1755113216.462081,96230.000,13836,1,T1,1,100,35.784
1755113216.596084,96364.000,13853,1,T1,1,100,35.800
1755113216.729087,96497.000,13872,1,T1,1,100,35.914
1755113216.862090,96630.000,13903,1,T1,1,100,35.856
1755113216.996093,96764.000,13920,1,T1,1,100,35.761
1755113217.129096,96897.000,13941,1,T1,1,100,35.755
1755113217.262099,97030.000,13958,1,T1,1,100,35.823
1755113217.395102,97163.000,13999,1,T1,1,100,35.817
1755113217.529105,97297.000,14015,1,T1,1,100,35.850
1755113217.662108,97430.000,14032,1,T1,1,100,35.758
1755113217.795111,97563.000,14064,1,T1,1,100,35.682
1755113217.929114,97697.000,14084,1,T1,1,100,35.792
1755113218.062117,97830.000,14102,1,T1,1,100,35.803
1755113218.195120,97963.000,14135,1,T1,1,100,35.809
1755113218.329123,98097.000,14151,1,T1,1,100,35.846
1755113218.462126,98230.000,14169,1,T1,1,100,35.792
1755113218.595129,98363.000,14200,1,T1,1,100,35.768
1755113218.729132,98497.000,14219,1,T1,1,100,35.793
1755113218.862135,98630.000,14236,1,T1,1,100,35.911
1755113218.995138,98763.000,14268,1,T1,1,100,35.819
1755113219.129141,98897.000,14284,1,T1,1,100,35.851
1755113219.262144,99030.000,14301,1,T1,1,100,35.900
1755113219.395147,99163.000,14317,1,T1,1,100,35.815
1755113219.528150,99296.000,14351,1,T1,1,100,35.814
1755113219.662153,99430.000,14370,1,T1,1,100,35.848
1755113219.795156,99563.000,14387,1,T1,1,100,35.757
1755113219.928159,99696.000,14418,1,T1,1,100,35.824
1755113220.062162,99830.000,14436,1,T1,1,100,35.888
1755113220.195165,99963.000,14454,1,T1,1,100,35.916
1755113220.329169,100097.000,14486,1,T1,1,100,35.857
1755113220.462172,100230.000,14505,1,T1,1,100,35.903
1755113220.595175,100363.000,14521,1,T1,1,100,35.781
1755113220.728178,100496.000,14553,1,T1,1,100,35.799
