LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1752617372.397581,287007.000,44531,2,EA,1,100,0.654577
1752617372.397581,287007.000,44531,2,EA,1,100,0.656366
1752617372.464080,287073.500,44548,2,EA,1,100,0.658352
1752617372.530580,287140.000,44548,2,EA,1,100,0.659537
1752617372.597580,287207.000,44565,1,EA,1,100,0.660851
1752617372.664080,287273.500,44582,2,EA,1,100,0.662423
1752617372.730580,287340.000,44582,2,EA,1,100,0.664446
1752617372.797579,287407.000,44598,1,EA,1,100,0.666673
1752617372.864079,287473.500,44614,2,EA,1,100,0.668208
1752617372.930579,287540.000,44614,2,EA,1,100,0.669172
1752617372.997579,287607.000,44630,1,EA,1,100,0.669945
1752617373.064078,287673.500,44647,2,EA,1,100,0.670267
1752617373.130578,287740.000,44647,2,EA,1,100,0.669558
1752617373.197578,287807.000,44663,1,EA,1,100,0.668658
1752617373.264078,287873.500,44679,2,EA,1,100,0.669687
1752617373.330577,287940.000,44679,2,EA,1,100,0.672274
1752617373.397577,288007.000,44695,1,EA,1,100,0.679358
1752617373.464077,288073.500,44712,2,EA,1,100,0.694054
1752617373.530577,288140.000,44712,2,EA,1,100,0.721829
1752617373.597577,288207.000,44729,1,EA,1,100,0.726423
1752617373.664076,288273.500,44744,2,EA,1,100,0.726044
1752617373.730576,288340.000,44744,2,EA,1,100,0.726954
1752617373.797576,288407.000,44762,1,EA,1,100,0.727866
1752617373.864076,288473.500,44780,2,EA,1,100,0.728475
1752617373.930575,288540.000,44780,2,EA,1,100,0.728781
1752617373.997575,288607.000,44796,1,EA,1,100,0.729085
1752617374.064075,288673.500,44811,2,EA,1,100,0.729927
1752617374.130575,288740.000,44811,2,EA,1,100,0.730080
1752617374.197574,288807.000,44827,1,EA,1,100,0.730616
1752617374.264074,288873.500,44845,2,EA,1,100,0.731307
1752617374.330574,288940.000,44845,2,EA,1,100,0.731999
1752617374.397574,289007.000,44861,1,EA,1,100,0.732769
1752617374.464073,289073.500,44879,2,EA,1,100,0.733541
1752617374.530573,289140.000,44879,2,EA,1,100,0.733773
1752617374.597073,289206.500,44895,2,EA,1,100,0.734160
1752617374.663573,289273.000,44895,2,EA,1,100,0.734857
1752617374.730573,289340.000,44912,1,EA,1,100,0.734935
1752617374.797072,289406.500,44928,2,EA,1,100,0.735323
1752617374.863572,289473.000,44928,2,EA,1,100,0.735867
1752617374.930572,289540.000,44946,1,EA,1,100,0.736411
1752617374.997072,289606.500,44960,2,EA,1,100,0.736879
1752617375.063571,289673.000,44960,2,EA,1,100,0.737895
1752617375.130571,289740.000,44979,1,EA,1,100,0.738521
1752617375.197071,289806.500,44996,2,EA,1,100,0.738834
1752617375.263571,289873.000,44996,2,EA,1,100,0.739227
1752617375.330570,289940.000,45013,1,EA,1,100,0.739384
1752617375.397070,290006.500,45027,2,EA,1,100,0.739933
1752617375.463570,290073.000,45027,2,EA,1,100,0.740012
1752617375.530570,290140.000,45044,1,EA,1,100,0.740406
1752617375.597070,290206.500,45061,2,EA,1,100,0.741431
1752617375.663569,290273.000,45061,2,EA,1,100,0.742063
1752617375.730569,290340.000,45078,1,EA,1,100,0.742142
1752617375.797069,290406.500,45092,2,EA,1,100,0.742538
1752617375.863569,290473.000,45092,2,EA,1,100,0.743331
1752617375.930568,290540.000,45110,1,EA,1,100,0.743966
1752617375.997068,290606.500,45126,2,EA,1,100,0.744204
1752617376.063568,290673.000,45126,2,EA,1,100,0.744523
1752617376.130568,290740.000,45143,1,EA,1,100,0.744602
1752617376.197067,290806.500,45160,2,EA,1,100,0.745001
1752617376.263567,290873.000,45160,2,EA,1,100,0.745799
1752617376.330567,290940.000,45177,1,EA,1,100,0.746278
1752617376.397067,291006.500,45193,2,EA,1,100,0.746519
1752617376.463566,291073.000,45193,2,EA,1,100,0.746919
1752617376.530566,291140.000,45210,1,EA,1,100,0.747400
1752617376.597066,291206.500,45226,2,EA,1,100,0.747641
1752617376.663566,291273.000,45226,2,EA,1,100,0.748283
1752617376.730566,291340.000,45242,1,EA,1,100,0.749088
1752617376.797065,291406.500,45260,2,EA,1,100,0.749573
1752617376.863565,291473.000,45260,2,EA,1,100,0.749976
1752617376.930565,291540.000,45278,1,EA,1,100,0.750461
1752617376.997065,291606.500,45293,2,EA,1,100,0.750947
1752617377.063564,291673.000,45293,2,EA,1,100,0.751109
1752617377.130064,291739.500,45309,2,EA,1,100,0.751758
1752617377.196564,291806.000,45309,2,EA,1,100,0.752082
1752617377.263564,291873.000,45326,1,EA,1,100,0.752733
1752617377.330063,291939.500,45345,2,EA,1,100,0.753140
1752617377.396563,292006.000,45345,2,EA,1,100,0.753466
1752617377.463563,292073.000,45367,2,EA,1,100,0.753874
1752617377.530563,292140.000,45367,2,EA,1,100,0.754364
1752617377.597063,292206.500,45384,2,EA,1,100,0.754855
1752617377.663562,292273.000,45384,2,EA,1,100,0.754773
1752617377.730562,292340.000,45401,1,EA,1,100,0.755182
1752617377.797062,292406.500,45415,2,EA,1,100,0.756249
1752617377.863562,292473.000,45415,2,EA,1,100,0.756496
1752617377.930561,292540.000,45433,1,EA,1,100,0.756989
1752617377.997061,292606.500,45449,2,EA,1,100,0.757813
1752617378.063561,292673.000,45449,2,EA,1,100,0.758225
1752617378.129561,292739.000,45468,1,EA,1,100,0.758308
1752617378.196560,292806.000,45483,2,EA,1,100,0.758638
1752617378.263560,292873.000,45483,2,EA,1,100,0.759052
1752617378.330560,292940.000,45500,1,EA,1,100,0.759798
1752617378.397060,293006.500,45516,2,EA,1,100,0.760295
1752617378.463559,293073.000,45516,2,EA,1,100,0.760877
1752617378.529559,293139.000,45535,1,EA,1,100,0.761293
1752617378.596559,293206.000,45552,2,EA,1,100,0.761709
1752617378.663559,293273.000,45552,2,EA,1,100,0.761792
1752617378.729559,293339.000,45569,1,EA,1,100,0.761876
1752617378.796558,293406.000,45585,2,EA,1,100,0.762544
1752617378.863558,293473.000,45585,2,EA,1,100,0.763463
1752617378.929558,293539.000,45603,1,EA,1,100,0.764134
1752617378.996558,293606.000,45619,2,EA,1,100,0.764386
1752617379.063557,293673.000,45619,2,EA,1,100,0.764805
1752617379.129557,293739.000,45636,1,EA,1,100,0.765478
1752617379.196557,293806.000,45653,2,EA,1,100,0.764721
1752617379.263557,293873.000,45653,2,EA,1,100,0.764805
1752617379.329556,293939.000,45670,1,EA,1,100,0.765478
1752617379.396556,294006.000,45685,2,EA,1,100,0.765899
1752617379.463556,294073.000,45685,2,EA,1,100,0.766574
1752617379.530056,294139.500,45702,2,EA,1,100,0.767334
1752617379.596556,294206.000,45702,2,EA,1,100,0.768011
1752617379.663555,294273.000,45718,1,EA,1,100,0.768435
1752617379.730055,294339.500,45735,2,EA,1,100,0.768775
1752617379.796555,294406.000,45735,2,EA,1,100,0.769369
1752617379.863555,294473.000,45753,1,EA,1,100,0.769539
1752617379.930054,294539.500,45769,2,EA,1,100,0.770050
1752617379.996554,294606.000,45769,2,EA,1,100,0.770135
1752617380.063554,294673.000,45785,1,EA,1,100,0.770732
1752617380.130054,294739.500,45802,2,EA,1,100,0.770988
1752617380.196553,294806.000,45802,2,EA,1,100,0.771586
1752617380.263553,294873.000,45819,1,EA,1,100,0.772014
1752617380.330053,294939.500,45836,2,EA,1,100,0.772528
1752617380.396553,295006.000,45836,2,EA,1,100,0.772871
1752617380.463552,295073.000,45852,1,EA,1,100,0.773300
1752617380.530052,295139.500,45870,2,EA,1,100,0.773730
1752617380.596552,295206.000,45870,2,EA,1,100,0.774160
1752617380.663552,295273.000,45886,1,EA,1,100,0.774849
1752617380.730052,295339.500,45901,2,EA,1,100,0.775280
1752617380.796551,295406.000,45901,2,EA,1,100,0.775712
1752617380.863551,295473.000,45917,1,EA,1,100,0.776318
1752617380.930051,295539.500,45937,2,EA,1,100,0.776491
1752617380.996551,295606.000,45937,2,EA,1,100,0.776751
1752617381.063550,295673.000,45953,1,EA,1,100,0.777271
