LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1752784449.936899,335250,52383,1,BI,1,100,600
1752784450.656906,335970,52502,1,BI,1,100,720
1752784451.309911,336623,52604,1,BI,1,100,640
1752784451.909917,337223,52711,1,BI,1,100,600
1752784452.509922,337823,52799,1,BI,1,100,600
1752784453.109927,338423,52900,1,BI,1,100,600
1752784453.709932,339023,53003,1,BI,1,100,600
1752784454.309938,339623,53105,1,BI,1,100,600
1752784454.909943,340223,53207,1,BI,1,100,600
1752784455.549949,340863,53309,1,BI,1,100,640
1752784456.149954,341463,53410,1,BI,1,100,600
1752784456.762959,342076,53515,1,BI,1,100,600
1752784457.402965,342716,53638,1,BI,1,100,640
1752784458.042970,343356,53741,1,BI,1,100,640
1752784458.682976,343996,53842,1,BI,1,100,640
1752784459.362982,344676,53957,1,BI,1,100,680
1752784459.962987,345276,54046,1,BI,1,100,600
1752784460.562993,345876,54144,1,BI,1,100,600
1752784461.202998,346516,54266,1,BI,1,100,640
1752784461.816004,347129,54368,1,BI,1,100,600
1752784462.376008,347689,54453,1,BI,1,100,560
1752784463.016014,348329,54560,1,BI,1,100,640
1752784463.616019,348929,54662,1,BI,1,100,600
1752784464.256025,349569,54762,1,BI,1,100,640
1752784464.896031,350209,54879,1,BI,1,100,640
1752784465.496036,350809,54963,1,BI,1,100,600
1752784466.096041,351409,55066,1,BI,1,100,600
1752784466.696046,352009,55167,1,BI,1,100,600
1752784467.229051,352542,55270,1,BI,1,100,520
1752784467.909057,353222,55378,1,BI,1,100,680
1752784468.429062,353742,55463,1,BI,1,100,520
1752784469.069067,354382,55564,1,BI,1,100,640
1752784469.669072,354982,55667,1,BI,1,100,600
1752784470.229077,355542,55768,1,BI,1,100,560
1752784470.869083,356182,55868,1,BI,1,100,640
1752784471.388088,356701,55957,1,BI,1,100,520
1752784471.962093,357275,56060,1,BI,1,100,560
1752784472.482097,357795,56143,1,BI,1,100,520
1752784473.082102,358395,56235,1,BI,1,100,600
1752784473.681108,358994,56340,1,BI,1,100,600
1752784474.241113,359554,56439,1,BI,1,100,560
1752784474.842118,360155,56541,1,BI,1,100,600
1752784475.441123,360754,56642,1,BI,1,100,600
1752784476.001128,361314,56728,1,BI,1,100,560
1752784476.561133,361874,56833,1,BI,1,100,560
1752784477.135138,362448,56919,1,BI,1,100,560
1752784477.695143,363008,57018,1,BI,1,100,560
1752784478.294148,363607,57109,1,BI,1,100,600
1752784478.854153,364167,57213,1,BI,1,100,560
1752784479.454158,364767,57312,1,BI,1,100,600
1752784480.054164,365367,57415,1,BI,1,100,600
1752784480.734170,366047,57516,1,BI,1,100,680
1752784481.334175,366647,57617,1,BI,1,100,600
1752784481.894180,367207,57724,1,BI,1,100,560
