LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1752621168.149142,72028.000,9790,1,EA,1,100,0.145390
1752621168.216142,72095.000,9806,1,EA,1,100,0.145927
1752621168.282643,72161.500,9824,2,EA,1,100,0.146199
1752621168.349143,72228.000,9824,2,EA,1,100,0.145862
1752621168.416144,72295.000,9842,1,EA,1,100,0.144945
1752621168.482644,72361.500,9859,2,EA,1,100,0.144894
1752621168.549145,72428.000,9859,2,EA,1,100,0.145713
1752621168.616145,72495.000,9875,1,EA,1,100,0.146006
1752621168.682646,72561.500,9891,2,EA,1,100,0.146163
1752621168.749147,72628.000,9891,2,EA,1,100,0.146378
1752621168.816147,72695.000,9907,1,EA,1,100,0.146615
1752621168.882648,72761.500,9924,2,EA,1,100,0.146875
1752621168.949148,72828.000,9924,2,EA,1,100,0.147092
1752621169.016149,72895.000,9941,1,EA,1,100,0.147347
1752621169.082649,72961.500,9958,2,EA,1,100,0.147917
1752621169.149150,73028.000,9958,2,EA,1,100,0.148384
1752621169.216151,73095.000,9974,1,EA,1,100,0.148767
1752621169.282651,73161.500,9992,2,EA,1,100,0.149569
1752621169.349152,73228.000,9992,2,EA,1,100,0.151417
1752621169.416152,73295.000,10008,1,EA,1,100,0.152913
1752621169.482653,73361.500,10023,2,EA,1,100,0.154505
1752621169.549153,73428.000,10023,2,EA,1,100,0.155343
1752621169.616154,73495.000,10039,1,EA,1,100,0.157736
1752621169.682655,73561.500,10057,2,EA,1,100,0.164726
1752621169.749155,73628.000,10057,2,EA,1,100,0.161557
1752621169.816156,73695.000,10075,1,EA,1,100,0.153402
1752621169.882656,73761.500,10093,2,EA,1,100,0.150315
1752621169.949157,73828.000,10093,2,EA,1,100,0.152957
1752621170.016157,73895.000,10109,1,EA,1,100,0.150357
1752621170.082658,73961.500,10131,2,EA,1,100,0.153297
1752621170.149158,74028.000,10131,2,EA,1,100,0.157099
1752621170.215659,74094.500,10147,2,EA,1,100,0.164531
1752621170.282160,74161.000,10147,2,EA,1,100,0.168489
1752621170.349160,74228.000,10165,1,EA,1,100,0.169312
1752621170.415661,74294.500,10181,2,EA,1,100,0.167754
1752621170.482161,74361.000,10181,2,EA,1,100,0.163315
1752621170.549162,74428.000,10200,1,EA,1,100,0.156527
1752621170.615662,74494.500,10217,2,EA,1,100,0.151364
1752621170.682163,74561.000,10217,2,EA,1,100,0.149788
1752621170.749164,74628.000,10234,1,EA,1,100,0.149820
1752621170.815664,74694.500,10248,2,EA,1,100,0.150127
1752621170.882165,74761.000,10248,2,EA,1,100,0.150396
1752621170.949165,74828.000,10267,1,EA,1,100,0.150393
1752621171.015666,74894.500,10284,2,EA,1,100,0.150173
1752621171.082166,74961.000,10284,2,EA,1,100,0.150351
1752621171.149167,75028.000,10301,1,EA,1,100,0.150667
1752621171.215668,75094.500,10315,2,EA,1,100,0.151341
1752621171.282168,75161.000,10315,2,EA,1,100,0.152125
1752621171.349169,75228.000,10333,1,EA,1,100,0.152773
1752621171.415669,75294.500,10349,2,EA,1,100,0.152732
1752621171.482170,75361.000,10349,2,EA,1,100,0.152039
1752621171.549170,75428.000,10366,1,EA,1,100,0.151644
1752621171.615671,75494.500,10381,2,EA,1,100,0.152485
1752621171.682171,75561.000,10381,2,EA,1,100,0.153051
1752621171.749172,75628.000,10400,1,EA,1,100,0.154980
1752621171.815673,75694.500,10416,2,EA,1,100,0.155481
1752621171.882173,75761.000,10416,2,EA,1,100,0.154973
1752621171.949174,75828.000,10433,1,EA,1,100,0.154804
1752621172.015674,75894.500,10449,2,EA,1,100,0.158094
1752621172.082175,75961.000,10449,2,EA,1,100,0.158216
1752621172.149175,76028.000,10467,1,EA,1,100,0.156826
1752621172.215676,76094.500,10485,2,EA,1,100,0.158062
1752621172.282177,76161.000,10485,2,EA,1,100,0.160448
1752621172.349177,76228.000,10505,1,EA,1,100,0.157458
1752621172.415678,76294.500,10520,2,EA,1,100,0.155854
1752621172.482178,76361.000,10520,2,EA,1,100,0.159906
1752621172.548679,76427.500,10536,2,EA,1,100,0.161737
1752621172.615179,76494.000,10536,2,EA,1,100,0.161015
1752621172.682180,76561.000,10555,1,EA,1,100,0.160900
1752621172.748680,76627.500,10572,2,EA,1,100,0.158331
1752621172.815181,76694.000,10572,2,EA,1,100,0.154725
1752621172.882182,76761.000,10588,1,EA,1,100,0.153351
1752621172.948682,76827.500,10606,2,EA,1,100,0.154313
1752621173.015183,76894.000,10606,2,EA,1,100,0.155190
1752621173.082183,76961.000,10624,1,EA,1,100,0.155377
1752621173.148684,77027.500,10641,2,EA,1,100,0.155631
1752621173.215184,77094.000,10641,2,EA,1,100,0.156067
1752621173.282185,77161.000,10657,1,EA,1,100,0.156298
1752621173.348686,77227.500,10673,2,EA,1,100,0.156530
1752621173.415186,77294.000,10673,2,EA,1,100,0.156692
1752621173.482187,77361.000,10691,1,EA,1,100,0.156985
1752621173.548687,77427.500,10708,2,EA,1,100,0.157269
1752621173.615188,77494.000,10708,2,EA,1,100,0.157575
1752621173.682188,77561.000,10725,1,EA,1,100,0.158019
1752621173.748689,77627.500,10740,2,EA,1,100,0.158443
1752621173.815190,77694.000,10740,2,EA,1,100,0.158844
1752621173.882190,77761.000,10756,1,EA,1,100,0.159167
1752621173.948691,77827.500,10774,2,EA,1,100,0.159255
1752621174.015191,77894.000,10774,2,EA,1,100,0.159412
1752621174.082192,77961.000,10792,1,EA,1,100,0.159605
1752621174.148692,78027.500,10808,2,EA,1,100,0.159902
1752621174.215193,78094.000,10808,2,EA,1,100,0.160160
1752621174.282193,78161.000,10823,1,EA,1,100,0.160484
1752621174.348694,78227.500,10841,2,EA,1,100,0.160614
1752621174.415195,78294.000,10841,2,EA,1,100,0.160751
1752621174.482195,78361.000,10857,1,EA,1,100,0.160948
1752621174.548696,78427.500,10875,2,EA,1,100,0.161183
1752621174.615196,78494.000,10875,2,EA,1,100,0.161523
1752621174.681697,78560.500,10891,2,EA,1,100,0.161778
1752621174.748197,78627.000,10891,2,EA,1,100,0.161937
1752621174.815198,78694.000,10908,1,EA,1,100,0.162140
1752621174.882199,78761.000,10926,2,EA,1,100,0.162333
1752621174.949199,78828.000,10926,2,EA,1,100,0.162439
1752621175.015200,78894.000,10944,1,EA,1,100,0.162583
1752621175.082200,78961.000,10960,2,EA,1,100,0.162865
1752621175.149201,79028.000,10960,2,EA,1,100,0.163013
