LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1752701120.382207,396971,63662,1,HR,1,100,92.61
1752701121.022209,397611,63763,1,HR,1,100,92.86
1752701121.702210,398291,63881,1,HR,1,100,91.83
1752701122.382211,398971,63996,1,HR,1,100,91.03
1752701123.035213,399624,64097,1,HR,1,100,91.64
1752701123.715214,400304,64220,1,HR,1,100,90.88
1752701124.355215,400944,64321,1,HR,1,100,91.52
1752701124.995217,401584,64426,1,HR,1,100,92.01
1752701125.635218,402224,64529,1,HR,1,100,92.40
1752701126.274219,402863,64649,1,HR,1,100,92.70
1752701126.954221,403543,64751,1,HR,1,100,91.71
1752701127.568222,404157,64853,1,HR,1,100,93.55
1752701128.288223,404877,64973,1,HR,1,100,91.28
1752701128.968225,405557,65099,1,HR,1,100,90.60
1752701129.607226,406196,65202,1,HR,1,100,91.30
1752701130.167227,406756,65288,1,HR,1,100,94.82
1752701130.767229,407356,65393,1,HR,1,100,95.97
1752701131.407230,407996,65510,1,HR,1,100,95.48
1752701131.927231,408516,59,1,HR,1,100,99.90
1752701132.660232,409249,176,1,HR,1,100,96.22
1752701133.340234,409929,294,1,HR,1,100,94.45
1752701133.980235,410569,404,1,HR,1,100,94.29
1752701134.580236,411169,502,1,HR,1,100,95.56
1752701135.180238,411769,607,1,HR,1,100,96.55
1752701135.780239,412369,712,1,HR,1,100,97.31
1752701136.420240,413009,817,1,HR,1,100,96.52
1752701137.073241,413662,935,1,HR,1,100,95.91
1752701137.753243,414342,1039,1,HR,1,100,94.20
1752701138.433244,415022,1159,1,HR,1,100,92.88
1752701139.033245,415622,1269,1,HR,1,100,94.46
1752701139.673247,416262,1371,1,HR,1,100,94.30
1752701140.273248,416862,1477,1,HR,1,100,95.57
1752701140.913249,417502,1579,1,HR,1,100,95.16
1752701141.593251,418182,1698,1,HR,1,100,93.62
1752701142.246252,418835,1819,1,HR,1,100,93.65
1752701142.886253,419475,1919,1,HR,1,100,93.67
1752701143.526255,420115,2020,1,HR,1,100,93.69
1752701144.166256,420755,2123,1,HR,1,100,93.70
1752701144.726257,421315,2233,1,HR,1,100,96.69
1752701145.326258,421915,2336,1,HR,1,100,97.43
1752701145.926260,422515,2441,1,HR,1,100,98.00
1752701146.659261,423248,2560,1,HR,1,100,94.74
1752701147.299262,423888,2663,1,HR,1,100,94.52
1752701147.979264,424568,2783,1,HR,1,100,93.12
1752701148.619265,425208,2881,1,HR,1,100,93.26
1752701149.259266,425848,3010,1,HR,1,100,93.37
1752701149.859268,426448,3112,1,HR,1,100,94.84
1752701150.419269,427008,3201,1,HR,1,100,97.58
1752701151.019270,427608,3306,1,HR,1,100,98.12
1752701151.672271,428261,3409,1,HR,1,100,97.15
1752701152.272273,428861,3511,1,HR,1,100,97.78
1752701152.992274,429581,3631,1,HR,1,100,94.57
1752701153.672275,430261,3750,1,HR,1,100,93.16
1752701154.352277,430941,3870,1,HR,1,100,92.07
1752701154.992278,431581,3978,1,HR,1,100,92.44
1752701155.632279,432221,4106,1,HR,1,100,92.73
1752701156.245281,432834,4209,1,HR,1,100,94.35
1752701156.805282,433394,4294,1,HR,1,100,97.19
1752701157.485283,434074,4416,1,HR,1,100,95.20
1752701158.125284,434714,4519,1,HR,1,100,94.88
1752701158.845286,435434,4638,1,HR,1,100,92.31
1752701159.525287,436114,4763,1,HR,1,100,91.41
1752701160.204289,436793,4882,1,HR,1,100,90.70
1752701160.938290,437527,5001,1,HR,1,100,89.06
1752701161.658292,438247,5122,1,HR,1,100,87.79
1752701162.298293,438887,5225,1,HR,1,100,89.11
1752701163.017294,439606,5343,1,HR,1,100,87.83
1752701163.737296,440326,5466,1,HR,1,100,86.83
1752701164.377297,440966,5586,1,HR,1,100,88.37
1752701165.097299,441686,5710,1,HR,1,100,87.25
1752701165.791300,442380,5834,1,HR,1,100,87.47
1752701166.390301,442979,5935,1,HR,1,100,90.25
1752701167.070303,443659,6040,1,HR,1,100,89.80
1752701167.750304,444339,6157,1,HR,1,100,89.46
1752701168.430306,445019,6275,1,HR,1,100,89.18
1752701169.150307,445739,6390,1,HR,1,100,87.88
1752701169.910309,446499,6513,1,HR,1,100,85.90
1752701170.643310,447232,6652,1,HR,1,100,85.33
1752701171.323311,447912,6757,1,HR,1,100,85.97
1752701171.963313,448552,6876,1,HR,1,100,87.70
1752701172.643314,449232,6981,1,HR,1,100,87.82
1752701173.323316,449912,7101,1,HR,1,100,87.91
1752701173.963317,450552,7202,1,HR,1,100,89.21
1752701174.643318,451232,7319,1,HR,1,100,88.99
1752701175.337320,451926,7446,1,HR,1,100,88.82
1752701175.936321,452525,7549,1,HR,1,100,91.31
1752701176.576322,453165,7649,1,HR,1,100,91.85
1752701177.256324,453845,7769,1,HR,1,100,91.05
1752701177.976325,454565,7891,1,HR,1,100,89.33
1752701178.776327,455365,8029,1,HR,1,100,86.15
1752701179.536328,456125,8145,1,HR,1,100,84.55
1752701180.309330,456898,8288,1,HR,1,100,83.30
1752701181.069331,457658,8404,1,HR,1,100,82.34
1752701181.789333,458378,8521,1,HR,1,100,82.56
1752701182.429334,459018,8645,1,HR,1,100,85.04
1752701183.069335,459658,8750,1,HR,1,100,86.98
1752701183.709337,460298,8855,1,HR,1,100,88.48
1752701184.362338,460951,8974,1,HR,1,100,89.65
1752701185.002339,461591,9079,1,HR,1,100,90.56
1752701185.602341,462191,9172,1,HR,1,100,92.66
1752701186.242342,462831,9295,1,HR,1,100,92.90
1752701186.882343,463471,9399,1,HR,1,100,93.09
1752701187.522345,464111,9502,1,HR,1,100,93.24
1752701188.242346,464831,9625,1,HR,1,100,91.04
1752701188.922347,465511,9748,1,HR,1,100,90.41
1752701189.535349,466124,9852,1,HR,1,100,92.54
1752701190.175350,466764,9957,1,HR,1,100,92.81
1752701190.775351,467364,10067,1,HR,1,100,94.41
1752701191.375352,467964,10170,1,HR,1,100,95.65
1752701191.975354,468564,10275,1,HR,1,100,96.62
1752701192.575355,469164,10379,1,HR,1,100,97.37
1752701193.174356,469763,10484,1,HR,1,100,97.95
1752701193.814357,470403,10591,1,HR,1,100,97.02
1752701194.468359,471057,10712,1,HR,1,100,96.29
1752701195.068360,471657,10818,1,HR,1,100,97.12
