LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1752784449.642897,334956,52403,1,SR,1,100,0.400000
1752784450.841907,336155,52554,1,SR,1,100,0.066667
1752784451.308911,336622,52623,1,SR,1,100,0.066667
1752784451.508913,336822,52692,1,SR,1,100,0.200000
1752784452.241920,337555,52802,1,SR,1,100,0.133333
1752784453.042927,338356,52968,1,SR,1,100,0.400000
1752784453.975935,339289,53071,1,SR,1,100,0.066667
1752784454.175936,339489,53108,1,SR,1,100,0.066667
1752784454.641941,339955,53258,1,SR,1,100,0.466667
1752784455.775951,341089,53378,1,SR,1,100,0.066667
1752784455.975952,341289,53413,1,SR,1,100,0.066667
1752784456.441956,341755,53534,1,SR,1,100,0.333333
1752784457.574966,342888,53706,1,SR,1,100,0.200000
1752784458.708976,344022,53960,1,SR,1,100,0.666667
1752784459.641984,344955,54027,1,SR,1,100,0.133333
1752784460.175989,345489,54164,1,SR,1,100,0.333333
1752784460.774994,346088,54248,1,SR,1,100,0.266667
1752784461.308999,346622,54351,1,SR,1,100,0.333333
1752784462.309008,347622,54494,1,SR,1,100,0.266667
1752784462.975014,348288,54595,1,SR,1,100,0.200000
1752784464.441027,349754,54846,1,SR,1,100,0.266667
1752784465.508036,350821,55031,1,SR,1,100,0.266667
1752784466.574045,351887,55204,1,SR,1,100,0.266667
1752784467.374052,352687,55304,1,SR,1,100,0.066667
1752784467.841056,353154,55397,1,SR,1,100,0.133333
1752784468.108059,353421,55515,1,SR,1,100,0.533333
1752784469.041067,354354,55601,1,SR,1,100,0.133333
1752784469.574072,354887,55686,1,SR,1,100,0.133333
1752784470.241077,355554,55871,1,SR,1,100,0.533333
1752784470.907083,356220,55939,1,SR,1,100,0.266667
1752784471.307087,356620,56010,1,SR,1,100,0.266667
1752784472.107094,357420,56146,1,SR,1,100,0.266667
1752784472.640099,357953,56238,1,SR,1,100,0.333333
1752784473.108103,358421,56321,1,SR,1,100,0.333333
1752784473.974110,359287,56442,1,SR,1,100,0.200000
1752784474.574116,359887,56592,1,SR,1,100,0.533333
1752784475.373123,360686,56662,1,SR,1,100,0.133333
1752784475.773126,361086,56748,1,SR,1,100,0.200000
1752784476.241130,361554,56901,1,SR,1,100,0.666667
1752784477.574142,362887,57021,1,SR,1,100,0.066667
1752784478.173147,363486,57112,1,SR,1,100,0.066667
1752784478.640151,363953,57196,1,SR,1,100,0.066667
1752784479.373158,364686,57382,1,SR,1,100,0.466667
1752784479.973163,365286,57534,1,SR,1,100,0.733333
1752784481.373175,366686,57653,1,SR,1,100,0.066667
1752784481.706178,367019,57706,1,SR,1,100,0.066667
1752784482.039181,367352,57859,1,SR,1,100,0.666667
1752784482.839188,368152,57951,1,SR,1,100,0.333333
1752784483.306192,368619,57984,1,SR,1,100,0.133333
1752784483.706196,369019,58054,1,SR,1,100,0.066667
1752784483.906197,369219,58089,1,SR,1,100,0.066667
1752784484.106199,369419,58126,1,SR,1,100,0.133333
1752784484.373202,369686,58160,1,SR,1,100,0.066667
1752784485.239209,370552,58313,1,SR,1,100,0.066667
1752784485.573212,370886,58380,1,SR,1,100,0.133333
1752784486.106217,371419,58482,1,SR,1,100,0.200000
1752784486.439220,371752,58538,1,SR,1,100,0.200000
1752784486.772223,372085,58572,1,SR,1,100,0.066667
1752784486.972224,372285,58609,1,SR,1,100,0.066667
1752784487.306227,372619,58677,1,SR,1,100,0.200000
1752784487.639230,372952,58712,1,SR,1,100,0.066667
1752784487.839232,373152,58834,1,SR,1,100,0.600000
1752784488.706240,374019,58921,1,SR,1,100,0.200000
1752784489.039242,374352,58954,1,SR,1,100,0.066667
1752784489.505247,374818,59040,1,SR,1,100,0.133333
1752784489.906250,375219,59143,1,SR,1,100,0.333333
1752784490.639257,375952,59229,1,SR,1,100,0.133333
1752784491.172261,376485,59351,1,SR,1,100,0.333333
1752784491.639265,376952,59385,1,SR,1,100,0.066667
1752784491.838267,377151,59437,1,SR,1,100,0.133333
1752784492.772275,378085,59574,1,SR,1,100,0.066667
1752784493.239279,378552,59664,1,SR,1,100,0.133333
1752784493.505282,378818,59731,1,SR,1,100,0.266667
1752784494.038286,379351,59852,1,SR,1,100,0.466667
1752784494.905294,380218,59971,1,SR,1,100,0.266667
1752784495.571300,380884,60071,1,SR,1,100,0.200000
1752784495.905303,381218,60107,1,SR,1,100,0.066667
1752784496.105305,381418,60143,1,SR,1,100,0.133333
1752784496.639309,381952,60279,1,SR,1,100,0.333333
1752784497.105313,382418,60315,1,SR,1,100,0.066667
1752784497.838320,383151,60433,1,SR,1,100,0.066667
1752784498.038321,383351,60470,1,SR,1,100,0.066667
1752784498.238323,383551,60509,1,SR,1,100,0.133333
1752784498.505326,383818,60561,1,SR,1,100,0.133333
1752784498.904329,384217,60584,1,SR,1,100,0.333333
1752784499.638336,384951,60608,1,SR,1,100,0.133333
1752784499.905338,385218,60611,1,SR,1,100,0.200000
1752784500.371342,385684,60615,1,SR,1,100,0.333333
1752784500.971347,386284,60640,1,SR,1,100,0.466667
1752784501.571352,386884,60643,1,SR,1,100,0.200000
1752784501.905355,387218,60665,1,SR,1,100,0.133333
1752784502.171358,387484,60734,1,SR,1,100,0.266667
1752784503.105366,388418,60924,1,SR,1,100,0.600000
1752784504.105375,389418,61027,1,SR,1,100,0.200000
1752784504.437378,389750,61062,1,SR,1,100,0.066667
1752784504.770381,390083,61116,1,SR,1,100,0.066667
1752784505.371386,390684,61250,1,SR,1,100,0.200000
1752784505.704389,391017,61284,1,SR,1,100,0.133333
1752784505.970391,391283,61353,1,SR,1,100,0.200000
1752784506.304394,391617,61388,1,SR,1,100,0.133333
1752784506.970400,392283,61507,1,SR,1,100,0.133333
1752784507.237402,392550,61577,1,SR,1,100,0.333333
1752784507.837407,393150,61646,1,SR,1,100,0.133333
1752784508.103410,393416,61699,1,SR,1,100,0.133333
1752784508.637415,393950,61822,1,SR,1,100,0.333333
1752784509.237420,394550,61891,1,SR,1,100,0.200000
1752784509.570423,394883,61927,1,SR,1,100,0.066667
1752784510.037427,395350,62012,1,SR,1,100,0.066667
1752784510.237429,395550,62046,1,SR,1,100,0.066667
1752784510.437430,395750,62101,1,SR,1,100,0.200000
1752784510.771433,396084,62151,1,SR,1,100,0.200000
1752784511.103436,396416,62187,1,SR,1,100,0.066667
1752784511.303438,396616,62222,1,SR,1,100,0.066667
1752784511.503440,396816,62258,1,SR,1,100,0.066667
1752784511.703441,397016,62360,1,SR,1,100,0.400000
1752784512.636450,397949,62447,1,SR,1,100,0.066667
1752784512.836451,398149,62481,1,SR,1,100,0.066667
1752784513.436457,398749,62622,1,SR,1,100,0.266667
1752784513.970461,399283,62673,1,SR,1,100,0.066667
1752784514.170463,399483,62711,1,SR,1,100,0.066667
1752784515.303473,400616,62928,1,SR,1,100,0.266667
1752784515.836478,401149,62995,1,SR,1,100,0.133333
1752784516.369482,401682,63082,1,SR,1,100,0.066667
1752784516.569484,401882,63118,1,SR,1,100,0.066667
1752784516.903487,402216,63219,1,SR,1,100,0.333333
1752784517.503492,402816,63288,1,SR,1,100,0.200000
1752784517.836495,403149,63358,1,SR,1,100,0.200000
1752784518.303499,403616,63427,1,SR,1,100,0.200000
1752784518.636502,403949,63484,1,SR,1,100,0.133333
1752784519.569510,404882,63619,1,SR,1,100,0.133333
1752784520.103515,405416,63722,1,SR,1,100,0.133333
1752784520.769521,406082,63839,1,SR,1,100,0.200000
1752784521.369526,406682,63927,1,SR,1,100,0.066667
1752784521.569528,406882,63946,1,SR,1,100,0.066667
1752784521.769530,407082,64015,1,SR,1,100,0.200000
1752784522.102533,407415,64049,1,SR,1,100,0.066667
1752784522.302534,407615,64086,1,SR,1,100,0.066667
1752784522.636537,407949,64137,1,SR,1,100,0.066667
1752784522.969540,408282,64189,1,SR,1,100,0.066667
1752784523.169542,408482,64257,1,SR,1,100,0.266667
1752784523.702547,409015,64348,1,SR,1,100,0.200000
1752784524.168551,409481,64434,1,SR,1,100,0.266667
1752784524.568554,409881,64469,1,SR,1,100,0.066667
1752784524.768556,410081,64522,1,SR,1,100,0.266667
1752784525.302561,410615,64589,1,SR,1,100,0.066667
1752784525.902566,411215,64742,1,SR,1,100,0.400000
1752784527.635581,412948,64979,1,SR,1,100,0.066667
1752784527.835583,413148,65015,1,SR,1,100,0.066667
1752784528.035585,413348,65050,1,SR,1,100,0.066667
1752784528.235587,413548,65084,1,SR,1,100,0.133333
1752784529.168595,414481,65259,1,SR,1,100,0.266667
1752784529.568598,414881,65326,1,SR,1,100,0.200000
1752784529.901601,415214,65364,1,SR,1,100,0.066667
1752784530.101603,415414,65415,1,SR,1,100,0.200000
1752784530.568607,415881,65467,1,SR,1,100,0.066667
1752784530.768609,416081,34,1,SR,1,100,0.400000
1752784531.434615,416747,87,1,SR,1,100,0.133333
1752784531.834618,417147,189,1,SR,1,100,0.266667
1752784532.234622,417547,241,1,SR,1,100,0.200000
1752784532.568625,417881,277,1,SR,1,100,0.066667
1752784533.034629,418347,395,1,SR,1,100,0.333333
1752784533.902636,419215,512,1,SR,1,100,0.200000
1752784534.901645,420214,671,1,SR,1,100,0.066667
1752784535.101647,420414,789,1,SR,1,100,0.600000
1752784535.835653,421148,824,1,SR,1,100,0.066667
1752784536.435659,421748,1047,1,SR,1,100,0.733333
1752784537.301666,422614,1114,1,SR,1,100,0.266667
1752784537.834671,423147,1166,1,SR,1,100,0.133333
1752784538.100673,423413,1219,1,SR,1,100,0.133333
1752784538.500677,423813,1271,1,SR,1,100,0.066667
1752784538.700678,424013,1304,1,SR,1,100,0.066667
1752784539.034681,424347,1373,1,SR,1,100,0.066667
1752784539.234683,424547,1414,1,SR,1,100,0.133333
1752784539.634687,424947,1515,1,SR,1,100,0.333333
1752784540.234692,425547,1602,1,SR,1,100,0.266667
1752784540.901698,426214,1704,1,SR,1,100,0.200000
1752784542.167709,427480,1908,1,SR,1,100,0.133333
1752784542.701714,428014,1993,1,SR,1,100,0.066667
1752784542.901715,428214,2078,1,SR,1,100,0.400000
1752784543.567721,428880,2162,1,SR,1,100,0.266667
1752784543.967725,429280,2199,1,SR,1,100,0.066667
1752784544.167726,429480,2250,1,SR,1,100,0.133333
1752784544.434729,429747,2324,1,SR,1,100,0.266667
1752784544.834732,430147,2393,1,SR,1,100,0.266667
1752784545.367737,430680,2479,1,SR,1,100,0.266667
1752784545.900742,431213,2530,1,SR,1,100,0.066667
1752784546.367746,431680,2635,1,SR,1,100,0.200000
1752784546.833750,432146,2704,1,SR,1,100,0.133333
1752784547.100752,432413,2738,1,SR,1,100,0.066667
1752784547.433755,432746,2823,1,SR,1,100,0.200000
1752784547.766758,433079,2859,1,SR,1,100,0.066667
1752784547.966760,433279,2894,1,SR,1,100,0.066667
1752784548.166761,433479,2930,1,SR,1,100,0.133333
1752784548.433764,433746,2964,1,SR,1,100,0.066667
1752784549.166770,434479,3100,1,SR,1,100,0.133333
1752784550.100778,435413,3257,1,SR,1,100,0.133333
1752784550.633783,435946,3359,1,SR,1,100,0.133333
1752784551.299789,436612,3460,1,SR,1,100,0.133333
1752784551.699792,437012,3531,1,SR,1,100,0.066667
1752784551.899794,437212,3585,1,SR,1,100,0.200000
1752784552.233797,437546,3619,1,SR,1,100,0.066667
1752784552.433799,437746,3655,1,SR,1,100,0.066667
1752784552.632801,437945,3690,1,SR,1,100,0.066667
1752784552.832802,438145,3726,1,SR,1,100,0.066667
1752784553.032804,438345,3760,1,SR,1,100,0.133333
1752784554.232815,439545,3980,1,SR,1,100,0.200000
1752784554.566818,439879,4036,1,SR,1,100,0.200000
1752784554.899821,440212,4090,1,SR,1,100,0.133333
1752784555.299824,440612,4191,1,SR,1,100,0.400000
1752784555.965830,441278,4260,1,SR,1,100,0.133333
1752784556.232832,441545,4312,1,SR,1,100,0.133333
1752784556.499835,441812,4383,1,SR,1,100,0.266667
1752784558.232850,443545,4684,1,SR,1,100,0.400000
1752784558.765855,444078,4754,1,SR,1,100,0.266667
1752784559.966865,445279,4946,1,SR,1,100,0.200000
1752784560.298868,445611,4979,1,SR,1,100,0.066667
1752784560.766872,446079,5082,1,SR,1,100,0.200000
1752784561.631880,446944,5237,1,SR,1,100,0.200000
1752784561.965883,447278,5270,1,SR,1,100,0.133333
1752784562.231885,447544,5308,1,SR,1,100,0.066667
1752784562.565888,447878,5375,1,SR,1,100,0.133333
1752784562.831890,448144,5476,1,SR,1,100,0.400000
1752784563.631897,448944,5546,1,SR,1,100,0.066667
1752784563.832899,449145,5581,1,SR,1,100,0.066667
1752784564.165902,449478,5650,1,SR,1,100,0.133333
1752784564.432904,449745,5688,1,SR,1,100,0.066667
1752784564.764907,450077,5777,1,SR,1,100,0.333333
1752784565.364912,450677,5828,1,SR,1,100,0.066667
1752784565.698915,451011,5914,1,SR,1,100,0.266667
1752784566.098919,451411,5950,1,SR,1,100,0.066667
1752784566.298921,451611,5985,1,SR,1,100,0.066667
1752784566.498922,451811,6056,1,SR,1,100,0.200000
1752784566.831925,452144,6092,1,SR,1,100,0.133333
1752784567.098928,452411,6126,1,SR,1,100,0.066667
1752784567.298929,452611,6163,1,SR,1,100,0.066667
1752784567.765934,453078,6250,1,SR,1,100,0.066667
1752784568.364939,453677,6350,1,SR,1,100,0.066667
1752784568.564941,453877,6402,1,SR,1,100,0.200000
1752784569.164946,454477,6487,1,SR,1,100,0.133333
1752784569.564949,454877,6590,1,SR,1,100,0.266667
1752784569.964953,455277,6633,1,SR,1,100,0.066667
1752784570.164955,455477,6702,1,SR,1,100,0.333333
1752784570.897961,456210,6821,1,SR,1,100,0.266667
1752784571.964970,457277,6991,1,SR,1,100,0.266667
1752784572.497975,457810,7059,1,SR,1,100,0.066667
1752784572.697977,458010,7113,1,SR,1,100,0.266667
1752784573.097980,458410,7147,1,SR,1,100,0.066667
1752784573.564984,458877,7249,1,SR,1,100,0.200000
1752784574.164990,459477,7335,1,SR,1,100,0.066667
1752784574.364991,459677,7388,1,SR,1,100,0.200000
1752784574.697994,460010,7422,1,SR,1,100,0.066667
1752784575.164998,460477,7565,1,SR,1,100,0.400000
1752784575.831004,461143,7615,1,SR,1,100,0.066667
1752784576.031006,461343,7684,1,SR,1,100,0.200000
1752784576.364009,461676,7719,1,SR,1,100,0.066667
1752784576.564011,461876,7757,1,SR,1,100,0.066667
1752784576.764012,462076,7791,1,SR,1,100,0.066667
1752784576.964014,462276,7826,1,SR,1,100,0.066667
1752784577.164016,462476,7879,1,SR,1,100,0.200000
1752784577.498019,462810,7948,1,SR,1,100,0.266667
1752784578.031024,463343,8016,1,SR,1,100,0.200000
1752784578.497028,463809,8118,1,SR,1,100,0.266667
1752784578.897031,464209,8154,1,SR,1,100,0.066667
1752784580.365044,465677,8394,1,SR,1,100,0.066667
1752784580.831048,466143,8512,1,SR,1,100,0.333333
1752784581.297052,466609,8549,1,SR,1,100,0.066667
1752784581.497054,466809,8585,1,SR,1,100,0.066667
1752784581.830057,467142,8654,1,SR,1,100,0.133333
1752784582.230060,467542,8722,1,SR,1,100,0.133333
1752784582.630064,467942,8792,1,SR,1,100,0.133333
1752784583.030067,468342,8862,1,SR,1,100,0.133333
1752784583.564072,468876,8980,1,SR,1,100,0.333333
1752784584.030076,469342,9013,1,SR,1,100,0.066667
1752784584.230078,469542,9084,1,SR,1,100,0.266667
