LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1755204829.418159,850034,5950,1,SA,1,100,0.000533
1755204830.018164,850634,6067,1,SA,1,100,0.001003
1755204830.751170,851367,6136,1,SA,1,100,0.000052
1755204830.951172,851567,6222,1,SA,1,100,0.001479
1755204831.485176,852101,6307,1,SA,1,100,0.001122
1755204832.018181,852634,6342,1,SA,1,100,0.000175
1755204833.418193,854034,6630,1,SA,1,100,0.000659
1755204834.218199,854834,6732,1,SA,1,100,0.000173
1755204835.351209,855967,6933,1,SA,1,100,0.000253
1755204835.884213,856500,6984,1,SA,1,100,0.000064
1755204838.884238,859500,7572,1,SA,1,100,0.000505
1755204839.617244,860233,7691,1,SA,1,100,0.000486
1755204840.750254,861366,7789,1,SA,1,100,0.000053
1755204842.216266,862832,8132,1,SA,1,100,0.000346
1755204842.950272,863566,8182,1,SA,1,100,0.000369
1755204876.013548,896629,13587,1,SA,1,100,0.003475
1755205179.120080,1199733,63112,1,SA,1,100,0.000002
1755205179.452083,1200065,63193,1,SA,1,100,0.000005
1755205179.786085,1200399,63262,1,SA,1,100,0.000009
1755205180.186089,1200799,63315,1,SA,1,100,0.000007
1755205180.520091,1201133,63473,1,SA,1,100,0.000038
1755205181.652101,1202265,63542,1,SA,1,100,0.000007
1755205181.852103,1202465,63576,1,SA,1,100,0.000009
1755205182.119105,1202732,63612,1,SA,1,100,0.000007
1755205182.719110,1203332,63730,1,SA,1,100,0.000020
1755205182.986112,1203599,63765,1,SA,1,100,0.000007
1755205183.252114,1203865,63801,1,SA,1,100,0.000002
1755205183.585117,1204198,63868,1,SA,1,100,0.000024
1755205183.852119,1204465,63904,1,SA,1,100,0.000006
1755205184.052121,1204665,63939,1,SA,1,100,0.000000
1755205184.385124,1204998,64040,1,SA,1,100,0.000065
1755205184.852128,1205465,64109,1,SA,1,100,0.000029
1755205185.319132,1205932,64193,1,SA,1,100,0.000025
1755205185.718135,1206331,64217,1,SA,1,100,0.000010
1755205186.052138,1206665,64269,1,SA,1,100,0.000008
1755205186.252139,1206865,64324,1,SA,1,100,0.000019
1755205186.519142,1207132,64358,1,SA,1,100,0.000003
1755205186.852144,1207465,64410,1,SA,1,100,0.000017
1755205187.319148,1207932,64578,1,SA,1,100,0.000073
1755205188.052154,1208665,64696,1,SA,1,100,0.000172
1755205188.785161,1209398,64864,1,SA,1,100,0.000352
1755205189.785169,1210398,65121,1,SA,1,100,0.000825
1755205191.319182,1211932,65438,1,SA,1,100,0.002774
1755205193.384199,1213997,65488,1,SA,1,100,0.000143
1755205193.984204,1214597,55,1,SA,1,100,0.000128
1755205194.584209,1215197,221,1,SA,1,100,0.000913
1755205196.117222,1216730,445,1,SA,1,100,0.000284
1755205196.451225,1217064,513,1,SA,1,100,0.000703
1755205197.318232,1217931,631,1,SA,1,100,0.000239
1755205197.584234,1218197,665,1,SA,1,100,0.000097
1755205198.184239,1218797,833,1,SA,1,100,0.005997
1755205199.317248,1219930,1035,1,SA,1,100,0.002501
1755205200.984262,1221597,1261,1,SA,1,100,0.000426
1755205201.584267,1222197,1328,1,SA,1,100,0.000107
1755205202.850278,1223463,1544,1,SA,1,100,0.000176
1755205203.050280,1223663,1577,1,SA,1,100,0.000163
1755205203.384282,1223997,1713,1,SA,1,100,0.001098
1755205204.850295,1225463,1864,1,SA,1,100,0.000145
1755205205.050296,1225663,1899,1,SA,1,100,0.000093
1755205205.250298,1225863,1933,1,SA,1,100,0.000126
1755205205.450300,1226063,1969,1,SA,1,100,0.000089
1755205205.650301,1226263,2002,1,SA,1,100,0.000088
1755205205.983304,1226596,2162,1,SA,1,100,0.001521
1755205207.316315,1227929,2294,1,SA,1,100,0.000277
1755205207.583318,1228196,2332,1,SA,1,100,0.000060
1755205208.316324,1228929,2499,1,SA,1,100,0.000552
1755205209.116330,1229729,2616,1,SA,1,100,0.000581
1755205209.649335,1230262,2685,1,SA,1,100,0.000209
1755205210.249340,1230862,2786,1,SA,1,100,0.000022
1755205210.449341,1231062,2854,1,SA,1,100,0.000528
1755205210.983346,1231596,2905,1,SA,1,100,0.000879
1755205211.317349,1231930,3013,1,SA,1,100,0.001441
1755205212.116355,1232729,3148,1,SA,1,100,0.004569
1755205212.782361,1233395,3250,1,SA,1,100,0.002091
1755205213.182364,1233795,3301,1,SA,1,100,0.001006
1755205213.650368,1234263,3404,1,SA,1,100,0.002043
1755205214.450375,1235063,3503,1,SA,1,100,0.000413
1755205214.850378,1235463,3572,1,SA,1,100,0.000216
1755205215.116380,1235729,3608,1,SA,1,100,0.000012
1755205215.450383,1236063,3658,1,SA,1,100,0.000136
1755205215.649385,1236262,3695,1,SA,1,100,0.000126
1755205215.983388,1236596,3746,1,SA,1,100,0.000141
1755205216.183389,1236796,3784,1,SA,1,100,0.000181
1755205216.383391,1236996,3822,1,SA,1,100,0.000174
1755205216.583393,1237196,3858,1,SA,1,100,0.000129
1755205216.783394,1237396,3927,1,SA,1,100,0.000451
1755205217.183398,1237796,3961,1,SA,1,100,0.000078
1755205217.515400,1238128,4014,1,SA,1,100,0.000136
1755205217.715402,1238328,4048,1,SA,1,100,0.000135
1755205217.916404,1238529,4084,1,SA,1,100,0.000097
1755205218.116405,1238729,4118,1,SA,1,100,0.000096
1755205218.316407,1238929,4187,1,SA,1,100,0.000444
1755205218.982413,1239595,4271,1,SA,1,100,0.000247
1755205219.249415,1239862,4305,1,SA,1,100,0.000102
1755205219.448417,1240061,4343,1,SA,1,100,0.000108
1755205220.048422,1240661,4442,1,SA,1,100,0.000049
1755205220.382424,1240995,4495,1,SA,1,100,0.000116
1755205220.582426,1241195,4529,1,SA,1,100,0.000084
1755205220.782428,1241395,4565,1,SA,1,100,0.000061
1755205221.115431,1241728,4634,1,SA,1,100,0.000155
1755205221.315432,1241928,4669,1,SA,1,100,0.000168
1755205221.515434,1242128,4710,1,SA,1,100,0.000118
1755205221.715436,1242328,4744,1,SA,1,100,0.000153
1755205221.915437,1242528,4779,1,SA,1,100,0.000116
1755205222.115439,1242728,4816,1,SA,1,100,0.000093
1755205222.448442,1243061,4868,1,SA,1,100,0.000144
1755205222.648443,1243261,4901,1,SA,1,100,0.000140
1755205222.848445,1243461,4937,1,SA,1,100,0.000107
1755205223.048447,1243661,4972,1,SA,1,100,0.000110
1755205223.248448,1243861,5008,1,SA,1,100,0.000081
1755205223.448450,1244061,5042,1,SA,1,100,0.000044
1755205223.782453,1244395,5127,1,SA,1,100,0.000485
1755205224.315457,1244928,5179,1,SA,1,100,0.000131
1755205224.515459,1245128,5214,1,SA,1,100,0.000123
1755205224.715461,1245328,5248,1,SA,1,100,0.000158
1755205224.915462,1245528,5285,1,SA,1,100,0.000106
1755205225.115464,1245728,5321,1,SA,1,100,0.000114
1755205225.315466,1245928,5354,1,SA,1,100,0.000111
1755205225.515467,1246128,5390,1,SA,1,100,0.000073
1755205225.848470,1246461,5442,1,SA,1,100,0.000133
1755205226.048472,1246661,5475,1,SA,1,100,0.000118
1755205226.248473,1246861,5513,1,SA,1,100,0.000148
1755205226.448475,1247061,5547,1,SA,1,100,0.000085
1755205226.915479,1247528,5672,1,SA,1,100,0.000730
1755205227.781486,1248394,5773,1,SA,1,100,0.000095
1755205228.114489,1248727,5840,1,SA,1,100,0.000216
1755205228.514492,1249127,5909,1,SA,1,100,0.000128
1755205228.714494,1249327,5944,1,SA,1,100,0.000142
1755205228.914496,1249527,5979,1,SA,1,100,0.000129
1755205229.114497,1249727,6014,1,SA,1,100,0.000126
1755205229.314499,1249927,6048,1,SA,1,100,0.000052
1755205229.647502,1250260,6101,1,SA,1,100,0.000158
1755205229.847503,1250460,6135,1,SA,1,100,0.000163
1755205230.047505,1250660,6170,1,SA,1,100,0.000224
1755205230.381508,1250994,6271,1,SA,1,100,0.000546
1755205230.981513,1251594,6324,1,SA,1,100,0.000135
1755205231.181515,1251794,6362,1,SA,1,100,0.000131
1755205231.381516,1251994,6397,1,SA,1,100,0.000127
1755205231.581518,1252194,6470,1,SA,1,100,0.000349
1755205231.981521,1252594,6503,1,SA,1,100,0.000030
1755205232.314524,1252927,6557,1,SA,1,100,0.000208
1755205232.514526,1253127,6591,1,SA,1,100,0.000088
1755205232.714527,1253327,6626,1,SA,1,100,0.000124
1755205232.914529,1253527,6660,1,SA,1,100,0.000077
1755205233.647535,1254260,6779,1,SA,1,100,0.000129
1755205233.847537,1254460,6814,1,SA,1,100,0.000092
1755205234.047539,1254660,6850,1,SA,1,100,0.000086
1755205234.248540,1254861,6885,1,SA,1,100,0.000032
1755205234.448542,1255061,6921,1,SA,1,100,0.000023
1755205234.780545,1255393,6971,1,SA,1,100,0.000140
1755205234.980546,1255593,7006,1,SA,1,100,0.000094
1755205235.180548,1255793,7042,1,SA,1,100,0.000063
1755205235.380550,1255993,7075,1,SA,1,100,0.000049
1755205235.714552,1256327,7144,1,SA,1,100,0.000171
1755205235.913554,1256526,7180,1,SA,1,100,0.000149
1755205236.113556,1256726,7217,1,SA,1,100,0.000115
1755205236.314557,1256927,7251,1,SA,1,100,0.000112
1755205236.647560,1257260,7304,1,SA,1,100,0.000155
1755205236.847562,1257460,7345,1,SA,1,100,0.000162
1755205237.047564,1257660,7378,1,SA,1,100,0.000148
1755205237.381566,1257994,7430,1,SA,1,100,0.000131
1755205237.581568,1258194,7466,1,SA,1,100,0.000120
1755205237.781570,1258394,7502,1,SA,1,100,0.000112
1755205237.981571,1258594,7535,1,SA,1,100,0.000081
1755205238.181573,1258794,7571,1,SA,1,100,0.000114
1755205238.381575,1258994,7606,1,SA,1,100,0.000054
1755205238.713577,1259326,7658,1,SA,1,100,0.000121
1755205238.913579,1259526,7693,1,SA,1,100,0.000088
1755205239.114581,1259727,7729,1,SA,1,100,0.000060
1755205239.446584,1260059,7781,1,SA,1,100,0.000129
1755205239.646585,1260259,7814,1,SA,1,100,0.000141
1755205239.846587,1260459,7850,1,SA,1,100,0.000138
1755205240.046589,1260659,7885,1,SA,1,100,0.000088
1755205240.380591,1260993,7953,1,SA,1,100,0.000212
1755205240.780595,1261393,8021,1,SA,1,100,0.000134
1755205240.980596,1261593,8057,1,SA,1,100,0.000086
1755205241.313599,1261926,8110,1,SA,1,100,0.000156
1755205241.513601,1262126,8146,1,SA,1,100,0.000138
1755205241.713603,1262326,8179,1,SA,1,100,0.000121
1755205241.913604,1262526,8222,1,SA,1,100,0.000126
1755205242.113606,1262726,8256,1,SA,1,100,0.000048
1755205242.313608,1262926,8291,1,SA,1,100,0.000070
1755205242.647610,1263260,8343,1,SA,1,100,0.000145
1755205242.847612,1263460,8379,1,SA,1,100,0.000085
1755205243.047614,1263660,8412,1,SA,1,100,0.000102
1755205243.379616,1263992,8464,1,SA,1,100,0.000132
1755205243.580618,1264193,8501,1,SA,1,100,0.000099
1755205243.780620,1264393,8537,1,SA,1,100,0.000069
1755205244.113623,1264726,8604,1,SA,1,100,0.000206
1755205244.513626,1265126,8656,1,SA,1,100,0.000100
1755205244.713628,1265326,8689,1,SA,1,100,0.000101
1755205244.913629,1265526,8725,1,SA,1,100,0.000039
1755205245.246632,1265859,8794,1,SA,1,100,0.000176
1755205245.446634,1266059,8828,1,SA,1,100,0.000131
1755205245.646635,1266259,8863,1,SA,1,100,0.000097
1755205245.846637,1266459,8883,1,SA,1,100,0.000091
1755205246.046639,1266659,8916,1,SA,1,100,0.000036
1755205246.246640,1266859,8987,1,SA,1,100,0.000284
